Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Magnetic Flux Density (T)
497	-7,007	8,5811e-016	1,837e-016	-1,1228e-004
498	-7,757	9,4996e-016	1,299	-2,7452e-004
499	-9,257	1,1337e-015	1,299	-2,2865e-004
500	-10,007	1,2255e-015	0,	-9,6067e-005
501	-9,2314	-0,17446	-1,3126	2,7447e-004
502	-7,8379	7,8792e-002	-1,3427	3,3079e-004
503	-6,8804	1,3261	1,837e-016	1,249e-004
504	-6,5051	2,6042	1,837e-016	1,4746e-003
505	-5,8947	3,7883	1,837e-016	-1,4331e-004
506	-5,0343	4,9308	0,34325	1,5121e-003
507	-4,142	5,7037	-0,35258	-1,7834e-003
508	-3,0096	6,3312	9,6838e-002	6,5787e-004
509	-1,652	6,8095	1,837e-016	-8,7025e-004
510	-0,23163	7,0083	0,12437	-4,2558e-004
511	1,1862	6,9397	-0,3144	-2,2152e-003
512	2,2863	6,6316	0,15088	1,9357e-003
513	3,5035	6,0682	1,837e-016	6,2281e-004
514	4,5886	5,2955	1,837e-016	2,6633e-005
515	5,5754	4,2527	-0,1243	-8,8348e-004
516	6,3424	3,0561	0,31414	5,6502e-004
517	6,7314	1,9732	-0,15121	-6,1637e-004
518	6,9753	0,66606	1,837e-016	7,0932e-004
519	6,9753	-0,66606	1,837e-016	8,6675e-004
520	6,6982	-2,0749	0,12424	2,6437e-004
521	6,1686	-3,3931	-0,31369	1,5928e-003
522	5,5185	-4,3302	0,15101	-4,9169e-004
523	4,5886	-5,2955	1,837e-016	6,8894e-004
524	3,5035	-6,0682	1,837e-016	5,0422e-004
525	2,1952	-6,6597	-0,12424	1,2452e-003
526	0,81345	-6,9931	0,31409	-1,8427e-003
527	-0,33698	-7,0065	-0,1512	2,1395e-003
528	-1,652	-6,8095	1,837e-016	9,9987e-004
529	-2,9493	-6,3654	-0,15904	1,2787e-003
530	-3,9743	-5,8075	0,29931	-2,5511e-003
531	-5,0712	-4,8354	1,837e-016	3,6972e-004
532	-5,8947	-3,7883	1,837e-016	1,0174e-003
533	-6,4114	-2,8413	-0,1308	1,1203e-003
534	-6,8614	-1,4216	-1,6939e-002	1,4765e-004
535	-9,1002	1,5723	-1,3115	-8,2211e-004
536	-6,9374	4,4584	1,4772	3,1028e-003
537	-6,0882	7,5785	-0,8809	-2,4831e-003
538	-3,6392	8,1379	1,4436	5,7321e-003
539	-0,26438	8,3287	-1,4899	-7,13e-003
540	2,3439	9,3379	0,99719	4,8349e-003
541	4,7818	7,5605	-1,4344	-5,1663e-003
542	6,6319	5,0333	1,489	3,1518e-003
543	8,9706	3,5021	-0,99447	-1,4838e-003
544	8,9094	0,73592	1,4362	4,1403e-004
545	7,9472	-2,4836	-1,4891	2,1356e-003
546	8,0557	-5,2761	0,9947	-2,5081e-003
547	5,5771	-6,9926	-1,4349	4,8466e-003
548	2,5866	-7,9142	1,4891	-3,6901e-003
549	0,37494	-9,6225	-0,99468	4,9606e-003
550	-2,5841	-8,6617	1,4025	-4,8184e-003
551	-4,9463	-6,6977	-1,4891	5,2396e-003
552	-8,4828	-4,2807	-1,1228	1,7961e-003
553	-5,8493	-6,2599	1,4988	-3,6567e-003
554	-8,6523	3,599	-1,2262	-9,2435e-004
555	-4,3403	8,2048	-1,2843	-4,6386e-003
556	5,6482	6,7554	1,47	4,9017e-003
557	9,1571	1,3575	-1,2989	-5,0063e-004
558	4,5349	-7,5497	1,4697	-4,7069e-003
559	-1,7125	-9,0972	-1,299	5,9358e-003
