x y Bx By
9.000000 -1.000000 0.000022 0.000201
9.000000 -0.900000 0.000019 0.000202
9.000000 -0.800000 0.000019 0.000202
9.000000 -0.700000 0.000015 0.000202
9.000000 -0.600000 0.000012 0.000200
9.000000 -0.500000 0.000012 0.000198
9.000000 -0.400000 0.000009 0.000197
9.000000 -0.300000 0.000005 0.000197
9.000000 -0.200000 0.000005 0.000198
9.000000 -0.100000 0.000003 0.000198
9.000000 -0.000000 -0.000001 0.000197
9.000000 0.100000 -0.000002 0.000197
9.000000 0.200000 -0.000004 0.000198
9.000000 0.300000 -0.000006 0.000200
9.000000 0.400000 -0.000009 0.000199
9.000000 0.500000 -0.000012 0.000198
9.000000 0.600000 -0.000013 0.000198
9.000000 0.700000 -0.000015 0.000202
9.000000 0.800000 -0.000018 0.000205
9.000000 0.900000 -0.000021 0.000205
9.000000 1.000000 -0.000023 0.000204
9.100000 -1.000000 0.000022 0.000208
9.100000 -0.900000 0.000020 0.000214
9.100000 -0.800000 0.000019 0.000216
9.100000 -0.700000 0.000017 0.000216
9.100000 -0.600000 0.000014 0.000213
9.100000 -0.500000 0.000012 0.000209
9.100000 -0.400000 0.000009 0.000205
9.100000 -0.300000 0.000006 0.000208
9.100000 -0.200000 0.000005 0.000211
9.100000 -0.100000 0.000003 0.000213
9.100000 -0.000000 -0.000001 0.000207
9.100000 0.100000 -0.000002 0.000205
9.100000 0.200000 -0.000005 0.000211
9.100000 0.300000 -0.000007 0.000213
9.100000 0.400000 -0.000009 0.000211
9.100000 0.500000 -0.000012 0.000207
9.100000 0.600000 -0.000013 0.000206
9.100000 0.700000 -0.000017 0.000213
9.100000 0.800000 -0.000019 0.000215
9.100000 0.900000 -0.000021 0.000217
9.100000 1.000000 -0.000024 0.000217
9.200000 -1.000000 0.000024 0.000215
9.200000 -0.900000 0.000021 0.000216
9.200000 -0.800000 0.000018 0.000216
9.200000 -0.700000 0.000016 0.000216
9.200000 -0.600000 0.000014 0.000217
9.200000 -0.500000 0.000012 0.000217
9.200000 -0.400000 0.000009 0.000213
9.200000 -0.300000 0.000007 0.000218
9.200000 -0.200000 0.000005 0.000218
9.200000 -0.100000 0.000003 0.000217
9.200000 -0.000000 0.000000 0.000217
9.200000 0.100000 -0.000002 0.000213
9.200000 0.200000 -0.000005 0.000217
9.200000 0.300000 -0.000007 0.000217
9.200000 0.400000 -0.000009 0.000217
9.200000 0.500000 -0.000011 0.000217
9.200000 0.600000 -0.000014 0.000216
9.200000 0.700000 -0.000017 0.000216
9.200000 0.800000 -0.000019 0.000215
9.200000 0.900000 -0.000021 0.000215
9.200000 1.000000 -0.000023 0.000215
9.300000 -1.000000 0.000023 0.000213
9.300000 -0.900000 0.000021 0.000213
9.300000 -0.800000 0.000019 0.000213
9.300000 -0.700000 0.000016 0.000214
9.300000 -0.600000 0.000014 0.000214
9.300000 -0.500000 0.000011 0.000215
9.300000 -0.400000 0.000009 0.000215
9.300000 -0.300000 0.000007 0.000215
9.300000 -0.200000 0.000005 0.000215
9.300000 -0.100000 0.000003 0.000215
9.300000 -0.000000 -0.000000 0.000215
9.300000 0.100000 -0.000002 0.000215
9.300000 0.200000 -0.000005 0.000215
9.300000 0.300000 -0.000007 0.000215
9.300000 0.400000 -0.000009 0.000215
9.300000 0.500000 -0.000012 0.000215
9.300000 0.600000 -0.000014 0.000215
9.300000 0.700000 -0.000016 0.000214
9.300000 0.800000 -0.000018 0.000213
9.300000 0.900000 -0.000021 0.000213
9.300000 1.000000 -0.000023 0.000212
9.400000 -1.000000 0.000023 0.000210
9.400000 -0.900000 0.000021 0.000210
9.400000 -0.800000 0.000019 0.000211
9.400000 -0.700000 0.000016 0.000211
9.400000 -0.600000 0.000013 0.000212
9.400000 -0.500000 0.000011 0.000212
9.400000 -0.400000 0.000009 0.000213
9.400000 -0.300000 0.000007 0.000213
9.400000 -0.200000 0.000005 0.000213
9.400000 -0.100000 0.000003 0.000213
9.400000 -0.000000 0.000000 0.000213
9.400000 0.100000 -0.000002 0.000213
9.400000 0.200000 -0.000005 0.000213
9.400000 0.300000 -0.000007 0.000213
9.400000 0.400000 -0.000009 0.000212
9.400000 0.500000 -0.000011 0.000212
9.400000 0.600000 -0.000014 0.000212
9.400000 0.700000 -0.000016 0.000212
9.400000 0.800000 -0.000018 0.000211
9.400000 0.900000 -0.000020 0.000211
9.400000 1.000000 -0.000022 0.000210
9.500000 -1.000000 0.000022 0.000207
9.500000 -0.900000 0.000020 0.000208
9.500000 -0.800000 0.000018 0.000209
9.500000 -0.700000 0.000015 0.000209
9.500000 -0.600000 0.000013 0.000209
9.500000 -0.500000 0.000011 0.000210
9.500000 -0.400000 0.000009 0.000210
9.500000 -0.300000 0.000006 0.000210
9.500000 -0.200000 0.000004 0.000211
9.500000 -0.100000 0.000002 0.000211
9.500000 -0.000000 -0.000000 0.000211
9.500000 0.100000 -0.000002 0.000211
9.500000 0.200000 -0.000004 0.000211
9.500000 0.300000 -0.000007 0.000211
9.500000 0.400000 -0.000009 0.000210
9.500000 0.500000 -0.000011 0.000210
9.500000 0.600000 -0.000013 0.000210
9.500000 0.700000 -0.000016 0.000209
9.500000 0.800000 -0.000017 0.000209
9.500000 0.900000 -0.000020 0.000208
9.500000 1.000000 -0.000022 0.000208
9.600000 -1.000000 0.000022 0.000206
9.600000 -0.900000 0.000019 0.000206
9.600000 -0.800000 0.000017 0.000207
9.600000 -0.700000 0.000015 0.000207
9.600000 -0.600000 0.000013 0.000207
9.600000 -0.500000 0.000011 0.000207
9.600000 -0.400000 0.000008 0.000208
9.600000 -0.300000 0.000006 0.000208
9.600000 -0.200000 0.000004 0.000208
9.600000 -0.100000 0.000002 0.000208
9.600000 -0.000000 -0.000000 0.000208
9.600000 0.100000 -0.000002 0.000209
9.600000 0.200000 -0.000004 0.000209
9.600000 0.300000 -0.000006 0.000209
9.600000 0.400000 -0.000009 0.000208
9.600000 0.500000 -0.000011 0.000208
9.600000 0.600000 -0.000013 0.000207
9.600000 0.700000 -0.000015 0.000207
9.600000 0.800000 -0.000017 0.000207
9.600000 0.900000 -0.000019 0.000206
9.600000 1.000000 -0.000021 0.000206
9.700000 -1.000000 0.000021 0.000204
9.700000 -0.900000 0.000019 0.000205
9.700000 -0.800000 0.000016 0.000205
9.700000 -0.700000 0.000014 0.000205
9.700000 -0.600000 0.000012 0.000205
9.700000 -0.500000 0.000011 0.000205
9.700000 -0.400000 0.000008 0.000206
9.700000 -0.300000 0.000006 0.000206
9.700000 -0.200000 0.000003 0.000206
9.700000 -0.100000 0.000001 0.000206
9.700000 -0.000000 -0.000001 0.000206
9.700000 0.100000 -0.000002 0.000206
9.700000 0.200000 -0.000004 0.000206
9.700000 0.300000 -0.000006 0.000207
9.700000 0.400000 -0.000008 0.000206
9.700000 0.500000 -0.000011 0.000206
9.700000 0.600000 -0.000013 0.000205
9.700000 0.700000 -0.000015 0.000205
9.700000 0.800000 -0.000017 0.000205
9.700000 0.900000 -0.000019 0.000204
9.700000 1.000000 -0.000021 0.000204
9.800000 -1.000000 0.000021 0.000202
9.800000 -0.900000 0.000018 0.000203
9.800000 -0.800000 0.000016 0.000203
9.800000 -0.700000 0.000014 0.000203
9.800000 -0.600000 0.000012 0.000203
9.800000 -0.500000 0.000011 0.000203
9.800000 -0.400000 0.000008 0.000204
9.800000 -0.300000 0.000006 0.000204
9.800000 -0.200000 0.000003 0.000204
9.800000 -0.100000 0.000001 0.000204
9.800000 -0.000000 -0.000001 0.000204
9.800000 0.100000 -0.000002 0.000204
9.800000 0.200000 -0.000004 0.000204
9.800000 0.300000 -0.000006 0.000204
9.800000 0.400000 -0.000008 0.000204
9.800000 0.500000 -0.000010 0.000204
9.800000 0.600000 -0.000012 0.000204
9.800000 0.700000 -0.000014 0.000203
9.800000 0.800000 -0.000016 0.000203
9.800000 0.900000 -0.000018 0.000202
9.800000 1.000000 -0.000020 0.000202
9.900000 -1.000000 0.000020 0.000200
9.900000 -0.900000 0.000018 0.000201
9.900000 -0.800000 0.000016 0.000201
9.900000 -0.700000 0.000014 0.000201
9.900000 -0.600000 0.000012 0.000201
9.900000 -0.500000 0.000011 0.000201
9.900000 -0.400000 0.000008 0.000202
9.900000 -0.300000 0.000006 0.000202
9.900000 -0.200000 0.000003 0.000202
9.900000 -0.100000 0.000001 0.000202
9.900000 -0.000000 -0.000000 0.000202
9.900000 0.100000 -0.000002 0.000202
9.900000 0.200000 -0.000004 0.000202
9.900000 0.300000 -0.000006 0.000202
9.900000 0.400000 -0.000008 0.000202
9.900000 0.500000 -0.000010 0.000202
9.900000 0.600000 -0.000012 0.000201
9.900000 0.700000 -0.000014 0.000201
9.900000 0.800000 -0.000016 0.000201
9.900000 0.900000 -0.000018 0.000200
9.900000 1.000000 -0.000020 0.000200
10.000000 -1.000000 0.000020 0.000198
10.000000 -0.900000 0.000018 0.000199
10.000000 -0.800000 0.000016 0.000199
10.000000 -0.700000 0.000014 0.000199
10.000000 -0.600000 0.000012 0.000199
10.000000 -0.500000 0.000010 0.000199
10.000000 -0.400000 0.000008 0.000200
10.000000 -0.300000 0.000006 0.000200
10.000000 -0.200000 0.000003 0.000200
10.000000 -0.100000 0.000002 0.000200
10.000000 -0.000000 -0.000000 0.000200
10.000000 0.100000 -0.000002 0.000200
10.000000 0.200000 -0.000004 0.000200
10.000000 0.300000 -0.000006 0.000200
10.000000 0.400000 -0.000008 0.000200
10.000000 0.500000 -0.000010 0.000199
10.000000 0.600000 -0.000012 0.000199
10.000000 0.700000 -0.000014 0.000199
10.000000 0.800000 -0.000016 0.000199
10.000000 0.900000 -0.000018 0.000198
10.000000 1.000000 -0.000020 0.000198
10.100000 -1.000000 0.000020 0.000196
10.100000 -0.900000 0.000018 0.000197
