Energy,proton,alpha,Li7,Be9,B11,C12,N14,O16,F19,Ne20,Na23,Mg24,Al27,Si28,P29,S32,Cl35,Ar38,K39,Ca40,Sc43,Ti47,V49,Cr52,Mn54,Fe56,Co57,Ni58
0.01,0.0002446054,0.0001402367,6.561744e-07,2.889485e-07,1.403377e-06,3.939202e-06,1.038829e-06,3.546251e-06,7.547495e-08,6.396082e-07,1.334386e-07,8.496711e-07,1.341946e-07,6.176361e-07,2.071609e-08,1.043603e-07,2.29627e-08,5.843738e-08,3.873712e-08,1.152627e-07,2.147456e-08,8.019976e-08,3.547164e-08,6.999201e-08,4.637002e-08,5.065206e-07,3.173889e-09,2.431242e-08
8064.511929154488,0.0002956268,0.0001686733,7.883436e-07,3.472067e-07,1.684273e-06,4.735229e-06,1.249583e-06,4.265324e-06,9.072549e-08,7.686794e-07,1.604013e-07,1.021052e-06,1.613158e-07,7.42337e-07,2.49053e-08,1.255398e-07,2.761397e-08,7.001758e-08,4.656313e-08,1.384609e-07,2.582512e-08,9.638519e-08,4.264941e-08,8.413642e-08,5.570303e-08,6.08734e-07,3.814331e-09,2.923759e-08
16129.029022568027,0.0003572907,0.0002028762,9.47135e-07,4.172112e-07,2.021393e-06,5.692117e-06,1.503093e-06,5.130206e-06,1.090576e-07,9.23797e-07,1.928121e-07,1.227001e-06,1.939182e-07,8.922155e-07,2.994167e-08,1.510176e-07,3.320738e-08,8.389259e-08,5.597024e-08,1.663282e-07,3.105707e-08,1.158371e-07,5.127963e-08,1.011393e-07,6.691455e-08,7.315738e-07,4.584006e-09,3.51605e-08
24193.557936552224,0.000431817,0.0002440147,1.137911e-06,5.013302e-07,2.425991e-06,6.842373e-06,1.808035e-06,6.170462e-06,1.31094e-07,1.110217e-06,2.31772e-07,1.474491e-06,2.331098e-07,1.072355e-06,3.599651e-08,1.816661e-07,3.99338e-08,1.005172e-07,6.727787e-08,1.998043e-07,3.734899e-08,1.392148e-07,6.165623e-08,1.215782e-07,8.038267e-08,8.792024e-07,5.508991e-09,4.228329e-08
32258.068374124665,0.0005218883,0.000293495,1.367114e-06,6.024092e-07,2.911571e-06,8.225068e-06,2.174842e-06,7.421649e-06,1.57583e-07,1.334256e-06,2.78604e-07,1.7719e-06,2.80222e-07,1.288864e-06,4.327574e-08,2.185346e-07,4.80227e-08,1.204361e-07,8.086995e-08,2.400179e-07,4.491558e-08,1.673103e-07,7.413252e-08,1.461475e-07,9.656153e-08,1.056621e-06,6.620621e-09,5.084898e-08
40322.58994922454,0.0006307475,0.0003530088,1.642484e-06,7.238681e-07,3.494345e-06,9.887179e-06,2.616066e-06,8.926541e-06,1.894245e-07,1.603506e-06,3.348991e-07,2.129297e-06,3.368559e-07,1.549087e-06,5.202699e-08,2.628854e-07,5.775006e-08,1.443023e-07,9.720804e-08,2.88325e-07,5.401512e-08,2.010759e-07,8.913346e-08,1.756819e-07,1.159968e-07,1.269843e-06,7.956564e-09,6.114991e-08
48387.104102493766,0.0007623132,0.0004245905,1.973319e-06,8.698157e-07,4.193764e-06,1.188516e-05,3.146804e-06,1.073658e-05,2.276998e-07,1.92709e-06,4.025691e-07,2.558782e-06,4.049355e-07,1.861848e-06,6.254793e-08,3.162371e-07,6.944778e-08,1.728979e-07,1.168469e-07,3.463547e-07,6.495813e-08,2.416559e-07,1.071699e-07,2.111849e-07,1.393438e-07,1.526091e-06,9.562078e-09,7.353759e-08
56451.61399811295,0.0009213216,0.0005106871,2.370793e-06,1.045189e-06,5.033178e-06,1.42869e-05,3.785215e-06,1.291364e-05,2.737091e-07,2.315972e-06,4.839125e-07,3.074895e-06,4.867743e-07,2.237757e-06,7.51964e-08,3.804162e-07,8.351494e-08,2.071601e-07,1.404533e-07,4.160637e-07,7.81181e-08,2.904255e-07,1.288559e-07,2.538624e-07,1.673899e-07,1.834049e-06,1.149156e-08,8.843473e-08
64516.140495901534,0.001113498,0.0006142424,2.848329e-06,1.255923e-06,6.040608e-06,1.717398e-05,4.553146e-06,1.553214e-05,3.290152e-07,2.78333e-06,5.816925e-07,3.695111e-06,5.851531e-07,2.689562e-06,9.040269e-08,4.576204e-07,1.004316e-07,2.482119e-07,1.68829e-07,4.998028e-07,9.394421e-08,3.490377e-07,1.549303e-07,3.051647e-07,2.010811e-07,2.204153e-06,1.381039e-08,1.063498e-07
72580.65413290185,0.001345759,0.000738796,3.422051e-06,1.509144e-06,7.249681e-06,2.064447e-05,5.47687e-06,1.86816e-05,3.954965e-07,3.344999e-06,6.992299e-07,4.440425e-06,7.034144e-07,3.232587e-06,1.08684e-07,5.504928e-07,1.207747e-07,2.973988e-07,2.029374e-07,6.003954e-07,1.129765e-07,4.194784e-07,1.862809e-07,3.668343e-07,2.415532e-07,2.648941e-06,1.659711e-08,1.27894e-07
80645.17413212098,0.001626466,0.0008886062,4.111335e-06,1.81342e-06,8.700761e-06,2.481627e-05,6.587997e-06,2.246968e-05,4.754111e-07,4.020012e-06,8.40517e-07,5.336072e-06,8.455768e-07,3.885249e-06,1.306621e-07,6.622134e-07,1.452386e-07,3.563327e-07,2.439367e-07,7.21234e-07,1.358646e-07,5.041353e-07,2.239754e-07,4.409666e-07,2.901714e-07,3.183486e-06,1.994616e-08,1.538026e-07
