cX,cY,cZ,nX,nY,nZ
-0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,4.0,0.0,0.0,1.0
-0.0,0.0,1.0,-2.4492935982947064e-16,-0.0,1.0
0.0,0.0,1.0,2.4492935982947064e-16,-2.999519565323715e-32,1.0
-0.0,0.0,4.0,-0.0,0.0,1.0
2.4492935982947064e-16,-2.999519565323715e-32,1.0,-0.0,0.0,1.0
-0.0,0.0,1.0,2.4492935982947064e-16,-2.999519565323715e-32,1.0
2.4492935982947064e-16,-2.999519565323715e-32,1.0,2.4492935982947064e-16,-2.999519565323715e-32,1.0
-3.6680508106001892,-0.0,-1.5954319950581703,2.4492935982947064e-16,-2.999519565323715e-32,1.0
0.0,0.0,4.0,2.4492935982947064e-16,-2.999519565323715e-32,1.0
