i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,2.696112e+05,5.374109,5.834810,1.036315,-4.906038e+05,-5.326612e+05,-9.460547e+04,1.006028e+00,2.712365e+05
1,6.214456e+04,1.312008,6.641518,-4.262496,-5.750338e+04,-2.910880e+05,1.868190e+05,1.006247e+00,6.253279e+04
2,1.842660e+05,7.322249,-3.185409,-0.487684,-5.526148e+05,2.404048e+05,3.680583e+04,1.005823e+00,1.853391e+05
3,1.180766e+04,7.778017,1.716650,-0.745365,-1.485957e+05,-3.279586e+04,1.423987e+04,1.000357e+00,1.181188e+04
4,3.736705e+05,1.665659,0.080629,7.824262,-1.790136e+05,-8.665489e+03,-8.408978e+05,1.003485e+00,3.749726e+05
5,2.971374e+05,-0.671056,-1.599362,-7.809720,6.431215e+04,1.532784e+05,7.484616e+05,1.006909e+00,2.991902e+05
6,1.448905e+05,-6.981656,-1.192689,-3.719406,4.672333e+05,7.981831e+04,2.489138e+05,1.006147e+00,1.457812e+05
7,1.351989e+05,-1.641088,-5.182342,-5.869426,1.060898e+05,3.350179e+05,3.794352e+05,1.006405e+00,1.360648e+05
8,2.816109e+05,6.560286,2.016607,4.110467,-6.120726e+05,-1.881488e+05,-3.835053e+05,1.006015e+00,2.833047e+05
9,2.481170e+05,0.293739,-7.288808,3.284355,-2.572444e+04,6.383226e+05,-2.876298e+05,1.006102e+00,2.496310e+05
10,1.759422e+05,5.563296,-0.612415,-5.716177,-4.102727e+05,4.516332e+04,4.215471e+05,7.024966e-01,1.235988e+05
11,2.251071e+05,2.544165,1.250060,-7.480947,-2.122244e+05,-1.042752e+05,6.240316e+05,1.079587e+00,2.430228e+05
12,5.527910e+04,-7.351896,3.104337,0.559205,3.039032e+05,-1.283231e+05,-2.311571e+04,1.005906e+00,5.560558e+04
13,6.455923e+04,-0.622884,3.947690,6.930206,2.782543e+04,-1.763509e+05,-3.095856e+05,1.007168e+00,6.502201e+04
14,1.863571e+05,1.210798,-0.907235,7.855628,-9.189678e+04,6.885704e+04,-5.962239e+05,9.873339e-01,1.839967e+05
15,2.589117e+05,-6.738847,-0.191557,4.307116,6.028606e+05,1.713682e+04,-3.853167e+05,1.004493e+00,2.600751e+05
16,4.714744e+03,-2.248000,0.085118,7.677190,2.713819e+04,-1.027552e+03,-9.268016e+04,7.217078e-01,3.402667e+03
17,6.336797e+03,6.687549,3.341530,2.847957,-9.359600e+04,-4.676659e+04,-3.985875e+04,1.002502e+00,6.352651e+03
18,3.873084e+05,6.812767,-4.097687,0.891717,-7.454309e+05,4.483557e+05,-9.756878e+04,1.006013e+00,3.896372e+05
19,2.586478e+04,5.027028,1.636314,-6.004287,-1.421416e+05,-4.626754e+04,1.697740e+05,9.567293e-01,2.474559e+04
20,3.306309e+03,4.683261,4.704813,-4.464505,-4.734514e+04,-4.756303e+04,4.513365e+04,9.879390e-01,3.266432e+03
21,3.838273e+04,-4.172353,-4.417639,-5.203454,1.437158e+05,1.521646e+05,1.792318e+05,1.006802e+00,3.864380e+04
22,1.204560e+05,5.020097,-4.229411,4.572822,-3.063245e+05,2.580772e+05,-2.790320e+05,1.006027e+00,1.211820e+05
23,1.703082e+04,-3.708683,-0.310028,-7.081635,8.509281e+04,7.113337e+03,1.624825e+05,1.011170e+00,1.722106e+04
24,3.288827e+04,4.197759,-6.477876,2.101417,-1.338423e+05,2.065421e+05,-6.700205e+04,1.005859e+00,3.308095e+04
25,1.951004e+05,-4.164990,0.851143,6.777051,3.234435e+05,-6.609784e+04,-5.262902e+05,9.559352e-01,1.865034e+05
26,1.673973e+05,-0.746607,-0.360855,7.956907,5.370583e+04,2.595748e+04,-5.723661e+05,8.962185e-01,1.500246e+05
27,3.346106e+04,-5.686856,0.054309,-5.626431,1.828932e+05,-1.746627e+03,1.809499e+05,1.006989e+00,3.369492e+04
28,1.427370e+05,2.946127,-2.414342,-7.035005,-1.956930e+05,1.603697e+05,4.672917e+05,1.003826e+00,1.432831e+05
29,2.211330e+05,0.739100,3.100149,7.337766,-6.110625e+04,-2.563096e+05,-6.066610e+05,1.006562e+00,2.225840e+05
30,3.786240e+05,-1.186670,7.619905,2.128112,1.283776e+05,-8.243450e+05,-2.302258e+05,1.006090e+00,3.809297e+05
