i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,3.770029e+03,5.374109,5.834810,1.036315,-1.078275e+05,-1.170712e+05,-2.079290e+04,1.004922e+00,3.788585e+03
1,3.943958e+04,1.312008,6.641518,-4.262496,-8.514387e+04,-4.310070e+05,2.766183e+05,1.006161e+00,3.968255e+04
2,8.099728e+03,7.322249,-3.185409,-0.487684,-2.153429e+05,9.368095e+04,1.434249e+04,1.004500e+00,8.136180e+03
3,5.928563e+04,7.778017,1.716650,-0.745365,-6.188629e+05,-1.365863e+05,5.930542e+04,1.005774e+00,5.962792e+04
4,5.718420e+04,1.665659,0.080629,7.824262,-1.301592e+05,-6.300603e+03,-6.114096e+05,9.923572e-01,5.674715e+04
5,3.002520e+04,-0.671056,-1.599362,-7.809720,3.799730e+04,9.056088e+04,4.422107e+05,1.003185e+00,3.012084e+04
6,2.451521e+04,-6.981656,-1.192689,-3.719406,3.572129e+05,6.102333e+04,1.903015e+05,1.006183e+00,2.466678e+04
7,5.118787e+03,-1.641088,-5.182342,-5.869426,3.836774e+04,1.211603e+05,1.372240e+05,1.008574e+00,5.162677e+03
8,6.382596e+03,6.560286,2.016607,4.110467,-1.712665e+05,-5.264665e+04,-1.073101e+05,1.005237e+00,6.416021e+03
9,8.070853e+04,0.293739,-7.288808,3.284355,-2.726923e+04,6.766547e+05,-3.049023e+05,1.006099e+00,8.120075e+04
10,3.703832e+04,5.563296,-0.612415,-5.716177,-3.498716e+05,3.851430e+04,3.594862e+05,6.961873e-01,2.578561e+04
11,2.172307e+03,2.544165,1.250060,-7.480947,-3.874867e+04,-1.903892e+04,1.139378e+05,1.474001e+00,3.201983e+03
12,5.213379e+04,-7.351896,3.104337,0.559205,5.485420e+05,-2.316218e+05,-4.172361e+04,1.006036e+00,5.244847e+04
13,4.165507e+04,-0.622884,3.947690,6.930206,4.154245e+04,-2.632861e+05,-4.622011e+05,1.006607e+00,4.193027e+04
14,8.363411e+03,1.210798,-0.907235,7.855628,-3.618382e+04,2.711206e+04,-2.347597e+05,8.957482e-01,7.491511e+03
15,4.054116e+04,-6.738847,-0.191557,4.307116,4.433886e+05,1.260369e+04,-2.833906e+05,1.003237e+00,4.067238e+04
16,8.412948e+03,-2.248000,0.085118,7.677190,6.737850e+04,-2.551198e+03,-2.301056e+05,9.785496e-01,8.232486e+03
17,1.597451e+04,6.687549,3.341530,2.847957,-2.762050e+05,-1.380098e+05,-1.176245e+05,1.005710e+00,1.606573e+04
18,5.387880e+04,6.812767,-4.097687,0.891717,-5.167534e+05,3.108126e+05,-6.763739e+04,1.005946e+00,5.419916e+04
19,5.176773e+03,5.027028,1.636314,-6.004287,-1.181930e+05,-3.847220e+04,1.411698e+05,8.858484e-01,4.585836e+03
20,7.170241e+04,4.683261,4.704813,-4.464505,-4.097945e+05,-4.116803e+05,3.906529e+05,1.005978e+00,7.213103e+04
21,6.280934e+04,-4.172353,-4.417639,-5.203454,3.416993e+05,3.617873e+05,4.261423e+05,1.006197e+00,6.319855e+04
22,1.871000e+04,5.020097,-4.229411,4.572822,-2.243881e+05,1.890461e+05,-2.043959e+05,1.005988e+00,1.882205e+04
23,3.637612e+04,-3.708683,-0.310028,-7.081635,2.311419e+05,1.932232e+04,4.413596e+05,1.006712e+00,3.662029e+04
24,2.182548e+03,4.197759,-6.477876,2.101417,-6.408409e+04,9.889296e+04,-3.208078e+04,1.005301e+00,2.194118e+03
25,2.187638e+04,-4.164990,0.851143,6.777051,2.013041e+05,-4.113783e+04,-3.275513e+05,9.547905e-01,2.088736e+04
26,2.929936e+04,-0.746607,-0.360855,7.956907,4.176108e+04,2.018426e+04,-4.450658e+05,9.137576e-01,2.677251e+04
27,7.230636e+04,-5.686856,0.054309,-5.626431,4.997023e+05,-4.772149e+03,4.943928e+05,1.006198e+00,7.275453e+04
28,5.277927e+04,2.946127,-2.414342,-7.035005,-2.211740e+05,1.812514e+05,5.281374e+05,1.004541e+00,5.301892e+04
29,7.443068e+04,0.739100,3.100149,7.337766,-6.589163e+04,-2.763818e+05,-6.541701e+05,1.006473e+00,7.491249e+04
30,1.864088e+04,-1.186670,7.619905,2.128112,5.294365e+04,-3.399646e+05,-9.494641e+04,1.006099e+00,1.875457e+04
31,3.159863e+03,-1.367523,-5.301197,5.833283,2.512000e+04,9.737756e+04,-1.071514e+05,1.009854e+00,3.190999e+03
32,1.765799e+04,-2.925177,6.474259,-3.677949,1.270204e+05,-2.811329e+05,1.597082e+05,1.006237e+00,1.776813e+04
33,7.575543e+04,-3.138961,-6.819774,2.763622,2.823213e+05,6.133773e+05,-2.485630e+05,1.006100e+00,7.621755e+04
34,1.830933e+04,2.239337,2.983805,-7.076883,-9.901625e+04,-1.319342e+05,3.129170e+05,1.007202e+00,1.844119e+04
35,4.094194e+04,3.450468,-0.992849,7.149023,-2.281461e+05,6.564752e+04,-4.726958e+05,1.006437e+00,4.120547e+04
36,7.128532e+04,-6.581989,4.248959,-1.619805,5.742594e+05,-3.707092e+05,1.413232e+05,1.006087e+00,7.171924e+04
37,3.973700e+04,-0.972814,0.070325,-7.940320,6.336923e+04,-4.581009e+03,5.172332e+05,1.101827e+00,4.378330e+04
38,4.835502e+03,2.281723,6.986139,-3.160317,-5.184830e+04,-1.587482e+05,7.181288e+04,1.006033e+00,4.864675e+03
39,2.434094e+04,-2.697425,-3.774866,-6.517230,1.375210e+05,1.924514e+05,3.322634e+05,1.006776e+00,2.450588e+04
40,5.995219e+04,-4.715940,0.703502,6.423783,3.773303e+05,-5.628838e+04,-5.139777e+05,9.195993e-01,5.513199e+04
41,8.815916e+04,2.814009,-1.999630,7.216844,-2.730298e+05,1.940146e+05,-7.002158e+05,1.006300e+00,8.871455e+04
42,1.253610e+04,-2.377674,1.502366,-7.489297,8.699301e+04,-5.496773e+04,2.740142e+05,1.008622e+00,1.264418e+04
43,4.903922e+04,3.823259,6.212548,3.284347,-2.766664e+05,-4.495649e+05,-2.376685e+05,1.006054e+00,4.933611e+04
44,8.782511e+04,5.234348,5.945433,1.119563,-5.069006e+05,-5.757630e+05,-1.084199e+05,1.006042e+00,8.835572e+04
45,2.987591e+00,-1.628092,0.503105,-7.816406,9.195817e+02,-2.841646e+02,4.414877e+03,1.102144e-01,3.292756e-01
46,4.265537e+04,0.489114,2.204324,-7.674746,-3.301017e+04,-1.487692e+05,5.179666e+05,1.006950e+00,4.295184e+04
47,5.088181e+04,5.131721,-6.135392,-0.149679,-3.782641e+05,4.522457e+05,1.103297e+04,1.006008e+00,5.118752e+04
48,6.472809e+04,3.271781,-7.238734,0.946664,-2.720079e+05,6.018107e+05,-7.870332e+04,1.006063e+00,6.512051e+04
49,8.241786e+04,-2.812900,-3.100667,-6.817144,2.638857e+05,2.908818e+05,6.395346e+05,1.006328e+00,8.293939e+04
50,5.258053e+04,-0.337736,-1.090672,-7.918104,2.530702e+04,8.172546e+04,5.933139e+05,1.014938e+00,5.336598e+04
51,5.375264e+04,-1.954198,7.749167,-0.362658,1.480537e+05,-5.870915e+05,2.747568e+04,1.006091e+00,5.408005e+04
52,2.260950e+03,-2.594361,1.555754,-7.406006,4.031130e+04,-2.417337e+04,1.150748e+05,1.018926e+00,2.303740e+03
53,6.560961e+04,-0.791048,-6.182939,-5.014530,6.621207e+04,5.175229e+05,4.197250e+05,1.006190e+00,6.601573e+04
54,5.995181e+04,-0.129343,-0.461785,7.985614,1.034892e+04,3.694805e+04,-6.389403e+05,8.995519e-01,5.392976e+04
55,7.071196e+04,-1.607058,-0.254403,7.832793,1.396461e+05,2.210644e+04,-6.806345e+05,1.001443e+00,7.081398e+04
56,8.386236e+04,-6.710662,0.466956,-4.330008,6.350381e+05,-4.418859e+04,4.097539e+05,1.006128e+00,8.437630e+04
57,7.639540e+04,2.346184,-1.355214,-7.527205,-2.119076e+05,1.224031e+05,6.798580e+05,1.002403e+00,7.657896e+04
58,5.331465e+04,0.171423,0.205094,-7.995533,-1.293430e+04,-1.547484e+04,6.032837e+05,1.031314e+00,5.498414e+04
59,8.489460e+03,-7.536317,2.658624,-0.368302,2.269081e+05,-8.004751e+04,1.108907e+04,1.005872e+00,8.539308e+03
60,8.678887e+04,-4.242505,1.688195,-6.568953,4.084183e+05,-1.625195e+05,6.323813e+05,1.006264e+00,8.733248e+04
61,1.568751e+04,0.888879,3.604421,7.086469,-3.638064e+04,-1.475243e+05,-2.900399e+05,1.007244e+00,1.580115e+04
62,3.881256e+04,-0.016447,-0.014750,7.999969,1.058800e+03,9.495445e+02,-5.150215e+05,0.000000e+00,0.000000e+00
63,1.364641e+04,-1.097702,-7.655947,2.044880,4.190294e+04,2.922530e+05,-7.805986e+04,1.006137e+00,1.373015e+04
64,5.401598e+04,-1.661858,-3.564243,-6.966664,1.262136e+05,2.706944e+05,5.290989e+05,1.006516e+00,5.436797e+04
65,1.000163e+04,0.964335,-1.788357,7.737689,-3.151478e+04,5.844408e+04,-2.528702e+05,9.939036e-01,9.940658e+03
66,2.456235e+04,-3.414258,-3.616270,6.266214,1.748566e+05,1.852024e+05,-3.209158e+05,1.006471e+00,2.472130e+04
67,6.387284e+04,-1.004992,0.843995,-7.891620,8.299871e+04,-6.970255e+04,6.517411e+05,1.013329e+00,6.472422e+04
68,7.069694e+02,-0.750110,6.182916,5.020845,6.517427e+03,-5.372105e+04,-4.362426e+04,1.005367e+00,7.107639e+02
69,6.687322e+04,1.308996,-6.058709,5.057526,-1.106153e+05,5.119848e+05,-4.273809e+05,1.006142e+00,6.728398e+04
70,3.790797e+04,0.420072,0.029918,-7.988908,-2.672633e+04,-1.903503e+03,5.082806e+05,1.763795e+00,6.686190e+04
71,3.403937e+03,3.221498,-6.876726,2.516464,-6.141854e+04,1.311062e+05,-4.797693e+04,1.005861e+00,3.423888e+03
72,8.499296e+03,1.686799,3.409523,7.037746,-5.081662e+04,-1.027155e+05,-2.120195e+05,1.007521e+00,8.563219e+03
73,1.388765e+04,-0.113073,2.508694,7.595635,4.354360e+03,-9.660795e+04,-2.925023e+05,1.002857e+00,1.392733e+04
74,4.331258e+04,-3.185977,-3.600874,-6.394002,2.166709e+05,2.448870e+05,4.348412e+05,1.006432e+00,4.359117e+04
75,2.273294e+04,0.134997,-7.306129,-3.256110,-6.651256e+03,3.599698e+05,1.604271e+05,1.006192e+00,2.287370e+04
76,4.155601e+04,-5.495286,-3.899235,4.312516,3.660649e+05,2.597450e+05,-2.872755e+05,1.006029e+00,4.180657e+04
77,1.518429e+04,5.899259,5.363641,-0.655813,-2.375449e+05,-2.159772e+05,2.640755e+04,1.005655e+00,1.527017e+04
78,1.296232e+05,-5.470164,-3.375278,-4.762857,6.435653e+05,3.971018e+05,5.603506e+05,1.006125e+00,1.304172e+05
79,5.199472e+04,1.791848,2.890808,-7.241030,-1.335155e+05,-2.154020e+05,5.395489e+05,1.006543e+00,5.233494e+04
80,9.668937e+04,-6.277609,-2.342218,4.371000,6.378734e+05,2.379948e+05,-4.441412e+05,1.005756e+00,9.724588e+04
81,1.737073e+04,-7.571935,-1.372965,-2.186496,3.261120e+05,5.913159e+04,9.416912e+04,1.006094e+00,1.747659e+04
82,8.701867e+04,-6.661879,3.091605,3.171963,6.421756e+05,-2.980171e+05,-3.057632e+05,1.005996e+00,8.754041e+04
83,6.112956e+04,-7.093849,2.460385,2.761125,5.731370e+05,-1.987831e+05,-2.230810e+05,1.005943e+00,6.149285e+04
84,1.252147e+05,5.047648,2.703662,5.586722,-5.836704e+05,-3.126303e+05,-6.460046e+05,1.006079e+00,1.259759e+05
85,8.090047e+04,-2.693025,-5.388481,-5.264209,2.503034e+05,5.008328e+05,4.892823e+05,1.006179e+00,8.140037e+04
86,3.796506e+04,1.405850,-0.508605,-7.859065,-8.951216e+04,3.238348e+04,5.003960e+05,1.003655e+00,3.810382e+04
87,4.980340e+04,-6.778969,1.720845,-3.883848,4.943608e+05,-1.254938e+05,2.832321e+05,1.006139e+00,5.010912e+04
88,4.970742e+04,-2.867758,-2.242981,7.123552,2.089315e+05,1.634132e+05,-5.189890e+05,1.004695e+00,4.994082e+04
89,6.588656e+04,-4.435973,6.632806,-0.572730,3.720816e+05,-5.563481e+05,4.803958e+04,1.006089e+00,6.628773e+04
90,1.292305e+01,7.174651,0.675956,-3.473826,-8.428187e+03,-7.940572e+02,4.080764e+03,3.029789e-01,3.915411e+00
91,1.418283e+04,0.652891,-0.370514,-7.964700,-2.540814e+04,1.441907e+04,3.099573e+05,1.051363e+00,1.491131e+04
92,1.034496e+04,4.411012,-6.581352,1.108505,-1.466066e+05,2.187411e+05,-3.684283e+04,1.005847e+00,1.040544e+04
93,2.087551e+03,6.306729,0.880756,-4.842462,-9.416153e+04,-1.314998e+04,7.229955e+04,5.815197e-01,1.213952e+03
94,2.240997e+04,-5.186367,2.181230,-5.687163,2.537084e+05,-1.067021e+05,2.782065e+05,1.006456e+00,2.255465e+04
95,3.304714e+04,-1.870345,-5.265476,-5.725083,1.111065e+05,3.127918e+05,3.400945e+05,1.006402e+00,3.325871e+04
96,1.316737e+04,1.986786,0.053116,7.749185,-7.449918e+04,-1.991702e+03,-2.905738e+05,9.582799e-01,1.261803e+04
97,3.202325e+02,4.692670,-3.262897,-5.597531,-2.744123e+04,1.908037e+04,3.273257e+04,8.930176e-01,2.859732e+02
98,1.065811e+04,7.980185,0.318147,-0.464153,-2.692179e+05,-1.073294e+04,1.565856e+04,1.004320e+00,1.070416e+04
99,3.763188e+04,-4.827378,-1.370395,6.230444,3.060132e+05,8.687098e+04,-3.949552e+05,9.398323e-01,3.536765e+04
100,5.876374e+04,-4.424523,-4.529245,-4.889738,3.504871e+05,3.587826e+05,3.873390e+05,1.006184e+00,5.912715e+04
101,9.533631e+04,-1.392431,7.228067,3.133078,1.404927e+05,-7.292933e+05,-3.161195e+05,1.006097e+00,9.591761e+04
