i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,1.288779e+04,5.374109,5.834810,1.036315,-2.204051e+05,-2.392995e+05,-4.250177e+04,1.005828e+00,1.296290e+04
1,1.803739e+04,1.312008,6.641518,-4.262496,-6.365744e+04,-3.222405e+05,2.068125e+05,1.006207e+00,1.814935e+04
2,8.627644e+03,7.322249,-3.185409,-0.487684,-2.457065e+05,1.068900e+05,1.636480e+04,1.004920e+00,8.670092e+03
3,3.755129e+04,7.778017,1.716650,-0.745365,-5.445117e+05,-1.201766e+05,5.218037e+04,1.005700e+00,3.776535e+04
4,5.089702e+04,1.665659,0.080629,7.824262,-1.357557e+05,-6.571513e+03,-6.376987e+05,9.964729e-01,5.071750e+04
5,2.396189e+03,-0.671056,-1.599362,-7.809720,1.186712e+04,2.828351e+04,1.381090e+05,1.023840e+00,2.453315e+03
6,4.990071e+04,-6.981656,-1.192689,-3.719406,5.634271e+05,9.625128e+04,3.001600e+05,1.006123e+00,5.020625e+04
7,1.554375e+04,-1.641088,-5.182342,-5.869426,7.391551e+04,2.334156e+05,2.643622e+05,1.006677e+00,1.564753e+04
8,3.361238e+04,6.560286,2.016607,4.110467,-4.345086e+05,-1.335663e+05,-2.722493e+05,1.005961e+00,3.381274e+04
9,4.195287e+04,0.293739,-7.288808,3.284355,-2.173547e+04,5.393408e+05,-2.430283e+05,1.006106e+00,4.220902e+04
10,1.367014e+04,5.563296,-0.612415,-5.716177,-2.349875e+05,2.586771e+04,2.414450e+05,6.771177e-01,9.256295e+03
11,6.930154e+04,2.544165,1.250060,-7.480947,-2.419595e+05,-1.188854e+05,7.114657e+05,1.002250e+00,6.945743e+04
12,1.618708e+02,-7.351896,3.104337,0.559205,3.379167e+04,-1.426853e+04,-2.570287e+03,9.911644e-01,1.604406e+02
13,3.099942e+02,-0.622884,3.947690,6.930206,3.961960e+03,-2.510995e+04,-4.408074e+04,7.504900e-01,2.326476e+02
14,1.719940e+04,1.210798,-0.907235,7.855628,-5.736599e+04,4.298358e+04,-3.721890e+05,9.440387e-01,1.623690e+04
15,8.556788e+02,-6.738847,-0.191557,4.307116,7.121426e+04,2.024325e+03,-4.551640e+04,9.423651e-01,8.063618e+02
16,5.269634e+03,-2.248000,0.085118,7.677190,5.895390e+04,-2.232212e+03,-2.013346e+05,9.591070e-01,5.054142e+03
17,1.516519e+04,6.687549,3.341530,2.847957,-2.975205e+05,-1.486604e+05,-1.267020e+05,1.005777e+00,1.525280e+04
18,9.656306e+04,6.812767,-4.097687,0.891717,-7.648126e+05,4.600132e+05,-1.001056e+05,1.006025e+00,9.714483e+04
19,6.542987e+04,5.027028,1.636314,-6.004287,-4.645424e+05,-1.512100e+05,5.548498e+05,9.983544e-01,6.532220e+04
20,1.301301e+04,4.683261,4.704813,-4.464505,-1.930026e+05,-1.938908e+05,1.839874e+05,1.005534e+00,1.308502e+04
21,2.607236e+04,-4.172353,-4.417639,-5.203454,2.433869e+05,2.576952e+05,3.035343e+05,1.006297e+00,2.623654e+04
22,5.305134e+01,5.020097,-4.229411,4.572822,-1.320950e+04,1.112895e+04,-1.203257e+04,1.048314e+00,5.561445e+01
23,2.670707e+03,-3.708683,-0.310028,-7.081635,6.924028e+04,5.788144e+03,1.322125e+05,1.012865e+00,2.705066e+03
24,3.083767e+04,4.197759,-6.477876,2.101417,-2.663080e+05,4.109598e+05,-1.333149e+05,1.006032e+00,3.102368e+04
25,1.637575e+04,-4.164990,0.851143,6.777051,1.925487e+05,-3.934860e+04,-3.133050e+05,9.554482e-01,1.564618e+04
26,1.046272e+05,-0.746607,-0.360855,7.956907,8.724489e+04,4.216781e+04,-9.298062e+05,8.893240e-01,9.304745e+04
27,3.954787e+04,-5.686856,0.054309,-5.626431,4.085636e+05,-3.901776e+03,4.042225e+05,1.006246e+00,3.979490e+04
28,5.370567e+04,2.946127,-2.414342,-7.035005,-2.466536e+05,2.021319e+05,5.889798e+05,1.004945e+00,5.397127e+04
29,6.256759e+04,0.739100,3.100149,7.337766,-6.678887e+04,-2.801453e+05,-6.630778e+05,1.006449e+00,6.297109e+04
30,4.868891e+04,-1.186670,7.619905,2.128112,9.459557e+04,-6.074221e+05,-1.696428e+05,1.006092e+00,4.898551e+04
