i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,3.721223e+04,5.374109,5.834810,1.036315,-1.558098e+05,-1.691668e+05,-3.004556e+04,1.005522e+00,3.741771e+04
1,4.643572e+05,1.312008,6.641518,-4.262496,-1.343718e+05,-6.802037e+05,4.365516e+05,1.006119e+00,4.671986e+05
2,5.344917e+05,7.322249,-3.185409,-0.487684,-8.045638e+05,3.500106e+05,5.358640e+04,1.005968e+00,5.376817e+05
3,7.392935e+04,7.778017,1.716650,-0.745365,-3.178505e+05,-7.015129e+04,3.045950e+04,1.004872e+00,7.428953e+04
4,5.701408e+04,1.665659,0.080629,7.824262,-5.977543e+04,-2.893542e+03,-2.807889e+05,8.498150e-01,4.845142e+04
5,1.757092e+04,-0.671056,-1.599362,-7.809720,1.336909e+04,3.186321e+04,1.555888e+05,1.021214e+00,1.794367e+04
6,2.189554e+05,-6.981656,-1.192689,-3.719406,4.910003e+05,8.387848e+04,2.615754e+05,1.006139e+00,2.202995e+05
7,1.473824e+05,-1.641088,-5.182342,-5.869426,9.468913e+04,2.990160e+05,3.386601e+05,1.006468e+00,1.483357e+05
8,9.219890e+04,6.560286,2.016607,4.110467,-2.993858e+05,-9.203004e+04,-1.875856e+05,1.005801e+00,9.273377e+04
9,1.494619e+05,0.293739,-7.288808,3.284355,-1.706763e+04,4.235136e+05,-1.908363e+05,1.006122e+00,1.503770e+05
10,1.133018e+04,5.563296,-0.612415,-5.716177,-8.900127e+04,9.797370e+03,9.144705e+04,6.711714e-01,7.604496e+03
11,4.503825e+05,2.544165,1.250060,-7.480947,-2.566147e+05,-1.260861e+05,7.545585e+05,9.998193e-01,4.503011e+05
12,1.479837e+05,-7.351896,3.104337,0.559205,4.250616e+05,-1.794822e+05,-3.233135e+04,1.005999e+00,1.488716e+05
13,1.052642e+05,-0.622884,3.947690,6.930206,3.037338e+04,-1.924992e+05,-3.379341e+05,1.006998e+00,1.060008e+05
14,1.782713e+05,1.210798,-0.907235,7.855628,-7.683482e+04,5.757132e+04,-4.985023e+05,9.748242e-01,1.737832e+05
15,3.520333e+05,-6.738847,-0.191557,4.307116,6.009287e+05,1.708190e+04,-3.840820e+05,1.004572e+00,3.536426e+05
16,1.253780e+05,-2.248000,0.085118,7.677190,1.196334e+05,-4.529762e+03,-4.085625e+05,1.006151e+00,1.261492e+05
17,2.322998e+04,6.687549,3.341530,2.847957,-1.531923e+05,-7.654475e+04,-6.523841e+04,1.004820e+00,2.334195e+04
18,3.750749e+05,6.812767,-4.097687,0.891717,-6.270874e+05,3.771754e+05,-8.207891e+04,1.005988e+00,3.773208e+05
19,4.344714e+04,5.027028,1.636314,-6.004287,-1.574844e+05,-5.126167e+04,1.880995e+05,9.696970e-01,4.213056e+04
20,3.240950e+05,4.683261,4.704813,-4.464505,-4.007098e+05,-4.025539e+05,3.819926e+05,1.005969e+00,3.260293e+05
21,2.225376e+04,-4.172353,-4.417639,-5.203454,9.354667e+04,9.904614e+04,1.166646e+05,1.007760e+00,2.242645e+04
22,1.608467e+05,5.020097,-4.229411,4.572822,-3.025964e+05,2.549362e+05,-2.756360e+05,1.006029e+00,1.618164e+05
23,2.808148e+04,-3.708683,-0.310028,-7.081635,9.340611e+04,7.808288e+03,1.783566e+05,1.010083e+00,2.836462e+04
24,1.488373e+05,4.197759,-6.477876,2.101417,-2.433990e+05,3.756073e+05,-1.218466e+05,1.006017e+00,1.497328e+05
25,7.730910e+04,-4.164990,0.851143,6.777051,1.740503e+05,-3.556834e+04,-2.832054e+05,9.645387e-01,7.456762e+04
26,3.313893e+05,-0.746607,-0.360855,7.956907,6.459614e+04,3.122106e+04,-6.884288e+05,8.901820e-01,2.949968e+05
27,1.776671e+04,-5.686856,0.054309,-5.626431,1.139256e+05,-1.087988e+03,1.127151e+05,1.008274e+00,1.791371e+04
28,3.885462e+04,2.946127,-2.414342,-7.035005,-8.728073e+04,7.152628e+04,2.084161e+05,9.947327e-01,3.864997e+04
29,3.858051e+04,0.739100,3.100149,7.337766,-2.181890e+04,-9.151917e+04,-2.166174e+05,1.005448e+00,3.879069e+04
30,3.751776e+05,-1.186670,7.619905,2.128112,1.092431e+05,-7.014772e+05,-1.959108e+05,1.006091e+00,3.774627e+05
31,7.753004e+03,-1.367523,-5.301197,5.833283,1.809736e+04,7.015433e+04,-7.719579e+04,1.013398e+00,7.856880e+03
32,4.081571e+05,-2.925177,6.474259,-3.677949,2.808739e+05,-6.216548e+05,3.531546e+05,1.006120e+00,4.106550e+05
33,1.291539e+04,-3.138961,-6.819774,2.763622,5.361487e+04,1.164848e+05,-4.720392e+04,1.006750e+00,1.300257e+04
34,7.682210e+04,2.239337,2.983805,-7.076883,-9.328419e+04,-1.242965e+05,2.948022e+05,1.007414e+00,7.739165e+04
