i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,4.409687e+04,5.374109,5.834810,1.036315,-2.805955e+05,-3.046499e+05,-5.410858e+04,1.005907e+00,4.435733e+04
1,4.368409e+04,1.312008,6.641518,-4.262496,-6.818180e+04,-3.451433e+05,2.215114e+05,1.006206e+00,4.395519e+04
2,6.146639e+03,7.322249,-3.185409,-0.487684,-1.427361e+05,6.209469e+04,9.506658e+03,1.002197e+00,6.160143e+03
3,5.983421e+04,7.778017,1.716650,-0.745365,-4.730576e+05,-1.044063e+05,4.533295e+04,1.005506e+00,6.016369e+04
4,2.163206e+04,1.665659,0.080629,7.824262,-6.091237e+04,-2.948578e+03,-2.861296e+05,8.481046e-01,1.834625e+04
5,3.608110e+04,-0.671056,-1.599362,-7.809720,3.169343e+04,7.553654e+04,3.688466e+05,1.007067e+00,3.633610e+04
6,2.412608e+04,-6.981656,-1.192689,-3.719406,2.696325e+05,4.606181e+04,1.436439e+05,1.006271e+00,2.427738e+04
7,1.365568e+05,-1.641088,-5.182342,-5.869426,1.507853e+05,4.761603e+05,5.392904e+05,1.006241e+00,1.374090e+05
8,9.310719e+04,6.560286,2.016607,4.110467,-4.977197e+05,-1.529971e+05,-3.118553e+05,1.005978e+00,9.366379e+04
9,1.942756e+04,0.293739,-7.288808,3.284355,-1.017986e+04,2.526016e+05,-1.138229e+05,1.006209e+00,1.954819e+04
10,5.860923e+03,5.563296,-0.612415,-5.716177,-1.058975e+05,1.165732e+04,1.088076e+05,6.695780e-01,3.924345e+03
11,1.447896e+05,2.544165,1.250060,-7.480947,-2.407046e+05,-1.182688e+05,7.077757e+05,1.017022e+00,1.472542e+05
12,4.039187e+04,-7.351896,3.104337,0.559205,3.673811e+05,-1.551266e+05,-2.794401e+04,1.005963e+00,4.063274e+04
13,1.805635e+04,-0.622884,3.947690,6.930206,2.081099e+04,-1.318950e+05,-2.315430e+05,1.007574e+00,1.819312e+04
14,1.326969e+05,1.210798,-0.907235,7.855628,-1.096661e+05,8.217140e+04,-7.115110e+05,9.964406e-01,1.322245e+05
15,1.263784e+05,-6.738847,-0.191557,4.307116,5.956517e+05,1.693190e+04,-3.807091e+05,1.004450e+00,1.269408e+05
16,5.814974e+04,-2.248000,0.085118,7.677190,1.347847e+05,-5.103446e+03,-4.603060e+05,1.006314e+00,5.851691e+04
17,4.577694e+03,6.687549,3.341530,2.847957,-1.125021e+05,-5.621332e+04,-4.791011e+04,1.003607e+00,4.594205e+03
18,4.599104e+04,6.812767,-4.097687,0.891717,-3.632709e+05,2.184972e+05,-4.754820e+04,1.005779e+00,4.625682e+04
19,9.718773e+04,5.027028,1.636314,-6.004287,-3.896615e+05,-1.268361e+05,4.654120e+05,9.925480e-01,9.646348e+04
20,1.566242e+05,4.683261,4.704813,-4.464505,-4.608378e+05,-4.629586e+05,4.393120e+05,1.005994e+00,1.575630e+05
21,2.823496e+04,-4.172353,-4.417639,-5.203454,1.743191e+05,1.845671e+05,2.173981e+05,1.006565e+00,2.842032e+04
22,4.171675e+03,5.020097,-4.229411,4.572822,-8.061907e+04,6.792124e+04,-7.343617e+04,1.005511e+00,4.194666e+03
23,2.030489e+05,-3.708683,-0.310028,-7.081635,4.155186e+05,3.473529e+04,7.934220e+05,1.006296e+00,2.043273e+05
24,6.846735e+04,4.197759,-6.477876,2.101417,-2.731050e+05,4.214488e+05,-1.367176e+05,1.006028e+00,6.888006e+04
25,1.753839e+05,-4.164990,0.851143,6.777051,4.336898e+05,-8.862740e+04,-7.056770e+05,9.662605e-01,1.694665e+05
26,5.407094e+04,-0.746607,-0.360855,7.956907,4.316623e+04,2.086341e+04,-4.600411e+05,9.154193e-01,4.949758e+04
27,6.439836e+04,-5.686856,0.054309,-5.626431,3.588228e+05,-3.426752e+03,3.550102e+05,1.006322e+00,6.480548e+04
28,2.726151e+03,2.946127,-2.414342,-7.035005,-3.824695e+04,3.134325e+04,9.132921e+04,9.302588e-01,2.536026e+03
29,5.880278e+04,0.739100,3.100149,7.337766,-4.456283e+04,-1.869183e+05,-4.424184e+05,1.006859e+00,5.920613e+04
30,1.066273e+05,-1.186670,7.619905,2.128112,9.634616e+04,-6.186630e+05,-1.727822e+05,1.006092e+00,1.072769e+05
31,1.346891e+03,-1.367523,-5.301197,5.833283,1.247875e+04,4.837383e+04,-5.322916e+04,1.020387e+00,1.374350e+03
32,1.308003e+04,-2.925177,6.474259,-3.677949,8.318152e+04,-1.841047e+05,1.045877e+05,1.006444e+00,1.316432e+04
33,2.808337e+03,-3.138961,-6.819774,2.763622,4.136004e+04,8.985970e+04,-3.641445e+04,1.007441e+00,2.829234e+03
34,3.702603e+03,2.239337,2.983805,-7.076883,-3.388000e+04,-4.514341e+04,1.070696e+05,1.017985e+00,3.769194e+03
35,1.319411e+03,3.450468,-0.992849,7.149023,-3.116294e+04,8.966930e+03,-6.456649e+04,9.949343e-01,1.312727e+03
36,1.281399e+05,-6.581989,4.248959,-1.619805,5.858275e+05,-3.781770e+05,1.441701e+05,1.006087e+00,1.289199e+05
37,6.512572e+02,-0.972814,0.070325,-7.940320,6.172722e+03,-4.462307e+02,5.038308e+04,1.509884e+00,9.833230e+02
38,1.198116e+04,2.281723,6.986139,-3.160317,-6.209874e+04,-1.901328e+05,8.601032e+04,1.006065e+00,1.205383e+04
39,1.085607e+05,-2.697425,-3.774866,-6.517230,2.209816e+05,3.092490e+05,5.339122e+05,1.006371e+00,1.092524e+05
40,5.989134e+03,-4.715940,0.703502,6.423783,9.074459e+04,-1.353686e+04,-1.236071e+05,9.124893e-01,5.465021e+03
41,1.585527e+04,2.814009,-1.999630,7.216844,-8.810138e+04,6.260470e+04,-2.259459e+05,1.007249e+00,1.597020e+04
42,1.168186e+04,-2.377674,1.502366,-7.489297,6.389673e+04,-4.037403e+04,2.012646e+05,1.011214e+00,1.181287e+04
43,1.690006e+05,3.823259,6.212548,3.284347,-3.907943e+05,-6.350154e+05,-3.357095e+05,1.006069e+00,1.700263e+05
44,5.795355e+04,5.234348,5.945433,1.119563,-3.133091e+05,-3.558721e+05,-6.701301e+04,1.005958e+00,5.829885e+04
45,2.493199e+04,-1.628092,0.503105,-7.816406,6.391868e+04,-1.975184e+04,3.068711e+05,1.013478e+00,2.526802e+04
46,2.399259e+02,0.489114,2.204324,-7.674746,-1.883732e+03,-8.489544e+03,2.955786e+04,1.370136e+00,3.287312e+02
47,1.040654e+05,5.131721,-6.135392,-0.149679,-4.116107e+05,4.921143e+05,1.200560e+04,1.006015e+00,1.046913e+05
48,3.195997e+04,3.271781,-7.238734,0.946664,-1.454313e+05,3.217631e+05,-4.207938e+04,1.006002e+00,3.215180e+04
49,2.042225e+05,-2.812900,-3.100667,-6.817144,3.160651e+05,3.483993e+05,7.659929e+05,1.006269e+00,2.055027e+05
