i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,8.075683e+04,5.374109,5.834810,1.036315,-2.211817e+05,-2.401428e+05,-4.265153e+04,1.005807e+00,8.122574e+04
1,2.746125e+05,1.312008,6.641518,-4.262496,-9.957487e+04,-5.040582e+05,3.235023e+05,1.006144e+00,2.762998e+05
2,4.673340e+05,7.322249,-3.185409,-0.487684,-7.249556e+05,3.153785e+05,4.828425e+04,1.005939e+00,4.701098e+05
3,9.579372e+03,7.778017,1.716650,-0.745365,-1.102530e+05,-2.433343e+04,1.056551e+04,9.962507e-01,9.543456e+03
4,2.773735e+05,1.665659,0.080629,7.824262,-1.270492e+05,-6.150054e+03,-5.968004e+05,9.886170e-01,2.742162e+05
5,1.271974e+05,-0.671056,-1.599362,-7.809720,3.466181e+04,8.261124e+04,4.033924e+05,1.004518e+00,1.277721e+05
6,1.025887e+03,-6.981656,-1.192689,-3.719406,3.238631e+04,5.532612e+03,1.725347e+04,1.016254e+00,1.042562e+03
7,2.594560e+05,-1.641088,-5.182342,-5.869426,1.210645e+05,3.823060e+05,4.329928e+05,1.006319e+00,2.610955e+05
8,2.609526e+05,6.560286,2.016607,4.110467,-4.853520e+05,-1.491953e+05,-3.041062e+05,1.005977e+00,2.625123e+05
9,3.223908e+05,0.293739,-7.288808,3.284355,-2.415499e+04,5.993783e+05,-2.700814e+05,1.006103e+00,3.243584e+05
10,3.984485e+05,5.563296,-0.612415,-5.716177,-5.085943e+05,5.598669e+04,5.225706e+05,7.138992e-01,2.844521e+05
11,2.355419e+05,2.544165,1.250060,-7.480947,-1.788268e+05,-8.786549e+04,5.258283e+05,1.757997e+00,4.140819e+05
12,4.878626e+05,-7.351896,3.104337,0.559205,7.437061e+05,-3.140298e+05,-5.656832e+04,1.006058e+00,4.908179e+05
13,6.653611e+04,-0.622884,3.947690,6.930206,2.326961e+04,-1.474772e+05,-2.588976e+05,1.007411e+00,6.702923e+04
14,1.306554e+04,1.210798,-0.907235,7.855628,-2.004420e+04,1.501885e+04,-1.300462e+05,9.365887e-01,1.223704e+04
15,2.166130e+05,-6.738847,-0.191557,4.307116,4.542355e+05,1.291202e+04,-2.903234e+05,1.003255e+00,2.173180e+05
16,5.564913e+05,-2.248000,0.085118,7.677190,2.428727e+05,-9.196055e+03,-8.294394e+05,1.006319e+00,5.600077e+05
17,4.307742e+05,6.687549,3.341530,2.847957,-6.356895e+05,-3.176314e+05,-2.707144e+05,1.006013e+00,4.333642e+05
18,3.373606e+05,6.812767,-4.097687,0.891717,-5.730915e+05,3.446984e+05,-7.501143e+04,1.005967e+00,3.393737e+05
19,2.378058e+05,5.027028,1.636314,-6.004287,-3.550387e+05,-1.155662e+05,4.240585e+05,9.899475e-01,2.354152e+05
20,1.979585e+05,4.683261,4.704813,-4.464505,-3.017787e+05,-3.031675e+05,2.876826e+05,1.005864e+00,1.991193e+05
21,5.761138e+04,-4.172353,-4.417639,-5.203454,1.450402e+05,1.535669e+05,1.808835e+05,1.006759e+00,5.800080e+04
22,3.537485e+05,5.020097,-4.229411,4.572822,-4.324268e+05,3.643178e+05,-3.938990e+05,1.006057e+00,3.558911e+05
23,3.314181e+05,-3.708683,-0.310028,-7.081635,3.092153e+05,2.584887e+04,5.904387e+05,1.006451e+00,3.335560e+05
