i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,1.175072e+05,5.374109,5.834810,1.036315,-4.075495e+05,-4.424870e+05,-7.858971e+04,1.005992e+00,1.182113e+05
1,4.881598e+04,1.312008,6.641518,-4.262496,-6.412967e+04,-3.246310e+05,2.083467e+05,1.006233e+00,4.912023e+04
2,1.448073e+05,7.322249,-3.185409,-0.487684,-6.164265e+05,2.681649e+05,4.105588e+04,1.005851e+00,1.456545e+05
3,1.067003e+04,7.778017,1.716650,-0.745365,-1.777433e+05,-3.922890e+04,1.703308e+04,1.001601e+00,1.068712e+04
4,1.556183e+03,1.665659,0.080629,7.824262,-1.453644e+04,-7.036637e+02,-6.828342e+04,7.532054e-01,1.172125e+03
5,3.753766e+04,-0.671056,-1.599362,-7.809720,2.876300e+04,6.855230e+04,3.347423e+05,1.012841e+00,3.801970e+04
6,1.475419e+05,-6.981656,-1.192689,-3.719406,5.932773e+05,1.013506e+05,3.160624e+05,1.006128e+00,1.484461e+05
7,4.162545e+02,-1.641088,-5.182342,-5.869426,7.407179e+03,2.339091e+04,2.649212e+04,1.190598e+00,4.955917e+02
8,2.927720e+03,6.560286,2.016607,4.110467,-7.852884e+04,-2.413946e+04,-4.920368e+04,1.001208e+00,2.931258e+03
9,1.537818e+05,0.293739,-7.288808,3.284355,-2.548334e+04,6.323399e+05,-2.849340e+05,1.006104e+00,1.547205e+05
10,1.993926e+05,5.563296,-0.612415,-5.716177,-5.495767e+05,6.049808e+04,5.646792e+05,7.140434e-01,1.423750e+05
11,4.064578e+04,2.544165,1.250060,-7.480947,-1.134736e+05,-5.575455e+04,3.336614e+05,1.263618e+00,5.136073e+04
12,5.176801e+02,-7.351896,3.104337,0.559205,3.700596e+04,-1.562576e+04,-2.814775e+03,9.902940e-01,5.126555e+02
13,8.640621e+03,-0.622884,3.947690,6.930206,1.280918e+04,-8.118151e+04,-1.425149e+05,1.004551e+00,8.679941e+03
14,5.657239e+04,1.210798,-0.907235,7.855628,-6.371119e+04,4.773795e+04,-4.133565e+05,9.422666e-01,5.330628e+04
15,9.729815e+04,-6.738847,-0.191557,4.307116,4.650284e+05,1.321882e+04,-2.972216e+05,1.002931e+00,9.758332e+04
16,4.802205e+02,-2.248000,0.085118,7.677190,1.089829e+04,-4.126494e+02,-3.721896e+04,1.690767e-01,8.119412e+01
17,1.574590e+05,6.687549,3.341530,2.847957,-5.870734e+05,-2.933397e+05,-2.500108e+05,1.005986e+00,1.584016e+05
18,1.445508e+05,6.812767,-4.097687,0.891717,-5.730273e+05,3.446598e+05,-7.500303e+04,1.005948e+00,1.454106e+05
19,2.280444e+05,5.027028,1.636314,-6.004287,-5.310833e+05,-1.728693e+05,6.343263e+05,9.986338e-01,2.277328e+05
20,4.992351e+04,4.683261,4.704813,-4.464505,-2.314955e+05,-2.325608e+05,2.206823e+05,1.005609e+00,5.020353e+04
21,7.431882e+04,-4.172353,-4.417639,-5.203454,2.516356e+05,2.664289e+05,3.138215e+05,1.006337e+00,7.478979e+04
22,1.283664e+05,5.020097,-4.229411,4.572822,-3.979049e+05,3.352333e+05,-3.624529e+05,1.006046e+00,1.291425e+05
23,1.002102e+05,-3.708683,-0.310028,-7.081635,2.597271e+05,2.171190e+04,4.959422e+05,1.006686e+00,1.008802e+05
24,9.655540e+04,4.197759,-6.477876,2.101417,-2.885674e+05,4.453100e+05,-1.444581e+05,1.006028e+00,9.713742e+04
25,1.976896e+05,-4.164990,0.851143,6.777051,4.096825e+05,-8.372135e+04,-6.666137e+05,9.619561e-01,1.901687e+05
26,4.393118e+04,-0.746607,-0.360855,7.956907,3.461942e+04,1.673250e+04,-3.689540e+05,9.377560e-01,4.119673e+04
27,9.821101e+04,-5.686856,0.054309,-5.626431,3.942701e+05,-3.765273e+03,3.900809e+05,1.006304e+00,9.883011e+04
28,3.866323e+02,2.946127,-2.414342,-7.035005,-1.281569e+04,1.050242e+04,3.060237e+04,5.723228e-01,2.212785e+02
29,1.073259e+04,0.739100,3.100149,7.337766,-1.693937e+04,-7.105202e+04,-1.681736e+05,9.951354e-01,1.068038e+04
30,1.493471e+04,-1.186670,7.619905,2.128112,3.208262e+04,-2.060106e+05,-5.753530e+04,1.006093e+00,1.502570e+04
31,8.395311e+04,-1.367523,-5.301197,5.833283,8.765862e+04,3.398082e+05,-3.739152e+05,1.006441e+00,8.449385e+04
32,1.012419e+05,-2.925177,6.474259,-3.677949,2.059083e+05,-4.557345e+05,2.588973e+05,1.006158e+00,1.018654e+05
33,5.618610e+04,-3.138961,-6.819774,2.763622,1.646046e+05,3.576234e+05,-1.449221e+05,1.006143e+00,5.653124e+04
34,1.869448e+05,2.239337,2.983805,-7.076883,-2.141991e+05,-2.854097e+05,6.769247e+05,1.006316e+00,1.881256e+05
35,8.487530e+04,3.450468,-0.992849,7.149023,-2.223874e+05,6.399051e+04,-4.607644e+05,1.006519e+00,8.542861e+04
36,1.018531e+05,-6.581989,4.248959,-1.619805,4.647140e+05,-2.999930e+05,1.143645e+05,1.006087e+00,1.024731e+05
37,4.862792e+04,-0.972814,0.070325,-7.940320,4.745855e+04,-3.430814e+03,3.873669e+05,1.256832e+00,6.111712e+04
38,1.912818e+05,2.281723,6.986139,-3.160317,-2.207706e+05,-6.759516e+05,3.057800e+05,1.006093e+00,1.924472e+05
39,1.801374e+03,-2.697425,-3.774866,-6.517230,2.532753e+04,3.544419e+04,6.119367e+04,1.036984e+00,1.867996e+03
40,1.672075e+05,-4.715940,0.703502,6.423783,4.266166e+05,-6.364068e+04,-5.811126e+05,9.203137e-01,1.538833e+05
41,6.793419e+04,2.814009,-1.999630,7.216844,-1.622599e+05,1.153016e+05,-4.161339e+05,1.006711e+00,6.839009e+04
42,2.324921e+05,-2.377674,1.502366,-7.489297,2.536284e+05,-1.602586e+05,7.988895e+05,1.006446e+00,2.339908e+05
43,2.126567e+05,3.823259,6.212548,3.284347,-3.900451e+05,-6.337981e+05,-3.350659e+05,1.006067e+00,2.139469e+05
44,1.036323e+05,5.234348,5.945433,1.119563,-3.727792e+05,-4.234212e+05,-7.973294e+04,1.005986e+00,1.042526e+05
45,3.696512e+04,-1.628092,0.503105,-7.816406,6.924948e+04,-2.139914e+04,3.324641e+05,1.012316e+00,3.742038e+04
46,5.930931e+03,0.489114,2.204324,-7.674746,-8.333224e+03,-3.755592e+04,1.307576e+05,1.023443e+00,6.069969e+03
47,9.693537e+03,5.131721,-6.135392,-0.149679,-1.117753e+05,1.336365e+05,3.260189e+03,1.005109e+00,9.743059e+03
48,5.080218e+04,3.271781,-7.238734,0.946664,-1.631425e+05,3.609486e+05,-4.720397e+04,1.006011e+00,5.110756e+04
49,1.775152e+05,-2.812900,-3.100667,-6.817144,2.621886e+05,2.890111e+05,6.354215e+05,1.006383e+00,1.786484e+05
50,1.132972e-02,-0.337736,-1.090672,-7.918104,7.952960e+00,2.568297e+01,1.864543e+02,4.490780e-11,5.087928e-13
51,1.187505e+05,-1.954198,7.749167,-0.362658,1.489800e+05,-5.907643e+05,2.764757e+04,1.006092e+00,1.194739e+05
52,7.267757e+04,-2.594361,1.555754,-7.406006,1.547292e+05,-9.278606e+04,4.416984e+05,1.007154e+00,7.319750e+04
53,1.335468e+04,-0.791048,-6.182939,-5.014530,2.022371e+04,1.580714e+05,1.282002e+05,1.007664e+00,1.345704e+04
54,4.457426e+04,-0.129343,-0.461785,7.985614,6.041248e+03,2.156866e+04,-3.729855e+05,6.610153e-01,2.946427e+04
55,1.368453e+05,-1.607058,-0.254403,7.832793,1.315188e+05,2.081987e+04,-6.410224e+05,9.952461e-01,1.361948e+05
56,2.535878e+04,-6.710662,0.466956,-4.330008,2.364129e+05,-1.645059e+04,1.525438e+05,1.006449e+00,2.552233e+04
57,5.637214e+04,2.346184,-1.355214,-7.527205,-1.232355e+05,7.118389e+04,3.953735e+05,9.931517e-01,5.598609e+04
58,6.726473e+04,0.171423,0.205094,-7.995533,-9.835670e+03,-1.176759e+04,4.587570e+05,1.068330e+00,7.186089e+04
59,1.669081e+05,-7.536317,2.658624,-0.368302,6.811447e+05,-2.402908e+05,3.328775e+04,1.006058e+00,1.679192e+05
