i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,1.898907e+05,5.374109,5.834810,1.036315,-5.292266e+05,-5.745950e+05,-1.020533e+05,1.006035e+00,1.910368e+05
1,9.102697e+04,1.312008,6.641518,-4.262496,-8.945502e+04,-4.528305e+05,2.906246e+05,1.006161e+00,9.158778e+04
2,1.631388e+04,7.322249,-3.185409,-0.487684,-2.113520e+05,9.194479e+04,1.407669e+04,1.004265e+00,1.638346e+04
3,1.071780e+05,7.778017,1.716650,-0.745365,-5.754466e+05,-1.270041e+05,5.514485e+04,1.005686e+00,1.077875e+05
4,1.782725e+04,1.665659,0.080629,7.824262,-5.025874e+04,-2.432869e+03,-2.360853e+05,7.962877e-01,1.419562e+04
5,1.409911e+05,-0.671056,-1.599362,-7.809720,5.694271e+04,1.357144e+05,6.626964e+05,1.005568e+00,1.417762e+05
6,1.017715e+05,-6.981656,-1.192689,-3.719406,5.033323e+05,8.598517e+04,2.681451e+05,1.006140e+00,1.023964e+05
7,1.240070e+05,-1.641088,-5.182342,-5.869426,1.305985e+05,4.124132e+05,4.670916e+05,1.006298e+00,1.247880e+05
8,1.114417e+04,6.560286,2.016607,4.110467,-1.565056e+05,-4.810922e+04,-9.806145e+04,1.004959e+00,1.119943e+04
9,2.959076e+04,0.293739,-7.288808,3.284355,-1.141888e+04,2.833465e+05,-1.276767e+05,1.006183e+00,2.977371e+04
10,3.948793e+04,5.563296,-0.612415,-5.716177,-2.498318e+05,2.750179e+04,2.566972e+05,6.765945e-01,2.671731e+04
11,2.951036e+04,2.544165,1.250060,-7.480947,-9.876790e+04,-4.852902e+04,2.904204e+05,1.305379e+00,3.852219e+04
12,2.756686e+04,-7.351896,3.104337,0.559205,2.758521e+05,-1.164785e+05,-2.098207e+04,1.005862e+00,2.772847e+04
13,1.649131e+05,-0.622884,3.947690,6.930206,5.716342e+04,-3.622880e+05,-6.359999e+05,1.006402e+00,1.659689e+05
