i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,8.124623e+04,5.374109,5.834810,1.036315,-3.082878e+05,-3.347160e+05,-5.944860e+04,1.005909e+00,8.172629e+04
1,5.000336e+02,1.312008,6.641518,-4.262496,-5.904514e+03,-2.988926e+04,1.918279e+04,9.904719e-01,4.952692e+02
2,1.985138e+05,7.322249,-3.185409,-0.487684,-6.565806e+05,2.856333e+05,4.373027e+04,1.005864e+00,1.996779e+05
3,3.558586e+03,7.778017,1.716650,-0.745365,-9.338042e+04,-2.060956e+04,8.948613e+03,9.894809e-01,3.521153e+03
4,1.046105e+05,1.665659,0.080629,7.824262,-1.084231e+05,-5.248427e+03,-5.093066e+05,9.414253e-01,9.848299e+04
5,4.053039e+04,-0.671056,-1.599362,-7.809720,2.718927e+04,6.480155e+04,3.164274e+05,1.015789e+00,4.117032e+04
6,1.595734e+05,-6.981656,-1.192689,-3.719406,5.612894e+05,9.588609e+04,2.990212e+05,1.006137e+00,1.605526e+05
7,1.507239e+05,-1.641088,-5.182342,-5.869426,1.282245e+05,4.049164e+05,4.586010e+05,1.006345e+00,1.516802e+05
8,1.308763e+05,6.560286,2.016607,4.110467,-4.776410e+05,-1.468250e+05,-2.992747e+05,1.005946e+00,1.316545e+05
9,2.711811e+05,0.293739,-7.288808,3.284355,-3.078507e+04,7.638963e+05,-3.442136e+05,1.006099e+00,2.728350e+05
10,2.666915e+05,5.563296,-0.612415,-5.716177,-5.782092e+05,6.364998e+04,5.940985e+05,7.147504e-01,1.906179e+05
11,6.229366e+04,2.544165,1.250060,-7.480947,-1.277955e+05,-6.279154e+04,3.757740e+05,1.260343e+00,7.851137e+04
12,1.004635e+05,-7.351896,3.104337,0.559205,4.689773e+05,-1.980256e+05,-3.567170e+04,1.005997e+00,1.010660e+05
13,1.359201e+05,-0.622884,3.947690,6.930206,4.621653e+04,-2.929092e+05,-5.142049e+05,1.006628e+00,1.368210e+05
14,8.048939e+04,1.210798,-0.907235,7.855628,-6.913363e+04,5.180092e+04,-4.485372e+05,9.487880e-01,7.636737e+04
15,8.052628e+03,-6.738847,-0.191557,4.307116,1.217034e+05,3.459521e+03,-7.778638e+04,9.670989e-01,7.787687e+03
16,8.112248e+04,-2.248000,0.085118,7.677190,1.288591e+05,-4.879081e+03,-4.400693e+05,1.006040e+00,8.161244e+04
17,1.943807e+04,6.687549,3.341530,2.847957,-1.876471e+05,-9.376056e+04,-7.991130e+04,1.005027e+00,1.953579e+04
18,5.534597e+04,6.812767,-4.097687,0.891717,-3.225632e+05,1.940126e+05,-4.222000e+04,1.005623e+00,5.565716e+04
19,5.412906e+02,5.027028,1.636314,-6.004287,-2.353828e+04,-7.661786e+03,2.811415e+04,3.286650e-01,1.779033e+02
20,2.856944e+04,4.683261,4.704813,-4.464505,-1.593116e+05,-1.600447e+05,1.518701e+05,1.004863e+00,2.870837e+04
21,3.234315e+05,-4.172353,-4.417639,-5.203454,4.775517e+05,5.056262e+05,5.955676e+05,1.006159e+00,3.254234e+05
22,1.642674e+05,5.020097,-4.229411,4.572822,-4.094831e+05,3.449879e+05,-3.729995e+05,1.006046e+00,1.652605e+05
23,2.290293e+05,-3.708683,-0.310028,-7.081635,3.572016e+05,2.986029e+04,6.820673e+05,1.006425e+00,2.305008e+05
24,1.016241e+05,4.197759,-6.477876,2.101417,-2.693172e+05,4.156035e+05,-1.348214e+05,1.006015e+00,1.022354e+05
25,1.942094e+05,-4.164990,0.851143,6.777051,3.694003e+05,-7.548941e+04,-6.010685e+05,9.572365e-01,1.859043e+05
26,4.918909e+04,-0.746607,-0.360855,7.956907,3.332533e+04,1.610703e+04,-3.551623e+05,9.323884e-01,4.586334e+04
27,2.007931e+05,-5.686856,0.054309,-5.626431,5.128552e+05,-4.897759e+03,5.074060e+05,1.006224e+00,2.020428e+05
28,3.015520e+04,2.946127,-2.414342,-7.035005,-1.029629e+05,8.437777e+04,2.458633e+05,9.955330e-01,3.002050e+04
29,1.644428e+05,0.739100,3.100149,7.337766,-6.031969e+04,-2.530103e+05,-5.988520e+05,1.006649e+00,1.655362e+05
30,9.991070e+04,-1.186670,7.619905,2.128112,7.548906e+04,-4.847343e+05,-1.353782e+05,1.006096e+00,1.005197e+05
31,1.352004e+04,-1.367523,-5.301197,5.833283,3.200161e+04,1.240541e+05,-1.365055e+05,1.009092e+00,1.364295e+04
32,2.582612e+05,-2.925177,6.474259,-3.677949,2.991782e+05,-6.621676e+05,3.761694e+05,1.006123e+00,2.598427e+05
33,8.420518e+04,-3.138961,-6.819774,2.763622,1.833173e+05,3.982792e+05,-1.613973e+05,1.006134e+00,8.472171e+04
34,8.590571e+01,2.239337,2.983805,-7.076883,-4.177136e+03,-5.565826e+03,1.320083e+04,1.907442e-01,1.638601e+01
35,1.461439e+04,3.450468,-0.992849,7.149023,-8.394919e+04,2.415582e+04,-1.739343e+05,1.006929e+00,1.471566e+04
36,3.138616e+03,-6.581989,4.248959,-1.619805,7.421205e+04,-4.790709e+04,1.826333e+04,1.005694e+00,3.156486e+03
37,8.073816e+04,-0.972814,0.070325,-7.940320,5.563110e+04,-4.021614e+03,4.540730e+05,1.207683e+00,9.750614e+04
38,5.721656e+04,2.281723,6.986139,-3.160317,-1.098429e+05,-3.363150e+05,1.521387e+05,1.006098e+00,5.756545e+04
39,1.003928e+05,-2.697425,-3.774866,-6.517230,1.720081e+05,2.407138e+05,4.155876e+05,1.006655e+00,1.010609e+05
40,1.861839e+05,-4.715940,0.703502,6.423783,4.095317e+05,-6.109204e+04,-5.578406e+05,9.183168e-01,1.709758e+05
41,1.786795e+05,2.814009,-1.999630,7.216844,-2.393928e+05,1.701121e+05,-6.139498e+05,1.006430e+00,1.798284e+05
42,1.931550e+05,-2.377674,1.502366,-7.489297,2.103068e+05,-1.328853e+05,6.624334e+05,1.006646e+00,1.944388e+05
43,2.176091e+03,3.823259,6.212548,3.284347,-3.589388e+04,-5.832523e+04,-3.083442e+04,1.002132e+00,2.180730e+03
44,2.160312e+05,5.234348,5.945433,1.119563,-4.896311e+05,-5.561474e+05,-1.047261e+05,1.006024e+00,2.173326e+05
45,1.768658e+04,-1.628092,0.503105,-7.816406,4.357616e+04,-1.346569e+04,2.092075e+05,1.016807e+00,1.798383e+04
46,6.932845e+04,0.489114,2.204324,-7.674746,-2.591875e+04,-1.168098e+05,4.066942e+05,1.008106e+00,6.989043e+04
47,1.058998e+05,5.131721,-6.135392,-0.149679,-3.360925e+05,4.018261e+05,9.802930e+03,1.005960e+00,1.065309e+05
48,8.231984e+03,3.271781,-7.238734,0.946664,-5.974268e+04,1.321792e+05,-1.728607e+04,1.005634e+00,8.278366e+03
49,1.696999e+05,-2.812900,-3.100667,-6.817144,2.332080e+05,2.570657e+05,5.651862e+05,1.006490e+00,1.708012e+05
50,7.779071e+04,-0.337736,-1.090672,-7.918104,1.895788e+04,6.122180e+04,4.444606e+05,1.035757e+00,8.057231e+04
51,2.714078e+05,-1.954198,7.749167,-0.362658,2.048934e+05,-8.124832e+05,3.802394e+04,1.006090e+00,2.730606e+05
52,3.111915e+04,-2.594361,1.555754,-7.406006,9.210697e+04,-5.523356e+04,2.629336e+05,1.009306e+00,3.140874e+04
53,2.108752e+05,-0.791048,-6.182939,-5.014530,7.310778e+04,5.714207e+05,4.634376e+05,1.006197e+00,2.121820e+05
54,2.111935e+05,-0.129343,-0.461785,7.985614,1.196276e+04,4.270984e+04,-7.385787e+05,9.027301e-01,1.906507e+05
55,1.767638e+05,-1.607058,-0.254403,7.832793,1.359804e+05,2.152615e+04,-6.627680e+05,9.952168e-01,1.759183e+05
56,1.401144e+05,-6.710662,0.466956,-4.330008,5.055394e+05,-3.517753e+04,3.261958e+05,1.006172e+00,1.409792e+05
57,1.584633e+05,2.346184,-1.355214,-7.527205,-1.879639e+05,1.085726e+05,6.030402e+05,1.000033e+00,1.584685e+05
58,8.243533e+04,0.171423,0.205094,-7.995533,-9.905436e+03,-1.185105e+04,4.620110e+05,1.079629e+00,8.899960e+04
59,5.453448e+04,-7.536317,2.658624,-0.368302,3.541954e+05,-1.249513e+05,1.730964e+04,1.005974e+00,5.486025e+04
60,1.306595e+05,-4.242505,1.688195,-6.568953,3.086320e+05,-1.228121e+05,4.778755e+05,1.006486e+00,1.315069e+05
61,1.778547e+05,0.888879,3.604421,7.086469,-7.544377e+04,-3.059261e+05,-6.014656e+05,1.006527e+00,1.790156e+05
62,2.585324e+05,-0.016447,-0.014750,7.999969,1.682995e+03,1.509330e+03,-8.186421e+05,0.000000e+00,0.000000e+00
63,1.291134e+05,-1.097702,-7.655947,2.044880,7.938134e+04,5.536468e+05,-1.478774e+05,1.006102e+00,1.299012e+05
64,1.784406e+03,-1.661858,-3.564243,-6.966664,1.412827e+04,3.030137e+04,5.922702e+04,1.069952e+00,1.909228e+03
65,2.198512e+05,0.964335,-1.788357,7.737689,-9.099985e+04,1.687590e+05,-7.301700e+05,1.005361e+00,2.210299e+05
66,9.056878e+04,-3.414258,-3.616270,6.266214,2.067920e+05,2.190273e+05,-3.795270e+05,1.006448e+00,9.115280e+04
67,2.289588e+05,-1.004992,0.843995,-7.891620,9.678082e+04,-8.127680e+04,7.599641e+05,1.011974e+00,2.317004e+05
68,1.733639e+05,-0.750110,6.182916,5.020845,6.285684e+04,-5.181087e+05,-4.207309e+05,1.006176e+00,1.744347e+05
69,1.948353e+05,1.308996,-6.058709,5.057526,-1.162841e+05,5.382228e+05,-4.492832e+05,1.006152e+00,1.960340e+05
70,1.910331e+04,0.420072,0.029918,-7.988908,-1.168492e+04,-8.322235e+02,2.222235e+05,1.759239e+00,3.360729e+04
71,1.580508e+05,3.221498,-6.876726,2.516464,-2.577534e+05,5.502097e+05,-2.013434e+05,1.006062e+00,1.590089e+05
72,2.278061e+05,1.686799,3.409523,7.037746,-1.620296e+05,-3.275099e+05,-6.760276e+05,1.006392e+00,2.292623e+05
73,9.360011e+04,-0.113073,2.508694,7.595635,6.962184e+03,-1.544664e+05,-4.676818e+05,1.006165e+00,9.417714e+04
74,1.641334e+05,-3.185977,-3.600874,-6.394002,2.597702e+05,2.935990e+05,5.213381e+05,1.006397e+00,1.651834e+05
75,2.356137e+03,0.134997,-7.306129,-3.256110,-1.318783e+03,7.137331e+04,3.180882e+04,1.012520e+00,2.385635e+03
76,2.383747e+05,-5.495286,-3.899235,4.312516,5.399687e+05,3.831402e+05,-4.237494e+05,1.006049e+00,2.398166e+05
77,1.607318e+05,5.899259,5.363641,-0.655813,-4.759886e+05,-4.327717e+05,5.291502e+04,1.005949e+00,1.616880e+05
78,1.504548e+04,-5.470164,-3.375278,-4.762857,1.350366e+05,8.332221e+04,1.175760e+05,1.007328e+00,1.515573e+04
79,2.062190e+05,1.791848,2.890808,-7.241030,-1.637622e+05,-2.641994e+05,6.617789e+05,1.006473e+00,2.075539e+05
80,3.228211e+05,-6.277609,-2.342218,4.371000,7.178330e+05,2.678283e+05,-4.998158e+05,1.005748e+00,3.246767e+05
81,3.184906e+04,-7.571935,-1.372965,-2.186496,2.719590e+05,4.931240e+04,7.853172e+04,1.006102e+00,3.204340e+04
82,1.396458e+05,-6.661879,3.091605,3.171963,5.010243e+05,-2.325124e+05,-2.385559e+05,1.005892e+00,1.404685e+05
83,1.983305e+03,-7.093849,2.460385,2.761125,6.358064e+04,-2.205190e+04,-2.474737e+04,9.911899e-01,1.965832e+03
84,1.008424e+05,5.047648,2.703662,5.586722,-3.225960e+05,-1.727915e+05,-3.570482e+05,1.006049e+00,1.014524e+05
85,1.815068e+05,-2.693025,-5.388481,-5.264209,2.309059e+05,4.620202e+05,4.513649e+05,1.006229e+00,1.826374e+05
86,5.390821e+04,1.405850,-0.508605,-7.859065,-6.569235e+04,2.376601e+04,3.672371e+05,1.000314e+00,5.392514e+04
87,1.994219e+04,-6.778969,1.720845,-3.883848,1.926630e+05,-4.890761e+04,1.103816e+05,1.006512e+00,2.007206e+04
88,3.029848e+05,-2.867758,-2.242981,7.123552,3.176882e+05,2.484759e+05,-7.891422e+05,1.005487e+00,3.046472e+05
89,4.041557e+04,-4.435973,6.632806,-0.572730,1.794781e+05,-2.683613e+05,2.317248e+04,1.006091e+00,4.066174e+04
90,1.125010e+05,7.174651,0.675956,-3.473826,-4.843142e+05,-4.562941e+04,2.344955e+05,1.001839e+00,1.127079e+05
91,1.734513e+05,0.652891,-0.370514,-7.964700,-5.472396e+04,3.105574e+04,6.675848e+05,1.055924e+00,1.831514e+05
92,5.950581e+04,4.411012,-6.581352,1.108505,-2.165539e+05,3.231045e+05,-5.442090e+04,1.005941e+00,5.985932e+04
93,1.558345e+02,6.306729,0.880756,-4.842462,-1.584470e+04,-2.212767e+03,1.216595e+04,2.273966e-01,3.543623e+01
94,1.380026e+05,-5.186367,2.181230,-5.687163,3.877529e+05,-1.630772e+05,4.251944e+05,1.006293e+00,1.388710e+05
95,7.983615e+03,-1.870345,-5.265476,-5.725083,3.363332e+04,9.468596e+04,1.029508e+05,1.011407e+00,8.074683e+03
96,1.554389e+04,1.986786,0.053116,7.749185,-4.985160e+04,-1.332760e+03,-1.944393e+05,8.691984e-01,1.351072e+04
