i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,1.095689e+05,5.374109,5.834810,1.036315,-3.408179e+05,-3.700348e+05,-6.572154e+04,1.005951e+00,1.102210e+05
1,1.840483e+04,1.312008,6.641518,-4.262496,-3.410159e+04,-1.726257e+05,1.107904e+05,1.006486e+00,1.852421e+04
2,3.821296e+04,7.322249,-3.185409,-0.487684,-2.742345e+05,1.193006e+05,1.826485e+04,1.004901e+00,3.840025e+04
3,1.023269e+05,7.778017,1.716650,-0.745365,-4.766899e+05,-1.052080e+05,4.568103e+04,1.005450e+00,1.028846e+05
4,2.538122e+05,1.665659,0.080629,7.824262,-1.607735e+05,-7.782547e+03,-7.552172e+05,9.989669e-01,2.535500e+05
5,6.355515e+04,-0.671056,-1.599362,-7.809720,3.241206e+04,7.724928e+04,3.772099e+05,1.008052e+00,6.406690e+04
6,1.703562e+05,-6.981656,-1.192689,-3.719406,5.520896e+05,9.431447e+04,2.941201e+05,1.006135e+00,1.714013e+05
7,2.227482e+03,-1.641088,-5.182342,-5.869426,1.483922e+04,4.686033e+04,5.307315e+04,1.031736e+00,2.298173e+03
8,3.498549e+05,6.560286,2.016607,4.110467,-7.434282e+05,-2.285269e+05,-4.658085e+05,1.006032e+00,3.519654e+05
9,3.771871e+05,0.293739,-7.288808,3.284355,-3.456312e+04,8.576442e+05,-3.864566e+05,1.006095e+00,3.794862e+05
10,2.222494e+05,5.563296,-0.612415,-5.716177,-5.024869e+05,5.531437e+04,5.162953e+05,7.100005e-01,1.577972e+05
11,2.921762e+05,2.544165,1.250060,-7.480947,-2.634753e+05,-1.294570e+05,7.747315e+05,1.008931e+00,2.947856e+05
12,1.549303e+05,-7.351896,3.104337,0.559205,5.544212e+05,-2.341043e+05,-4.217080e+04,1.006027e+00,1.558640e+05
13,2.647676e+05,-0.622884,3.947690,6.930206,6.140616e+04,-3.891775e+05,-6.832046e+05,1.006386e+00,2.664585e+05
