i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,1.953508e+04,5.374109,5.834810,1.036315,-4.070346e+05,-4.419280e+05,-7.849043e+04,1.005992e+00,1.965213e+04
1,2.120354e+04,1.312008,6.641518,-4.262496,-1.035280e+05,-5.240693e+05,3.363453e+05,1.006148e+00,2.133390e+04
2,8.943062e+03,7.322249,-3.185409,-0.487684,-3.752363e+05,1.632396e+05,2.499188e+04,1.005452e+00,8.991821e+03
3,2.151166e+04,7.778017,1.716650,-0.745365,-6.181916e+05,-1.364382e+05,5.924108e+04,1.005707e+00,2.163444e+04
4,3.818381e+04,1.665659,0.080629,7.824262,-1.763774e+05,-8.537881e+03,-8.285147e+05,1.002111e+00,3.826440e+04
5,9.823154e+03,-0.671056,-1.599362,-7.809720,3.604140e+04,8.589927e+04,4.194480e+05,1.005192e+00,9.874159e+03
6,7.042661e+03,-6.981656,-1.192689,-3.719406,3.175002e+05,5.423914e+04,1.691450e+05,1.006235e+00,7.086570e+03
7,1.536343e+04,-1.641088,-5.182342,-5.869426,1.102283e+05,3.480867e+05,3.942366e+05,1.006415e+00,1.546199e+04
8,2.854213e+04,6.560286,2.016607,4.110467,-6.005971e+05,-1.846212e+05,-3.763151e+05,1.006003e+00,2.871349e+04
9,1.539404e+03,0.293739,-7.288808,3.284355,-6.245337e+03,1.549709e+05,-6.983027e+04,1.006527e+00,1.549451e+03
10,3.340018e+04,5.563296,-0.612415,-5.716177,-5.509648e+05,6.065088e+04,5.661054e+05,7.141502e-01,2.385275e+04
11,4.328697e+04,2.544165,1.250060,-7.480947,-2.868409e+05,-1.409376e+05,8.434366e+05,9.980305e-01,4.320172e+04
12,3.710417e+03,-7.351896,3.104337,0.559205,2.426766e+05,-1.024702e+05,-1.845865e+04,1.005768e+00,3.731820e+03
13,7.495784e+03,-0.622884,3.947690,6.930206,2.922355e+04,-1.852119e+05,-3.251411e+05,1.007176e+00,7.549575e+03
14,2.065977e+03,1.210798,-0.907235,7.855628,-2.982303e+04,2.234600e+04,-1.934910e+05,8.861802e-01,1.830828e+03
15,8.544365e+03,-6.738847,-0.191557,4.307116,3.375536e+05,9.595244e+03,-2.157465e+05,9.999729e-01,8.544134e+03
16,7.977510e+03,-2.248000,0.085118,7.677190,1.088046e+05,-4.119743e+03,-3.715807e+05,1.004998e+00,8.017382e+03
17,1.056341e+04,6.687549,3.341530,2.847957,-3.724658e+05,-1.861079e+05,-1.586181e+05,1.005837e+00,1.062507e+04
18,2.806385e+04,6.812767,-4.097687,0.891717,-6.184639e+05,3.719886e+05,-8.095018e+04,1.005968e+00,2.823132e+04
19,2.091706e+04,5.027028,1.636314,-6.004287,-3.939842e+05,-1.282431e+05,4.705751e+05,9.910752e-01,2.073037e+04
20,3.965962e+04,4.683261,4.704813,-4.464505,-5.054053e+05,-5.077312e+05,4.817978e+05,1.006002e+00,3.989764e+04
21,6.642635e+03,-4.172353,-4.417639,-5.203454,1.842759e+05,1.951092e+05,2.298154e+05,1.006564e+00,6.686234e+03
22,1.011842e+04,5.020097,-4.229411,4.572822,-2.736438e+05,2.305438e+05,-2.492630e+05,1.006005e+00,1.017918e+04
23,2.021499e+04,-3.708683,-0.310028,-7.081635,2.857418e+05,2.388659e+04,5.456166e+05,1.006582e+00,2.034804e+04
24,3.939664e+04,4.197759,-6.477876,2.101417,-4.515068e+05,6.967539e+05,-2.260263e+05,1.006062e+00,3.963546e+04
25,1.490347e+04,-4.164990,0.851143,6.777051,2.755338e+05,-5.630717e+04,-4.483340e+05,9.523132e-01,1.419277e+04
26,2.713839e+03,-0.746607,-0.360855,7.956907,2.107662e+04,1.018690e+04,-2.246226e+05,8.702128e-01,2.361617e+03
27,8.209860e+03,-5.686856,0.054309,-5.626431,2.792269e+05,-2.666613e+03,2.762600e+05,1.006519e+00,8.263383e+03
28,7.916747e+03,2.946127,-2.414342,-7.035005,-1.420503e+05,1.164097e+05,3.391993e+05,1.000752e+00,7.922699e+03
29,4.788571e+04,0.739100,3.100149,7.337766,-8.764428e+04,-3.676231e+05,-8.701297e+05,1.006359e+00,4.819021e+04
30,4.902476e+03,-1.186670,7.619905,2.128112,4.502511e+04,-2.891176e+05,-8.074570e+04,1.006101e+00,4.932385e+03
31,3.079200e+04,-1.367523,-5.301197,5.833283,1.300382e+05,5.040923e+05,-5.546886e+05,1.006244e+00,3.098426e+04
32,1.855802e+04,-2.925177,6.474259,-3.677949,2.159410e+05,-4.779398e+05,2.715118e+05,1.006152e+00,1.867219e+04
33,2.030154e+04,-3.138961,-6.819774,2.763622,2.423638e+05,5.265646e+05,-2.133833e+05,1.006110e+00,2.042559e+04
34,2.053021e+03,2.239337,2.983805,-7.076883,-5.498361e+04,-7.326293e+04,1.737624e+05,1.011200e+00,2.076015e+03
35,5.464148e+03,3.450468,-0.992849,7.149023,-1.382154e+05,3.977056e+04,-2.863684e+05,1.006966e+00,5.502210e+03
