i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p
0,1.065994e+00,5.374109,5.834810,1.036315,-2.995523e+03,-3.252317e+03,-5.776410e+02,9.959886e-01
1,2.040571e+00,1.312008,6.641518,-4.262496,-1.011815e+03,-5.121910e+03,3.287218e+03,1.006086e+00
2,2.075753e+00,7.322249,-3.185409,-0.487684,-5.695358e+03,2.477660e+03,3.793282e+02,1.006086e+00
3,2.706182e+00,7.778017,1.716650,-0.745365,-6.907742e+03,-1.524575e+03,6.619665e+02,1.006086e+00
4,3.418893e+00,1.665659,0.080629,7.824262,-1.662714e+03,-8.048680e+01,-7.810428e+03,1.006086e+00
5,4.114723e+00,-0.671056,-1.599362,-7.809720,7.348826e+02,1.751483e+03,8.552527e+03,1.006086e+00
6,4.114723e+00,-6.981656,-1.192689,-3.719406,7.645703e+03,1.306129e+03,4.073170e+03,1.006086e+00
7,4.164619e+00,-1.641088,-5.182342,-5.869426,1.808040e+03,5.709557e+03,6.466540e+03,1.006086e+00
8,4.265314e+00,6.560286,2.016607,4.110467,-7.314539e+03,-2.248461e+03,-4.583058e+03,1.006086e+00
9,4.985300e+00,0.293739,-7.288808,3.284355,-3.540761e+02,8.785993e+03,-3.958991e+03,1.006086e+00
10,5.040206e+00,5.563296,-0.612415,-5.716177,-6.742874e+03,7.422638e+02,6.928169e+03,1.006086e+00
11,5.150921e+00,2.544165,1.250060,-7.480947,-3.117284e+03,-1.531659e+03,9.166166e+03,1.006086e+00
12,5.937777e+00,-7.351896,3.104337,0.559205,9.671637e+03,-4.083847e+03,-7.356512e+02,1.006086e+00
13,5.937777e+00,-0.622884,3.947690,6.930206,8.194226e+02,-5.193303e+03,-9.116892e+03,1.006086e+00
14,5.997686e+00,1.210798,-0.907235,7.855628,-1.600856e+03,1.199501e+03,-1.038631e+04,1.006086e+00
15,6.057895e+00,-6.738847,-0.191557,4.307116,8.954372e+03,2.545355e+02,-5.723163e+03,1.006086e+00
16,6.908858e+00,-2.248000,0.085118,7.677190,3.189982e+03,-1.207844e+02,-1.089417e+04,1.006086e+00
17,7.955272e+00,6.687549,3.341530,2.847957,-1.018317e+04,-5.088170e+03,-4.336602e+03,1.006086e+00
18,8.094212e+00,6.812767,-4.097687,0.891717,-1.046404e+04,6.293827e+03,-1.369629e+03,1.006086e+00
19,8.164133e+00,5.027028,1.636314,-6.004287,-7.754522e+03,-2.524122e+03,9.262008e+03,1.006086e+00
20,8.304877e+00,4.683261,4.704813,-4.464505,-7.286242e+03,-7.319774e+03,6.945901e+03,1.006086e+00
21,8.375700e+00,-4.172353,-4.417639,-5.203454,6.518990e+03,6.902231e+03,8.130007e+03,1.006086e+00
22,9.221838e+00,5.020097,-4.229411,4.572822,-8.230184e+03,6.933897e+03,-7.496901e+03,1.006086e+00
23,9.296461e+00,-3.708683,-0.310028,-7.081635,6.104741e+03,5.103260e+02,1.165685e+04,1.006086e+00
24,9.446608e+00,4.197759,-6.477876,2.101417,-6.965368e+03,1.074878e+04,-3.486894e+03,1.006086e+00
25,1.042297e+01,-4.164990,0.851143,6.777051,7.259362e+03,-1.483499e+03,-1.181205e+04,1.006086e+00
26,1.050230e+01,-0.746607,-0.360855,7.956907,1.306239e+03,6.313406e+02,-1.392115e+04,1.006086e+00
27,1.058192e+01,-5.686856,0.054309,-5.626431,9.987187e+03,-9.537747e+01,9.881069e+03,1.006086e+00
28,1.074419e+01,2.946127,-2.414342,-7.035005,-5.213473e+03,4.272424e+03,1.244916e+04,1.006086e+00
29,1.074419e+01,0.739100,3.100149,7.337766,-1.307913e+03,-5.486030e+03,-1.298493e+04,1.006086e+00
30,1.082473e+01,-1.186670,7.619905,2.128112,2.107789e+03,-1.353464e+04,-3.779999e+03,1.006086e+00
31,1.090557e+01,-1.367523,-5.301197,5.833283,2.438077e+03,9.451194e+03,-1.039982e+04,1.006086e+00
32,1.169983e+01,-2.925177,6.474259,-3.677949,5.401701e+03,-1.195552e+04,6.791789e+03,1.006086e+00
33,1.178386e+01,-3.138961,-6.819774,2.763622,5.817260e+03,1.263870e+04,-5.121666e+03,1.006086e+00
34,1.186820e+01,2.239337,2.983805,-7.076883,-4.164861e+03,-5.549470e+03,1.316204e+04,1.006086e+00
35,1.212301e+01,3.450468,-0.992849,7.149023,-6.485923e+03,1.866281e+03,-1.343818e+04,1.006086e+00
36,1.220854e+01,-6.581989,4.248959,-1.619805,1.241589e+04,-8.014992e+03,3.055507e+03,1.006086e+00
37,1.229438e+01,-0.972814,0.070325,-7.940320,1.841501e+03,-1.331235e+02,1.503073e+04,1.006086e+00
38,1.295968e+01,2.281723,6.986139,-3.160317,-4.434541e+03,-1.357760e+04,6.142094e+03,1.006086e+00
39,1.295968e+01,-2.697425,-3.774866,-6.517230,5.242460e+03,7.336472e+03,1.266627e+04,1.006086e+00
40,1.304811e+01,-4.715940,0.703502,6.423783,9.196674e+03,-1.371917e+03,-1.252718e+04,1.006086e+00
41,1.313684e+01,2.814009,-1.999630,7.216844,-5.506298e+03,3.912767e+03,-1.412152e+04,1.006086e+00
42,1.322588e+01,-2.377674,1.502366,-7.489297,4.668241e+03,-2.949692e+03,1.470422e+04,1.006086e+00
43,1.331522e+01,3.823259,6.212548,3.284347,-7.531761e+03,-1.223862e+04,-6.470113e+03,1.006086e+00
44,1.358503e+01,5.234348,5.945433,1.119563,-1.041554e+04,-1.183048e+04,-2.227757e+03,1.006086e+00
45,1.367796e+01,-1.628092,0.503105,-7.816406,3.250710e+03,-1.004519e+03,1.560654e+04,1.006086e+00
46,1.376881e+01,0.489114,2.204324,-7.674746,-9.798214e+02,-4.415829e+03,1.537450e+04,1.006086e+00
47,1.446990e+01,5.131721,-6.135392,-0.149679,-1.053864e+04,1.259980e+04,3.073842e+02,1.006086e+00
48,1.465707e+01,3.271781,-7.238734,0.946664,-6.762332e+03,1.496149e+04,-1.956627e+03,1.006086e+00
49,1.475111e+01,-2.812900,-3.100667,-6.817144,5.832509e+03,6.429188e+03,1.413525e+04,1.006086e+00
50,1.484794e+01,-0.337736,-1.090672,-7.918104,7.025859e+02,2.268902e+03,1.647187e+04,1.006086e+00
51,1.494259e+01,-1.954198,7.749167,-0.362658,4.078216e+03,-1.617174e+04,7.568318e+02,1.006086e+00
52,1.532419e+01,-2.594361,1.555754,-7.406006,5.482868e+03,-3.287898e+03,1.565170e+04,1.006086e+00
53,1.542034e+01,-0.791048,-6.182939,-5.014530,1.677020e+03,1.310782e+04,1.063080e+04,1.006086e+00
54,1.606593e+01,-0.129343,-0.461785,7.985614,2.798882e+02,9.992659e+02,-1.728024e+04,1.006086e+00
55,1.616437e+01,-1.607058,-0.254403,7.832793,3.488185e+03,5.521913e+02,-1.700140e+04,1.006086e+00
56,1.626312e+01,-6.710662,0.466956,-4.330008,1.461019e+04,-1.016638e+03,9.427126e+03,1.006086e+00
57,1.636217e+01,2.346184,-1.355214,-7.527205,-5.123552e+03,2.959491e+03,1.643777e+04,1.006086e+00
58,1.646152e+01,0.171423,0.205094,-7.995533,-3.754847e+02,-4.492372e+02,1.751342e+04,1.006086e+00
59,1.656117e+01,-7.536317,2.658624,-0.368302,1.655744e+04,-5.841052e+03,8.091674e+02,1.006086e+00
