i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,3.953070e+02,5.374109,5.834810,1.036315,-1.541695e+04,-1.673858e+04,-2.972924e+03,1.609830e+00,6.363770e+02
1,5.806647e+02,1.312008,6.641518,-4.262496,-4.561669e+03,-2.309164e+04,1.482011e+04,5.654240e-01,3.283217e+02
2,6.061848e+02,7.322249,-3.185409,-0.487684,-2.601188e+04,1.131599e+04,1.732470e+03,1.491914e+00,9.043755e+02
3,6.575414e+02,7.778017,1.716650,-0.745365,-2.877763e+04,-6.351377e+03,2.757751e+03,1.705063e+00,1.121149e+03
4,6.660599e+02,1.665659,0.080629,7.824262,-6.202509e+03,-3.002442e+02,-2.913565e+04,2.906633e-01,1.935992e+02
5,7.069909e+02,-0.671056,-1.599362,-7.809720,2.574486e+03,6.135901e+03,2.996174e+04,0.000000e+00,0.000000e+00
6,7.547882e+02,-6.981656,-1.192689,-3.719406,2.767551e+04,4.727858e+03,1.474385e+04,0.000000e+00,0.000000e+00
7,7.726052e+02,-1.641088,-5.182342,-5.869426,6.581657e+03,2.078402e+04,2.353960e+04,0.000000e+00,0.000000e+00
8,8.447669e+02,6.560286,2.016607,4.110467,-2.751160e+04,-8.456960e+03,-1.723790e+04,1.829698e+00,1.545669e+03
9,1.005827e+03,0.293739,-7.288808,3.284355,-1.344153e+03,3.335362e+04,-1.502922e+04,1.044789e+00,1.050878e+03
10,1.043527e+03,5.563296,-0.612415,-5.716177,-2.593036e+04,2.854446e+03,2.664294e+04,6.451067e-01,6.731860e+02
11,1.555161e+03,2.544165,1.250060,-7.480947,-1.447630e+04,-7.112845e+03,4.256660e+04,0.000000e+00,0.000000e+00
12,1.567457e+03,-7.351896,3.104337,0.559205,4.199734e+04,-1.773337e+04,-3.194433e+03,5.227804e-01,8.194355e+02
13,1.609307e+03,-0.622884,3.947690,6.930206,3.605383e+03,-2.285005e+04,-4.011347e+04,0.000000e+00,0.000000e+00
14,1.653881e+03,1.210798,-0.907235,7.855628,-7.104746e+03,5.323493e+03,-4.609541e+04,9.147311e-01,1.512856e+03
15,1.817863e+03,-6.738847,-0.191557,4.307116,4.145633e+04,1.178431e+03,-2.649670e+04,9.080049e-01,1.650629e+03
16,1.968406e+03,-2.248000,0.085118,7.677190,1.439058e+04,-5.448805e+02,-4.914556e+04,7.978508e-01,1.570494e+03
17,1.983195e+03,6.687549,3.341530,2.847957,-4.297090e+04,-2.147103e+04,-1.829957e+04,1.982870e+00,3.932418e+03
18,2.075243e+03,6.812767,-4.097687,0.891717,-4.477985e+04,2.693382e+04,-5.861195e+03,1.225551e+00,2.543315e+03
19,2.129978e+03,5.027028,1.636314,-6.004287,-3.347523e+04,-1.089629e+04,3.998284e+04,8.233181e-01,1.753649e+03
20,2.288254e+03,4.683261,4.704813,-4.464505,-3.232400e+04,-3.247276e+04,3.081414e+04,1.014321e+00,2.321024e+03
21,2.291882e+03,-4.172353,-4.417639,-5.203454,2.882052e+04,3.051484e+04,3.594285e+04,0.000000e+00,0.000000e+00
22,2.361777e+03,5.020097,-4.229411,4.572822,-3.520110e+04,2.965678e+04,-3.206479e+04,1.587658e+00,3.749694e+03
23,2.385101e+03,-3.708683,-0.310028,-7.081635,2.613351e+04,2.184632e+03,4.990127e+04,9.969716e-01,2.377878e+03
24,2.409518e+03,4.197759,-6.477876,2.101417,-2.973084e+04,4.587989e+04,-1.488339e+04,1.084578e+00,2.613311e+03
25,2.646355e+03,-4.164990,0.851143,6.777051,3.091453e+04,-6.317590e+03,-5.030248e+04,9.330494e-01,2.469180e+03
26,2.661357e+03,-0.746607,-0.360855,7.956907,5.557354e+03,2.686019e+03,-5.922711e+04,9.260200e-01,2.464470e+03
27,2.819485e+03,-5.686856,0.054309,-5.626431,4.356942e+04,-4.160872e+02,4.310648e+04,0.000000e+00,0.000000e+00
28,2.883225e+03,2.946127,-2.414342,-7.035005,-2.282525e+04,1.870521e+04,5.450400e+04,1.168685e-01,3.369582e+02
29,2.887212e+03,0.739100,3.100149,7.337766,-5.730169e+03,-2.403514e+04,-5.688894e+04,0.000000e+00,0.000000e+00
30,2.934782e+03,-1.186670,7.619905,2.128112,9.275609e+03,-5.956103e+04,-1.663440e+04,7.076621e-01,2.076834e+03
31,2.943867e+03,-1.367523,-5.301197,5.833283,1.070578e+04,4.150092e+04,-4.566641e+04,1.020372e+00,3.003841e+03
32,2.988106e+03,-2.925177,6.474259,-3.677949,2.307144e+04,-5.106375e+04,2.900870e+04,3.062000e-01,9.149579e+02
33,3.046530e+03,-3.138961,-6.819774,2.763622,2.499846e+04,5.431219e+04,-2.200929e+04,1.014418e+00,3.090456e+03
34,3.280400e+03,2.239337,2.983805,-7.076883,-1.850578e+04,-2.465804e+04,5.848306e+04,3.138569e-02,1.029576e+02
35,3.312331e+03,3.450468,-0.992849,7.149023,-2.865296e+04,8.244699e+03,-5.936605e+04,1.549205e+00,5.131478e+03
36,3.357766e+03,-6.581989,4.248959,-1.619805,5.503095e+04,-3.552486e+04,1.354293e+04,4.662094e-01,1.565422e+03
37,3.380461e+03,-0.972814,0.070325,-7.940320,8.160986e+03,-5.899638e+02,6.661172e+04,0.000000e+00,0.000000e+00
38,3.382641e+03,2.281723,6.986139,-3.160317,-1.914765e+04,-5.862594e+04,2.652060e+04,1.040844e+00,3.520802e+03
39,3.443755e+03,-2.697425,-3.774866,-6.517230,2.283969e+04,3.196262e+04,5.518281e+04,0.000000e+00,0.000000e+00
40,3.489562e+03,-4.715940,0.703502,6.423783,4.019559e+04,-5.996191e+03,-5.475213e+04,9.933679e-01,3.466419e+03
41,3.546020e+03,2.814009,-1.999630,7.216844,-2.417802e+04,1.718086e+04,-6.200726e+04,1.320496e+00,4.682506e+03
42,3.592259e+03,-2.377674,1.502366,-7.489297,2.056178e+04,-1.299224e+04,6.476637e+04,0.000000e+00,0.000000e+00
43,3.645444e+03,3.823259,6.212548,3.284347,-3.330685e+04,-5.412148e+04,-2.861205e+04,1.572059e+00,5.730853e+03
44,3.665464e+03,5.234348,5.945433,1.119563,-4.572479e+04,-5.193650e+04,-9.779978e+03,1.788637e+00,6.556186e+03
45,3.737019e+03,-1.628092,0.503105,-7.816406,1.436039e+04,-4.437577e+03,6.894368e+04,0.000000e+00,0.000000e+00
46,3.964314e+03,0.489114,2.204324,-7.674746,-4.443434e+03,-2.002553e+04,6.972246e+04,0.000000e+00,0.000000e+00
47,3.993406e+03,5.131721,-6.135392,-0.149679,-4.679069e+04,5.594210e+04,1.364761e+03,1.041699e+00,4.159926e+03
48,4.215865e+03,3.271781,-7.238734,0.946664,-3.065153e+04,6.781576e+04,-8.868778e+03,1.035019e+00,4.363501e+03
49,4.229189e+03,-2.812900,-3.100667,-6.817144,2.639414e+04,2.909433e+04,6.396696e+04,0.000000e+00,0.000000e+00
50,4.381224e+03,-0.337736,-1.090672,-7.918104,3.225522e+03,1.041637e+04,7.562120e+04,0.000000e+00,0.000000e+00
51,4.564576e+03,-1.954198,7.749167,-0.362658,1.904994e+04,-7.554051e+04,3.535270e+03,1.057901e+00,4.828868e+03
52,4.572019e+03,-2.594361,1.555754,-7.406006,2.531099e+04,-1.517818e+04,7.225414e+04,0.000000e+00,0.000000e+00
53,4.607372e+03,-0.791048,-6.182939,-5.014530,7.747362e+03,6.055448e+04,4.911131e+04,5.381877e-01,2.479631e+03
54,4.627053e+03,-0.129343,-0.461785,7.985614,1.269463e+03,4.532277e+03,-7.837638e+04,9.812778e-01,4.540424e+03
55,4.704066e+03,-1.607058,-0.254403,7.832793,1.590350e+04,2.517577e+03,-7.751362e+04,9.816902e-01,4.617935e+03
56,4.855156e+03,-6.710662,0.466956,-4.330008,6.746703e+04,-4.694637e+03,4.353264e+04,0.000000e+00,0.000000e+00
57,4.876974e+03,2.346184,-1.355214,-7.527205,-2.364078e+04,1.365550e+04,7.584617e+04,4.336948e-02,2.115118e+02
58,4.899904e+03,0.171423,0.205094,-7.995533,-1.731359e+03,-2.071431e+03,8.075434e+04,0.000000e+00,0.000000e+00
59,4.932465e+03,-7.536317,2.658624,-0.368302,7.636877e+04,-2.694099e+04,3.732166e+03,8.187499e-01,4.038455e+03
60,4.939193e+03,-4.242505,1.688195,-6.568953,4.302046e+04,-1.711887e+04,6.661144e+04,0.000000e+00,0.000000e+00
61,5.059700e+03,0.888879,3.604421,7.086469,-9.122829e+03,-3.699326e+04,-7.273056e+04,0.000000e+00,0.000000e+00
62,5.096660e+03,-0.016447,-0.014750,7.999969,1.694121e+02,1.519308e+02,-8.240543e+04,9.731617e-01,4.959874e+03
63,5.138674e+03,-1.097702,-7.655947,2.044880,1.135363e+04,7.918612e+04,-2.115037e+04,1.022217e+00,5.252841e+03
64,5.198561e+03,-1.661858,-3.564243,-6.966664,1.728862e+04,3.707947e+04,7.247548e+04,0.000000e+00,0.000000e+00
