i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,2.818035e+02,5.374109,5.834810,1.036315,-1.988349e+04,-2.158802e+04,-3.834229e+03,1.733401e+00,4.884783e+02
1,3.029961e+02,1.312008,6.641518,-4.262496,-5.033476e+03,-2.547997e+04,1.635293e+04,3.625892e-01,1.098631e+02
2,3.620430e+02,7.322249,-3.185409,-0.487684,-3.070702e+04,1.335852e+04,2.045181e+03,1.451967e+00,5.256745e+02
3,7.088060e+02,7.778017,1.716650,-0.745365,-4.564000e+04,-1.007299e+04,4.373665e+03,1.570480e+00,1.113166e+03
4,7.790843e+02,1.665659,0.080629,7.824262,-1.024687e+04,-4.960193e+02,-4.813364e+04,7.899825e-01,6.154629e+02
5,8.436026e+02,-0.671056,-1.599362,-7.809720,4.295770e+03,1.023832e+04,4.999395e+04,0.000000e+00,0.000000e+00
6,9.128476e+02,-6.981656,-1.192689,-3.719406,4.649119e+04,7.942174e+03,2.476770e+04,0.000000e+00,0.000000e+00
7,1.022186e+03,-1.641088,-5.182342,-5.869426,1.156405e+04,3.651776e+04,4.135935e+04,0.000000e+00,0.000000e+00
8,1.235668e+03,6.560286,2.016607,4.110467,-5.082610e+04,-1.562374e+04,-3.184602e+04,1.934923e+00,2.390923e+03
9,1.237377e+03,0.293739,-7.288808,3.284355,-2.277332e+03,5.650938e+04,-2.546327e+04,1.039180e+00,1.285858e+03
10,1.257764e+03,5.563296,-0.612415,-5.716177,-4.348553e+04,4.786941e+03,4.468053e+04,9.419617e-01,1.184765e+03
11,1.261657e+03,2.544165,1.250060,-7.480947,-1.991724e+04,-9.786215e+03,5.856530e+04,0.000000e+00,0.000000e+00
12,1.305656e+03,-7.351896,3.104337,0.559205,5.854998e+04,-2.472272e+04,-4.453472e+03,7.428126e-01,9.698575e+02
13,1.405886e+03,-0.622884,3.947690,6.930206,5.147488e+03,-3.262354e+04,-5.727093e+04,0.000000e+00,0.000000e+00
14,1.439042e+03,1.210798,-0.907235,7.855628,-1.012329e+04,7.585248e+03,-6.567964e+04,9.772879e-01,1.406359e+03
15,1.601580e+03,-6.738847,-0.191557,4.307116,5.943920e+04,1.689609e+03,-3.799040e+04,9.706533e-01,1.554579e+03
16,1.806799e+03,-2.248000,0.085118,7.677190,2.106029e+04,-7.974201e+02,-7.192341e+04,9.536887e-01,1.723124e+03
17,1.956247e+03,6.687549,3.341530,2.847957,-6.519164e+04,-3.257394e+04,-2.776248e+04,1.945361e+00,3.805606e+03
18,1.983023e+03,6.812767,-4.097687,0.891717,-6.686525e+04,4.021756e+04,-8.751932e+03,1.072357e+00,2.126509e+03
19,2.168443e+03,5.027028,1.636314,-6.004287,-5.159390e+04,-1.679398e+04,6.162380e+04,9.762426e-01,2.116926e+03
20,2.485505e+03,4.683261,4.704813,-4.464505,-5.145987e+04,-5.169669e+04,4.905617e+04,1.041761e+00,2.589302e+03
21,2.600986e+03,-4.172353,-4.417639,-5.203454,4.689895e+04,4.965607e+04,5.848894e+04,0.000000e+00,0.000000e+00
22,2.625152e+03,5.020097,-4.229411,4.572822,-5.668947e+04,4.776065e+04,-5.163862e+04,1.279804e+00,3.359679e+03
23,2.695851e+03,-3.708683,-0.310028,-7.081635,4.244052e+04,3.547817e+03,8.103908e+04,1.002382e+00,2.702273e+03
24,2.726639e+03,4.197759,-6.477876,2.101417,-4.831081e+04,7.455204e+04,-2.418461e+04,1.035279e+00,2.822831e+03
25,2.739830e+03,-4.164990,0.851143,6.777051,4.804949e+04,-9.819234e+03,-7.818359e+04,1.004836e+00,2.753079e+03
26,2.830136e+03,-0.746607,-0.360855,7.956907,8.754040e+03,4.231064e+03,-9.329555e+04,9.881821e-01,2.796689e+03
27,2.837171e+03,-5.686856,0.054309,-5.626431,6.676180e+04,-6.375741e+02,6.605243e+04,0.000000e+00,0.000000e+00
28,2.849929e+03,2.946127,-2.414342,-7.035005,-3.466423e+04,2.840722e+04,8.277410e+04,5.820559e-01,1.658818e+03
29,2.971557e+03,0.739100,3.100149,7.337766,-8.879908e+03,-3.724669e+04,-8.815946e+04,0.000000e+00,0.000000e+00
30,3.000529e+03,-1.186670,7.619905,2.128112,1.432656e+04,-9.199443e+04,-2.569250e+04,1.552611e+00,4.658655e+03
31,3.123136e+03,-1.367523,-5.301197,5.833283,1.684392e+04,6.529538e+04,-7.184914e+04,1.017009e+00,3.176257e+03
32,3.295257e+03,-2.925177,6.474259,-3.677949,3.700921e+04,-8.191205e+04,4.653325e+04,7.501623e-01,2.471978e+03
33,3.334595e+03,-3.138961,-6.819774,2.763622,3.995035e+04,8.679697e+04,-3.517332e+04,1.016941e+00,3.391086e+03
34,3.393310e+03,2.239337,2.983805,-7.076883,-2.875042e+04,-3.830851e+04,9.085877e+04,5.037291e-01,1.709309e+03
35,3.534540e+03,3.450468,-0.992849,7.149023,-4.521239e+04,1.300957e+04,-9.367554e+04,1.611162e+00,5.694718e+03
36,3.631689e+03,-6.581989,4.248959,-1.619805,8.742277e+04,-5.643518e+04,2.151444e+04,8.141817e-01,2.956855e+03
37,3.675356e+03,-0.972814,0.070325,-7.940320,1.299849e+04,-9.396704e+02,1.060964e+05,0.000000e+00,0.000000e+00
38,3.760589e+03,2.281723,6.986139,-3.160317,-3.083926e+04,-9.442308e+04,4.271414e+04,1.040870e+00,3.914285e+03
39,3.900115e+03,-2.697425,-3.774866,-6.517230,3.712796e+04,5.195810e+04,8.970462e+04,0.000000e+00,0.000000e+00
40,3.931823e+03,-4.715940,0.703502,6.423783,6.517459e+04,-9.722443e+03,-8.877709e+04,1.008849e+00,3.966617e+03
41,4.026754e+03,2.814009,-1.999630,7.216844,-3.935647e+04,2.796664e+04,-1.009341e+05,1.441004e+00,5.802571e+03
42,4.110586e+03,-2.377674,1.502366,-7.489297,3.359829e+04,-2.122954e+04,1.058293e+05,0.000000e+00,0.000000e+00
43,4.177199e+03,3.823259,6.212548,3.284347,-5.446147e+04,-8.849636e+04,-4.678479e+04,1.675309e+00,6.998099e+03
44,4.184901e+03,5.234348,5.945433,1.119563,-7.463082e+04,-8.476941e+04,-1.596263e+04,1.083945e+00,4.536203e+03
45,4.233362e+03,-1.628092,0.503105,-7.816406,2.334719e+04,-7.214635e+03,1.120890e+05,0.000000e+00,0.000000e+00
46,4.290928e+03,0.489114,2.204324,-7.674746,-7.061528e+03,-3.182468e+04,1.108033e+05,1.298355e-10,5.571146e-07
47,4.293940e+03,5.131721,-6.135392,-0.149679,-7.411464e+04,8.861013e+04,2.161728e+03,1.023169e+00,4.393424e+03
