i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,4.815851e+00,5.374109,5.834810,1.036315,-5.459954e+05,-5.928013e+05,-1.052869e+05,1.093138e+00,5.264388e+00
1,1.059909e+01,1.312008,6.641518,-4.262496,-1.977501e+05,-1.001031e+06,6.424573e+05,0.000000e+00,0.000000e+00
2,1.379164e+01,7.322249,-3.185409,-0.487684,-1.258921e+06,5.476703e+05,8.384797e+04,1.227767e+00,1.693292e+01
3,2.482271e+01,7.778017,1.716650,-0.745365,-1.794070e+06,-3.959608e+05,1.719251e+05,1.649042e+00,4.093368e+01
4,2.980779e+01,1.665659,0.080629,7.824262,-4.210144e+05,-2.038000e+04,-1.977672e+06,0.000000e+00,0.000000e+00
5,3.103279e+01,-0.671056,-1.599362,-7.809720,1.730674e+05,4.124803e+05,2.014150e+06,0.000000e+00,0.000000e+00
6,4.130382e+01,-6.981656,-1.192689,-3.719406,2.077301e+06,3.548691e+05,1.106661e+06,0.000000e+00,0.000000e+00
7,4.397929e+01,-1.641088,-5.182342,-5.869426,5.038507e+05,1.591095e+06,1.802045e+06,0.000000e+00,0.000000e+00
8,4.840395e+01,6.560286,2.016607,4.110467,-2.113047e+06,-6.495424e+05,-1.323968e+06,0.000000e+00,0.000000e+00
9,5.013200e+01,0.293739,-7.288808,3.284355,-9.628658e+04,2.389241e+06,-1.076598e+06,0.000000e+00,0.000000e+00
10,6.222555e+01,5.563296,-0.612415,-5.716177,-2.031714e+06,2.236535e+05,2.087546e+06,0.000000e+00,0.000000e+00
11,6.329276e+01,2.544165,1.250060,-7.480947,-9.370619e+05,-4.604198e+05,2.755368e+06,0.000000e+00,0.000000e+00
12,6.608372e+01,-7.351896,3.104337,0.559205,2.766894e+06,-1.168321e+06,-2.104576e+05,0.000000e+00,0.000000e+00
13,7.180346e+01,-0.622884,3.947690,6.930206,2.443577e+05,-1.548680e+06,-2.718722e+06,0.000000e+00,0.000000e+00
14,7.390239e+01,1.210798,-0.907235,7.855628,-4.818890e+05,3.610731e+05,-3.126483e+06,0.000000e+00,0.000000e+00
15,8.169712e+01,-6.738847,-0.191557,4.307116,2.819908e+06,8.015825e+04,-1.802337e+06,0.000000e+00,0.000000e+00
16,8.450820e+01,-2.248000,0.085118,7.677190,9.567352e+05,-3.622552e+04,-3.267365e+06,0.000000e+00,0.000000e+00
17,8.803276e+01,6.687549,3.341530,2.847957,-2.904926e+06,-1.451488e+06,-1.237091e+06,0.000000e+00,0.000000e+00
