i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,4.263978e+00,5.374109,5.834810,1.036315,-2.995523e+03,-3.252317e+03,-5.776410e+02,1.225451e+00,5.225296e+00
1,8.303013e+00,1.312008,6.641518,-4.262496,-1.020500e+03,-5.165875e+03,3.315435e+03,0.000000e+00,0.000000e+00
2,1.082473e+01,7.322249,-3.185409,-0.487684,-6.502970e+03,2.828997e+03,4.331176e+02,1.250070e+00,1.353167e+01
3,2.060368e+01,7.778017,1.716650,-0.745365,-9.530156e+03,-2.103356e+03,9.132715e+02,1.129672e+00,2.327541e+01
4,2.423158e+01,1.665659,0.080629,7.824262,-2.213276e+03,-1.071378e+02,-1.039664e+04,0.000000e+00,0.000000e+00
5,3.321951e+01,-0.671056,-1.599362,-7.809720,1.044033e+03,2.488296e+03,1.215040e+04,0.000000e+00,0.000000e+00
6,3.350280e+01,-6.981656,-1.192689,-3.719406,1.090831e+04,1.863487e+03,5.811293e+03,0.000000e+00,0.000000e+00
7,3.778643e+01,-1.641088,-5.182342,-5.869426,2.723067e+03,8.599094e+03,9.739177e+03,0.000000e+00,0.000000e+00
8,4.297678e+01,6.560286,2.016607,4.110467,-1.160910e+04,-3.568591e+03,-7.273891e+03,0.000000e+00,0.000000e+00
9,4.329892e+01,0.293739,-7.288808,3.284355,-5.217465e+02,1.294654e+04,-5.833744e+03,0.000000e+00,0.000000e+00
10,5.434013e+01,5.563296,-0.612415,-5.716177,-1.107009e+04,1.218609e+03,1.137430e+04,0.000000e+00,0.000000e+00
11,5.471185e+01,2.544165,1.250060,-7.480947,-5.079778e+03,-2.495918e+03,1.493675e+04,0.000000e+00,0.000000e+00
12,5.507524e+01,-7.351896,3.104337,0.559205,1.472775e+04,-6.218788e+03,-1.120233e+03,0.000000e+00,0.000000e+00
13,6.168135e+01,-0.622884,3.947690,6.930206,1.320514e+03,-8.369098e+03,-1.469203e+04,0.000000e+00,0.000000e+00
14,6.785109e+01,1.210798,-0.907235,7.855628,-2.692210e+03,2.017238e+03,-1.746699e+04,0.000000e+00,0.000000e+00
15,6.825571e+01,-6.738847,-0.191557,4.307116,1.502844e+04,4.271959e+02,-9.605384e+03,0.000000e+00,0.000000e+00
16,7.305184e+01,-2.248000,0.085118,7.677190,5.186455e+03,-1.963783e+02,-1.771237e+04,0.000000e+00,0.000000e+00
17,7.390378e+01,6.687549,3.341530,2.847957,-1.551883e+04,-7.754208e+03,-6.608843e+03,0.000000e+00,0.000000e+00
18,8.064330e+01,6.812767,-4.097687,0.891717,-1.651454e+04,9.933027e+03,-2.161573e+03,0.000000e+00,0.000000e+00
19,8.241473e+01,5.027028,1.636314,-6.004287,-1.231891e+04,-4.009846e+03,1.471372e+04,0.000000e+00,0.000000e+00
20,8.767685e+01,4.683261,4.704813,-4.464505,-1.183721e+04,-1.189169e+04,1.128430e+04,0.000000e+00,0.000000e+00
21,8.906004e+01,-4.172353,-4.417639,-5.203454,1.062873e+04,1.125357e+04,1.325537e+04,0.000000e+00,0.000000e+00
22,9.000045e+01,5.020097,-4.229411,4.572822,-1.285562e+04,1.083081e+04,-1.171023e+04,0.000000e+00,0.000000e+00
23,9.500443e+01,-3.708683,-0.310028,-7.081635,9.757765e+03,8.157008e+02,1.863220e+04,0.000000e+00,0.000000e+00
24,1.031367e+02,4.197759,-6.477876,2.101417,-1.150755e+04,1.775815e+04,-5.760728e+03,0.000000e+00,0.000000e+00
25,1.142086e+02,-4.164990,0.851143,6.777051,1.201495e+04,-2.455335e+03,-1.955009e+04,0.000000e+00,0.000000e+00
26,1.203887e+02,-0.746607,-0.360855,7.956907,2.211278e+03,1.068770e+03,-2.356654e+04,0.000000e+00,0.000000e+00
27,1.214674e+02,-5.686856,0.054309,-5.626431,1.691846e+04,-1.615710e+02,1.673869e+04,0.000000e+00,0.000000e+00
28,1.236393e+02,2.946127,-2.414342,-7.035005,-8.842771e+03,7.246622e+03,2.111550e+04,0.000000e+00,0.000000e+00
29,1.289498e+02,0.739100,3.100149,7.337766,-2.265544e+03,-9.502801e+03,-2.249225e+04,0.000000e+00,0.000000e+00
30,1.300662e+02,-1.186670,7.619905,2.128112,3.653177e+03,-2.345797e+04,-6.551418e+03,0.000000e+00,0.000000e+00
31,1.311873e+02,-1.367523,-5.301197,5.833283,4.228041e+03,1.638998e+04,-1.803506e+04,0.000000e+00,0.000000e+00
32,1.323132e+02,-2.925177,6.474259,-3.677949,9.082647e+03,-2.010252e+04,1.142000e+04,0.000000e+00,0.000000e+00
33,1.383814e+02,-3.138961,-6.819774,2.763622,9.967436e+03,2.165546e+04,-8.775588e+03,5.389156e-02,7.457589e+00
34,1.395377e+02,2.239337,2.983805,-7.076883,-7.140422e+03,-9.514258e+03,2.256558e+04,0.000000e+00,0.000000e+00
35,1.436383e+02,3.450468,-0.992849,7.149023,-1.116277e+04,3.212012e+03,-2.312813e+04,0.000000e+00,0.000000e+00
36,1.475651e+02,-6.581989,4.248959,-1.619805,2.158280e+04,-1.393263e+04,5.311451e+03,0.000000e+00,0.000000e+00
37,1.487591e+02,-0.972814,0.070325,-7.940320,3.202805e+03,-2.315332e+02,2.614198e+04,0.000000e+00,0.000000e+00
38,1.505592e+02,2.281723,6.986139,-3.160317,-7.557449e+03,-2.313926e+04,1.046750e+04,0.000000e+00,0.000000e+00
39,1.511616e+02,-2.697425,-3.774866,-6.517230,8.952181e+03,1.252798e+04,2.162930e+04,0.000000e+00,0.000000e+00
40,1.517653e+02,-4.715940,0.703502,6.423783,1.568242e+04,-2.339431e+03,-2.136170e+04,7.911979e-01,1.200763e+02
41,1.529761e+02,2.814009,-1.999630,7.216844,-9.394983e+03,6.676060e+03,-2.409449e+04,7.729776e-01,1.182471e+02
42,1.594958e+02,-2.377674,1.502366,-7.489297,8.105606e+03,-5.121639e+03,2.553138e+04,0.000000e+00,0.000000e+00
43,1.607370e+02,3.823259,6.212548,3.284347,-1.308430e+04,-2.126113e+04,-1.123998e+04,1.924001e+00,3.092583e+02
44,1.613595e+02,5.234348,5.945433,1.119563,-1.794810e+04,-2.038635e+04,-3.838881e+03,9.250169e-01,1.492602e+02
45,1.619996e+02,-1.628092,0.503105,-7.816406,5.593640e+03,-1.728519e+03,2.685485e+04,0.000000e+00,0.000000e+00
46,1.680535e+02,0.489114,2.204324,-7.674746,-1.711562e+03,-7.713614e+03,2.685632e+04,0.000000e+00,0.000000e+00
47,1.686900e+02,5.131721,-6.135392,-0.149679,-1.799146e+04,2.151026e+04,5.247632e+02,9.398068e-01,1.585360e+02
48,1.712646e+02,3.271781,-7.238734,0.946664,-1.155784e+04,2.557144e+04,-3.344170e+03,5.250865e-01,8.992874e+01
49,1.719071e+02,-2.812900,-3.100667,-6.817144,9.955429e+03,1.097389e+04,2.412727e+04,0.000000e+00,0.000000e+00
50,1.731957e+02,-0.337736,-1.090672,-7.918104,1.199789e+03,3.874550e+03,2.812862e+04,0.000000e+00,0.000000e+00
51,1.744890e+02,-1.954198,7.749167,-0.362658,6.968052e+03,-2.763107e+04,1.293125e+03,0.000000e+00,0.000000e+00
52,1.788143e+02,-2.594361,1.555754,-7.406006,9.364622e+03,-5.615659e+03,2.673276e+04,0.000000e+00,0.000000e+00
53,1.807873e+02,-0.791048,-6.182939,-5.014530,2.871080e+03,2.244076e+04,1.820006e+04,0.000000e+00,0.000000e+00
54,1.821087e+02,-0.129343,-0.461785,7.985614,4.711585e+02,1.682145e+03,-2.908924e+04,0.000000e+00,0.000000e+00
55,1.878690e+02,-1.607058,-0.254403,7.832793,5.945901e+03,9.412558e+02,-2.898030e+04,0.000000e+00,0.000000e+00
56,1.898912e+02,-6.710662,0.466956,-4.330008,2.496183e+04,-1.736948e+03,1.610645e+04,0.000000e+00,0.000000e+00
57,1.939861e+02,2.346184,-1.355214,-7.527205,-8.820760e+03,5.095090e+03,2.829944e+04,0.000000e+00,0.000000e+00
58,1.946698e+02,0.171423,0.205094,-7.995533,-6.456196e+02,-7.724318e+02,3.011310e+04,0.000000e+00,0.000000e+00
59,1.953548e+02,-7.536317,2.658624,-0.368302,2.843347e+04,-1.003062e+04,1.389552e+03,0.000000e+00,0.000000e+00
60,1.967282e+02,-4.242505,1.688195,-6.568953,1.606255e+04,-6.391673e+03,2.487071e+04,0.000000e+00,0.000000e+00
61,2.019974e+02,0.888879,3.604421,7.086469,-3.410154e+03,-1.382825e+04,-2.718701e+04,0.000000e+00,0.000000e+00
62,2.034124e+02,-0.016447,-0.014750,7.999969,6.331759e+01,5.678397e+01,-3.079894e+04,0.000000e+00,0.000000e+00
63,2.062202e+02,-1.097702,-7.655947,2.044880,4.255090e+03,2.967721e+04,-7.926692e+03,4.465228e-01,9.208200e+01
64,2.101895e+02,-1.661858,-3.564243,-6.966664,6.503666e+03,1.394863e+04,2.726397e+04,0.000000e+00,0.000000e+00
65,2.109200e+02,0.964335,-1.788357,7.737689,-3.780468e+03,7.010868e+03,-3.033394e+04,0.000000e+00,0.000000e+00
66,2.116329e+02,-3.414258,-3.616270,6.266214,1.340746e+04,1.420075e+04,-2.460682e+04,0.000000e+00,0.000000e+00
67,2.123470e+02,-1.004992,0.843995,-7.891620,3.953158e+03,-3.319873e+03,3.104188e+04,0.000000e+00,0.000000e+00
68,2.130624e+02,-0.750110,6.182916,5.020845,2.955541e+03,-2.436158e+04,-1.978285e+04,1.819787e+00,3.877281e+02
69,2.173796e+02,1.308996,-6.058709,5.057526,-5.209622e+03,2.411283e+04,-2.012826e+04,0.000000e+00,0.000000e+00
70,2.188474e+02,0.420072,0.029918,-7.988908,-1.677462e+03,-1.194722e+02,3.190192e+04,0.000000e+00,0.000000e+00
71,2.195736e+02,3.221498,-6.876726,2.516464,-1.288566e+04,2.750619e+04,-1.006560e+04,0.000000e+00,0.000000e+00
72,2.222042e+02,1.686799,3.409523,7.037746,-6.787319e+03,-1.371919e+04,-2.831838e+04,0.000000e+00,0.000000e+00
73,2.266126e+02,-0.113073,2.508694,7.595635,4.594728e+02,-1.019409e+04,-3.086489e+04,0.000000e+00,0.000000e+00
74,2.273515e+02,-3.185977,-3.600874,-6.394002,1.296732e+04,1.465600e+04,2.602438e+04,0.000000e+00,0.000000e+00
75,2.333261e+02,0.134997,-7.306129,-3.256110,-5.566284e+02,3.012505e+04,1.342578e+04,0.000000e+00,0.000000e+00
76,2.340759e+02,-5.495286,-3.899235,4.312516,2.269485e+04,1.610336e+04,-1.781016e+04,2.758750e-01,6.457570e+01
77,2.345330e+02,5.899259,5.363641,-0.655813,-2.438699e+04,-2.217279e+04,2.711069e+03,1.807365e+00,4.238866e+02
78,2.360376e+02,-5.470164,-3.375278,-4.762857,2.268557e+04,1.399777e+04,1.975226e+04,0.000000e+00,0.000000e+00
79,2.375671e+02,1.791848,2.890808,-7.241030,-7.455090e+03,-1.202738e+04,3.012674e+04,0.000000e+00,0.000000e+00
80,2.383236e+02,-6.277609,-2.342218,4.371000,2.615992e+04,9.760443e+03,-1.821474e+04,1.039871e+00,2.478258e+02
81,2.390814e+02,-7.571935,-1.372965,-2.186496,3.160374e+04,5.730483e+03,9.125994e+03,0.000000e+00,0.000000e+00
82,2.398404e+02,-6.661879,3.091605,3.171963,2.784945e+04,-1.292421e+04,-1.326014e+04,0.000000e+00,0.000000e+00
83,2.413620e+02,-7.093849,2.460385,2.761125,2.974918e+04,-1.031801e+04,-1.157922e+04,0.000000e+00,0.000000e+00
84,2.444196e+02,5.047648,2.703662,5.586722,-2.130177e+04,-1.140983e+04,-2.357674e+04,0.000000e+00,0.000000e+00
85,2.451870e+02,-2.693025,-5.388481,-5.264209,1.138276e+04,2.277580e+04,2.225054e+04,0.000000e+00,0.000000e+00
86,2.456547e+02,1.405850,-0.508605,-7.859065,-5.947855e+03,2.151800e+03,3.325004e+04,0.000000e+00,0.000000e+00
87,2.464240e+02,-6.778969,1.720845,-3.883848,2.872525e+04,-7.291922e+03,1.645745e+04,0.000000e+00,0.000000e+00
88,2.510858e+02,-2.867758,-2.242981,7.123552,1.226626e+04,9.593904e+03,-3.046958e+04,0.000000e+00,0.000000e+00
89,2.518636e+02,-4.435973,6.632806,-0.572730,1.900336e+04,-2.841442e+04,2.453530e+03,0.000000e+00,0.000000e+00
