i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,2.393456e+05,5.374109,5.834810,1.036315,-5.483837e+05,-5.953944e+05,-1.057474e+05,1.005948e+00,2.407693e+05
1,1.062194e+05,1.312008,6.641518,-4.262496,-8.918744e+04,-4.514760e+05,2.897552e+05,1.006107e+00,1.068682e+05
2,1.363494e+05,7.322249,-3.185409,-0.487684,-5.639446e+05,2.453337e+05,3.756043e+04,1.006085e+00,1.371792e+05
3,1.117933e+05,7.778017,1.716650,-0.745365,-5.424279e+05,-1.197167e+05,5.198068e+04,1.006087e+00,1.124738e+05
4,3.234446e+02,1.665659,0.080629,7.824262,-6.248149e+03,-3.024534e+02,-2.935004e+04,0.000000e+00,0.000000e+00
5,1.355171e+05,-0.671056,-1.599362,-7.809720,5.152540e+04,1.228031e+05,5.996500e+05,1.006072e+00,1.363400e+05
6,2.065863e+04,-6.981656,-1.192689,-3.719406,2.093025e+05,3.575554e+04,1.115038e+05,1.005946e+00,2.078147e+04
7,2.593897e+05,-1.641088,-5.182342,-5.869426,1.743306e+05,5.505133e+05,6.235013e+05,1.006084e+00,2.609680e+05
8,1.004997e+03,6.560286,2.016607,4.110467,-4.337810e+04,-1.333426e+04,-2.717934e+04,1.001913e+00,1.006920e+03
9,1.503085e+05,0.293739,-7.288808,3.284355,-2.375305e+04,5.894047e+05,-2.655873e+05,1.006049e+00,1.512178e+05
10,8.385435e+04,5.563296,-0.612415,-5.716177,-3.360163e+05,3.698909e+04,3.452501e+05,1.006083e+00,8.436444e+04
11,8.726035e+04,2.544165,1.250060,-7.480947,-1.567542e+05,-7.702022e+04,4.609251e+05,1.005924e+00,8.777725e+04
12,1.916370e+05,-7.351896,3.104337,0.559205,6.712811e+05,-2.834483e+05,-5.105948e+04,1.005942e+00,1.927757e+05
13,4.027743e+04,-0.622884,3.947690,6.930206,2.607375e+04,-1.652492e+05,-2.900964e+05,1.005488e+00,4.049846e+04
14,2.563163e+05,1.210798,-0.907235,7.855628,-1.278572e+05,9.580173e+04,-8.295343e+05,9.851691e-01,2.525149e+05
15,4.200580e+04,-6.738847,-0.191557,4.307116,2.880750e+05,8.188774e+03,-1.841224e+05,1.004824e+00,4.220843e+04
16,2.312849e+04,-2.248000,0.085118,7.677190,7.130753e+04,-2.699965e+03,-2.435237e+05,1.005445e+00,2.325443e+04
17,1.088936e+03,6.687549,3.341530,2.847957,-4.602921e+04,-2.299916e+04,-1.960198e+04,9.733439e-01,1.059909e+03
18,3.943730e+04,6.812767,-4.097687,0.891717,-2.821906e+05,1.697297e+05,-3.693567e+04,1.006082e+00,3.967717e+04
19,2.004813e+05,5.027028,1.636314,-6.004287,-4.694762e+05,-1.528160e+05,5.607427e+05,1.006080e+00,2.017001e+05
20,5.609083e+04,4.683261,4.704813,-4.464505,-2.313447e+05,-2.324094e+05,2.205386e+05,1.006082e+00,5.643198e+04
21,2.053875e+05,-4.172353,-4.417639,-5.203454,3.943968e+05,4.175827e+05,4.918628e+05,1.006083e+00,2.066367e+05
22,2.625357e+05,5.020097,-4.229411,4.572822,-5.365023e+05,4.520010e+05,-4.887017e+05,1.005934e+00,2.640936e+05
23,2.002106e+05,-3.708683,-0.310028,-7.081635,3.461215e+05,2.893404e+04,6.609101e+05,1.006062e+00,2.014242e+05
24,1.262873e+05,4.197759,-6.477876,2.101417,-3.111449e+05,4.801510e+05,-1.557605e+05,1.006077e+00,1.270548e+05
25,3.718016e+04,-4.164990,0.851143,6.777051,1.675077e+05,-3.423132e+04,-2.725597e+05,1.004959e+00,3.736454e+04
26,9.668274e+02,-0.746607,-0.360855,7.956907,4.842076e+03,2.340306e+03,-5.160408e+04,8.108019e-01,7.839054e+02
27,1.506511e+03,-5.686856,0.054309,-5.626431,4.603877e+04,-4.396695e+02,4.554959e+04,9.834300e-01,1.481548e+03
28,1.546696e+05,2.946127,-2.414342,-7.035005,-2.416680e+05,1.980462e+05,5.770748e+05,1.006076e+00,1.556093e+05
29,2.009059e+05,0.739100,3.100149,7.337766,-6.909794e+04,-2.898306e+05,-6.860022e+05,1.005904e+00,2.020919e+05
30,2.341383e+05,-1.186670,7.619905,2.128112,1.197654e+05,-7.690438e+05,-2.147811e+05,1.006062e+00,2.355577e+05
31,2.344275e+05,-1.367523,-5.301197,5.833283,1.381034e+05,5.353571e+05,-5.890915e+05,1.006082e+00,2.358533e+05
32,2.455210e+05,-2.925177,6.474259,-3.677949,3.023164e+05,-6.691134e+05,3.801152e+05,1.006087e+00,2.470154e+05
33,3.242666e+05,-3.138961,-6.819774,2.763622,3.728227e+05,8.100025e+05,-3.282427e+05,1.005850e+00,3.261637e+05
34,2.599645e+05,2.239337,2.983805,-7.076883,-2.381452e+05,-3.173166e+05,7.526003e+05,1.006045e+00,2.615361e+05
35,8.346674e+03,3.450468,-0.992849,7.149023,-6.575064e+04,1.891931e+04,-1.362287e+05,9.478882e-01,7.911714e+03
36,7.592583e+04,-6.581989,4.248959,-1.619805,3.782834e+05,-2.441983e+05,9.309423e+04,1.006041e+00,7.638447e+04
37,8.811091e+04,-0.972814,0.070325,-7.940320,6.022963e+04,-4.354045e+03,4.916071e+05,1.005402e+00,8.858685e+04
38,8.298114e+04,2.281723,6.986139,-3.160317,-1.370938e+05,-4.197515e+05,1.898828e+05,1.006218e+00,8.349712e+04
39,1.319795e+05,-2.697425,-3.774866,-6.517230,2.043939e+05,2.860356e+05,4.938347e+05,1.006084e+00,1.327824e+05
40,1.405818e+05,-4.715940,0.703502,6.423783,3.688062e+05,-5.501679e+04,-5.023666e+05,1.005652e+00,1.413764e+05
41,2.863230e+05,2.814009,-1.999630,7.216844,-3.140646e+05,2.231738e+05,-8.054540e+05,1.005979e+00,2.880349e+05
42,8.557583e+04,-2.377674,1.502366,-7.489297,1.450752e+05,-9.166774e+04,4.569639e+05,1.005496e+00,8.604616e+04
43,2.462734e+05,3.823259,6.212548,3.284347,-3.957381e+05,-6.430487e+05,-3.399564e+05,1.006012e+00,2.477540e+05
44,1.554787e+03,5.234348,5.945433,1.119563,-4.304903e+04,-4.889723e+04,-9.207665e+03,9.884646e-01,1.536852e+03
45,1.174410e+03,-1.628092,0.503105,-7.816406,1.163735e+04,-3.596117e+03,5.587048e+04,9.511272e-01,1.117014e+03
46,7.837092e+03,0.489114,2.204324,-7.674746,-9.031353e+03,-4.070223e+04,1.417121e+05,9.477678e-01,7.427743e+03
47,1.845215e+05,5.131721,-6.135392,-0.149679,-4.597818e+05,5.497068e+05,1.341062e+04,1.006085e+00,1.856443e+05
48,2.308376e+05,3.271781,-7.238734,0.946664,-3.278709e+05,7.254062e+05,-9.486683e+04,1.006084e+00,2.322420e+05
49,3.803531e+04,-2.812900,-3.100667,-6.817144,1.144229e+05,1.261287e+05,2.773073e+05,1.006075e+00,3.826636e+04
50,2.684308e+04,-0.337736,-1.090672,-7.918104,1.154142e+04,3.727138e+04,2.705844e+05,1.005857e+00,2.700029e+04
51,1.627858e+05,-1.954198,7.749167,-0.362658,1.644532e+05,-6.521217e+05,3.051907e+04,1.006087e+00,1.637767e+05
52,1.124654e+05,-2.594361,1.555754,-7.406006,1.814702e+05,-1.088218e+05,5.180347e+05,1.005751e+00,1.131122e+05
53,6.094548e+04,-0.791048,-6.182939,-5.014530,4.073227e+04,3.183692e+05,2.582060e+05,1.006069e+00,6.131535e+04
54,1.095217e+03,-0.129343,-0.461785,7.985614,8.928086e+02,3.187535e+03,-5.512184e+04,6.027632e-03,6.601564e+00
55,8.363418e+04,-1.607058,-0.254403,7.832793,9.693680e+04,1.534542e+04,-4.724696e+05,1.005723e+00,8.411282e+04
56,1.494778e+05,-6.710662,0.466956,-4.330008,5.411517e+05,-3.765559e+04,3.491744e+05,1.004922e+00,1.502136e+05
57,2.128621e+05,2.346184,-1.355214,-7.527205,-2.257753e+05,1.304134e+05,7.243496e+05,1.006070e+00,2.141541e+05
