i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,1.266188e+05,5.374109,5.834810,1.036315,-5.982905e+05,-6.495795e+05,-1.153712e+05,1.005961e+00,1.273736e+05
1,6.196580e+04,1.312008,6.641518,-4.262496,-1.021807e+05,-5.172494e+05,3.319683e+05,1.006104e+00,6.234401e+04
2,3.527337e+04,7.322249,-3.185409,-0.487684,-4.302537e+05,1.871739e+05,2.865620e+04,1.006085e+00,3.548801e+04
3,1.194644e+03,7.778017,1.716650,-0.745365,-8.410944e+04,-1.856340e+04,8.060179e+03,1.006147e+00,1.201988e+03
4,2.272696e+04,1.665659,0.080629,7.824262,-7.856216e+04,-3.802949e+03,-3.690377e+05,8.377897e-01,1.904042e+04
5,5.694228e+04,-0.671056,-1.599362,-7.809720,5.009945e+04,1.194045e+05,5.830549e+05,1.006070e+00,5.728791e+04
6,7.010496e+04,-6.981656,-1.192689,-3.719406,5.783482e+05,9.880027e+04,3.081091e+05,1.006067e+00,7.053025e+04
7,4.479042e+04,-1.641088,-5.182342,-5.869426,1.086628e+05,3.431431e+05,3.886376e+05,1.006081e+00,4.506280e+04
8,1.640194e+04,6.560286,2.016607,4.110467,-2.628615e+05,-8.080261e+04,-1.647007e+05,1.005964e+00,1.649976e+04
9,1.028045e+03,0.293739,-7.288808,3.284355,-2.946626e+03,7.311714e+04,-3.294677e+04,1.002288e+00,1.030398e+03
10,7.933963e+04,5.563296,-0.612415,-5.716177,-4.902684e+05,5.396934e+04,5.037410e+05,1.006085e+00,7.982237e+04
11,3.228290e+04,2.544165,1.250060,-7.480947,-1.430172e+05,-7.027062e+04,4.205324e+05,1.005876e+00,3.247259e+04
12,2.831135e+04,-7.351896,3.104337,0.559205,3.870225e+05,-1.634202e+05,-2.943799e+04,1.005613e+00,2.847025e+04
13,3.377784e+02,-0.622884,3.947690,6.930206,3.581622e+03,-2.269946e+04,-3.984911e+04,9.699396e-01,3.276246e+02
14,1.548085e+04,1.210798,-0.907235,7.855628,-4.713308e+04,3.531620e+04,-3.057982e+05,8.483864e-01,1.313374e+04
15,7.937363e+04,-6.738847,-0.191557,4.307116,5.939916e+05,1.688471e+04,-3.796481e+05,1.005765e+00,7.983125e+04
16,9.690946e+03,-2.248000,0.085118,7.677190,6.923665e+04,-2.621554e+03,-2.364514e+05,1.005356e+00,9.742848e+03
17,2.489999e+04,6.687549,3.341530,2.847957,-3.301590e+05,-1.649687e+05,-1.406014e+05,1.005325e+00,2.503258e+04
18,1.669209e+04,6.812767,-4.097687,0.891717,-2.753819e+05,1.656345e+05,-3.604449e+04,1.006082e+00,1.679360e+04
19,1.543813e+04,5.027028,1.636314,-6.004287,-1.954183e+05,-6.360928e+04,2.334078e+05,1.006046e+00,1.553147e+04
20,2.185546e+04,4.683261,4.704813,-4.464505,-2.166132e+05,-2.176100e+05,2.064951e+05,1.006081e+00,2.198837e+04
21,2.755341e+04,-4.172353,-4.417639,-5.203454,2.166832e+05,2.294217e+05,2.702315e+05,1.006073e+00,2.772075e+04
22,5.346634e+04,5.020097,-4.229411,4.572822,-3.631691e+05,3.059685e+05,-3.308119e+05,1.005728e+00,5.377259e+04
23,2.817954e+04,-3.708683,-0.310028,-7.081635,1.947795e+05,1.628260e+04,3.719265e+05,1.006003e+00,2.834871e+04
24,2.436811e+04,4.197759,-6.477876,2.101417,-2.050147e+05,3.163735e+05,-1.026313e+05,1.006064e+00,2.451588e+04
25,9.842785e+04,-4.164990,0.851143,6.777051,4.088176e+05,-8.354459e+04,-6.652062e+05,1.005872e+00,9.900581e+04
26,1.116176e+04,-0.746607,-0.360855,7.956907,2.467827e+04,1.192768e+04,-2.630070e+05,9.989830e-01,1.115041e+04
27,4.212054e+04,-5.686856,0.054309,-5.626431,3.651538e+05,-3.487213e+03,3.612739e+05,1.006013e+00,4.237382e+04
28,8.556731e+03,2.946127,-2.414342,-7.035005,-8.526328e+04,6.987298e+04,2.035987e+05,1.005995e+00,8.608030e+03
29,7.763932e+04,0.739100,3.100149,7.337766,-6.443189e+04,-2.702589e+05,-6.396778e+05,1.005860e+00,7.809425e+04
30,2.834187e+04,-1.186670,7.619905,2.128112,6.250297e+04,-4.013473e+05,-1.120896e+05,1.005992e+00,2.851170e+04
31,8.018422e+04,-1.367523,-5.301197,5.833283,1.211534e+05,4.696507e+05,-5.167900e+05,1.006080e+00,8.067175e+04
32,5.912225e+04,-2.925177,6.474259,-3.677949,2.225277e+05,-4.925181e+05,2.797936e+05,1.006087e+00,5.948215e+04
33,1.373714e+05,-3.138961,-6.819774,2.763622,3.639911e+05,7.908147e+05,-3.204671e+05,1.005820e+00,1.381709e+05
34,4.033623e+04,2.239337,2.983805,-7.076883,-1.407096e+05,-1.874885e+05,4.446786e+05,1.005960e+00,4.057662e+04
35,7.203585e+04,3.450468,-0.992849,7.149023,-2.897403e+05,8.337085e+04,-6.003128e+05,1.002803e+00,7.223773e+04
36,2.100738e+04,-6.581989,4.248959,-1.619805,2.984693e+05,-1.926749e+05,7.345227e+04,1.006007e+00,2.113357e+04
37,8.243394e+04,-0.972814,0.070325,-7.940320,8.738555e+04,-6.317167e+03,7.132596e+05,1.005731e+00,8.290638e+04
38,7.815078e+04,2.281723,6.986139,-3.160317,-1.995658e+05,-6.110271e+05,2.764101e+05,1.006154e+00,7.863172e+04
39,3.235972e+04,-2.697425,-3.774866,-6.517230,1.518128e+05,2.124518e+05,3.667938e+05,1.006081e+00,3.255650e+04
40,4.408667e+04,-4.715940,0.703502,6.423783,3.097979e+05,-4.621422e+04,-4.219890e+05,1.005431e+00,4.432608e+04
41,4.962285e+04,2.814009,-1.999630,7.216844,-1.961205e+05,1.393629e+05,-5.029730e+05,1.005782e+00,4.990978e+04
42,7.616679e+04,-2.377674,1.502366,-7.489297,2.053013e+05,-1.297224e+05,6.466666e+05,1.005769e+00,7.660616e+04
43,4.340642e+04,3.823259,6.212548,3.284347,-2.492111e+05,-4.049518e+05,-2.140832e+05,1.005883e+00,4.366177e+04
44,7.658360e+04,5.234348,5.945433,1.119563,-4.531970e+05,-5.147638e+05,-9.693334e+04,1.005893e+00,7.703489e+04
45,3.756908e+04,-1.628092,0.503105,-7.816406,9.873036e+04,-3.050917e+04,4.740007e+05,1.005193e+00,3.776418e+04
46,3.483539e+04,0.489114,2.204324,-7.674746,-2.856123e+04,-1.287189e+05,4.481578e+05,9.985100e-01,3.478349e+04
47,7.907252e+04,5.131721,-6.135392,-0.149679,-4.514736e+05,5.397737e+05,1.316829e+04,1.006085e+00,7.955366e+04
48,4.474159e+03,3.271781,-7.238734,0.946664,-6.846940e+04,1.514868e+05,-1.981108e+04,1.006010e+00,4.501047e+03
49,1.689105e+02,-2.812900,-3.100667,-6.817144,1.143772e+04,1.260782e+04,2.771963e+04,1.004517e+00,1.696735e+02
50,8.000536e+01,-0.337736,-1.090672,-7.918104,9.451348e+02,3.052180e+03,2.215834e+04,9.602728e-01,7.682697e+01
51,1.311271e+05,-1.954198,7.749167,-0.362658,2.213968e+05,-8.779258e+05,4.108663e+04,1.006087e+00,1.319252e+05
52,9.303924e+04,-2.594361,1.555754,-7.406006,2.475826e+05,-1.484672e+05,7.067628e+05,1.005892e+00,9.358745e+04
53,2.573955e+04,-0.791048,-6.182939,-5.014530,3.970632e+04,3.103502e+05,2.517024e+05,1.006067e+00,2.589570e+04
54,6.423963e+03,-0.129343,-0.461785,7.985614,3.243404e+03,1.157971e+04,-2.002472e+05,9.264907e-01,5.951742e+03
55,5.077024e+03,-1.607058,-0.254403,7.832793,3.582553e+04,5.671300e+03,-1.746135e+05,1.003327e+00,5.093914e+03
56,6.395293e+04,-6.710662,0.466956,-4.330008,5.309482e+05,-3.694559e+04,3.425907e+05,1.004776e+00,6.425838e+04
57,7.916124e+04,2.346184,-1.355214,-7.527205,-2.065261e+05,1.192946e+05,6.625927e+05,1.006065e+00,7.964137e+04
58,4.680903e+04,0.171423,0.205094,-7.995533,-1.160353e+04,-1.388269e+04,5.412138e+05,1.004915e+00,4.703912e+04
59,4.489252e+04,-7.536317,2.658624,-0.368302,4.995773e+05,-1.762384e+05,2.441450e+04,1.005938e+00,4.515911e+04
60,1.974845e+04,-4.242505,1.688195,-6.568953,1.865286e+05,-7.422422e+04,2.888147e+05,1.005698e+00,1.986098e+04
61,8.241496e+03,0.888879,3.604421,7.086469,-2.524655e+04,-1.023753e+05,-2.012748e+05,1.004460e+00,8.278256e+03
62,9.170423e+02,-0.016447,-0.014750,7.999969,1.558218e+02,1.397428e+02,-7.579483e+04,7.085259e-01,6.497482e+02
63,1.388857e+04,-1.097702,-7.655947,2.044880,4.047342e+04,2.822827e+05,-7.539685e+04,9.735109e-01,1.352068e+04
64,6.225072e+04,-1.661858,-3.564243,-6.966664,1.297247e+05,2.782249e+05,5.438180e+05,1.006086e+00,6.262957e+04
