i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,9.399827e+04,5.374109,5.834810,1.036315,-2.823473e+05,-3.065518e+05,-5.444638e+04,1.005531e+00,9.451821e+04
1,1.281493e+05,1.312008,6.641518,-4.262496,-8.048441e+04,-4.074203e+05,2.614805e+05,1.006114e+00,1.289328e+05
2,1.554600e+03,7.322249,-3.185409,-0.487684,-4.947332e+04,2.152245e+04,3.295073e+03,1.006012e+00,1.563947e+03
3,3.438685e+04,7.778017,1.716650,-0.745365,-2.471623e+05,-5.455004e+04,2.368548e+04,1.006093e+00,3.459637e+04
4,1.258738e+05,1.665659,0.080629,7.824262,-1.012677e+05,-4.902055e+03,-4.756947e+05,9.024142e-01,1.135903e+05
5,1.415227e+03,-0.671056,-1.599362,-7.809720,4.326026e+03,1.031044e+04,5.034608e+04,1.004121e+00,1.421059e+03
6,2.277710e+05,-6.981656,-1.192689,-3.719406,5.709852e+05,9.754245e+04,3.041865e+05,1.006066e+00,2.291527e+05
7,1.647645e+05,-1.641088,-5.182342,-5.869426,1.141513e+05,3.604750e+05,4.082673e+05,1.006082e+00,1.657665e+05
8,1.778319e+05,6.560286,2.016607,4.110467,-4.740726e+05,-1.457281e+05,-2.970389e+05,1.006049e+00,1.789076e+05
9,3.731734e+05,0.293739,-7.288808,3.284355,-3.074928e+04,7.630080e+05,-3.438133e+05,1.006061e+00,3.754354e+05
10,4.162096e+03,5.563296,-0.612415,-5.716177,-6.150430e+04,6.770469e+03,6.319445e+04,1.006029e+00,4.187190e+03
11,7.910874e+04,2.544165,1.250060,-7.480947,-1.226238e+05,-6.025047e+04,3.605671e+05,1.005800e+00,7.956760e+04
12,1.668233e+05,-7.351896,3.104337,0.559205,5.145705e+05,-2.172773e+05,-3.913964e+04,1.005820e+00,1.677941e+05
13,6.786561e+04,-0.622884,3.947690,6.930206,2.780670e+04,-1.762321e+05,-3.093772e+05,1.005519e+00,6.824015e+04
14,1.438821e+05,1.210798,-0.907235,7.855628,-7.870322e+04,5.897129e+04,-5.106244e+05,9.476408e-01,1.363486e+05
15,1.705965e+05,-6.738847,-0.191557,4.307116,4.769665e+05,1.355817e+04,-3.048518e+05,1.005589e+00,1.715499e+05
16,2.886030e+05,-2.248000,0.085118,7.677190,2.069493e+05,-7.835863e+03,-7.067567e+05,1.006001e+00,2.903349e+05
17,3.571629e+05,6.687549,3.341530,2.847957,-6.848845e+05,-3.422124e+05,-2.916646e+05,1.005908e+00,3.592731e+05
18,3.191721e+05,6.812767,-4.097687,0.891717,-6.595583e+05,3.967057e+05,-8.632899e+04,1.006085e+00,3.211143e+05
19,1.870198e+05,5.027028,1.636314,-6.004287,-3.725395e+05,-1.212628e+05,4.449615e+05,1.006075e+00,1.881559e+05
20,3.490022e+05,4.683261,4.704813,-4.464505,-4.741106e+05,-4.762924e+05,4.519648e+05,1.006085e+00,3.511259e+05
21,4.489772e+03,-4.172353,-4.417639,-5.203454,4.790826e+04,5.072472e+04,5.974768e+04,1.005774e+00,4.515698e+03
22,6.437296e+04,5.020097,-4.229411,4.572822,-2.182635e+05,1.838861e+05,-1.988169e+05,1.005094e+00,6.470086e+04
23,2.698616e+05,-3.708683,-0.310028,-7.081635,3.301471e+05,2.759866e+04,6.304074e+05,1.006057e+00,2.714963e+05
24,2.762328e+05,4.197759,-6.477876,2.101417,-3.780701e+05,5.834283e+05,-1.892636e+05,1.006080e+00,2.779123e+05
25,7.387569e+03,-4.164990,0.851143,6.777051,6.134539e+04,-1.253634e+04,-9.981797e+04,9.982622e-01,7.374731e+03
26,5.817116e+04,-0.746607,-0.360855,7.956907,3.085765e+04,1.491434e+04,-3.288632e+05,1.001554e+00,5.826158e+04
27,2.378682e+05,-5.686856,0.054309,-5.626431,4.752889e+05,-4.539001e+03,4.702387e+05,1.006047e+00,2.393066e+05
28,3.131633e+05,2.946127,-2.414342,-7.035005,-2.825232e+05,2.315269e+05,6.746321e+05,1.006078e+00,3.150667e+05
29,2.165447e+05,0.739100,3.100149,7.337766,-5.893787e+04,-2.472143e+05,-5.851334e+05,1.005815e+00,2.178040e+05
30,3.549350e+04,-1.186670,7.619905,2.128112,3.831082e+04,-2.460034e+05,-6.870464e+04,1.005838e+00,3.570069e+04
31,7.262108e+04,-1.367523,-5.301197,5.833283,6.315144e+04,2.448062e+05,-2.693777e+05,1.006065e+00,7.306150e+04
32,8.824563e+04,-2.925177,6.474259,-3.677949,1.489073e+05,-3.295747e+05,1.872274e+05,1.006089e+00,8.878294e+04
33,3.554901e+04,-3.138961,-6.819774,2.763622,1.014184e+05,2.203438e+05,-8.929140e+04,1.002719e+00,3.564568e+04
34,1.178067e+05,2.239337,2.983805,-7.076883,-1.317109e+05,-1.754982e+05,4.162405e+05,1.005942e+00,1.185067e+05
35,1.039552e+05,3.450468,-0.992849,7.149023,-1.906418e+05,5.485592e+04,-3.949907e+05,9.985312e-01,1.038025e+05
36,2.011479e+05,-6.581989,4.248959,-1.619805,5.058622e+05,-3.265559e+05,1.244909e+05,1.006059e+00,2.023667e+05
37,1.106055e+05,-0.972814,0.070325,-7.940320,5.544159e+04,-4.007914e+03,4.525261e+05,1.005220e+00,1.111829e+05
38,1.020548e+05,2.281723,6.986139,-3.160317,-1.249099e+05,-3.824469e+05,1.730074e+05,1.006256e+00,1.026933e+05
39,1.075294e+05,-2.697425,-3.774866,-6.517230,1.515759e+05,2.121204e+05,3.662216e+05,1.006081e+00,1.081833e+05
40,4.758383e+04,-4.715940,0.703502,6.423783,1.762849e+05,-2.629737e+04,-2.401252e+05,1.004152e+00,4.778141e+04
41,3.229795e+05,2.814009,-1.999630,7.216844,-2.740503e+05,1.947397e+05,-7.028328e+05,1.005933e+00,3.248958e+05
42,1.000854e+05,-2.377674,1.502366,-7.489297,1.289006e+05,-8.144761e+04,4.060165e+05,1.005280e+00,1.006139e+05
43,4.266426e+04,3.823259,6.212548,3.284347,-1.353266e+05,-2.198969e+05,-1.162515e+05,1.005383e+00,4.289394e+04
44,1.501544e+04,5.234348,5.945433,1.119563,-1.099129e+05,-1.248446e+05,-2.350904e+04,1.002909e+00,1.505912e+04
45,4.182406e+04,-1.628092,0.503105,-7.816406,5.705703e+04,-1.763148e+04,2.739286e+05,1.003435e+00,4.196773e+04
46,2.618303e+05,0.489114,2.204324,-7.674746,-4.288814e+04,-1.932869e+05,6.729630e+05,1.002634e+00,2.625200e+05
47,3.499502e+05,5.131721,-6.135392,-0.149679,-5.202155e+05,6.219603e+05,1.517331e+04,1.006085e+00,3.520797e+05
48,3.044028e+04,3.271781,-7.238734,0.946664,-9.781958e+04,2.164234e+05,-2.830332e+04,1.006053e+00,3.062453e+04
49,1.818474e+04,-2.812900,-3.100667,-6.817144,6.500177e+04,7.165160e+04,1.575336e+05,1.006047e+00,1.829472e+04
50,2.402879e+05,-0.337736,-1.090672,-7.918104,2.837009e+04,9.161723e+04,6.651267e+05,1.006045e+00,2.417405e+05
51,5.940321e+04,-1.954198,7.749167,-0.362658,8.161891e+04,-3.236512e+05,1.514677e+04,1.006096e+00,5.976534e+04
52,1.941034e+05,-2.594361,1.555754,-7.406006,1.958683e+05,-1.174559e+05,5.591364e+05,1.005776e+00,1.952246e+05
53,1.860686e+05,-0.791048,-6.182939,-5.014530,5.847312e+04,4.570341e+05,3.706670e+05,1.006077e+00,1.871994e+05
54,1.627802e+05,-0.129343,-0.461785,7.985614,8.942543e+03,3.192696e+04,-5.521109e+05,9.962765e-01,1.621741e+05
55,8.628342e+04,-1.607058,-0.254403,7.832793,8.089326e+04,1.280567e+04,-3.942734e+05,1.005527e+00,8.676030e+04
56,2.413966e+04,-6.710662,0.466956,-4.330008,1.786686e+05,-1.243250e+04,1.152847e+05,9.916744e-01,2.393869e+04
57,1.211777e+03,2.346184,-1.355214,-7.527205,-1.399557e+04,8.084187e+03,4.490164e+04,1.001502e+00,1.213597e+03
58,1.603791e+04,0.171423,0.205094,-7.995533,-3.720144e+03,-4.450853e+03,1.735156e+05,9.942608e-01,1.594587e+04
59,1.631583e+05,-7.536317,2.658624,-0.368302,5.216520e+05,-1.840258e+05,2.549330e+04,1.005951e+00,1.641292e+05
60,3.344377e+05,-4.242505,1.688195,-6.568953,4.204334e+05,-1.673005e+05,6.509850e+05,1.006010e+00,3.364475e+05
61,6.343170e+04,0.888879,3.604421,7.086469,-3.836303e+04,-1.555629e+05,-3.058442e+05,1.005383e+00,6.377317e+04
62,9.790806e+04,-0.016447,-0.014750,7.999969,8.818677e+02,7.908694e+02,-4.289580e+05,9.977684e-01,9.768957e+04
63,3.771981e+05,-1.097702,-7.655947,2.044880,1.155278e+05,8.057510e+05,-2.152136e+05,1.003350e+00,3.784617e+05
64,3.010076e+05,-1.661858,-3.564243,-6.966664,1.562428e+05,3.350990e+05,6.549841e+05,1.006086e+00,3.028395e+05
65,3.693769e+05,0.964335,-1.788357,7.737689,-1.004338e+05,1.862543e+05,-8.058670e+05,9.348268e-01,3.453034e+05
66,4.940900e+04,-3.414258,-3.616270,6.266214,1.300519e+05,1.377467e+05,-2.386852e+05,1.006060e+00,4.970841e+04
67,4.826343e+05,-1.004992,0.843995,-7.891620,1.196434e+05,-1.004769e+05,9.394907e+05,1.004921e+00,4.850093e+05
68,4.159161e+05,-0.750110,6.182916,5.020845,8.289819e+04,-6.833031e+05,-5.548772e+05,1.006015e+00,4.184179e+05
69,1.632160e+05,1.308996,-6.058709,5.057526,-9.062264e+04,4.194485e+05,-3.501359e+05,1.005996e+00,1.641946e+05
70,7.817504e+04,0.420072,0.029918,-7.988908,-2.012679e+04,-1.433470e+03,3.827707e+05,1.004799e+00,7.855017e+04
71,2.396802e+05,3.221498,-6.876726,2.516464,-2.702658e+05,5.769193e+05,-2.111174e+05,1.006081e+00,2.411378e+05
72,1.621152e+05,1.686799,3.409523,7.037746,-1.163838e+05,-2.352463e+05,-4.855821e+05,1.005805e+00,1.630563e+05
73,1.674664e+05,-0.113073,2.508694,7.595635,7.929396e+03,-1.759255e+05,-5.326539e+05,1.005847e+00,1.684455e+05
74,6.031896e+03,-3.185977,-3.600874,-6.394002,4.240204e+04,4.792388e+04,8.509752e+04,1.005949e+00,6.067777e+03
75,3.146837e+05,0.134997,-7.306129,-3.256110,-1.297715e+04,7.023307e+05,3.130066e+05,1.006091e+00,3.166005e+05
76,7.096202e+03,-5.495286,-3.899235,4.312516,7.932690e+04,5.628720e+04,-6.225309e+04,1.004705e+00,7.129592e+03
77,7.169148e+04,5.899259,5.363641,-0.655813,-2.706752e+05,-2.460995e+05,3.009060e+04,1.006009e+00,7.212230e+04
78,7.291197e+04,-5.470164,-3.375278,-4.762857,2.531145e+05,1.561803e+05,2.203861e+05,1.006072e+00,7.335472e+04
79,1.485860e+05,1.791848,2.890808,-7.241030,-1.183606e+05,-1.909525e+05,4.783067e+05,1.005876e+00,1.494591e+05
80,3.884826e+03,-6.277609,-2.342218,4.371000,6.704976e+04,2.501672e+04,-4.668570e+04,1.001314e+00,3.889929e+03
81,3.245040e+05,-7.571935,-1.372965,-2.186496,7.391526e+05,1.340253e+05,2.134400e+05,1.006070e+00,3.264736e+05
82,1.718536e+05,-6.661879,3.091605,3.171963,4.732529e+05,-2.196244e+05,-2.253329e+05,9.962176e-01,1.712036e+05
83,1.094129e+05,-7.093849,2.460385,2.761125,4.020993e+05,-1.394615e+05,-1.565083e+05,1.002430e+00,1.096787e+05
84,2.752151e+05,5.047648,2.703662,5.586722,-4.537769e+05,-2.430557e+05,-5.022389e+05,1.006084e+00,2.768896e+05
85,1.553112e+04,-2.693025,-5.388481,-5.264209,5.751206e+04,1.150761e+05,1.124221e+05,1.005990e+00,1.562415e+04
86,5.444225e+03,1.405850,-0.508605,-7.859065,-1.777560e+04,6.430813e+03,9.937019e+04,1.002326e+00,5.456888e+03
87,9.408727e+04,-6.778969,1.720845,-3.883848,3.563250e+05,-9.045330e+04,2.041479e+05,1.002993e+00,9.436887e+04
88,5.122350e+05,-2.867758,-2.242981,7.123552,3.517178e+05,2.750917e+05,-8.736721e+05,1.006083e+00,5.153508e+05
89,4.057438e+05,-4.435973,6.632806,-0.572730,4.842081e+05,-7.240032e+05,6.251627e+04,1.006072e+00,4.082075e+05
90,1.211617e+05,7.174651,0.675956,-3.473826,-4.279576e+05,-4.031980e+04,2.072087e+05,1.006090e+00,1.218997e+05
91,2.203154e+05,0.652891,-0.370514,-7.964700,-5.251462e+04,2.980194e+04,6.406327e+05,1.005913e+00,2.216182e+05
92,4.209543e+05,4.411012,-6.581352,1.108505,-4.904253e+05,7.317282e+05,-1.232459e+05,1.006083e+00,4.235152e+05
93,1.821725e+04,6.306729,0.880756,-4.842462,-1.458689e+05,-2.037109e+04,1.120017e+05,1.006074e+00,1.832790e+04
94,1.159437e+05,-5.186367,2.181230,-5.687163,3.026245e+05,-1.272747e+05,3.318459e+05,1.005938e+00,1.166321e+05
95,5.016828e+04,-1.870345,-5.265476,-5.725083,7.178829e+04,2.021014e+05,2.197423e+05,1.006068e+00,5.047269e+04
96,3.782252e+05,1.986786,0.053116,7.749185,-2.093840e+05,-5.597788e+03,-8.166735e+05,9.316312e-01,3.523664e+05
97,3.469165e+05,4.692670,-3.262897,-5.597531,-4.736415e+05,3.293313e+05,5.649710e+05,1.006090e+00,3.490293e+05
98,3.932946e+05,7.980185,0.318147,-0.464153,-8.576086e+05,-3.419038e+04,4.988121e+04,1.006086e+00,3.956882e+05
99,4.560048e+05,-4.827378,-1.370395,6.230444,5.586158e+05,1.585798e+05,-7.209762e+05,1.006049e+00,4.587629e+05
100,1.237465e+05,-4.424523,-4.529245,-4.889738,2.667167e+05,2.730295e+05,2.947606e+05,1.006076e+00,1.244984e+05
101,1.981600e+05,-1.392431,7.228067,3.133078,1.062182e+05,-5.513754e+05,-2.389992e+05,1.006000e+00,1.993489e+05
102,1.577865e+05,-0.945930,2.381757,7.578420,6.438892e+04,-1.621249e+05,-5.158588e+05,1.006003e+00,1.587337e+05
