i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,2.356374e+04,5.374109,5.834810,1.036315,-1.511269e+05,-1.640824e+05,-2.914252e+04,1.004288e+00,2.366479e+04
1,1.248359e+05,1.312008,6.641518,-4.262496,-8.492182e+04,-4.298830e+05,2.758969e+05,1.006110e+00,1.255986e+05
2,7.076664e+04,7.322249,-3.185409,-0.487684,-3.568387e+05,1.552361e+05,2.376655e+04,1.006085e+00,7.119722e+04
3,6.575342e+04,7.778017,1.716650,-0.745365,-3.653770e+05,-8.064066e+04,3.501395e+04,1.006089e+00,6.615380e+04
4,6.302452e+04,1.665659,0.080629,7.824262,-7.660446e+04,-3.708183e+03,-3.598416e+05,8.389739e-01,5.287593e+04
5,1.587234e+05,-0.671056,-1.599362,-7.809720,4.897705e+04,1.167295e+05,5.699925e+05,1.006070e+00,1.596869e+05
6,1.688209e+05,-6.981656,-1.192689,-3.719406,5.255145e+05,8.977460e+04,2.799625e+05,1.006064e+00,1.698446e+05
7,3.295262e+05,-1.641088,-5.182342,-5.869426,1.725798e+05,5.449846e+05,6.172396e+05,1.006084e+00,3.315311e+05
8,4.207394e+04,6.560286,2.016607,4.110467,-2.465146e+05,-7.577762e+04,-1.544582e+05,1.005955e+00,4.232448e+04
9,4.324779e+03,0.293739,-7.288808,3.284355,-3.538812e+03,8.781156e+04,-3.956811e+04,1.004276e+00,4.343273e+03
10,1.050525e+04,5.563296,-0.612415,-5.716177,-1.044596e+05,1.149905e+04,1.073302e+05,1.006060e+00,1.056891e+04
11,1.371976e+05,2.544165,1.250060,-7.480947,-1.726362e+05,-8.482376e+04,5.076251e+05,1.005950e+00,1.380139e+05
12,4.588213e+04,-7.351896,3.104337,0.559205,2.884924e+05,-1.218159e+05,-2.194352e+04,1.005276e+00,4.612421e+04
13,2.828363e+05,-0.622884,3.947690,6.930206,6.068594e+04,-3.846129e+05,-6.751915e+05,1.005974e+00,2.845261e+05
14,1.396059e+05,1.210798,-0.907235,7.855628,-8.287756e+04,6.209906e+04,-5.377074e+05,9.561781e-01,1.334881e+05
15,3.116376e+05,-6.738847,-0.191557,4.307116,6.891658e+05,1.959012e+04,-4.404785e+05,1.005861e+00,3.134642e+05
16,3.733618e+04,-2.248000,0.085118,7.677190,7.957461e+04,-3.012988e+03,-2.717568e+05,1.005559e+00,3.754375e+04
17,4.260412e+04,6.687549,3.341530,2.847957,-2.528751e+05,-1.263527e+05,-1.076893e+05,1.004865e+00,4.281141e+04
18,7.211619e+04,6.812767,-4.097687,0.891717,-3.351607e+05,2.015897e+05,-4.386889e+04,1.006083e+00,7.255490e+04
19,5.400706e+03,5.027028,1.636314,-6.004287,-6.767835e+04,-2.202952e+04,8.083508e+04,1.005768e+00,5.431858e+03
20,4.358271e+04,4.683261,4.704813,-4.464505,-1.791095e+05,-1.799338e+05,1.707433e+05,1.006079e+00,4.384766e+04
21,2.949677e+04,-4.172353,-4.417639,-5.203454,1.312748e+05,1.389923e+05,1.637164e+05,1.006052e+00,2.967529e+04
22,9.769002e+03,5.020097,-4.229411,4.572822,-9.089718e+04,7.658050e+04,-8.279853e+04,1.000656e+00,9.775406e+03
23,2.305524e+03,-3.708683,-0.310028,-7.081635,3.262253e+04,2.727082e+03,6.229189e+04,1.003285e+00,2.313097e+03
24,9.332604e+04,4.197759,-6.477876,2.101417,-2.349265e+05,3.625327e+05,-1.176053e+05,1.006070e+00,9.389257e+04
25,1.907712e+05,-4.164990,0.851143,6.777051,3.332603e+05,-6.810396e+04,-5.422635e+05,1.005784e+00,1.918747e+05
26,6.041640e+04,-0.746607,-0.360855,7.956907,3.361882e+04,1.624888e+04,-3.582901e+05,1.002487e+00,6.056666e+04
27,1.257399e+05,-5.686856,0.054309,-5.626431,3.694213e+05,-3.527967e+03,3.654960e+05,1.006020e+00,1.264968e+05
