i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,7.178550e+04,5.374109,5.834810,1.036315,-2.066972e+05,-2.244165e+05,-3.985841e+04,1.005162e+00,7.215609e+04
1,3.601750e+05,1.312008,6.641518,-4.262496,-1.130324e+05,-5.721816e+05,3.672236e+05,1.006099e+00,3.623717e+05
2,2.636324e+04,7.322249,-3.185409,-0.487684,-1.706686e+05,7.424622e+04,1.136705e+04,1.006080e+00,2.652352e+04
3,2.208187e+05,7.778017,1.716650,-0.745365,-5.246825e+05,-1.158002e+05,5.028014e+04,1.006087e+00,2.221629e+05
4,3.034041e+05,1.665659,0.080629,7.824262,-1.317063e+05,-6.375492e+03,-6.186769e+05,9.501300e-01,2.882733e+05
5,2.746968e+04,-0.671056,-1.599362,-7.809720,1.596598e+04,3.805251e+04,1.858112e+05,1.005946e+00,2.763300e+04
6,3.462174e+05,-6.981656,-1.192689,-3.719406,5.897157e+05,1.007422e+05,3.141650e+05,1.006069e+00,3.483187e+05
7,3.091897e+05,-1.641088,-5.182342,-5.869426,1.309948e+05,4.136646e+05,4.685090e+05,1.006083e+00,3.110705e+05
8,2.849289e+05,6.560286,2.016607,4.110467,-5.026907e+05,-1.545252e+05,-3.149700e+05,1.006056e+00,2.866545e+05
9,2.515076e+05,0.293739,-7.288808,3.284355,-2.114695e+04,5.247372e+05,-2.364479e+05,1.006042e+00,2.530273e+05
10,7.287968e+04,5.563296,-0.612415,-5.716177,-2.155982e+05,2.373332e+04,2.215229e+05,1.006079e+00,7.332274e+04
11,5.303151e+05,2.544165,1.250060,-7.480947,-2.659635e+05,-1.306796e+05,7.820479e+05,1.006031e+00,5.335136e+05
12,6.483153e+05,-7.351896,3.104337,0.559205,8.497718e+05,-3.588160e+05,-6.463597e+04,1.005999e+00,6.522047e+05
13,3.487989e+04,-0.622884,3.947690,6.930206,1.669954e+04,-1.058377e+05,-1.857990e+05,1.004666e+00,3.504264e+04
14,5.865683e+03,1.210798,-0.907235,7.855628,-1.331193e+04,9.974451e+03,-8.636743e+04,6.556567e-02,3.845875e+02
15,1.278990e+05,-6.738847,-0.191557,4.307116,3.459625e+05,9.834274e+03,-2.211210e+05,1.005238e+00,1.285690e+05
16,1.106870e+05,-2.248000,0.085118,7.677190,1.073630e+05,-4.065158e+03,-3.666574e+05,1.005807e+00,1.113298e+05
17,1.623814e+05,6.687549,3.341530,2.847957,-3.868520e+05,-1.932962e+05,-1.647446e+05,1.005588e+00,1.632887e+05
18,3.532714e+05,6.812767,-4.097687,0.891717,-5.812829e+05,3.496253e+05,-7.608360e+04,1.006085e+00,3.554211e+05
19,2.377483e+05,5.027028,1.636314,-6.004287,-3.518680e+05,-1.145342e+05,4.202715e+05,1.006075e+00,2.391926e+05
20,2.892807e+05,4.683261,4.704813,-4.464505,-3.615912e+05,-3.632552e+05,3.447012e+05,1.006085e+00,2.910409e+05
21,1.092826e+05,-4.172353,-4.417639,-5.203454,1.980006e+05,2.096407e+05,2.469318e+05,1.006072e+00,1.099462e+05
22,3.214404e+05,5.020097,-4.229411,4.572822,-4.085753e+05,3.442231e+05,-3.721726e+05,1.005832e+00,3.233151e+05
23,3.768851e+05,-3.708683,-0.310028,-7.081635,3.268391e+05,2.732213e+04,6.240908e+05,1.006060e+00,3.791689e+05
24,4.195497e+05,4.197759,-6.477876,2.101417,-3.903183e+05,6.023294e+05,-1.953951e+05,1.006081e+00,4.221009e+05
25,1.980700e+04,-4.164990,0.851143,6.777051,8.414593e+04,-1.719578e+04,-1.369178e+05,1.002089e+00,1.984837e+04
26,2.802931e+05,-0.746607,-0.360855,7.956907,5.674241e+04,2.742514e+04,-6.047282e+05,1.004889e+00,2.816635e+05
27,1.178346e+05,-5.686856,0.054309,-5.626431,2.802324e+05,-2.676215e+03,2.772549e+05,1.005964e+00,1.185374e+05
28,3.470435e+05,2.946127,-2.414342,-7.035005,-2.491456e+05,2.041740e+05,5.949303e+05,1.006077e+00,3.491523e+05
29,1.649100e+05,0.739100,3.100149,7.337766,-4.308605e+04,-1.807240e+05,-4.277570e+05,1.005631e+00,1.658386e+05
30,1.043870e+04,-1.186670,7.619905,2.128112,1.740455e+04,-1.117590e+05,-3.121242e+04,1.005020e+00,1.049110e+04
31,2.810831e+05,-1.367523,-5.301197,5.833283,1.040787e+05,4.034605e+05,-4.439563e+05,1.006079e+00,2.827917e+05
32,4.259480e+05,-2.925177,6.474259,-3.677949,2.740565e+05,-6.065661e+05,3.445829e+05,1.006087e+00,4.285406e+05
33,2.097019e+05,-3.138961,-6.819774,2.763622,2.063464e+05,4.483126e+05,-1.816727e+05,1.005344e+00,2.108225e+05
34,5.580763e+05,2.239337,2.983805,-7.076883,-2.401463e+05,-3.199831e+05,7.589245e+05,1.006047e+00,5.614512e+05
35,2.578099e+05,3.450468,-0.992849,7.149023,-2.514997e+05,7.236738e+04,-5.210822e+05,1.002178e+00,2.583713e+05
36,8.374988e+04,-6.581989,4.248959,-1.619805,2.734381e+05,-1.765161e+05,6.729217e+04,1.006001e+00,8.425249e+04
37,5.392612e+05,-0.972814,0.070325,-7.940320,1.025509e+05,-7.413480e+03,8.370422e+05,1.005853e+00,5.424177e+05
38,2.092425e+05,2.281723,6.986139,-3.160317,-1.498296e+05,-4.587457e+05,2.075226e+05,1.006193e+00,2.105385e+05
39,5.999559e+05,-2.697425,-3.774866,-6.517230,2.999292e+05,4.197309e+05,7.246570e+05,1.006085e+00,6.036066e+05
40,3.174791e+04,-4.715940,0.703502,6.423783,1.206245e+05,-1.799421e+04,-1.643078e+05,1.002525e+00,3.182808e+04
41,2.457240e+05,2.814009,-1.999630,7.216844,-2.002438e+05,1.422929e+05,-5.135478e+05,1.005826e+00,2.471555e+05
42,2.473525e+05,-2.377674,1.502366,-7.489297,1.697541e+05,-1.072614e+05,5.346985e+05,1.005669e+00,2.487548e+05
43,1.579377e+05,3.823259,6.212548,3.284347,-2.181154e+05,-3.544235e+05,-1.873707e+05,1.005847e+00,1.588612e+05
44,3.542615e+05,5.234348,5.945433,1.119563,-4.472335e+05,-5.079902e+05,-9.565782e+04,1.005908e+00,3.563544e+05
45,5.107166e+05,-1.628092,0.503105,-7.816406,1.670239e+05,-5.161291e+04,8.018754e+05,1.005805e+00,5.136811e+05
46,5.456353e+05,0.489114,2.204324,-7.674746,-5.186460e+04,-2.337418e+05,8.138137e+05,1.003943e+00,5.477868e+05
47,3.682894e+04,5.131721,-6.135392,-0.149679,-1.413733e+05,1.690234e+05,4.123486e+03,1.006072e+00,3.705258e+04
48,9.454087e+04,3.271781,-7.238734,0.946664,-1.444122e+05,3.195084e+05,-4.178451e+04,1.006074e+00,9.511508e+04
49,4.807593e+05,-2.812900,-3.100667,-6.817144,2.799806e+05,3.086233e+05,6.785411e+05,1.006084e+00,4.836844e+05
50,5.791155e+05,-0.337736,-1.090672,-7.918104,3.689521e+04,1.191479e+05,8.649950e+05,1.006064e+00,5.826275e+05
51,1.099302e+04,-1.954198,7.749167,-0.362658,2.941284e+04,-1.166335e+05,5.458409e+03,1.006305e+00,1.106233e+04
52,1.986298e+05,-2.594361,1.555754,-7.406006,1.659825e+05,-9.953433e+04,4.738229e+05,1.005699e+00,1.997618e+05
