i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,4.378691e+04,5.374109,5.834810,1.036315,-1.951612e+05,-2.118916e+05,-3.763387e+04,1.004993e+00,4.400552e+04
1,3.022334e+05,1.312008,6.641518,-4.262496,-1.251764e+05,-6.336559e+05,4.066775e+05,1.006097e+00,3.040762e+05
2,5.669274e+04,7.322249,-3.185409,-0.487684,-3.025681e+05,1.316267e+05,2.015196e+04,1.006084e+00,5.703766e+04
3,7.641473e+03,7.778017,1.716650,-0.745365,-1.179974e+05,-2.604265e+04,1.130765e+04,1.006115e+00,7.688203e+03
4,3.792761e+05,1.665659,0.080629,7.824262,-1.780241e+05,-8.617591e+03,-8.362498e+05,9.733871e-01,3.691825e+05
5,2.599327e+05,-0.671056,-1.599362,-7.809720,5.937509e+04,1.415116e+05,6.910044e+05,1.006075e+00,2.615118e+05
6,2.953876e+05,-6.981656,-1.192689,-3.719406,6.585208e+05,1.124963e+05,3.508202e+05,1.006072e+00,2.971812e+05
7,4.882533e+05,-1.641088,-5.182342,-5.869426,1.990074e+05,6.284397e+05,7.117593e+05,1.006085e+00,4.912242e+05
8,2.385106e+05,6.560286,2.016607,4.110467,-5.560215e+05,-1.709188e+05,-3.483854e+05,1.006060e+00,2.399561e+05
9,1.710482e+05,0.293739,-7.288808,3.284355,-2.108320e+04,5.231553e+05,-2.357351e+05,1.006040e+00,1.720813e+05
10,1.537069e+04,5.563296,-0.612415,-5.716177,-1.196999e+05,1.317671e+04,1.229893e+05,1.006065e+00,1.546392e+04
11,1.109025e+05,2.544165,1.250060,-7.480947,-1.470385e+05,-7.224647e+04,4.323567e+05,1.005897e+00,1.115565e+05
12,8.588298e+04,-7.351896,3.104337,0.559205,3.739106e+05,-1.578837e+05,-2.844067e+04,1.005604e+00,8.636430e+04
13,2.140433e+05,-0.622884,3.947690,6.930206,5.001186e+04,-3.169632e+05,-5.564317e+05,1.005920e+00,2.153105e+05
14,1.356144e+05,1.210798,-0.907235,7.855628,-7.738193e+04,5.798126e+04,-5.020520e+05,9.486657e-01,1.286527e+05
15,1.910428e+05,-6.738847,-0.191557,4.307116,5.111706e+05,1.453045e+04,-3.267133e+05,1.005675e+00,1.921270e+05
16,1.964902e+05,-2.248000,0.085118,7.677190,1.729345e+05,-6.547937e+03,-5.905921e+05,1.005971e+00,1.976633e+05
17,4.822691e+04,6.687549,3.341530,2.847957,-2.548747e+05,-1.273518e+05,-1.085408e+05,1.004877e+00,4.846213e+04
18,2.893226e+04,6.812767,-4.097687,0.891717,-2.011081e+05,1.209609e+05,-2.632286e+04,1.006078e+00,2.910812e+04
19,9.502076e+04,5.027028,1.636314,-6.004287,-2.689277e+05,-8.753682e+04,3.212074e+05,1.006066e+00,9.559717e+04
20,4.597266e+04,4.683261,4.704813,-4.464505,-1.742662e+05,-1.750681e+05,1.661262e+05,1.006079e+00,4.625212e+04
21,9.830911e+04,-4.172353,-4.417639,-5.203454,2.270350e+05,2.403821e+05,2.831415e+05,1.006075e+00,9.890635e+04
22,3.832877e+03,5.020097,-4.229411,4.572822,-5.393733e+04,4.544199e+04,-4.913169e+04,9.903742e-01,3.795983e+03
23,5.197208e+04,-3.708683,-0.310028,-7.081635,1.467302e+05,1.226592e+04,2.801776e+05,1.005947e+00,5.228118e+04
24,3.152175e+04,4.197759,-6.477876,2.101417,-1.293414e+05,1.995964e+05,-6.474887e+04,1.006032e+00,3.171190e+04
25,1.934997e+05,-4.164990,0.851143,6.777051,3.179575e+05,-6.497672e+04,-5.173635e+05,1.005753e+00,1.946129e+05
26,2.582286e+05,-0.746607,-0.360855,7.956907,6.584289e+04,3.182365e+04,-7.017159e+05,1.005146e+00,2.595575e+05
27,1.822995e+05,-5.686856,0.054309,-5.626431,4.213858e+05,-4.024227e+03,4.169084e+05,1.006037e+00,1.834001e+05
28,2.387248e+05,2.946127,-2.414342,-7.035005,-2.498131e+05,2.047210e+05,5.965242e+05,1.006076e+00,2.401754e+05
29,1.428270e+04,0.739100,3.100149,7.337766,-1.532934e+04,-6.429876e+04,-1.521892e+05,1.002248e+00,1.431480e+04
30,2.088759e+05,-1.186670,7.619905,2.128112,9.412152e+04,-6.043781e+05,-1.687927e+05,1.006047e+00,2.101390e+05
31,1.008686e+05,-1.367523,-5.301197,5.833283,7.537503e+04,2.921910e+05,-3.215185e+05,1.006072e+00,1.014810e+05
32,7.717336e+04,-2.925177,6.474259,-3.677949,1.410265e+05,-3.121323e+05,1.773186e+05,1.006089e+00,7.764327e+04
33,1.599806e+05,-3.138961,-6.819774,2.763622,2.178886e+05,4.733895e+05,-1.918348e+05,1.005382e+00,1.608416e+05
34,8.966072e+04,2.239337,2.983805,-7.076883,-1.163685e+05,-1.550552e+05,3.677545e+05,1.005910e+00,9.019064e+04
35,5.980659e+02,3.450468,-0.992849,7.149023,-1.464426e+04,4.213788e+03,-3.034143e+04,1.458736e-01,8.724201e+01
36,2.871249e+05,-6.581989,4.248959,-1.619805,6.120790e+05,-3.951235e+05,1.506305e+05,1.006068e+00,2.888673e+05
37,1.901514e+05,-0.972814,0.070325,-7.940320,7.361982e+04,-5.322032e+03,6.009007e+05,1.005614e+00,1.912189e+05
38,1.624649e+04,2.281723,6.986139,-3.160317,-5.047282e+04,-1.545368e+05,6.990775e+04,1.007008e+00,1.636035e+04
39,2.140408e+05,-2.697425,-3.774866,-6.517230,2.165771e+05,3.030852e+05,5.232705e+05,1.006084e+00,2.153430e+05
40,1.425335e+05,-4.715940,0.703502,6.423783,3.089880e+05,-4.609340e+04,-4.208858e+05,1.005460e+00,1.433117e+05
41,3.992746e+05,2.814009,-1.999630,7.216844,-3.085860e+05,2.192807e+05,-7.914036e+05,1.005972e+00,4.016591e+05
42,2.060073e+05,-2.377674,1.502366,-7.489297,1.872874e+05,-1.183401e+05,5.899256e+05,1.005724e+00,2.071865e+05
43,1.089049e+05,3.823259,6.212548,3.284347,-2.189638e+05,-3.558020e+05,-1.880995e+05,1.005835e+00,1.095404e+05
44,4.218044e+04,5.234348,5.945433,1.119563,-1.865662e+05,-2.119112e+05,-3.990425e+04,1.005018e+00,4.239209e+04
45,3.373717e+05,-1.628092,0.503105,-7.816406,1.641149e+05,-5.071399e+04,7.879094e+05,1.005778e+00,3.393209e+05
