i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,6.096231e+04,5.374109,5.834810,1.036315,-5.435448e+05,-5.901407e+05,-1.048143e+05,1.005975e+00,6.132656e+04
1,1.871438e+04,1.312008,6.641518,-4.262496,-7.352284e+04,-3.721802e+05,2.388635e+05,1.006111e+00,1.882874e+04
2,1.480474e+04,7.322249,-3.185409,-0.487684,-3.649582e+05,1.587683e+05,2.430732e+04,1.006085e+00,1.489482e+04
3,6.221276e+04,7.778017,1.716650,-0.745365,-7.947065e+05,-1.753960e+05,7.615645e+04,1.006087e+00,6.259142e+04
4,6.808440e+04,1.665659,0.080629,7.824262,-1.780361e+05,-8.618174e+03,-8.363064e+05,9.807015e-01,6.677048e+04
5,1.422273e+04,-0.671056,-1.599362,-7.809720,3.278300e+04,7.813337e+04,3.815269e+05,1.006058e+00,1.430890e+04
6,4.621042e+04,-6.981656,-1.192689,-3.719406,6.147897e+05,1.050256e+05,3.275229e+05,1.006073e+00,4.649108e+04
7,4.254079e+04,-1.641088,-5.182342,-5.869426,1.386541e+05,4.378517e+05,4.959028e+05,1.006084e+00,4.279960e+04
8,1.691175e+04,6.560286,2.016607,4.110467,-3.494743e+05,-1.074270e+05,-2.189695e+05,1.006035e+00,1.701382e+04
9,2.971307e+04,0.293739,-7.288808,3.284355,-2.074122e+04,5.146695e+05,-2.319114e+05,1.006048e+00,2.989278e+04
10,2.846035e+04,5.563296,-0.612415,-5.716177,-3.844594e+05,4.232177e+04,3.950245e+05,1.006084e+00,2.863351e+04
11,1.096457e+03,2.544165,1.250060,-7.480947,-3.450955e+04,-1.695606e+04,1.014730e+05,1.003471e+00,1.100262e+03
12,8.979891e+03,-7.351896,3.104337,0.559205,2.853863e+05,-1.205043e+05,-2.170726e+04,1.005444e+00,9.028776e+03
13,2.216562e+04,-0.622884,3.947690,6.930206,3.798791e+04,-2.407582e+05,-4.226533e+05,1.005864e+00,2.229559e+04
14,1.247317e+04,1.210798,-0.907235,7.855628,-5.539345e+04,4.150558e+04,-3.593913e+05,9.202435e-01,1.147835e+04
15,5.084725e+04,-6.738847,-0.191557,4.307116,6.224687e+05,1.769420e+04,-3.978492e+05,1.005872e+00,5.114580e+04
16,1.246482e+04,-2.248000,0.085118,7.677190,1.028105e+05,-3.892785e+03,-3.511102e+05,1.005836e+00,1.253757e+04
17,7.540735e+04,6.687549,3.341530,2.847957,-7.522670e+05,-3.758811e+05,-3.203601e+05,1.005978e+00,7.585812e+04
18,7.812674e+03,6.812767,-4.097687,0.891717,-2.466730e+05,1.483668e+05,-3.228681e+04,1.006082e+00,7.860192e+03
19,3.897139e+03,5.027028,1.636314,-6.004287,-1.285531e+05,-4.184444e+04,1.535439e+05,1.006018e+00,3.920593e+03
20,4.410475e+04,4.683261,4.704813,-4.464505,-4.028925e+05,-4.047466e+05,3.840734e+05,1.006085e+00,4.437314e+04
21,4.313293e+04,-4.172353,-4.417639,-5.203454,3.549635e+05,3.758313e+05,4.426846e+05,1.006083e+00,4.339530e+04
22,1.212160e+04,5.020097,-4.229411,4.572822,-2.264072e+05,1.907472e+05,-2.062351e+05,1.005409e+00,1.218716e+04
23,6.420253e+03,-3.708683,-0.310028,-7.081635,1.217290e+05,1.017594e+04,2.324384e+05,1.005930e+00,6.458326e+03
24,1.057657e+03,4.197759,-6.477876,2.101417,-5.592270e+04,8.629851e+04,-2.799515e+04,1.005844e+00,1.063838e+03
25,3.054908e+04,-4.164990,0.851143,6.777051,2.982024e+05,-6.093965e+04,-4.852192e+05,1.005792e+00,3.072603e+04
26,2.829740e+04,-0.746607,-0.360855,7.956907,5.144738e+04,2.486591e+04,-5.482968e+05,1.004894e+00,2.843589e+04
27,1.510044e+04,-5.686856,0.054309,-5.626431,2.862629e+05,-2.733806e+03,2.832213e+05,1.005996e+00,1.519097e+04
28,3.983850e+04,2.946127,-2.414342,-7.035005,-2.408802e+05,1.974006e+05,5.751936e+05,1.006078e+00,4.008064e+04
