i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,1.721699e+04,5.374109,5.834810,1.036315,-1.040005e+05,-1.129160e+05,-2.005491e+04,1.002688e+00,1.726326e+04
1,1.409140e+05,1.312008,6.641518,-4.262496,-7.263800e+04,-3.677010e+05,2.359888e+05,1.006116e+00,1.417758e+05
2,1.247815e+05,7.322249,-3.185409,-0.487684,-3.814783e+05,1.659551e+05,2.540762e+04,1.006085e+00,1.255407e+05
3,1.598981e+05,7.778017,1.716650,-0.745365,-4.587128e+05,-1.012404e+05,4.395829e+04,1.006088e+00,1.608715e+05
4,3.537020e+04,1.665659,0.080629,7.824262,-4.620140e+04,-2.236466e+03,-2.170264e+05,6.243811e-01,2.208448e+04
5,2.767848e+05,-0.671056,-1.599362,-7.809720,5.206914e+04,1.240990e+05,6.059780e+05,1.006073e+00,2.784657e+05
6,3.220027e+04,-6.981656,-1.192689,-3.719406,1.847730e+05,3.156511e+04,9.843593e+04,1.005920e+00,3.239089e+04
7,1.212464e+05,-1.641088,-5.182342,-5.869426,8.427846e+04,2.661405e+05,3.014258e+05,1.006079e+00,1.219835e+05
8,5.109634e+03,6.560286,2.016607,4.110467,-6.916207e+04,-2.126015e+04,-4.333476e+04,1.004567e+00,5.132969e+03
9,7.961784e+04,0.293739,-7.288808,3.284355,-1.222413e+04,3.033277e+05,-1.366802e+05,1.005978e+00,8.009378e+04
10,3.806740e+05,5.563296,-0.612415,-5.716177,-5.062431e+05,5.572786e+04,5.201548e+05,1.006085e+00,3.829903e+05
11,5.102971e+05,2.544165,1.250060,-7.480947,-2.680447e+05,-1.317021e+05,7.881674e+05,1.006035e+00,5.133766e+05
12,3.329756e+05,-7.351896,3.104337,0.559205,6.256853e+05,-2.641955e+05,-4.759134e+04,1.005932e+00,3.349510e+05
13,1.513374e+05,-0.622884,3.947690,6.930206,3.573804e+04,-2.264991e+05,-3.976213e+05,1.005793e+00,1.522141e+05
14,3.364655e+04,1.210798,-0.907235,7.855628,-3.275612e+04,2.454373e+04,-2.125208e+05,7.384101e-01,2.484495e+04
15,3.470587e+05,-6.738847,-0.191557,4.307116,5.855141e+05,1.664373e+04,-3.742298e+05,1.005803e+00,3.490727e+05
16,1.851313e+05,-2.248000,0.085118,7.677190,1.426549e+05,-5.401438e+03,-4.871834e+05,1.005933e+00,1.862297e+05
17,3.949309e+04,6.687549,3.341530,2.847957,-1.960098e+05,-9.793914e+04,-8.347266e+04,1.004246e+00,3.966079e+04
18,4.518602e+05,6.812767,-4.097687,0.891717,-6.754231e+05,4.062479e+05,-8.840552e+04,1.006086e+00,4.546100e+05
19,2.022699e+05,5.027028,1.636314,-6.004287,-3.334474e+05,-1.085382e+05,3.982699e+05,1.006074e+00,2.034986e+05
20,8.278421e+02,4.683261,4.704813,-4.464505,-1.987341e+04,-1.996487e+04,1.894512e+04,1.005087e+00,8.320534e+02
21,8.311399e+04,-4.172353,-4.417639,-5.203454,1.774061e+05,1.878355e+05,2.212479e+05,1.006070e+00,8.361847e+04
22,3.662206e+05,5.020097,-4.229411,4.572822,-4.480576e+05,3.774867e+05,-4.081371e+05,1.005884e+00,3.683756e+05
23,3.929384e+03,-3.708683,-0.310028,-7.081635,3.428722e+04,2.866242e+03,6.547057e+04,1.003781e+00,3.944242e+03
24,3.113569e+05,4.197759,-6.477876,2.101417,-3.454594e+05,5.331043e+05,-1.729385e+05,1.006080e+00,3.132499e+05
25,3.795252e+05,-4.164990,0.851143,6.777051,3.784292e+05,-7.733452e+04,-6.157599e+05,1.005872e+00,3.817537e+05
26,2.411110e+05,-0.746607,-0.360855,7.956907,5.406929e+04,2.613315e+04,-5.762396e+05,1.004827e+00,2.422748e+05
27,5.101500e+05,-5.686856,0.054309,-5.626431,5.990616e+05,-5.721029e+03,5.926964e+05,1.006067e+00,5.132450e+05
28,2.692083e+05,2.946127,-2.414342,-7.035005,-2.254478e+05,1.847538e+05,5.383429e+05,1.006075e+00,2.708438e+05
29,7.754921e+04,0.739100,3.100149,7.337766,-3.035585e+04,-1.273273e+05,-3.013720e+05,1.005208e+00,7.795309e+04
