i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,8.662891e+04,5.374109,5.834810,1.036315,-4.581641e+05,-4.974407e+05,-8.834998e+04,1.005874e+00,8.713776e+04
1,1.023404e+05,1.312008,6.641518,-4.262496,-1.215747e+05,-6.154236e+05,3.949761e+05,1.006098e+00,1.029645e+05
2,2.287695e+04,7.322249,-3.185409,-0.487684,-3.207944e+05,1.395557e+05,2.136588e+04,1.006084e+00,2.301614e+04
3,4.901855e+04,7.778017,1.716650,-0.745365,-4.988067e+05,-1.100893e+05,4.780047e+04,1.006088e+00,4.931696e+04
4,4.852860e+04,1.665659,0.080629,7.824262,-1.062841e+05,-5.144881e+03,-4.992585e+05,9.116634e-01,4.424175e+04
5,2.768445e+04,-0.671056,-1.599362,-7.809720,3.234149e+04,7.708110e+04,3.763887e+05,1.006047e+00,2.785186e+04
6,6.635861e+03,-6.981656,-1.192689,-3.719406,1.647367e+05,2.814226e+04,8.776177e+04,1.005841e+00,6.674618e+03
7,9.725572e+04,-1.641088,-5.182342,-5.869426,1.482424e+05,4.681304e+05,5.301959e+05,1.006083e+00,9.784737e+04
8,1.930317e+04,6.560286,2.016607,4.110467,-2.640099e+05,-8.115563e+04,-1.654202e+05,1.005965e+00,1.941831e+04
9,3.877328e+04,0.293739,-7.288808,3.284355,-1.675374e+04,4.157248e+05,-1.873267e+05,1.006014e+00,3.900645e+04
10,3.269437e+04,5.563296,-0.612415,-5.716177,-2.913747e+05,3.207489e+04,2.993818e+05,1.006082e+00,3.289321e+04
11,9.038068e+04,2.544165,1.250060,-7.480947,-2.215472e+05,-1.088559e+05,6.514447e+05,1.005998e+00,9.092281e+04
12,1.060198e+04,-7.351896,3.104337,0.559205,2.192684e+05,-9.258606e+04,-1.667816e+04,1.004584e+00,1.065058e+04
13,8.939295e+04,-0.622884,3.947690,6.930206,5.394387e+04,-3.418833e+05,-6.001793e+05,1.005936e+00,8.992360e+04
14,6.925626e+04,1.210798,-0.907235,7.855628,-9.229635e+04,6.915644e+04,-5.988163e+05,9.633101e-01,6.671525e+04
15,2.322484e+04,-6.738847,-0.191557,4.307116,2.974714e+05,8.455873e+03,-1.901280e+05,1.004809e+00,2.333654e+04
16,7.505815e+04,-2.248000,0.085118,7.677190,1.783933e+05,-6.754626e+03,-6.092344e+05,1.005972e+00,7.550638e+04
17,1.567483e+05,6.687549,3.341530,2.847957,-7.669228e+05,-3.832040e+05,-3.266014e+05,1.005944e+00,1.576801e+05
18,1.596955e+04,6.812767,-4.097687,0.891717,-2.493751e+05,1.499921e+05,-3.264048e+04,1.006081e+00,1.606666e+04
19,9.805479e+03,5.027028,1.636314,-6.004287,-1.441879e+05,-4.693363e+04,1.722182e+05,1.006012e+00,9.864434e+03
20,9.239242e+04,4.683261,4.704813,-4.464505,-4.123345e+05,-4.142321e+05,3.930743e+05,1.006085e+00,9.295462e+04
21,3.308726e+03,-4.172353,-4.417639,-5.203454,6.951758e+04,7.360442e+04,8.669725e+04,1.005948e+00,3.328406e+03
22,1.271672e+04,5.020097,-4.229411,4.572822,-1.639769e+05,1.381499e+05,-1.493671e+05,1.004326e+00,1.277173e+04
23,8.543555e+03,-3.708683,-0.310028,-7.081635,9.929382e+04,8.300471e+03,1.895990e+05,1.005767e+00,8.592823e+03
24,1.628657e+04,4.197759,-6.477876,2.101417,-1.551728e+05,2.394587e+05,-7.768017e+04,1.006047e+00,1.638506e+04
25,7.508093e+04,-4.164990,0.851143,6.777051,3.305689e+05,-6.755395e+04,-5.378841e+05,1.005761e+00,7.551350e+04
26,8.009897e+03,-0.746607,-0.360855,7.956907,1.935479e+04,9.354692e+03,-2.062723e+05,9.944983e-01,7.965829e+03
27,1.752204e+04,-5.686856,0.054309,-5.626431,2.180458e+05,-2.082334e+03,2.157290e+05,1.005822e+00,1.762406e+04
28,3.777761e+04,2.946127,-2.414342,-7.035005,-1.658639e+05,1.359249e+05,3.960635e+05,1.006062e+00,3.800663e+04
29,1.124555e+05,0.739100,3.100149,7.337766,-7.179215e+04,-3.011315e+05,-7.127503e+05,1.005904e+00,1.131194e+05
30,5.898657e+03,-1.186670,7.619905,2.128112,2.639913e+04,-1.695155e+05,-4.734283e+04,1.005566e+00,5.931486e+03
31,1.101839e+05,-1.367523,-5.301197,5.833283,1.314852e+05,5.097018e+05,-5.608611e+05,1.006081e+00,1.108539e+05
32,1.265131e+04,-2.925177,6.474259,-3.677949,9.530221e+04,-2.109313e+05,1.198275e+05,1.006093e+00,1.272839e+04
33,1.300354e+05,-3.138961,-6.819774,2.763622,3.278687e+05,7.123344e+05,-2.886640e+05,1.005758e+00,1.307841e+05
34,1.829412e+05,2.239337,2.983805,-7.076883,-2.774331e+05,-3.696659e+05,8.767605e+05,1.006054e+00,1.840487e+05
35,1.160108e+04,3.450468,-0.992849,7.149023,-1.076491e+05,3.097531e+04,-2.230381e+05,9.825474e-01,1.139861e+04
36,2.681067e+04,-6.581989,4.248959,-1.619805,3.121722e+05,-2.015206e+05,7.682448e+04,1.006014e+00,2.697190e+04
37,4.155321e+04,-0.972814,0.070325,-7.940320,5.744015e+04,-4.152391e+03,4.688388e+05,1.005278e+00,4.177252e+04
38,7.999902e+02,2.281723,6.986139,-3.160317,-1.869341e+04,-5.723514e+04,2.589144e+04,1.011595e+00,8.092658e+02
39,3.138878e+03,-2.697425,-3.774866,-6.517230,4.377435e+04,6.125928e+04,1.057629e+05,1.006019e+00,3.157770e+03
40,7.297789e+04,-4.715940,0.703502,6.423783,3.690176e+05,-5.504834e+04,-5.026547e+05,1.005620e+00,7.338799e+04
41,6.155420e+04,2.814009,-1.999630,7.216844,-2.022262e+05,1.437016e+05,-5.186320e+05,1.005801e+00,6.191127e+04
42,1.801665e+04,-2.377674,1.502366,-7.489297,9.244267e+04,-5.841117e+04,2.911798e+05,1.004518e+00,1.809805e+04
43,2.126938e+04,3.823259,6.212548,3.284347,-1.615081e+05,-2.624402e+05,-1.387425e+05,1.005596e+00,2.138840e+04
44,8.081317e+04,5.234348,5.945433,1.119563,-4.310095e+05,-4.895621e+05,-9.218770e+04,1.005872e+00,8.128774e+04
45,1.080567e+05,-1.628092,0.503105,-7.816406,1.550201e+05,-4.790355e+04,7.442455e+05,1.005722e+00,1.086751e+05
46,1.011481e+03,0.489114,2.204324,-7.674746,-4.505802e+03,-2.030661e+04,7.070109e+04,8.279207e-01,8.374262e+02
47,6.041926e+03,5.131721,-6.135392,-0.149679,-1.155404e+05,1.381380e+05,3.370008e+03,1.006062e+00,6.078552e+03
48,9.683172e+03,3.271781,-7.238734,0.946664,-9.325588e+04,2.063263e+05,-2.698285e+04,1.006049e+00,9.741743e+03
49,8.998852e+04,-2.812900,-3.100667,-6.817144,2.444168e+05,2.694212e+05,5.923511e+05,1.006083e+00,9.053596e+04
50,2.839570e+04,-0.337736,-1.090672,-7.918104,1.648493e+04,5.323577e+04,3.864833e+05,1.005965e+00,2.856507e+04
51,3.124726e+04,-1.954198,7.749167,-0.362658,1.000594e+05,-3.967749e+05,1.856893e+04,1.006091e+00,3.143760e+04
52,6.003390e+04,-2.594361,1.555754,-7.406006,1.841246e+05,-1.104136e+05,5.256123e+05,1.005736e+00,6.037823e+04
53,1.756015e+03,-0.791048,-6.182939,-5.014530,9.601739e+03,7.504854e+04,6.086639e+04,1.005603e+00,1.765853e+03
54,9.192009e+03,-0.129343,-0.461785,7.985614,3.591959e+03,1.282413e+04,-2.217669e+05,9.417267e-01,8.656360e+03
55,3.071207e+04,-1.607058,-0.254403,7.832793,8.157727e+04,1.291395e+04,-3.976073e+05,1.005536e+00,3.088210e+04
56,4.595894e+03,-6.710662,0.466956,-4.330008,1.317752e+05,-9.169464e+03,8.502701e+04,9.755490e-01,4.483520e+03
57,1.077107e+04,2.346184,-1.355214,-7.527205,-7.053013e+04,4.073995e+04,2.262801e+05,1.005907e+00,1.083470e+04
58,1.060303e+05,0.171423,0.205094,-7.995533,-1.616840e+04,-1.934418e+04,7.541291e+05,1.005486e+00,1.066120e+05
59,3.685626e+03,-7.536317,2.658624,-0.368302,1.325251e+05,-4.675152e+04,6.476540e+03,1.003926e+00,3.700095e+03
60,4.637748e+04,-4.242505,1.688195,-6.568953,2.646422e+05,-1.053075e+05,4.097632e+05,1.005893e+00,4.665079e+04
61,8.853214e+04,0.888879,3.604421,7.086469,-7.660836e+04,-3.106485e+05,-6.107501e+05,1.005910e+00,8.905538e+04
62,1.137138e+04,-0.016447,-0.014750,7.999969,5.080036e+02,4.555837e+02,-2.471031e+05,9.802743e-01,1.114707e+04
63,6.116939e+02,-1.097702,-7.655947,2.044880,7.863842e+03,5.484653e+04,-1.464934e+04,6.272796e-01,3.837031e+02
64,4.491296e+03,-1.661858,-3.564243,-6.966664,3.225990e+04,6.918888e+04,1.352365e+05,1.006083e+00,4.518615e+03
65,5.660782e+04,0.964335,-1.788357,7.737689,-6.645833e+04,1.232468e+05,-5.332523e+05,8.586312e-01,4.860525e+04
66,1.734740e+05,-3.414258,-3.616270,6.266214,4.119046e+05,4.362759e+05,-7.559717e+05,1.006084e+00,1.745293e+05
67,7.692214e+04,-1.004992,0.843995,-7.891620,8.073675e+04,-6.780295e+04,6.339792e+05,1.003557e+00,7.719572e+04
68,7.399055e+04,-0.750110,6.182916,5.020845,5.910120e+04,-4.871522e+05,-3.955926e+05,1.005947e+00,7.443060e+04
69,5.139926e+04,1.308996,-6.058709,5.057526,-8.596067e+04,3.978705e+05,-3.321236e+05,1.005986e+00,5.170694e+04
70,6.422994e+04,0.420072,0.029918,-7.988908,-3.083722e+04,-2.196289e+03,5.864613e+05,1.005543e+00,6.458597e+04
71,2.077368e+04,3.221498,-6.876726,2.516464,-1.344924e+05,2.870924e+05,-1.050584e+05,1.006065e+00,2.089967e+04
72,4.716708e+04,1.686799,3.409523,7.037746,-1.061124e+05,-2.144847e+05,-4.427272e+05,1.005748e+00,4.743818e+04
73,1.036528e+05,-0.113073,2.508694,7.595635,1.054467e+04,-2.339491e+05,-7.083335e+05,1.005951e+00,1.042696e+05
74,2.118032e+04,-3.185977,-3.600874,-6.394002,1.343050e+05,1.517949e+05,2.695394e+05,1.006074e+00,2.130896e+04
75,7.793158e+04,0.134997,-7.306129,-3.256110,-1.091603e+04,5.907820e+05,2.632928e+05,1.006093e+00,7.840644e+04
76,6.919771e+04,-5.495286,-3.899235,4.312516,4.187158e+05,2.971040e+05,-3.285941e+05,1.006038e+00,6.961553e+04
77,1.502510e+05,5.899259,5.363641,-0.655813,-6.623527e+05,-6.022150e+05,7.363287e+04,1.006073e+00,1.511635e+05
78,1.053676e+03,-5.470164,-3.375278,-4.762857,5.143244e+04,3.173558e+04,4.478209e+04,1.005726e+00,1.059710e+03
79,8.476570e+04,1.791848,2.890808,-7.241030,-1.511104e+05,-2.437881e+05,6.106518e+05,1.005957e+00,8.527069e+04
80,2.779046e+04,-6.277609,-2.342218,4.371000,3.031275e+05,1.130989e+05,-2.110629e+05,1.005858e+00,2.795325e+04
81,1.104027e+04,-7.571935,-1.372965,-2.186496,2.304517e+05,4.178617e+04,6.654594e+04,1.005913e+00,1.110555e+04
82,1.044626e+05,-6.661879,3.091605,3.171963,6.236778e+05,-2.894327e+05,-2.969557e+05,1.000412e+00,1.045057e+05
83,1.571024e+05,-7.093849,2.460385,2.761125,8.144352e+05,-2.824734e+05,-3.170010e+05,1.005199e+00,1.579191e+05
84,1.069823e+05,5.047648,2.703662,5.586722,-4.782206e+05,-2.561484e+05,-5.292932e+05,1.006084e+00,1.076333e+05
85,1.043479e+05,-2.693025,-5.388481,-5.264209,2.519795e+05,5.041866e+05,4.925588e+05,1.006082e+00,1.049825e+05
86,3.641432e+04,1.405850,-0.508605,-7.859065,-7.770670e+04,2.811253e+04,4.344004e+05,1.005895e+00,3.662899e+04
87,5.914493e+04,-6.778969,1.720845,-3.883848,4.775354e+05,-1.212226e+05,2.735925e+05,1.004320e+00,5.940046e+04
88,1.374984e+03,-2.867758,-2.242981,7.123552,3.080169e+04,2.409116e+04,-7.651185e+04,1.005646e+00,1.382747e+03
89,2.720002e+04,-4.435973,6.632806,-0.572730,2.119126e+05,-3.168583e+05,2.736010e+04,1.006014e+00,2.736359e+04
90,4.371796e+04,7.174651,0.675956,-3.473826,-4.345241e+05,-4.093847e+04,2.103881e+05,1.006090e+00,4.398421e+04
91,1.821639e+04,0.652891,-0.370514,-7.964700,-2.552436e+04,1.448502e+04,3.113751e+05,1.005342e+00,1.831369e+04
92,5.850363e+04,4.411012,-6.581352,1.108505,-3.090387e+05,4.610943e+05,-7.766269e+04,1.006079e+00,5.885930e+04
93,8.294135e+04,6.306729,0.880756,-4.842462,-5.261056e+05,-7.347243e+04,4.039568e+05,1.006085e+00,8.344606e+04
94,6.140746e+04,-5.186367,2.181230,-5.687163,3.722692e+05,-1.565652e+05,4.082155e+05,1.005992e+00,6.177543e+04
95,7.266457e+03,-1.870345,-5.265476,-5.725083,4.618132e+04,1.300116e+05,1.413599e+05,1.006039e+00,7.310337e+03
96,5.495784e+02,1.986786,0.053116,7.749185,-1.349115e+04,-3.606800e+02,-5.262038e+04,0.000000e+00,0.000000e+00
97,1.552705e+05,4.692670,-3.262897,-5.597531,-5.356088e+05,3.724183e+05,6.388871e+05,1.006089e+00,1.562160e+05
98,1.547164e+04,7.980185,0.318147,-0.464153,-2.875175e+05,-1.146249e+04,1.672292e+04,1.006087e+00,1.556581e+04
99,6.763374e+04,-4.827378,-1.370395,6.230444,3.636438e+05,1.032312e+05,-4.693360e+05,1.005998e+00,6.803942e+04
100,3.073978e+04,-4.424523,-4.529245,-4.889738,2.246984e+05,2.300167e+05,2.483243e+05,1.006071e+00,3.092642e+04
101,7.830748e+04,-1.392431,7.228067,3.133078,1.128648e+05,-5.858777e+05,-2.539546e+05,1.006010e+00,7.877808e+04
102,4.361386e+04,-0.945930,2.381757,7.578420,5.722087e+04,-1.440764e+05,-4.584311e+05,1.005981e+00,4.387470e+04
103,1.251717e+04,0.223793,-1.364099,7.879667,-7.252428e+03,4.420609e+04,-2.553548e+05,2.626760e-03,3.287960e+01
104,5.557798e+04,3.434875,5.433143,4.762624,-2.345554e+05,-3.710101e+05,-3.252227e+05,1.005935e+00,5.590784e+04
105,2.261638e+04,-7.906715,1.109872,-0.502035,3.444219e+05,-4.834678e+04,2.186900e+04,1.005793e+00,2.274740e+04
106,2.586462e+04,2.340350,3.234511,-6.932582,-1.090227e+05,-1.506763e+05,3.229470e+05,1.005922e+00,2.601779e+04
107,2.589425e+04,-6.093188,-3.239718,4.046886,2.840072e+05,1.510052e+05,-1.886278e+05,1.005917e+00,2.604746e+04
108,1.035122e+05,0.041514,-0.003429,7.999892,-3.868759e+03,3.195739e+02,-7.455265e+05,1.003115e+00,1.038346e+05
109,1.551176e+01,7.860149,1.466440,0.260035,-8.966946e+03,-1.672931e+03,-2.966511e+02,1.001191e+00,1.553023e+01
110,1.640299e+05,-0.550954,-7.929012,-0.909513,6.463389e+04,9.301731e+05,1.066973e+05,1.005948e+00,1.650055e+05
111,9.190552e+04,3.203255,3.104439,6.640905,-2.812843e+05,-2.726071e+05,-5.831513e+05,1.006042e+00,9.246082e+04
112,1.555008e+04,-2.323846,-2.026162,7.382033,8.393766e+04,7.318528e+04,-2.666401e+05,1.005956e+00,1.564271e+04
113,5.355015e+04,3.734379,-1.109701,-6.987344,-2.503122e+05,7.438228e+04,4.683555e+05,1.006066e+00,5.387497e+04
114,9.377738e+04,-0.440126,7.762579,1.883789,3.903999e+04,-6.885544e+05,-1.670954e+05,1.006070e+00,9.434660e+04
115,1.504665e+05,4.378848,-3.269945,-5.842358,-4.919975e+05,3.674037e+05,6.564343e+05,1.006085e+00,1.513821e+05
116,8.461439e+04,-6.627478,2.068489,-3.974655,5.584106e+05,-1.742844e+05,3.348920e+05,1.005039e+00,8.504077e+04
117,1.165608e+04,1.988965,7.659000,-1.176326,-6.219944e+04,-2.395143e+05,3.678638e+04,1.004599e+00,1.170969e+04
118,9.281779e+04,3.506436,6.987178,1.698310,-3.094316e+05,-6.165958e+05,-1.498703e+05,1.006096e+00,9.338357e+04
119,2.329858e+04,-1.508694,-3.636781,-6.964027,6.670356e+04,1.607922e+05,3.078990e+05,1.006086e+00,2.344038e+04
120,1.438347e+04,1.970158,-0.333063,7.746454,-6.844097e+04,1.157023e+04,-2.691026e+05,8.969162e-01,1.290077e+04
121,2.892160e+04,0.689484,-5.617458,5.654094,-3.396398e+04,2.767159e+05,-2.785207e+05,1.005916e+00,2.909269e+04
122,1.100174e+05,0.679332,-5.629297,-5.643539,-6.526734e+04,5.408391e+05,5.422074e+05,1.006076e+00,1.106859e+05
123,2.602554e+04,-0.379665,-0.829249,7.947842,1.774125e+04,3.874968e+04,-3.713918e+05,9.870415e-01,2.568829e+04
124,1.231587e+05,1.256900,6.985722,-3.690514,-1.277664e+05,-7.101124e+05,3.751480e+05,1.006115e+00,1.239118e+05
125,6.132148e+04,-3.704815,3.873121,5.939132,2.657394e+05,-2.778117e+05,-4.260028e+05,1.003768e+00,6.155256e+04
126,1.385989e+04,1.939804,3.324092,7.013385,-6.614864e+04,-1.133538e+05,-2.391612e+05,1.004977e+00,1.392887e+04
127,6.002685e+03,-0.668273,-1.082773,-7.898165,1.499719e+04,2.429927e+04,1.772483e+05,1.005573e+00,6.036139e+03
128,1.114839e+05,-0.326553,-0.310716,7.987291,3.158222e+04,3.005058e+04,-7.724828e+05,1.003919e+00,1.119208e+05
129,6.879183e+04,-0.236139,-1.322175,7.886450,1.793989e+04,1.004478e+05,-5.991467e+05,9.847326e-01,6.774155e+04
130,4.442967e+04,-1.619242,-0.196034,7.831962,9.886248e+04,1.196884e+04,-4.781788e+05,1.005724e+00,4.468401e+04
131,8.759586e+04,6.803295,-0.982203,4.092733,-5.832359e+05,8.420275e+04,-3.508636e+05,1.006045e+00,8.812537e+04
132,2.375002e+04,-0.173309,-4.098469,6.868225,7.736334e+03,1.829519e+05,-3.065912e+05,1.005713e+00,2.388570e+04
133,4.478666e+04,5.337228,-2.123817,5.568070,-3.271698e+05,1.301891e+05,-3.413204e+05,1.001277e+00,4.484386e+04
134,6.926553e+04,2.746156,2.706712,7.009446,-2.093471e+05,-2.063402e+05,-5.343496e+05,1.005881e+00,6.967286e+04
135,3.810427e+03,5.784728,4.497865,3.210316,-1.034315e+05,-8.042229e+04,-5.740078e+04,7.405113e-01,2.821664e+03
136,3.993062e+03,-3.623317,6.871674,-1.910933,6.631970e+04,-1.257763e+05,3.497692e+04,1.006008e+00,4.017051e+03
137,3.642562e+04,0.335329,-6.466532,-4.698034,-1.853778e+04,3.574852e+05,2.597184e+05,1.006052e+00,3.664607e+04
138,9.183114e+04,6.667964,-2.873476,3.358778,-5.852904e+05,2.522236e+05,-2.948218e+05,1.006054e+00,9.238713e+04
139,5.243136e+04,-5.267370,1.527715,5.824165,3.493595e+05,-1.013260e+05,-3.862891e+05,1.002988e+00,5.258803e+04
140,3.502309e+04,-5.566107,2.988485,4.907893,3.017255e+05,-1.619987e+05,-2.660452e+05,6.268599e-01,2.195457e+04
