i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,7.202359e+04,5.374109,5.834810,1.036315,-3.495232e+05,-3.794865e+05,-6.740024e+04,1.005723e+00,7.243577e+04
1,5.583003e+04,1.312008,6.641518,-4.262496,-7.512812e+04,-3.803063e+05,2.440788e+05,1.006118e+00,5.617161e+04
2,5.646807e+03,7.322249,-3.185409,-0.487684,-1.333454e+05,5.800947e+04,8.881213e+03,1.006075e+00,5.681109e+03
3,5.385039e+03,7.778017,1.716650,-0.745365,-1.383234e+05,-3.052870e+04,1.325548e+04,1.006108e+00,5.417934e+03
4,1.167530e+05,1.665659,0.080629,7.824262,-1.379280e+05,-6.676664e+03,-6.479025e+05,9.492563e-01,1.108285e+05
5,5.512380e+03,-0.671056,-1.599362,-7.809720,1.207427e+04,2.877720e+04,1.405197e+05,1.005816e+00,5.544440e+03
6,1.498444e+05,-6.981656,-1.192689,-3.719406,6.549541e+05,1.118870e+05,3.489201e+05,1.006071e+00,1.507541e+05
7,1.242428e+05,-1.641088,-5.182342,-5.869426,1.401844e+05,4.426841e+05,5.013760e+05,1.006083e+00,1.249986e+05
8,1.287036e+04,6.560286,2.016607,4.110467,-1.803642e+05,-5.544326e+04,-1.130105e+05,1.005826e+00,1.294535e+04
9,8.924012e+04,0.293739,-7.288808,3.284355,-2.126545e+04,5.276778e+05,-2.377729e+05,1.006038e+00,8.977899e+04
10,1.342483e+05,5.563296,-0.612415,-5.716177,-4.939907e+05,5.437911e+04,5.075657e+05,1.006085e+00,1.350651e+05
11,4.359595e+03,2.544165,1.250060,-7.480947,-4.070995e+04,-2.000259e+04,1.197049e+05,1.003528e+00,4.374974e+03
12,1.373581e+05,-7.351896,3.104337,0.559205,6.603265e+05,-2.788228e+05,-5.022625e+04,1.005925e+00,1.381720e+05
13,1.316385e+05,-0.622884,3.947690,6.930206,5.476852e+04,-3.471097e+05,-6.093543e+05,1.005941e+00,1.324206e+05
14,1.952150e+04,1.210798,-0.907235,7.855628,-4.099781e+04,3.071912e+04,-2.659927e+05,8.011573e-01,1.563979e+04
15,8.564645e+04,-6.738847,-0.191557,4.307116,4.779390e+05,1.358582e+04,-3.054734e+05,1.005591e+00,8.612529e+04
