i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,4.385116e+05,5.374109,5.834810,1.036315,-5.064426e+05,-5.498578e+05,-9.765974e+04,1.005924e+00,4.411093e+05
1,4.049028e+05,1.312008,6.641518,-4.262496,-1.188078e+05,-6.014173e+05,3.859869e+05,1.006098e+00,4.073719e+05
2,4.230667e+04,7.322249,-3.185409,-0.487684,-2.143296e+05,9.324012e+04,1.427500e+04,1.006082e+00,4.256397e+04
3,2.164532e+05,7.778017,1.716650,-0.745365,-5.149726e+05,-1.136572e+05,4.934964e+04,1.006088e+00,2.177709e+05
4,3.092119e+05,1.665659,0.080629,7.824262,-1.318097e+05,-6.380498e+03,-6.191626e+05,9.481008e-01,2.931640e+05
5,2.532190e+05,-0.671056,-1.599362,-7.809720,4.805519e+04,1.145323e+05,5.592639e+05,1.006070e+00,2.547559e+05
6,3.686374e+05,-6.981656,-1.192689,-3.719406,6.032417e+05,1.030529e+05,3.213708e+05,1.006069e+00,3.708748e+05
7,4.546447e+04,-1.641088,-5.182342,-5.869426,4.979676e+04,1.572517e+05,1.781004e+05,1.006062e+00,4.574006e+04
8,2.376310e+05,6.560286,2.016607,4.110467,-4.551008e+05,-1.398962e+05,-2.851517e+05,1.006048e+00,2.390683e+05
9,1.191797e+04,0.293739,-7.288808,3.284355,-4.563484e+03,1.132376e+05,-5.102516e+04,1.005265e+00,1.198072e+04
10,4.321821e+05,5.563296,-0.612415,-5.716177,-5.204737e+05,5.729439e+04,5.347765e+05,1.006085e+00,4.348119e+05
11,4.599436e+04,2.544165,1.250060,-7.480947,-7.764810e+04,-3.815193e+04,2.283190e+05,1.005424e+00,4.624383e+04
12,1.393137e+04,-7.351896,3.104337,0.559205,1.234894e+05,-5.214336e+04,-9.392939e+03,1.001539e+00,1.395282e+04
13,2.101741e+05,-0.622884,3.947690,6.930206,4.063779e+04,-2.575525e+05,-4.521358e+05,1.005839e+00,2.114014e+05
14,3.369962e+05,1.210798,-0.907235,7.855628,-1.000271e+05,7.494896e+04,-6.489730e+05,9.719928e-01,3.275578e+05
15,2.882294e+04,-6.738847,-0.191557,4.307116,1.628126e+05,4.628084e+03,-1.040612e+05,1.002126e+00,2.888421e+04
16,1.235757e+05,-2.248000,0.085118,7.677190,1.124595e+05,-4.258131e+03,-3.840627e+05,1.005821e+00,1.242951e+05
17,3.242613e+05,6.687549,3.341530,2.847957,-5.419357e+05,-2.707860e+05,-2.307885e+05,1.005822e+00,3.261490e+05
18,2.673593e+04,6.812767,-4.097687,0.891717,-1.585274e+05,9.534977e+04,-2.074951e+04,1.006074e+00,2.689833e+04
19,4.299766e+04,5.027028,1.636314,-6.004287,-1.483430e+05,-4.828611e+04,1.771810e+05,1.006021e+00,4.325657e+04
20,2.421694e+05,4.683261,4.704813,-4.464505,-3.279754e+05,-3.294847e+05,3.126556e+05,1.006084e+00,2.436429e+05
21,1.170400e+05,-4.172353,-4.417639,-5.203454,2.031334e+05,2.150753e+05,2.533331e+05,1.006073e+00,1.177507e+05
22,4.179397e+05,5.020097,-4.229411,4.572822,-4.618513e+05,3.891078e+05,-4.207018e+05,1.005880e+00,4.203971e+05
23,2.827689e+04,-3.708683,-0.310028,-7.081635,8.875007e+04,7.419066e+03,1.694660e+05,1.005713e+00,2.843844e+04
24,4.629909e+05,4.197759,-6.477876,2.101417,-4.064779e+05,6.272664e+05,-2.034846e+05,1.006081e+00,4.658064e+05
25,1.961398e+05,-4.164990,0.851143,6.777051,2.625004e+05,-5.364371e+04,-4.271268e+05,1.005611e+00,1.972402e+05
26,1.656281e+03,-0.746607,-0.360855,7.956907,4.324064e+03,2.089937e+03,-4.608340e+04,7.480053e-01,1.238907e+03
27,2.193328e+05,-5.686856,0.054309,-5.626431,3.790157e+05,-3.619594e+03,3.749886e+05,1.006025e+00,2.206543e+05
28,5.897883e+05,2.946127,-2.414342,-7.035005,-3.219829e+05,2.638639e+05,7.688572e+05,1.006080e+00,5.933744e+05
29,2.444158e+05,0.739100,3.100149,7.337766,-5.199974e+04,-2.181124e+05,-5.162519e+05,1.005762e+00,2.458240e+05
30,2.046172e+04,-1.186670,7.619905,2.128112,2.415651e+04,-1.551150e+05,-4.332103e+04,1.005507e+00,2.057441e+04
31,1.301776e+05,-1.367523,-5.301197,5.833283,7.021598e+04,2.721919e+05,-2.995121e+05,1.006070e+00,1.309677e+05
32,6.885481e+05,-2.925177,6.474259,-3.677949,3.454240e+05,-7.645228e+05,4.343162e+05,1.006087e+00,6.927391e+05
33,9.723279e+02,-3.138961,-6.819774,2.763622,1.392918e+04,3.026283e+04,-1.226361e+04,8.742812e-01,8.500880e+02
34,1.330063e+05,2.239337,2.983805,-7.076883,-1.162221e+05,-1.548602e+05,3.672919e+05,1.005913e+00,1.337928e+05
35,1.307126e+05,3.450468,-0.992849,7.149023,-1.775292e+05,5.108286e+04,-3.678227e+05,9.979676e-01,1.304469e+05
36,4.529299e+05,-6.581989,4.248959,-1.619805,6.303850e+05,-4.069408e+05,1.551356e+05,1.006070e+00,4.556791e+05
37,2.602986e+04,-0.972814,0.070325,-7.940320,2.233568e+04,-1.614663e+03,1.823086e+05,1.001448e+00,2.606755e+04
38,3.509424e+04,2.281723,6.986139,-3.160317,-6.082947e+04,-1.862466e+05,8.425231e+04,1.006724e+00,3.533020e+04
39,5.528480e+05,-2.697425,-3.774866,-6.517230,2.854207e+05,3.994272e+05,6.896030e+05,1.006085e+00,5.562120e+05
40,1.335832e+05,-4.715940,0.703502,6.423783,2.452886e+05,-3.659102e+04,-3.341181e+05,1.005124e+00,1.342677e+05
41,3.758457e+05,2.814009,-1.999630,7.216844,-2.455068e+05,1.744567e+05,-6.296298e+05,1.005908e+00,3.780661e+05
42,2.152122e+05,-2.377674,1.502366,-7.489297,1.569708e+05,-9.918415e+04,4.944332e+05,1.005580e+00,2.164129e+05
43,4.721514e+03,3.823259,6.212548,3.284347,-3.738588e+04,-6.074963e+04,-3.211611e+04,9.965932e-01,4.705429e+03
44,1.968791e+05,5.234348,5.945433,1.119563,-3.305184e+05,-3.754193e+05,-7.069387e+04,1.005748e+00,1.980108e+05
45,5.073263e+05,-1.628092,0.503105,-7.816406,1.650273e+05,-5.099593e+04,7.922897e+05,1.005787e+00,5.102621e+05
46,2.399499e+05,0.489114,2.204324,-7.674746,-3.409601e+04,-1.536629e+05,5.350046e+05,1.001052e+00,2.402024e+05
47,4.199258e+02,5.131721,-6.135392,-0.149679,-1.496520e+04,1.789212e+04,4.364953e+02,1.002475e+00,4.209653e+02
48,5.120375e+05,3.271781,-7.238734,0.946664,-3.331719e+05,7.371345e+05,-9.640063e+04,1.006084e+00,5.151527e+05
49,2.662725e+05,-2.812900,-3.100667,-6.817144,2.065621e+05,2.276939e+05,5.006092e+05,1.006083e+00,2.678921e+05
50,1.199502e+05,-0.337736,-1.090672,-7.918104,1.664606e+04,5.375610e+04,3.902608e+05,1.005975e+00,1.206669e+05
51,5.800866e+05,-1.954198,7.749167,-0.362658,2.118109e+05,-8.399136e+05,3.930768e+04,1.006087e+00,5.836173e+05
52,4.010905e+05,-2.594361,1.555754,-7.406006,2.338217e+05,-1.402153e+05,6.674803e+05,1.005883e+00,4.034503e+05
53,1.968615e+05,-0.791048,-6.182939,-5.014530,4.994778e+04,3.903989e+05,3.166240e+05,1.006075e+00,1.980574e+05
54,4.552207e+05,-0.129343,-0.461785,7.985614,1.241902e+04,4.433878e+04,-7.667477e+05,1.001408e+00,4.558616e+05
55,1.291675e+05,-1.607058,-0.254403,7.832793,8.219421e+04,1.301162e+04,-4.006143e+05,1.005580e+00,1.298883e+05
56,4.597574e+05,-6.710662,0.466956,-4.330008,6.475345e+05,-4.505815e+04,4.178172e+05,1.005279e+00,4.621845e+05
57,3.650439e+05,2.346184,-1.355214,-7.527205,-2.017287e+05,1.165235e+05,6.472015e+05,1.006066e+00,3.672582e+05
58,2.523665e+05,0.171423,0.205094,-7.995533,-1.225513e+04,-1.466227e+04,5.716057e+05,1.005109e+00,2.536559e+05
59,1.042770e+05,-7.536317,2.658624,-0.368302,3.463272e+05,-1.221756e+05,1.692512e+04,1.005798e+00,1.048816e+05
60,4.382054e+05,-4.242505,1.688195,-6.568953,3.996635e+05,-1.590357e+05,6.188256e+05,1.006007e+00,4.408377e+05
61,9.926151e+04,0.888879,3.604421,7.086469,-3.985347e+04,-1.616066e+05,-3.177266e+05,1.005479e+00,9.980537e+04
62,3.849571e+05,-0.016447,-0.014750,7.999969,1.452166e+03,1.302320e+03,-7.063626e+05,1.003275e+00,3.862177e+05
63,1.845921e+05,-1.097702,-7.655947,2.044880,6.711572e+04,4.681000e+05,-1.250281e+05,9.974156e-01,1.841150e+05
64,3.725201e+05,-1.661858,-3.564243,-6.966664,1.443451e+05,3.095817e+05,6.051080e+05,1.006086e+00,3.747873e+05
65,4.169851e+05,0.964335,-1.788357,7.737689,-8.861790e+04,1.643417e+05,-7.110576e+05,9.222384e-01,3.845596e+05
66,2.865049e+05,-3.414258,-3.616270,6.266214,2.600732e+05,2.754610e+05,-4.773143e+05,1.006080e+00,2.882469e+05
67,2.080461e+05,-1.004992,0.843995,-7.891620,6.523421e+04,-5.478387e+04,5.122467e+05,1.002499e+00,2.085661e+05
68,2.897371e+05,-0.750110,6.182916,5.020845,5.745929e+04,-4.736184e+05,-3.846025e+05,1.005949e+00,2.914608e+05
69,5.089345e+04,1.308996,-6.058709,5.057526,-4.202447e+04,1.945110e+05,-1.623687e+05,1.005706e+00,5.118384e+04
70,1.086202e+04,0.420072,0.029918,-7.988908,-6.230339e+03,-4.437373e+02,1.184884e+05,9.928874e-01,1.078476e+04
71,2.508781e+04,3.221498,-6.876726,2.516464,-7.261434e+04,1.550052e+05,-5.672250e+04,1.006008e+00,2.523854e+04
72,1.598199e+05,1.686799,3.409523,7.037746,-9.596482e+04,-1.939734e+05,-4.003890e+05,1.005700e+00,1.607309e+05
73,5.956721e+05,-0.113073,2.508694,7.595635,1.241927e+04,-2.755399e+05,-8.342590e+05,1.005995e+00,5.992433e+05
74,1.878570e+05,-3.185977,-3.600874,-6.394002,1.965122e+05,2.221032e+05,3.943844e+05,1.006081e+00,1.889993e+05
