i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,4.410359e+04,5.374109,5.834810,1.036315,-1.865333e+05,-2.025241e+05,-3.597011e+04,1.004885e+00,4.431903e+04
1,1.831889e+05,1.312008,6.641518,-4.262496,-9.281090e+04,-4.698183e+05,3.015273e+05,1.006106e+00,1.843075e+05
2,4.359537e+05,7.322249,-3.185409,-0.487684,-7.990568e+05,3.476149e+05,5.321962e+04,1.006086e+00,4.386068e+05
3,1.487480e+05,7.778017,1.716650,-0.745365,-4.958010e+05,-1.094259e+05,4.751244e+04,1.006088e+00,1.496535e+05
4,2.583294e+05,1.665659,0.080629,7.824262,-1.399220e+05,-6.773189e+03,-6.572693e+05,9.533222e-01,2.462712e+05
5,6.224457e+03,-0.671056,-1.599362,-7.809720,8.750295e+03,2.085502e+04,1.018355e+05,1.005603e+00,6.259332e+03
6,3.623912e+05,-6.981656,-1.192689,-3.719406,6.946407e+05,1.186667e+05,3.700627e+05,1.006073e+00,3.645921e+05
7,1.798214e+05,-1.641088,-5.182342,-5.869426,1.150179e+05,3.632116e+05,4.113669e+05,1.006082e+00,1.809150e+05
8,1.273456e+05,6.560286,2.016607,4.110467,-3.869258e+05,-1.189395e+05,-2.424354e+05,1.006032e+00,1.281138e+05
9,6.704804e+03,0.293739,-7.288808,3.284355,-3.975286e+03,9.864215e+04,-4.444840e+04,1.004818e+00,6.737105e+03
10,3.429428e+05,5.563296,-0.612415,-5.716177,-5.384632e+05,5.927469e+04,5.532603e+05,1.006085e+00,3.450296e+05
11,2.392241e+05,2.544165,1.250060,-7.480947,-2.056652e+05,-1.010524e+05,6.047447e+05,1.005989e+00,2.406568e+05
12,1.418940e+05,-7.351896,3.104337,0.559205,4.577143e+05,-1.932698e+05,-3.481500e+04,1.005764e+00,1.427120e+05
13,2.130787e+04,-0.622884,3.947690,6.930206,1.502762e+04,-9.524146e+04,-1.671973e+05,1.004218e+00,2.139774e+04
14,1.315877e+05,1.210798,-0.907235,7.855628,-7.259263e+04,5.439270e+04,-4.709791e+05,9.407161e-01,1.237867e+05
15,4.907870e+05,-6.738847,-0.191557,4.307116,7.802704e+05,2.217984e+04,-4.987077e+05,1.005909e+00,4.936869e+05
16,2.283935e+05,-2.248000,0.085118,7.677190,1.775625e+05,-6.723169e+03,-6.063971e+05,1.005976e+00,2.297583e+05
17,8.973994e+04,6.687549,3.341530,2.847957,-3.311104e+05,-1.654441e+05,-1.410065e+05,1.005364e+00,9.022132e+04
18,3.293152e+05,6.812767,-4.097687,0.891717,-6.461635e+05,3.886491e+05,-8.457576e+04,1.006085e+00,3.313192e+05
19,2.145101e+05,5.027028,1.636314,-6.004287,-3.848116e+05,-1.252574e+05,4.596193e+05,1.006076e+00,2.158135e+05
20,6.158359e+03,4.683261,4.704813,-4.464505,-6.074266e+04,-6.102220e+04,5.790536e+04,1.006009e+00,6.195364e+03
21,6.100335e+04,-4.172353,-4.417639,-5.203454,1.703221e+05,1.803350e+05,2.124132e+05,1.006066e+00,6.137341e+04
22,1.112989e+05,5.020097,-4.229411,4.572822,-2.768029e+05,2.332053e+05,-2.521406e+05,1.005498e+00,1.119108e+05
23,2.091516e+05,-3.708683,-0.310028,-7.081635,2.803259e+05,2.343386e+04,5.352752e+05,1.006048e+00,2.104166e+05
24,2.328702e+05,4.197759,-6.477876,2.101417,-3.348015e+05,5.166572e+05,-1.676031e+05,1.006078e+00,2.342857e+05
25,3.548495e+05,-4.164990,0.851143,6.777051,4.100615e+05,-8.379880e+04,-6.672303e+05,1.005883e+00,3.569370e+05
26,4.125573e+05,-0.746607,-0.360855,7.956907,7.925869e+04,3.830787e+04,-8.446939e+05,1.005435e+00,4.147995e+05
27,7.390988e+04,-5.686856,0.054309,-5.626431,2.555268e+05,-2.440277e+03,2.528117e+05,1.005921e+00,7.434747e+04
28,1.957432e+05,2.946127,-2.414342,-7.035005,-2.154308e+05,1.765449e+05,5.144234e+05,1.006073e+00,1.969319e+05
29,1.971679e+04,0.739100,3.100149,7.337766,-1.715278e+04,-7.194716e+04,-1.702923e+05,1.003009e+00,1.977612e+04
30,1.876699e+05,-1.186670,7.619905,2.128112,8.496502e+04,-5.455818e+05,-1.523719e+05,1.006038e+00,1.888030e+05
31,1.570036e+04,-1.367523,-5.301197,5.833283,2.832060e+04,1.097847e+05,-1.208039e+05,1.005991e+00,1.579442e+04
32,7.993568e+04,-2.925177,6.474259,-3.677949,1.366896e+05,-3.025335e+05,1.718656e+05,1.006089e+00,8.042242e+04
33,9.916125e+03,-3.138961,-6.819774,2.763622,5.166184e+04,1.122416e+05,-4.548442e+04,9.942701e-01,9.859306e+03
34,2.224863e+05,2.239337,2.983805,-7.076883,-1.745758e+05,-2.326135e+05,5.517046e+05,1.006008e+00,2.238230e+05
35,6.918491e+04,3.450468,-0.992849,7.149023,-1.500019e+05,4.316204e+04,-3.107888e+05,9.944716e-01,6.880243e+04
36,1.569466e+04,-6.581989,4.248959,-1.619805,1.362844e+05,-8.797747e+04,3.353912e+04,1.005715e+00,1.578436e+04
37,1.217599e+04,-0.972814,0.070325,-7.940320,1.774170e+04,-1.282561e+03,1.448115e+05,9.988128e-01,1.216153e+04
38,4.237873e+05,2.281723,6.986139,-3.160317,-2.454991e+05,-7.516647e+05,3.400303e+05,1.006129e+00,4.263848e+05
39,1.819566e+05,-2.697425,-3.774866,-6.517230,1.901719e+05,2.661328e+05,4.594729e+05,1.006083e+00,1.830635e+05
40,2.168245e+05,-4.715940,0.703502,6.423783,3.629405e+05,-5.414178e+04,-4.943767e+05,1.005626e+00,2.180443e+05
41,1.467028e+05,2.814009,-1.999630,7.216844,-1.781384e+05,1.265849e+05,-4.568561e+05,1.005733e+00,1.475439e+05
42,4.082031e+03,-2.377674,1.502366,-7.489297,2.510749e+04,-1.586451e+04,7.908464e+04,9.857431e-01,4.023834e+03
43,2.544737e+05,3.823259,6.212548,3.284347,-3.187632e+05,-5.179695e+05,-2.738316e+05,1.005968e+00,2.559924e+05
44,4.223128e+04,5.234348,5.945433,1.119563,-1.777840e+05,-2.019359e+05,-3.802584e+04,1.004905e+00,4.243844e+04
45,2.083668e+05,-1.628092,0.503105,-7.816406,1.228305e+05,-3.795647e+04,5.897044e+05,1.005534e+00,2.095200e+05
46,9.199021e+04,0.489114,2.204324,-7.674746,-2.451850e+04,-1.104992e+05,3.847227e+05,9.963895e-01,9.165808e+04
47,2.639664e+05,5.131721,-6.135392,-0.149679,-4.357630e+05,5.209903e+05,1.271005e+04,1.006085e+00,2.655726e+05
48,3.077680e+05,3.271781,-7.238734,0.946664,-2.999915e+05,6.637237e+05,-8.680015e+04,1.006083e+00,3.096402e+05
49,1.351433e+03,-2.812900,-3.100667,-6.817144,1.709089e+04,1.883932e+04,4.142025e+04,1.005474e+00,1.358831e+03
50,1.498261e+05,-0.337736,-1.090672,-7.918104,2.160650e+04,6.977514e+04,5.065565e+05,1.006019e+00,1.507278e+05
51,9.111636e+03,-1.954198,7.749167,-0.362658,3.083044e+04,-1.222549e+05,5.721487e+03,1.006294e+00,9.168980e+03
52,4.035397e+04,-2.594361,1.555754,-7.406006,8.613636e+04,-5.165317e+04,2.458896e+05,1.004558e+00,4.053791e+04
53,2.350029e+05,-0.791048,-6.182939,-5.014530,6.337998e+04,4.953869e+05,4.017721e+05,1.006079e+00,2.364315e+05
54,2.786538e+05,-0.129343,-0.461785,7.985614,1.128466e+04,4.028886e+04,-6.967128e+05,1.000267e+00,2.787283e+05
55,5.088485e+04,-1.607058,-0.254403,7.832793,5.991543e+04,9.484811e+03,-2.920276e+05,1.005122e+00,5.114547e+04
56,3.056371e+05,-6.710662,0.466956,-4.330008,6.131706e+05,-4.266696e+04,3.956441e+05,1.005161e+00,3.072145e+05
57,2.008499e+05,2.346184,-1.355214,-7.527205,-1.737844e+05,1.003822e+05,5.575483e+05,1.006058e+00,2.020666e+05
58,1.429580e+05,0.171423,0.205094,-7.995533,-1.071238e+04,-1.281650e+04,4.996485e+05,1.004774e+00,1.436405e+05
59,2.163905e+05,-7.536317,2.658624,-0.368302,5.794169e+05,-2.044038e+05,2.831628e+04,1.005982e+00,2.176848e+05
60,4.668529e+05,-4.242505,1.688195,-6.568953,4.790992e+05,-1.906451e+05,7.418212e+05,1.006030e+00,4.696680e+05
61,2.560320e+05,0.888879,3.604421,7.086469,-7.433658e+04,-3.014364e+05,-5.926386e+05,1.005908e+00,2.575446e+05
62,3.779734e+03,-0.016447,-0.014750,7.999969,1.671170e+02,1.498725e+02,-8.128902e+04,7.572594e-01,2.862239e+03
63,2.486068e+05,-1.097702,-7.655947,2.044880,9.045945e+04,6.309114e+05,-1.685145e+05,1.001613e+00,2.490079e+05
64,7.695830e+04,-1.661858,-3.564243,-6.966664,7.619644e+04,1.634210e+05,3.194225e+05,1.006086e+00,7.742665e+04
65,4.377629e+05,0.964335,-1.788357,7.737689,-1.054534e+05,1.955630e+05,-8.461430e+05,9.436268e-01,4.130848e+05
66,1.516065e+05,-3.414258,-3.616270,6.266214,2.197193e+05,2.327195e+05,-4.032526e+05,1.006077e+00,1.525279e+05
67,2.928303e+05,-1.004992,0.843995,-7.891620,8.988420e+04,-7.548501e+04,7.058089e+05,1.004131e+00,2.940398e+05
68,1.073662e+05,-0.750110,6.182916,5.020845,4.062298e+04,-3.348422e+05,-2.719091e+05,1.005807e+00,1.079897e+05
69,3.766438e+05,1.308996,-6.058709,5.057526,-1.327751e+05,6.145518e+05,-5.129990e+05,1.006046e+00,3.789208e+05
70,1.857451e+05,0.420072,0.029918,-7.988908,-2.992230e+04,-2.131126e+03,5.690614e+05,1.005536e+00,1.867734e+05
71,1.956379e+04,3.221498,-6.876726,2.516464,-7.447274e+04,1.589722e+05,-5.817418e+04,1.006011e+00,1.968138e+04
72,4.195851e+05,1.686799,3.409523,7.037746,-1.805870e+05,-3.650200e+05,-7.534537e+05,1.005975e+00,4.220920e+05
73,1.664281e+05,-0.113073,2.508694,7.595635,7.624045e+03,-1.691508e+05,-5.121420e+05,1.005839e+00,1.673999e+05
74,1.327908e+05,-3.185977,-3.600874,-6.394002,1.918844e+05,2.168727e+05,3.850967e+05,1.006080e+00,1.335982e+05
75,9.456970e+04,0.134997,-7.306129,-3.256110,-6.861419e+03,3.713439e+05,1.654962e+05,1.006104e+00,9.514695e+04
76,3.733737e+04,-5.495286,-3.899235,4.312516,1.754992e+05,1.245272e+05,-1.377259e+05,1.005823e+00,3.755479e+04
77,2.075607e+05,5.899259,5.363641,-0.655813,-4.442046e+05,-4.038734e+05,4.938163e+04,1.006059e+00,2.088183e+05
78,1.029887e+05,-5.470164,-3.375278,-4.762857,2.901403e+05,1.790265e+05,2.526244e+05,1.006076e+00,1.036145e+05
79,1.096400e+05,1.791848,2.890808,-7.241030,-9.806152e+04,-1.582037e+05,3.962761e+05,1.005793e+00,1.102752e+05
80,4.125436e+05,-6.277609,-2.342218,4.371000,6.664110e+05,2.486424e+05,-4.640115e+05,1.006041e+00,4.150358e+05
81,1.721338e+05,-7.571935,-1.372965,-2.186496,5.192218e+05,9.414682e+04,1.499321e+05,1.006054e+00,1.731759e+05
82,1.395259e+05,-6.661879,3.091605,3.171963,4.112795e+05,-1.908642e+05,-1.958252e+05,9.936166e-01,1.386352e+05
83,2.641255e+05,-7.093849,2.460385,2.761125,6.025598e+05,-2.089879e+05,-2.345332e+05,1.004537e+00,2.653239e+05
84,1.111356e+05,5.047648,2.703662,5.586722,-2.781177e+05,-1.489676e+05,-3.078198e+05,1.006082e+00,1.118114e+05
85,6.853569e+04,-2.693025,-5.388481,-5.264209,1.165230e+05,2.331512e+05,2.277742e+05,1.006066e+00,6.895143e+04
86,4.246433e+05,1.405850,-0.508605,-7.859065,-1.514134e+05,5.477795e+04,8.464396e+05,1.006038e+00,4.272074e+05
87,3.303478e+05,-6.778969,1.720845,-3.883848,6.439651e+05,-1.634709e+05,3.689444e+05,1.005136e+00,3.320444e+05
88,3.449003e+05,-2.867758,-2.242981,7.123552,2.783571e+05,2.177135e+05,-6.914430e+05,1.006081e+00,3.469977e+05
89,5.237863e+01,-4.435973,6.632806,-0.572730,5.306143e+03,-7.933912e+03,6.850779e+02,7.681202e-01,4.023309e+01
90,5.698323e+04,7.174651,0.675956,-3.473826,-2.830657e+05,-2.666889e+04,1.370549e+05,1.006095e+00,5.733056e+04
91,3.205588e+05,0.652891,-0.370514,-7.964700,-6.109525e+04,3.467143e+04,7.453089e+05,1.005964e+00,3.224708e+05
92,2.101350e+05,4.411012,-6.581352,1.108505,-3.341953e+05,4.986287e+05,-8.398466e+04,1.006081e+00,2.114127e+05
93,2.831083e+05,6.306729,0.880756,-4.842462,-5.546173e+05,-7.745419e+04,4.258488e+05,1.006085e+00,2.848311e+05
94,2.351472e+04,-5.186367,2.181230,-5.687163,1.314456e+05,-5.528208e+04,1.441380e+05,1.005090e+00,2.363440e+04
95,3.847452e+03,-1.870345,-5.265476,-5.725083,1.917438e+04,5.398053e+04,5.869233e+04,1.005760e+00,3.869615e+03
96,4.698231e+04,1.986786,0.053116,7.749185,-7.117561e+04,-1.902848e+03,-2.776107e+05,5.325064e-01,2.501838e+04
97,1.029252e+05,4.692670,-3.262897,-5.597531,-2.488249e+05,1.730124e+05,2.968044e+05,1.006098e+00,1.035529e+05
98,1.628603e+04,7.980185,0.318147,-0.464153,-1.683192e+05,-6.710399e+03,9.789971e+03,1.006089e+00,1.638519e+04
99,5.056621e+05,-4.827378,-1.370395,6.230444,5.673545e+05,1.610605e+05,-7.322547e+05,1.006051e+00,5.087221e+05
100,3.251978e+05,-4.424523,-4.529245,-4.889738,4.170164e+05,4.268866e+05,4.608635e+05,1.006082e+00,3.271757e+05
101,3.058096e+05,-1.392431,7.228067,3.133078,1.272660e+05,-6.606337e+05,-2.863583e+05,1.006029e+00,3.076532e+05
102,2.114271e+05,-0.945930,2.381757,7.578420,7.188732e+04,-1.810051e+05,-5.759330e+05,1.006023e+00,2.127004e+05
103,1.420094e+05,0.223793,-1.364099,7.879667,-1.393859e+04,8.496056e+04,-4.907715e+05,3.048087e-03,4.328570e+02
104,7.266633e+02,3.434875,5.433143,4.762624,-1.530349e+04,-2.420643e+04,-2.121905e+04,9.717541e-01,7.061380e+02
105,2.846583e+05,-7.906715,1.109872,-0.502035,6.972219e+05,-9.786959e+04,4.426997e+04,1.006018e+00,2.863714e+05
106,3.571727e+04,2.340350,3.234511,-6.932582,-7.310263e+04,-1.010324e+05,2.165445e+05,1.005735e+00,3.592211e+04
107,3.335509e+05,-6.093188,-3.239718,4.046886,5.816190e+05,3.092440e+05,-3.862914e+05,1.006048e+00,3.355681e+05
108,9.661247e+03,0.041514,-0.003429,7.999892,-6.744074e+02,5.570856e+01,-1.299612e+05,9.026720e-01,8.720937e+03
109,2.656632e+05,7.860149,1.466440,0.260035,-6.695907e+05,-1.249231e+05,-2.215189e+04,1.006084e+00,2.672795e+05
110,1.257296e+04,-0.550954,-7.929012,-0.909513,1.021051e+04,1.469437e+05,1.685546e+04,1.000954e+00,1.258495e+04
111,3.699444e+04,3.203255,3.104439,6.640905,-1.018293e+05,-9.868800e+04,-2.111098e+05,1.005763e+00,3.720763e+04
112,6.508961e+04,-2.323846,-2.026162,7.382033,9.798872e+04,8.543641e+04,-3.112754e+05,1.005996e+00,6.547990e+04
113,1.315127e+05,3.734379,-1.109701,-6.987344,-2.238284e+05,6.651241e+04,4.188021e+05,1.006062e+00,1.323099e+05
114,2.921560e+05,-0.440126,7.762579,1.883789,3.931858e+04,-6.934680e+05,-1.682878e+05,1.006071e+00,2.939297e+05
115,3.342749e+05,4.378848,-3.269945,-5.842358,-4.184319e+05,3.124678e+05,5.582813e+05,1.006085e+00,3.363089e+05
116,6.875750e+04,-6.627478,2.068489,-3.974655,2.872244e+05,-8.964501e+04,1.722553e+05,1.002641e+00,6.893906e+04
117,2.607381e+05,1.988965,7.659000,-1.176326,-1.678581e+05,-6.463791e+05,9.927567e+04,1.006214e+00,2.623584e+05
118,1.551162e+05,3.506436,6.987178,1.698310,-2.282483e+05,-4.548240e+05,-1.105499e+05,1.006103e+00,1.560629e+05
119,3.904938e+05,-1.508694,-3.636781,-6.964027,1.558193e+05,3.756101e+05,7.192510e+05,1.006086e+00,3.928704e+05
120,1.044469e+05,1.970158,-0.333063,7.746454,-1.052354e+05,1.779048e+04,-4.137744e+05,9.624606e-01,1.005260e+05
121,1.871538e+05,0.689484,-5.617458,5.654094,-4.929881e+04,4.016540e+05,-4.042736e+05,1.006008e+00,1.882782e+05
122,6.959633e+04,0.679332,-5.629297,-5.643539,-2.962021e+04,2.454484e+05,2.460694e+05,1.006036e+00,7.001639e+04
123,1.462036e+05,-0.379665,-0.829249,7.947842,2.399348e+04,5.240553e+04,-5.022747e+05,9.963786e-01,1.456742e+05
124,1.054011e+05,1.256900,6.985722,-3.690514,-6.744294e+04,-3.748409e+05,1.980261e+05,1.006184e+00,1.060530e+05
125,4.870686e+05,-3.704815,3.873121,5.939132,4.273410e+05,-4.467546e+05,-6.850637e+05,1.005230e+00,4.896159e+05
126,3.841991e+05,1.939804,3.324092,7.013385,-1.987234e+05,-3.405369e+05,-7.184868e+05,1.005969e+00,3.864923e+05
127,1.080770e+05,-0.668273,-1.082773,-7.898165,3.631062e+04,5.883246e+04,4.291468e+05,1.006000e+00,1.087255e+05
128,1.137888e+04,-0.326553,-0.310716,7.987291,5.757262e+03,5.478052e+03,-1.408193e+05,9.398628e-01,1.069458e+04
129,2.873097e+05,-0.236139,-1.322175,7.886450,2.091975e+04,1.171324e+05,-6.986661e+05,9.913543e-01,2.848257e+05
130,1.312268e+04,-1.619242,-0.196034,7.831962,3.065745e+04,3.711561e+03,-1.482842e+05,1.002660e+00,1.315758e+04
131,3.773273e+05,6.803295,-0.982203,4.092733,-6.907030e+05,9.971795e+04,-4.155138e+05,1.006058e+00,3.796131e+05
132,3.129696e+04,-0.173309,-4.098469,6.868225,5.067387e+03,1.198356e+05,-2.008207e+05,1.005250e+00,3.146128e+04
133,3.753671e+05,5.337228,-2.123817,5.568070,-5.404516e+05,2.150593e+05,-5.638268e+05,1.004426e+00,3.770286e+05
134,1.347418e+05,2.746156,2.706712,7.009446,-1.666055e+05,-1.642125e+05,-4.252534e+05,1.005777e+00,1.355201e+05
135,3.866016e+05,5.784728,4.497865,3.210316,-5.944670e+05,-4.622227e+05,-3.299078e+05,9.970908e-01,3.854769e+05
136,1.805268e+05,-3.623317,6.871674,-1.910933,2.544428e+05,-4.825545e+05,1.341928e+05,1.006080e+00,1.816245e+05
137,8.303759e+04,0.335329,-6.466532,-4.698034,-1.597061e+04,3.079795e+05,2.237518e+05,1.006042e+00,8.353928e+04
138,1.314887e+05,6.667964,-2.873476,3.358778,-3.996230e+05,1.722125e+05,-2.012976e+05,1.006021e+00,1.322804e+05
139,1.727058e+05,-5.267370,1.527715,5.824165,3.617931e+05,-1.049322e+05,-4.000370e+05,1.003314e+00,1.732782e+05
140,4.734421e+04,-5.566107,2.988485,4.907893,2.001695e+05,-1.074725e+05,-1.764987e+05,5.193886e-01,2.459004e+04
141,1.059162e+05,1.670856,7.793192,-0.688766,-8.987381e+04,-4.191887e+05,3.704808e+04,1.006369e+00,1.065907e+05
142,1.168790e+05,4.123892,-4.758839,-4.934265,-2.330174e+05,2.688946e+05,2.788070e+05,1.005985e+00,1.175785e+05
143,3.805566e+04,-5.880614,5.329272,1.008581,1.896030e+05,-1.718266e+05,-3.251871e+04,1.004750e+00,3.823644e+04
144,6.140413e+04,0.022812,-0.077874,7.999588,-9.342677e+02,3.189379e+03,-3.276268e+05,9.891565e-01,6.073830e+04
145,2.200651e+03,-2.262729,-3.809050,6.661171,1.754370e+04,2.953284e+04,-5.164628e+04,1.005532e+00,2.212824e+03
146,2.282993e+05,0.898578,1.006916,-7.885346,-7.096119e+04,-7.951672e+04,6.227103e+05,1.004560e+00,2.293405e+05
147,2.526973e+05,-5.581992,-4.386361,3.687981,4.637698e+05,3.644330e+05,-3.064093e+05,1.006043e+00,2.542243e+05
148,2.984055e+05,-3.970780,-0.241261,-6.940799,3.585026e+05,2.178227e+04,6.266512e+05,1.006061e+00,3.002142e+05
149,3.128369e+04,-3.505684,6.430856,-3.217805,1.024813e+05,-1.879926e+05,9.406579e+04,1.006080e+00,3.147389e+04
150,1.873416e+05,5.165588,1.375553,-5.951853,-3.695301e+05,-9.840279e+04,4.257770e+05,1.006076e+00,1.884798e+05
151,4.153964e+05,-5.071835,-0.618175,6.155839,5.402683e+05,6.585001e+04,-6.557399e+05,1.005996e+00,4.178872e+05
152,6.101931e+04,5.404407,3.381950,-4.832680,-2.206453e+05,-1.380746e+05,1.973035e+05,1.006074e+00,6.138993e+04
153,4.887506e+04,-0.548850,7.402680,2.983136,2.005442e+04,-2.704865e+05,-1.090008e+05,1.005866e+00,4.916174e+04
154,3.909453e+05,0.868495,7.915798,0.765414,-8.975083e+04,-8.180233e+05,-7.909833e+04,1.006129e+00,3.933414e+05
155,3.557561e+05,0.850194,-0.122427,7.953753,-8.381223e+04,1.206887e+04,-7.840815e+05,9.982816e-01,3.551447e+05
156,1.738652e+05,7.520041,1.514936,-2.270232,-5.182502e+05,-1.044031e+05,1.564550e+05,1.006090e+00,1.749239e+05
157,4.579552e+02,-3.810239,6.974450,-0.916042,1.347649e+04,-2.466803e+04,3.239961e+03,1.003944e+00,4.597614e+02
158,3.993568e+05,-0.682417,0.472718,-7.956811,7.127601e+04,-4.937374e+04,8.310604e+05,1.005149e+00,4.014133e+05
159,4.289397e+05,2.420279,-2.659374,7.146326,-2.619850e+05,2.878661e+05,-7.735599e+05,1.005783e+00,4.314202e+05
160,5.009034e+04,-1.086357,-1.305200,-7.817690,4.018485e+04,4.827998e+04,2.891801e+05,1.005984e+00,5.039009e+04
161,3.606012e+05,3.112701,-7.142885,-1.813914,-3.089327e+05,7.089249e+05,1.800293e+05,1.005995e+00,3.627630e+05
162,4.603096e+05,3.532770,-1.265604,7.065252,-3.961443e+05,1.419174e+05,-7.922562e+05,1.004264e+00,4.622723e+05
163,1.991572e+05,-1.325689,1.987725,7.634887,9.778057e+04,-1.466113e+05,-5.631364e+05,1.006070e+00,2.003661e+05
164,2.125187e+05,3.442712,0.487875,-7.204840,-2.623084e+05,-3.717235e+04,5.489539e+05,1.006050e+00,2.138044e+05
165,5.065106e+04,-2.965848,-5.778083,-4.670921,1.103205e+05,2.149270e+05,1.737440e+05,1.006041e+00,5.095706e+04
166,3.731117e+05,2.524196,6.615119,3.724062,-2.548329e+05,-6.678363e+05,-3.759666e+05,1.006059e+00,3.753725e+05
167,4.748471e+05,3.253195,3.968374,6.137486,-3.705100e+05,-4.519626e+05,-6.990051e+05,1.006064e+00,4.777265e+05
168,3.153080e+05,-0.566991,-0.340221,7.972626,5.262074e+04,3.157485e+04,-7.399151e+05,1.004804e+00,3.168226e+05
169,1.423061e+05,0.149098,-1.918530,7.765115,-9.296024e+03,1.196171e+05,-4.841419e+05,9.501231e-01,1.352083e+05
170,4.150642e+03,6.969729,-3.523550,1.734205,-7.421412e+04,3.751899e+04,-1.846592e+04,1.005775e+00,4.174611e+03
171,4.624493e+05,3.711637,-6.627020,-2.511247,-4.171675e+05,7.448405e+05,2.822503e+05,1.005315e+00,4.649070e+05
172,2.847732e+03,-3.856612,-0.470881,6.993198,3.401485e+04,4.153111e+03,-6.167915e+04,9.997836e-01,2.847116e+03
173,1.600374e+05,-7.107808,-3.585696,-0.788571,4.699584e+05,2.370812e+05,5.213925e+04,1.006080e+00,1.610104e+05
174,9.045749e+04,-3.936734,-6.856639,-1.220096,1.956912e+05,3.408368e+05,6.064980e+04,1.004343e+00,9.085034e+04
175,2.543569e+05,-3.844038,-6.785346,-1.783942,3.204220e+05,5.655966e+05,1.487015e+05,1.005863e+00,2.558483e+05
176,1.072390e+04,-7.462068,2.883449,-0.057170,1.277169e+05,-4.935165e+04,9.784870e+02,1.003398e+00,1.076034e+04
177,2.269106e+05,7.823438,1.576964,-0.554071,-6.159394e+05,-1.241544e+05,4.362205e+04,1.006087e+00,2.282917e+05
178,3.231068e+05,2.579255,0.577544,7.550754,-2.423150e+05,-5.425896e+04,-7.093757e+05,8.998292e-01,2.907409e+05
179,9.341261e+04,-7.122436,-2.405076,-2.736148,3.597861e+05,1.214911e+05,1.382151e+05,1.006060e+00,9.397867e+04
180,6.057945e+04,1.102864,-7.916546,0.334641,-4.486398e+04,3.220412e+05,-1.361305e+04,1.005790e+00,6.093019e+04
181,1.114222e+05,-2.613075,-7.553984,0.330414,1.441620e+05,4.167493e+05,-1.822875e+04,9.189506e-01,1.023915e+05
