i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,7.005044e+01,5.374109,5.834810,1.036315,-9.212555e+03,-1.000231e+04,-1.776501e+03,8.047918e-01,5.637602e+01
1,1.112507e+05,1.312008,6.641518,-4.262496,-8.963053e+04,-4.537189e+05,2.911948e+05,1.006109e+00,1.119303e+05
2,2.216125e+04,7.322249,-3.185409,-0.487684,-2.232594e+05,9.712488e+04,1.486976e+04,1.006082e+00,2.229603e+04
3,2.105439e+05,7.778017,1.716650,-0.745365,-7.309849e+05,-1.613323e+05,7.005002e+04,1.006087e+00,2.118254e+05
4,2.266489e+05,1.665659,0.080629,7.824262,-1.624168e+05,-7.862094e+03,-7.629365e+05,9.648530e-01,2.186829e+05
5,7.910190e+04,-0.671056,-1.599362,-7.809720,3.865633e+04,9.213156e+04,4.498804e+05,1.006059e+00,7.958117e+04
6,1.716603e+05,-6.981656,-1.192689,-3.719406,5.924634e+05,1.012116e+05,3.156288e+05,1.006068e+00,1.727018e+05
7,1.645632e+05,-1.641088,-5.182342,-5.869426,1.363535e+05,4.305868e+05,4.876747e+05,1.006083e+00,1.655643e+05
8,7.741074e+04,6.560286,2.016607,4.110467,-3.738450e+05,-1.149185e+05,-2.342394e+05,1.006026e+00,7.787719e+04
9,1.766508e+05,0.293739,-7.288808,3.284355,-2.528648e+04,6.274550e+05,-2.827328e+05,1.006051e+00,1.777197e+05
10,6.021547e+04,5.563296,-0.612415,-5.716177,-2.796111e+05,3.077994e+04,2.872949e+05,1.006081e+00,6.058167e+04
11,1.548058e+01,2.544165,1.250060,-7.480947,-2.050252e+03,-1.007379e+03,6.028628e+03,1.438756e-01,2.227279e+00
12,1.400481e+05,-7.351896,3.104337,0.559205,5.635160e+05,-2.379445e+05,-4.286257e+04,1.005864e+00,1.408694e+05
13,4.203654e+02,-0.622884,3.947690,6.930206,2.615706e+03,-1.657772e+04,-2.910234e+04,9.373520e-01,3.940304e+02
14,1.638656e+05,1.210798,-0.907235,7.855628,-1.003885e+05,7.521977e+04,-6.513179e+05,9.698167e-01,1.589196e+05
15,3.752068e+04,-6.738847,-0.191557,4.307116,2.673555e+05,7.599805e+03,-1.708795e+05,1.004506e+00,3.768976e+04
16,6.141761e+04,-2.248000,0.085118,7.677190,1.141067e+05,-4.320498e+03,-3.896879e+05,1.005811e+00,6.177448e+04
17,1.993534e+05,6.687549,3.341530,2.847957,-6.115712e+05,-3.055803e+05,-2.604434e+05,1.005863e+00,2.005223e+05
18,1.861631e+05,6.812767,-4.097687,0.891717,-6.020584e+05,3.621211e+05,-7.880288e+04,1.006085e+00,1.872960e+05
19,4.096112e+04,5.027028,1.636314,-6.004287,-2.083845e+05,-6.782982e+04,2.488946e+05,1.006051e+00,4.120897e+04
20,3.017560e+04,4.683261,4.704813,-4.464505,-1.666267e+05,-1.673935e+05,1.588435e+05,1.006078e+00,3.035899e+04
21,1.831661e+05,-4.172353,-4.417639,-5.203454,3.657394e+05,3.872407e+05,4.561235e+05,1.006082e+00,1.842800e+05
22,3.348999e+04,5.020097,-4.229411,4.572822,-1.881646e+05,1.585279e+05,-1.713997e+05,1.004750e+00,3.364908e+04
23,1.492289e+04,-3.708683,-0.310028,-7.081635,9.279281e+04,7.757019e+03,1.771855e+05,1.005720e+00,1.500825e+04
24,1.534711e+05,4.197759,-6.477876,2.101417,-3.368208e+05,5.197735e+05,-1.686140e+05,1.006078e+00,1.544039e+05
25,4.843241e+04,-4.164990,0.851143,6.777051,1.877371e+05,-3.836533e+04,-3.054759e+05,1.005113e+00,4.868003e+04
26,5.589498e+02,-0.746607,-0.360855,7.956907,3.615317e+03,1.747380e+03,-3.852999e+04,5.755232e-01,3.216886e+02
27,2.492862e+04,-5.686856,0.054309,-5.626431,1.839033e+05,-1.756274e+03,1.819493e+05,1.005674e+00,2.507005e+04
28,1.467491e+05,2.946127,-2.414342,-7.035005,-2.311572e+05,1.894326e+05,5.519762e+05,1.006074e+00,1.476405e+05
29,1.011399e+05,0.739100,3.100149,7.337766,-4.814297e+04,-2.019352e+05,-4.779620e+05,1.005680e+00,1.017144e+05
30,8.210474e+04,-1.186670,7.619905,2.128112,6.964375e+04,-4.472001e+05,-1.248955e+05,1.006011e+00,8.259823e+04
