i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,2.341225e+04,5.374109,5.834810,1.036315,-1.299949e+05,-1.411389e+05,-2.506754e+04,1.003840e+00,2.350215e+04
1,2.890295e+05,1.312008,6.641518,-4.262496,-1.115079e+05,-5.644646e+05,3.622708e+05,1.006099e+00,2.907923e+05
2,5.043669e+04,7.322249,-3.185409,-0.487684,-2.599657e+05,1.130933e+05,1.731451e+04,1.006083e+00,5.074351e+04
3,6.447125e+04,7.778017,1.716650,-0.745365,-3.122124e+05,-6.890695e+04,2.991921e+04,1.006090e+00,6.486387e+04
4,1.303347e+05,1.665659,0.080629,7.824262,-9.506364e+04,-4.601735e+03,-4.465517e+05,9.029604e-01,1.176871e+05
5,9.058691e+04,-0.671056,-1.599362,-7.809720,3.192934e+04,7.609880e+04,3.715921e+05,1.006051e+00,9.113507e+04
6,2.165522e+05,-6.981656,-1.192689,-3.719406,5.136154e+05,8.774185e+04,2.736233e+05,1.006064e+00,2.178655e+05
7,2.638166e+03,-1.641088,-5.182342,-5.869426,1.332543e+04,4.207997e+04,4.765901e+04,1.005645e+00,2.653058e+03
8,3.715369e+04,6.560286,2.016607,4.110467,-1.999043e+05,-6.144979e+04,-1.252537e+05,1.005901e+00,3.737292e+04
9,3.539518e+05,0.293739,-7.288808,3.284355,-2.762693e+04,6.855306e+05,-3.089018e+05,1.006060e+00,3.560966e+05
10,4.597850e+05,5.563296,-0.612415,-5.716177,-5.963591e+05,6.564795e+04,6.127472e+05,1.006085e+00,4.625829e+05
11,1.224601e+05,2.544165,1.250060,-7.480947,-1.407476e+05,-6.915547e+04,4.138587e+05,1.005896e+00,1.231821e+05
12,1.209673e+04,-7.351896,3.104337,0.559205,1.278297e+05,-5.397606e+04,-9.723076e+03,1.002114e+00,1.212231e+04
13,2.853147e+02,-0.622884,3.947690,6.930206,1.663289e+03,-1.054152e+04,-1.850574e+04,8.570512e-01,2.445293e+02
14,2.282857e+04,1.210798,-0.907235,7.855628,-2.892074e+04,2.166993e+04,-1.876370e+05,6.686308e-01,1.526389e+04
15,2.305589e+05,-6.738847,-0.191557,4.307116,5.115343e+05,1.454079e+04,-3.269458e+05,1.005707e+00,2.318747e+05
16,6.352099e+04,-2.248000,0.085118,7.677190,8.956809e+04,-3.391378e+03,-3.058857e+05,1.005697e+00,6.388288e+04
17,1.017580e+05,6.687549,3.341530,2.847957,-3.372481e+05,-1.685109e+05,-1.436203e+05,1.005446e+00,1.023122e+05
18,1.894137e+05,6.812767,-4.097687,0.891717,-4.687352e+05,2.819310e+05,-6.135233e+04,1.006085e+00,1.905663e+05
19,5.982077e+04,5.027028,1.636314,-6.004287,-1.943729e+05,-6.326898e+04,2.321591e+05,1.006051e+00,6.018272e+04
20,9.066986e+03,4.683261,4.704813,-4.464505,-7.049821e+04,-7.082264e+04,6.720523e+04,1.006036e+00,9.121718e+03
21,1.225704e+04,-4.172353,-4.417639,-5.203454,7.302511e+04,7.731814e+04,9.107157e+04,1.005978e+00,1.233032e+04
22,5.047173e+05,5.020097,-4.229411,4.572822,-5.638122e+05,4.750095e+05,-5.135784e+05,1.005956e+00,5.077234e+05
23,7.804730e+04,-3.708683,-0.310028,-7.081635,1.637936e+05,1.369233e+04,3.127597e+05,1.005983e+00,7.851429e+04
24,6.173188e+04,4.197759,-6.477876,2.101417,-1.648810e+05,2.544401e+05,-8.254014e+04,1.006056e+00,6.210574e+04
25,3.783954e+04,-4.164990,0.851143,6.777051,1.280811e+05,-2.617423e+04,-2.084068e+05,1.004305e+00,3.800243e+04
26,1.217643e+02,-0.746607,-0.360855,7.956907,1.302417e+03,6.294932e+02,-1.388042e+04,0.000000e+00,0.000000e+00
27,4.525725e+04,-5.686856,0.054309,-5.626431,1.912558e+05,-1.826490e+03,1.892236e+05,1.005774e+00,4.551855e+04
28,1.947785e+05,2.946127,-2.414342,-7.035005,-2.055513e+05,1.684486e+05,4.908323e+05,1.006073e+00,1.959613e+05
29,9.951810e+04,0.739100,3.100149,7.337766,-3.685978e+04,-1.546080e+05,-3.659428e+05,1.005478e+00,1.000633e+05
30,2.287536e+05,-1.186670,7.619905,2.128112,8.972471e+04,-5.761450e+05,-1.609076e+05,1.006046e+00,2.301366e+05
31,9.200979e+04,-1.367523,-5.301197,5.833283,6.557676e+04,2.542080e+05,-2.797231e+05,1.006069e+00,9.256815e+04
32,2.477500e+05,-2.925177,6.474259,-3.677949,2.301745e+05,-5.094425e+05,2.894082e+05,1.006087e+00,2.492581e+05
33,1.369173e+05,-3.138961,-6.819774,2.763622,1.836172e+05,3.989306e+05,-1.616613e+05,1.005172e+00,1.376254e+05
34,4.044969e+03,2.239337,2.983805,-7.076883,-2.251517e+04,-3.000035e+04,7.115377e+04,1.001464e+00,4.050891e+03
35,4.294823e+04,3.450468,-0.992849,7.149023,-1.130444e+05,3.252776e+04,-2.342166e+05,9.873528e-01,4.240506e+04
36,3.716758e+05,-6.581989,4.248959,-1.619805,6.343626e+05,-4.095085e+05,1.561144e+05,1.006071e+00,3.739322e+05
37,2.529356e+05,-0.972814,0.070325,-7.940320,7.734518e+04,-5.591341e+03,6.313079e+05,1.005690e+00,2.543747e+05
38,6.483405e+04,2.281723,6.986139,-3.160317,-9.184653e+04,-2.812141e+05,1.272127e+05,1.006359e+00,6.524630e+04
39,1.613778e+05,-2.697425,-3.774866,-6.517230,1.713048e+05,2.397296e+05,4.138884e+05,1.006083e+00,1.623594e+05
40,2.688554e+04,-4.715940,0.703502,6.423783,1.222436e+05,-1.823573e+04,-1.665132e+05,1.002688e+00,2.695782e+04
41,5.784391e+05,2.814009,-1.999630,7.216844,-3.383394e+05,2.404235e+05,-8.677096e+05,1.005999e+00,5.819092e+05
42,2.309582e+04,-2.377674,1.502366,-7.489297,5.712381e+04,-3.609447e+04,1.799310e+05,1.002482e+00,2.315315e+04
43,9.421871e+04,3.823259,6.212548,3.284347,-1.855242e+05,-3.014648e+05,-1.593734e+05,1.005763e+00,9.476166e+04
44,3.929217e+05,5.234348,5.945433,1.119563,-5.186972e+05,-5.891621e+05,-1.109430e+05,1.005956e+00,3.952621e+05
45,6.414608e+04,-1.628092,0.503105,-7.816406,6.518718e+04,-2.014382e+04,3.129612e+05,1.004300e+00,6.442189e+04
46,2.151659e+05,0.489114,2.204324,-7.674746,-3.586700e+04,-1.616443e+05,5.627934e+05,1.001788e+00,2.155506e+05
47,9.834899e+03,5.131721,-6.135392,-0.149679,-8.045374e+04,9.618904e+04,2.346623e+03,1.006039e+00,9.894292e+03
48,3.664868e+05,3.271781,-7.238734,0.946664,-3.131206e+05,6.927717e+05,-9.059897e+04,1.006084e+00,3.687165e+05
49,2.135640e+05,-2.812900,-3.100667,-6.817144,2.055023e+05,2.265256e+05,4.980406e+05,1.006083e+00,2.148631e+05
50,1.468139e+05,-0.337736,-1.090672,-7.918104,2.045783e+04,6.606568e+04,4.796264e+05,1.006017e+00,1.476973e+05
51,2.485751e+05,-1.954198,7.749167,-0.362658,1.540266e+05,-6.107763e+05,2.858412e+04,1.006087e+00,2.500883e+05
52,2.088254e+05,-2.594361,1.555754,-7.406006,1.874219e+05,-1.123908e+05,5.350249e+05,1.005790e+00,2.100344e+05
53,1.648530e+05,-0.791048,-6.182939,-5.014530,5.077492e+04,3.968639e+05,3.218674e+05,1.006076e+00,1.658546e+05
54,1.915255e+05,-0.129343,-0.461785,7.985614,8.948590e+03,3.194855e+04,-5.524843e+05,9.975245e-01,1.910514e+05
55,4.311935e+05,-1.607058,-0.254403,7.832793,1.668268e+05,2.640924e+04,-8.131132e+05,1.005969e+00,4.337674e+05
56,2.310280e+05,-6.710662,0.466956,-4.330008,5.099128e+05,-3.548185e+04,3.290177e+05,1.004844e+00,2.321471e+05
57,7.795415e+04,2.346184,-1.355214,-7.527205,-1.035571e+05,5.981716e+04,3.322398e+05,1.006013e+00,7.842292e+04
