i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,3.449594e+05,5.374109,5.834810,1.036315,-4.886969e+05,-5.305909e+05,-9.423777e+04,1.005922e+00,3.470021e+05
1,2.186368e+05,1.312008,6.641518,-4.262496,-9.498328e+04,-4.808151e+05,3.085850e+05,1.006104e+00,2.199713e+05
2,3.238091e+05,7.322249,-3.185409,-0.487684,-6.451166e+05,2.806460e+05,4.296673e+04,1.006086e+00,3.257797e+05
3,1.701834e+05,7.778017,1.716650,-0.745365,-4.967944e+05,-1.096452e+05,4.760763e+04,1.006088e+00,1.712194e+05
4,8.068865e+04,1.665659,0.080629,7.824262,-7.325571e+04,-3.546081e+03,-3.441112e+05,8.356387e-01,6.742656e+04
5,1.171761e+01,-0.671056,-1.599362,-7.809720,3.556540e+02,8.476480e+02,4.139084e+03,9.453684e-01,1.107746e+01
6,2.252414e+05,-6.981656,-1.192689,-3.719406,5.130170e+05,8.763962e+04,2.733045e+05,1.006064e+00,2.266074e+05
7,1.172075e+04,-1.641088,-5.182342,-5.869426,2.750797e+04,8.686661e+04,9.838353e+04,1.006002e+00,1.179110e+04
8,2.060863e+05,6.560286,2.016607,4.110467,-4.611015e+05,-1.417408e+05,-2.889116e+05,1.006051e+00,2.073334e+05
9,2.793759e+05,0.293739,-7.288808,3.284355,-2.403842e+04,5.964859e+05,-2.687781e+05,1.006052e+00,2.810667e+05
10,7.464339e+04,5.563296,-0.612415,-5.716177,-2.353299e+05,2.590540e+04,2.417968e+05,1.006080e+00,7.509725e+04
11,1.303286e+03,2.544165,1.250060,-7.480947,-1.422048e+04,-6.987149e+03,4.181438e+04,9.883304e-01,1.288077e+03
12,9.803459e+04,-7.351896,3.104337,0.559205,3.564004e+05,-1.504900e+05,-2.710879e+04,1.005594e+00,9.858298e+04
13,8.726126e+03,-0.622884,3.947690,6.930206,9.008806e+03,-5.709564e+04,-1.002319e+05,1.001234e+00,8.736895e+03
14,1.237098e+05,1.210798,-0.907235,7.855628,-6.593606e+04,4.940502e+04,-4.277914e+05,9.330913e-01,1.154325e+05
15,4.660407e+05,-6.738847,-0.191557,4.307116,7.122734e+05,2.024697e+04,-4.552476e+05,1.005889e+00,4.687855e+05
16,1.890797e+05,-2.248000,0.085118,7.677190,1.513450e+05,-5.730478e+03,-5.168612e+05,1.005947e+00,1.902041e+05
17,2.490534e+05,6.687549,3.341530,2.847957,-5.167284e+05,-2.581908e+05,-2.200537e+05,1.005811e+00,2.505007e+05
18,1.474681e+05,6.812767,-4.097687,0.891717,-4.050623e+05,2.436335e+05,-5.301823e+04,1.006084e+00,1.483654e+05
