i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,6.204606e+02,5.374109,5.834810,1.036315,-1.450811e+05,-1.575183e+05,-2.797668e+04,9.981886e-01,6.193366e+02
1,2.910040e+03,1.312008,6.641518,-4.262496,-7.670666e+04,-3.882970e+05,2.492073e+05,1.006208e+00,2.928106e+03
2,3.204347e+03,7.322249,-3.185409,-0.487684,-4.492225e+05,1.954259e+05,2.991959e+04,1.006082e+00,3.223836e+03
3,8.775798e+03,7.778017,1.716650,-0.745365,-7.896950e+05,-1.742899e+05,7.567620e+04,1.006089e+00,8.829232e+03
4,9.762829e+01,1.665659,0.080629,7.824262,-1.783697e+04,-8.634323e+02,-8.378735e+04,0.000000e+00,0.000000e+00
5,7.075946e+03,-0.671056,-1.599362,-7.809720,6.117844e+04,1.458096e+05,7.119917e+05,1.006043e+00,7.118704e+03
6,4.542319e+02,-6.981656,-1.192689,-3.719406,1.612666e+05,2.754947e+04,8.591314e+04,1.005014e+00,4.565092e+02
7,4.235637e+03,-1.641088,-5.182342,-5.869426,1.157546e+05,3.655381e+05,4.140018e+05,1.006067e+00,4.261335e+03
8,9.067352e+02,6.560286,2.016607,4.110467,-2.140968e+05,-6.581253e+04,-1.341463e+05,1.005347e+00,9.115836e+02
9,8.107006e+03,0.293739,-7.288808,3.284355,-2.866420e+04,7.112692e+05,-3.204997e+05,1.005992e+00,8.155582e+03
10,1.554755e+03,5.563296,-0.612415,-5.716177,-2.377445e+05,2.617120e+04,2.442777e+05,1.006064e+00,1.564184e+03
11,7.091240e+03,2.544165,1.250060,-7.480947,-2.321954e+05,-1.140878e+05,6.827550e+05,1.005767e+00,7.132138e+03
12,3.474068e+03,-7.351896,3.104337,0.559205,4.696407e+05,-1.983057e+05,-3.572216e+04,1.004780e+00,3.490674e+03
13,2.753660e+03,-0.622884,3.947690,6.930206,3.542498e+04,-2.245150e+05,-3.941382e+05,1.004680e+00,2.766547e+03
14,7.779504e+03,1.210798,-0.907235,7.855628,-1.157431e+05,8.672475e+04,-7.509380e+05,8.997444e-01,6.999565e+03
15,3.913522e+02,-6.738847,-0.191557,4.307116,1.444830e+05,4.107050e+03,-9.234591e+04,9.848508e-01,3.854236e+02
16,8.279926e+03,-2.248000,0.085118,7.677190,2.216955e+05,-8.394206e+03,-7.571165e+05,1.005794e+00,8.327903e+03
17,1.050763e+03,6.687549,3.341530,2.847957,-2.349452e+05,-1.173938e+05,-1.000537e+05,1.000209e+00,1.050983e+03
18,8.923073e+03,6.812767,-4.097687,0.891717,-6.974739e+05,4.195109e+05,-9.129173e+04,1.006083e+00,8.977355e+03
19,2.029680e+03,5.027028,1.636314,-6.004287,-2.454553e+05,-7.989647e+04,2.931720e+05,1.005984e+00,2.041827e+03
20,5.007339e+03,4.683261,4.704813,-4.464505,-3.591691e+05,-3.608220e+05,3.423923e+05,1.006079e+00,5.037777e+03
21,4.733502e+03,-4.172353,-4.417639,-5.203454,3.111140e+05,3.294039e+05,3.879986e+05,1.006061e+00,4.762191e+03
22,5.584135e+03,5.020097,-4.229411,4.572822,-4.065718e+05,3.425351e+05,-3.703476e+05,1.004942e+00,5.611731e+03
23,8.084185e+03,-3.708683,-0.310028,-7.081635,3.613974e+05,3.021103e+04,6.900791e+05,1.005990e+00,8.132609e+03
24,7.829700e+03,4.197759,-6.477876,2.101417,-4.025661e+05,6.212299e+05,-2.015264e+05,1.006063e+00,7.877175e+03
25,1.115730e+04,-4.164990,0.851143,6.777051,4.768049e+05,-9.743825e+04,-7.758316e+05,1.005472e+00,1.121836e+04
26,5.094375e+02,-0.746607,-0.360855,7.956907,1.826352e+04,8.827252e+03,-1.946422e+05,9.528058e-01,4.853949e+02
