i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p,exp_eV
0,6.769842e+00,5.374109,5.834810,1.036315,-2.853221e+03,-3.097816e+03,-5.502002e+02,0.000000e+00,0.000000e+00
1,7.285774e+00,1.312008,6.641518,-4.262496,-7.226265e+02,-3.658010e+03,2.347694e+03,0.000000e+00,0.000000e+00
2,1.049595e+01,7.322249,-3.185409,-0.487684,-4.840554e+03,2.105793e+03,3.223956e+02,1.361362e+00,1.428879e+01
3,1.285056e+01,7.778017,1.716650,-0.745365,-5.689439e+03,-1.255690e+03,5.452170e+02,0.000000e+00,0.000000e+00
4,1.595741e+01,1.665659,0.080629,7.824262,-1.357710e+03,-6.572250e+01,-6.377702e+03,0.000000e+00,0.000000e+00
5,1.701100e+01,-0.671056,-1.599362,-7.809720,5.647595e+02,1.346020e+03,6.572643e+03,0.000000e+00,0.000000e+00
6,1.755043e+01,-6.981656,-1.192689,-3.719406,5.968180e+03,1.019555e+03,3.179487e+03,0.000000e+00,0.000000e+00
7,1.837535e+01,-1.641088,-5.182342,-5.869426,1.435454e+03,4.532978e+03,5.133968e+03,0.000000e+00,0.000000e+00
8,2.026713e+01,6.560286,2.016607,4.110467,-6.026409e+03,-1.852495e+03,-3.775956e+03,0.000000e+00,0.000000e+00
9,2.205761e+01,0.293739,-7.288808,3.284355,-2.815018e+02,6.985146e+03,-3.147524e+03,0.000000e+00,0.000000e+00
10,2.330163e+01,5.563296,-0.612415,-5.716177,-5.479804e+03,6.032236e+02,5.630390e+03,0.000000e+00,0.000000e+00
11,2.380822e+01,2.544165,1.250060,-7.480947,-2.533077e+03,-1.244612e+03,7.448343e+03,0.000000e+00,0.000000e+00
12,2.675163e+01,-7.351896,3.104337,0.559205,7.759151e+03,-3.276300e+03,-5.901823e+02,0.000000e+00,0.000000e+00
13,2.832063e+01,-0.622884,3.947690,6.930206,6.763920e+02,-4.286810e+03,-7.525534e+03,0.000000e+00,0.000000e+00
14,2.845590e+01,1.210798,-0.907235,7.855628,-1.317946e+03,9.875196e+02,-8.550799e+03,0.000000e+00,0.000000e+00
15,2.866698e+01,-6.738847,-0.191557,4.307116,7.362346e+03,2.092809e+02,-4.705623e+03,0.000000e+00,0.000000e+00
16,2.880306e+01,-2.248000,0.085118,7.677190,2.461815e+03,-9.321337e+01,-8.407392e+03,0.000000e+00,0.000000e+00
17,3.079874e+01,6.687549,3.341530,2.847957,-7.573091e+03,-3.784004e+03,-3.225073e+03,0.000000e+00,0.000000e+00
18,3.188846e+01,6.812767,-4.097687,0.891717,-7.850187e+03,4.721666e+03,-1.027504e+03,1.326441e+00,4.229817e+01
19,3.337088e+01,5.027028,1.636314,-6.004287,-5.925634e+03,-1.928813e+03,7.077583e+03,0.000000e+00,0.000000e+00
20,3.359944e+01,4.683261,4.704813,-4.464505,-5.539289e+03,-5.564781e+03,5.280548e+03,0.000000e+00,0.000000e+00
21,3.528144e+01,-4.172353,-4.417639,-5.203454,5.057011e+03,5.354305e+03,6.306734e+03,0.000000e+00,0.000000e+00
22,3.605644e+01,5.020097,-4.229411,4.572822,-6.150964e+03,5.182163e+03,-5.602933e+03,0.000000e+00,0.000000e+00
23,4.057017e+01,-3.708683,-0.310028,-7.081635,4.820175e+03,4.029427e+02,9.204000e+03,0.000000e+00,0.000000e+00
24,4.073204e+01,4.197759,-6.477876,2.101417,-5.466699e+03,8.436073e+03,-2.736654e+03,2.207936e-01,8.993374e+00
25,4.140093e+01,-4.164990,0.851143,6.777051,5.468380e+03,-1.117500e+03,-8.897857e+03,0.000000e+00,0.000000e+00
26,4.156444e+01,-0.746607,-0.360855,7.956907,9.821831e+02,4.747156e+02,-1.046755e+04,0.000000e+00,0.000000e+00
27,4.266285e+01,-5.686856,0.054309,-5.626431,7.579435e+03,-7.238348e+01,7.498901e+03,0.000000e+00,0.000000e+00
28,4.334736e+01,2.946127,-2.414342,-7.035005,-3.957970e+03,3.243543e+03,9.451165e+03,0.000000e+00,0.000000e+00
29,4.463838e+01,0.739100,3.100149,7.337766,-1.007621e+03,-4.226457e+03,-1.000363e+04,0.000000e+00,0.000000e+00
30,4.684391e+01,-1.186670,7.619905,2.128112,1.657281e+03,-1.064182e+04,-2.972081e+03,5.776781e-02,2.706070e+00
31,4.746378e+01,-1.367523,-5.301197,5.833283,1.922452e+03,7.452375e+03,-8.200378e+03,0.000000e+00,0.000000e+00
32,4.936774e+01,-2.925177,6.474259,-3.677949,4.193855e+03,-9.282210e+03,5.273112e+03,0.000000e+00,0.000000e+00
33,5.233680e+01,-3.138961,-6.819774,2.763622,4.633714e+03,1.006730e+04,-4.079641e+03,0.000000e+00,0.000000e+00
34,5.262293e+01,2.239337,2.983805,-7.076883,-3.314718e+03,-4.416697e+03,1.047537e+04,0.000000e+00,0.000000e+00
35,5.404443e+01,3.450468,-0.992849,7.149023,-5.175986e+03,1.489356e+03,-1.072412e+04,0.000000e+00,0.000000e+00
36,5.529593e+01,-6.581989,4.248959,-1.619805,9.987192e+03,-6.447164e+03,2.457813e+03,0.000000e+00,0.000000e+00
37,5.794074e+01,-0.972814,0.070325,-7.940320,1.510990e+03,-1.092306e+02,1.233303e+04,0.000000e+00,0.000000e+00
38,5.923631e+01,2.281723,6.986139,-3.160317,-3.583411e+03,-1.097162e+04,4.963230e+03,0.000000e+00,0.000000e+00
39,5.943186e+01,-2.697425,-3.774866,-6.517230,4.243251e+03,5.938146e+03,1.025209e+04,0.000000e+00,0.000000e+00
40,6.299842e+01,-4.715940,0.703502,6.423783,7.637879e+03,-1.139383e+03,-1.040388e+04,0.000000e+00,0.000000e+00
41,6.539423e+01,2.814009,-1.999630,7.216844,-4.643387e+03,3.299583e+03,-1.190849e+04,0.000000e+00,0.000000e+00
42,6.730141e+01,-2.377674,1.502366,-7.489297,3.980192e+03,-2.514939e+03,1.253698e+04,0.000000e+00,0.000000e+00
43,6.837020e+01,3.823259,6.212548,3.284347,-6.450699e+03,-1.048197e+04,-5.541434e+03,0.000000e+00,0.000000e+00
44,6.890775e+01,5.234348,5.945433,1.119563,-8.866174e+03,-1.007064e+04,-1.896367e+03,0.000000e+00,0.000000e+00
45,6.913287e+01,-1.628092,0.503105,-7.816406,2.762236e+03,-8.535728e+02,1.326139e+04,0.000000e+00,0.000000e+00
46,7.054740e+01,0.489114,2.204324,-7.674746,-8.382821e+02,-3.777944e+03,1.315359e+04,0.000000e+00,0.000000e+00
47,7.197625e+01,5.131721,-6.135392,-0.149679,-8.883769e+03,1.062127e+04,2.591161e+02,8.744807e-01,6.294184e+01
48,7.397644e+01,3.271781,-7.238734,0.946664,-5.742098e+03,1.270425e+04,-1.661430e+03,1.343511e+00,9.938818e+01
49,7.419495e+01,-2.812900,-3.100667,-6.817144,4.944031e+03,5.449817e+03,1.198200e+04,0.000000e+00,0.000000e+00
50,7.441378e+01,-0.337736,-1.090672,-7.918104,5.944892e+02,1.919819e+03,1.393759e+04,0.000000e+00,0.000000e+00
51,7.475488e+01,-1.954198,7.749167,-0.362658,3.447689e+03,-1.367145e+04,6.398191e+02,0.000000e+00,0.000000e+00
52,7.520936e+01,-2.594361,1.555754,-7.406006,4.590987e+03,-2.753065e+03,1.310568e+04,0.000000e+00,0.000000e+00
53,7.531693e+01,-0.791048,-6.182939,-5.014530,1.400840e+03,1.094916e+04,8.880066e+03,5.610768e-01,4.225858e+01
54,7.817384e+01,-0.129343,-0.461785,7.985614,2.333530e+02,8.331245e+02,-1.440717e+04,0.000000e+00,0.000000e+00
55,7.967756e+01,-1.607058,-0.254403,7.832793,2.927111e+03,4.633713e+02,-1.426673e+04,0.000000e+00,0.000000e+00
56,8.142453e+01,-6.710662,0.466956,-4.330008,1.235613e+04,-8.597913e+02,7.972711e+03,0.000000e+00,0.000000e+00
57,8.236914e+01,2.346184,-1.355214,-7.527205,-4.344941e+03,2.509746e+03,1.393977e+04,0.000000e+00,0.000000e+00
58,8.343779e+01,0.171423,0.205094,-7.995533,-3.195139e+02,-3.822726e+02,1.490282e+04,0.000000e+00,0.000000e+00
59,8.716340e+01,-7.536317,2.658624,-0.368302,1.435707e+04,-5.064816e+03,7.016346e+02,0.000000e+00,0.000000e+00
60,8.740058e+01,-4.242505,1.688195,-6.568953,8.093180e+03,-3.220471e+03,1.253121e+04,0.000000e+00,0.000000e+00
61,8.763807e+01,0.888879,3.604421,7.086469,-1.697964e+03,-6.885280e+03,-1.353680e+04,0.000000e+00,0.000000e+00
62,9.071773e+01,-0.016447,-0.014750,7.999969,3.196412e+01,2.866580e+01,-1.554798e+04,0.000000e+00,0.000000e+00
63,9.195791e+01,-1.097702,-7.655947,2.044880,2.147923e+03,1.498073e+04,-4.001308e+03,1.049583e-08,9.651745e-07
64,9.309769e+01,-1.661858,-3.564243,-6.966664,3.271923e+03,7.017402e+03,1.371620e+04,0.000000e+00,0.000000e+00
65,9.473803e+01,0.964335,-1.788357,7.737689,-1.915269e+03,3.551862e+03,-1.536785e+04,0.000000e+00,0.000000e+00
66,9.509522e+01,-3.414258,-3.616270,6.266214,6.793840e+03,7.195813e+03,-1.246879e+04,0.000000e+00,0.000000e+00
67,9.574574e+01,-1.004992,0.843995,-7.891620,2.006605e+03,-1.685152e+03,1.575671e+04,0.000000e+00,0.000000e+00
