i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p
0,1.124566e+00,5.374109,5.834810,1.036315,-1.776344e+03,-1.928622e+03,-3.425409e+02,1.000018e+00
1,1.124566e+00,1.312008,6.641518,-4.262496,-4.336676e+02,-2.195270e+03,1.408914e+03,1.000018e+00
2,3.047868e+00,7.322249,-3.185409,-0.487684,-3.984471e+03,1.733370e+03,2.653779e+02,1.002748e+00
3,3.047868e+00,7.778017,1.716650,-0.745365,-4.232481e+03,-9.341311e+02,4.055972e+02,1.002748e+00
4,3.122474e+00,1.665659,0.080629,7.824262,-9.174103e+02,-4.440898e+01,-4.309441e+03,9.976914e-01
5,3.122474e+00,-0.671056,-1.599362,-7.809720,3.696038e+02,8.808953e+02,4.301431e+03,9.976914e-01
6,3.197983e+00,-6.981656,-1.192689,-3.719406,3.891568e+03,6.648036e+02,2.073193e+03,9.959886e-01
7,3.197983e+00,-1.641088,-5.182342,-5.869426,9.147405e+02,2.888632e+03,3.271612e+03,9.959886e-01
8,4.498264e+00,6.560286,2.016607,4.110467,-4.336839e+03,-1.333128e+03,-2.717326e+03,1.006086e+00
9,4.498264e+00,0.293739,-7.288808,3.284355,-1.941837e+02,4.818447e+03,-2.171204e+03,1.006086e+00
10,6.121713e+00,5.563296,-0.612415,-5.716177,-4.290390e+03,4.722914e+02,4.408291e+03,1.006086e+00
11,6.121713e+00,2.544165,1.250060,-7.480947,-1.962049e+03,-9.640411e+02,5.769274e+03,1.006086e+00
12,6.227259e+00,-7.351896,3.104337,0.559205,5.718418e+03,-2.414601e+03,-4.349586e+02,1.006086e+00
13,6.227259e+00,-0.622884,3.947690,6.930206,4.844889e+02,-3.070574e+03,-5.390421e+03,1.006086e+00
14,7.521611e+00,1.210798,-0.907235,7.855628,-1.035036e+03,7.755386e+02,-6.715284e+03,1.006086e+00
15,7.521611e+00,-6.738847,-0.191557,4.307116,5.760618e+03,1.637504e+02,-3.681884e+03,1.006086e+00
16,7.875151e+00,-2.248000,0.085118,7.677190,1.966319e+03,-7.445206e+01,-6.715213e+03,1.006086e+00
17,7.875151e+00,6.687549,3.341530,2.847957,-5.849578e+03,-2.922826e+03,-2.491098e+03,1.006086e+00
18,8.118547e+00,6.812767,-4.097687,0.891717,-6.050493e+03,3.639201e+03,-7.919436e+02,1.006086e+00
19,8.118547e+00,5.027028,1.636314,-6.004287,-4.464559e+03,-1.453228e+03,5.332473e+03,1.006086e+00
20,9.453263e+00,4.683261,4.704813,-4.464505,-4.488149e+03,-4.508803e+03,4.278507e+03,1.006086e+00
21,9.453263e+00,-4.172353,-4.417639,-5.203454,3.998527e+03,4.233594e+03,4.986670e+03,1.006086e+00
22,9.719757e+00,5.020097,-4.229411,4.572822,-4.878293e+03,4.109942e+03,-4.443653e+03,1.006086e+00
23,9.719757e+00,-3.708683,-0.310028,-7.081635,3.603923e+03,3.012701e+02,6.881598e+03,1.006086e+00
24,9.852634e+00,4.197759,-6.477876,2.101417,-4.106971e+03,6.337775e+03,-2.055968e+03,1.006086e+00
25,9.852634e+00,-4.164990,0.851143,6.777051,4.074911e+03,-8.327353e+02,-6.630480e+03,1.006086e+00
26,9.986413e+00,-0.746607,-0.360855,7.956907,7.354017e+02,3.554395e+02,-7.837491e+03,1.006086e+00
27,9.986413e+00,-5.686856,0.054309,-5.626431,5.601509e+03,-5.349432e+01,5.541991e+03,1.006086e+00
28,1.025668e+01,2.946127,-2.414342,-7.035005,-2.940918e+03,2.410073e+03,7.022565e+03,1.006086e+00
29,1.025668e+01,0.739100,3.100149,7.337766,-7.377935e+02,-3.094668e+03,-7.324791e+03,1.006086e+00
30,1.160926e+01,-1.186670,7.619905,2.128112,1.260260e+03,-8.092448e+03,-2.260085e+03,1.006086e+00
31,1.160926e+01,-1.367523,-5.301197,5.833283,1.452329e+03,5.629946e+03,-6.195030e+03,1.006086e+00
32,1.190052e+01,-2.925177,6.474259,-3.677949,3.145307e+03,-6.961472e+03,3.954728e+03,1.006086e+00
33,1.190052e+01,-3.138961,-6.819774,2.763622,3.375180e+03,7.332988e+03,-2.971596e+03,1.006086e+00
34,1.204750e+01,2.239337,2.983805,-7.076883,-2.422679e+03,-3.228100e+03,7.656293e+03,1.006086e+00
35,1.204750e+01,3.450468,-0.992849,7.149023,-3.732970e+03,1.074137e+03,-7.734339e+03,1.006086e+00
36,1.219538e+01,-6.581989,4.248959,-1.619805,7.164452e+03,-4.624963e+03,1.763147e+03,1.006086e+00
37,1.219538e+01,-0.972814,0.070325,-7.940320,1.058902e+03,-7.654883e+01,8.642986e+03,1.006086e+00
38,1.234417e+01,2.281723,6.986139,-3.160317,-2.498745e+03,-7.650613e+03,3.460905e+03,1.006086e+00
39,1.234417e+01,-2.697425,-3.774866,-6.517230,2.953986e+03,4.133905e+03,7.137104e+03,1.006086e+00
40,1.249386e+01,-4.715940,0.703502,6.423783,5.195707e+03,-7.750714e+02,-7.077294e+03,1.006086e+00
41,1.249386e+01,2.814009,-1.999630,7.216844,-3.100287e+03,2.203059e+03,-7.951034e+03,1.006086e+00
42,1.279594e+01,-2.377674,1.502366,-7.489297,2.651041e+03,-1.675097e+03,8.350360e+03,1.006086e+00
43,1.279594e+01,3.823259,6.212548,3.284347,-4.262829e+03,-6.926821e+03,-3.661957e+03,1.006086e+00
44,1.398234e+01,5.234348,5.945433,1.119563,-6.100713e+03,-6.929494e+03,-1.304868e+03,1.006086e+00
45,1.398234e+01,-1.628092,0.503105,-7.816406,1.897566e+03,-5.863765e+02,9.110141e+03,1.006086e+00
46,1.414162e+01,0.489114,2.204324,-7.674746,-5.733076e+02,-2.583765e+03,8.995839e+03,1.006086e+00
47,1.414162e+01,5.131721,-6.135392,-0.149679,-6.015070e+03,7.191509e+03,1.754437e+02,1.006086e+00
48,1.430181e+01,3.271781,-7.238734,0.946664,-3.856628e+03,8.532694e+03,-1.115885e+03,1.006086e+00
49,1.430181e+01,-2.812900,-3.100667,-6.817144,3.315720e+03,3.654926e+03,8.035742e+03,1.006086e+00
50,1.462488e+01,-0.337736,-1.090672,-7.918104,4.025797e+02,1.300075e+03,9.438336e+03,1.006086e+00
51,1.462488e+01,-1.954198,7.749167,-0.362658,2.329394e+03,-9.236964e+03,4.322868e+02,1.006086e+00
52,1.478777e+01,-2.594361,1.555754,-7.406006,3.109638e+03,-1.864749e+03,8.876944e+03,1.006086e+00
