i,eV,x_0,y_0,z_0,v_x,v_y,v_z,hit_p
0,2.623987e+00,5.374109,5.834810,1.036315,-1.776344e+03,-1.928622e+03,-3.425409e+02,1.000018e+00
1,2.623987e+00,1.312008,6.641518,-4.262496,-4.336676e+02,-2.195270e+03,1.408914e+03,1.000018e+00
2,2.623987e+00,7.322249,-3.185409,-0.487684,-2.420277e+03,1.052897e+03,1.611978e+02,1.000018e+00
3,4.387607e+00,7.778017,1.716650,-0.745365,-3.324470e+03,-7.337282e+02,3.185828e+02,1.000466e+00
4,4.387607e+00,1.665659,0.080629,7.824262,-7.119338e+02,-3.446250e+01,-3.344236e+03,1.000466e+00
5,4.387607e+00,-0.671056,-1.599362,-7.809720,2.868220e+02,6.835973e+02,3.338020e+03,1.000466e+00
6,6.769842e+00,-6.981656,-1.192689,-3.719406,3.706699e+03,6.332222e+02,1.974706e+03,9.988468e-01
7,6.769842e+00,-1.641088,-5.182342,-5.869426,8.712859e+02,2.751408e+03,3.116194e+03,9.988468e-01
8,6.769842e+00,6.560286,2.016607,4.110467,-3.482986e+03,-1.070656e+03,-2.182328e+03,9.988468e-01
9,6.939714e+00,0.293739,-7.288808,3.284355,-1.578966e+02,3.918023e+03,-1.765471e+03,1.002513e+00
10,6.939714e+00,5.563296,-0.612415,-5.716177,-2.990492e+03,3.291970e+02,3.072671e+03,1.002513e+00
11,6.939714e+00,2.544165,1.250060,-7.480947,-1.367590e+03,-6.719569e+02,4.021305e+03,1.002513e+00
12,7.111692e+00,-7.351896,3.104337,0.559205,4.000603e+03,-1.689254e+03,-3.042969e+02,1.002748e+00
13,7.111692e+00,-0.622884,3.947690,6.930206,3.389483e+02,-2.148173e+03,-3.771137e+03,1.002748e+00
14,7.111692e+00,1.210798,-0.907235,7.855628,-6.588673e+02,4.936806e+02,-4.274714e+03,1.002748e+00
15,7.285774e+00,-6.738847,-0.191557,4.307116,3.711617e+03,1.055058e+02,-2.372270e+03,9.976914e-01
16,7.285774e+00,-2.248000,0.085118,7.677190,1.238152e+03,-4.688098e+01,-4.228436e+03,9.976914e-01
17,7.285774e+00,6.687549,3.341530,2.847957,-3.683363e+03,-1.840445e+03,-1.568595e+03,9.976914e-01
18,7.461961e+00,6.812767,-4.097687,0.891717,-3.797429e+03,2.284047e+03,-4.970421e+02,9.959886e-01
19,7.461961e+00,5.027028,1.636314,-6.004287,-2.802060e+03,-9.120796e+02,3.346783e+03,9.959886e-01
20,7.461961e+00,4.683261,4.704813,-4.464505,-2.610445e+03,-2.622458e+03,2.488510e+03,9.959886e-01
21,9.666643e+00,-4.172353,-4.417639,-5.203454,2.647028e+03,2.802643e+03,3.301180e+03,1.006086e+00
22,9.666643e+00,5.020097,-4.229411,4.572822,-3.184855e+03,2.683227e+03,-2.901094e+03,1.006086e+00
