i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,2.866290e+03,miss,53.741090,58.348096,10.363151,-1.802088e+05,-1.399576e+05,-3.745169e+04
1,9.726187e+03,miss,-7.044606,-14.697498,-78.322137,-6.792826e+04,6.504742e+04,4.154284e+05
2,1.349462e+04,miss,77.780168,17.166498,-7.453646,-4.794227e+05,-1.343586e+05,6.182054e+04
3,1.949324e+04,miss,60.829508,27.163487,-44.293521,-3.622142e+05,-3.021675e+05,3.756465e+05
4,2.062288e+04,miss,-69.816556,-11.926889,-37.194056,5.332917e+05,-5.970132e+04,3.110017e+05
5,2.070983e+04,miss,0.910003,-11.850085,79.112245,-7.562891e+04,2.154286e+05,-5.780821e+05
6,2.087225e+04,miss,2.937395,-72.888083,32.843554,1.325164e+05,5.529795e+05,-2.568868e+05
7,2.094187e+04,miss,0.381819,-18.105584,77.923309,1.148561e+05,3.817847e+04,-6.131778e+05
8,2.100460e+04,miss,-73.518964,31.043370,5.592054,6.161587e+05,-9.879091e+04,-4.894180e+04
9,2.148773e+04,miss,12.662377,21.881220,-75.900437,4.826050e+04,-1.180819e+05,6.201179e+05
10,2.479548e+04,miss,-67.388470,-1.915574,43.071158,5.029044e+05,2.835095e+04,-4.569494e+05
11,3.100870e+04,miss,15.464628,9.914339,77.862386,-2.763392e+05,3.084353e+04,-7.078857e+05
12,3.162395e+04,miss,68.127674,-40.976873,8.917170,-5.492452e+05,5.275196e+05,-9.972983e+04
13,3.170975e+04,miss,3.886808,-30.452448,73.875173,-1.161192e+05,1.211972e+05,-7.505473e+05
14,3.288962e+04,miss,-41.723531,-44.176395,-52.034538,5.361853e+05,2.942421e+05,4.893149e+05
15,3.370269e+04,miss,-27.699135,74.977564,-3.335078,3.111472e+05,-7.288003e+05,2.657866e+04
16,3.469307e+04,miss,41.977585,-64.778756,21.014165,-5.231655e+05,5.844313e+05,-1.785516e+05
17,3.541503e+04,miss,33.942484,70.207062,-17.857105,-1.670072e+05,-7.678941e+05,2.075015e+05
18,3.745947e+04,miss,-56.868556,0.543094,-56.264308,6.530601e+05,-1.193495e+05,5.079504e+05
19,4.134071e+04,miss,27.099004,-41.515503,62.786200,-1.384598e+05,5.779596e+05,-6.464790e+05
20,4.378153e+04,miss,-11.866696,76.199052,21.281119,6.326518e+04,-8.799288e+05,-1.959489e+05
21,4.380831e+04,miss,4.257924,67.077869,43.386975,-1.498452e+05,-7.908717e+05,-4.113892e+05
22,4.487815e+04,miss,-31.389612,-68.197737,27.636225,4.023965e+05,7.807253e+05,-2.562691e+05
