i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,4.397929e+01,miss,53.741090,58.348096,10.363151,-1.914244e+06,-1.486681e+06,-3.978256e+05
1,1.121165e+02,miss,-7.044606,-14.697498,-78.322137,-6.254191e+05,5.988951e+05,3.824872e+06
2,1.409779e+02,miss,77.780168,17.166498,-7.453646,-4.202145e+06,-1.177654e+06,5.418577e+05
3,1.600142e+02,miss,60.829508,27.163487,-44.293521,-2.814233e+06,-2.347699e+06,2.918596e+06
4,1.816622e+02,miss,-69.816556,-11.926889,-37.194056,4.292197e+06,-4.805060e+05,2.503097e+06
5,2.221129e+02,miss,0.910003,-11.850085,79.112245,-6.716511e+05,1.913195e+06,-5.133876e+06
6,2.540808e+02,miss,2.937395,-72.888083,32.843554,1.253800e+06,5.231999e+06,-2.430526e+06
7,2.634823e+02,miss,0.381819,-18.105584,77.923309,1.104789e+06,3.672348e+05,-5.898094e+06
8,3.058239e+02,miss,-73.518964,31.043370,5.592054,6.375708e+06,-1.022240e+06,-5.064258e+05
9,3.187101e+02,miss,12.662377,21.881220,-75.900437,5.040246e+05,-1.233227e+06,6.476408e+06
10,3.641988e+02,miss,-67.388470,-1.915574,43.071158,5.226678e+06,2.946510e+05,-4.749068e+06
11,3.747471e+02,miss,15.464628,9.914339,77.862386,-2.605116e+06,2.907694e+05,-6.673409e+06
12,4.034516e+02,miss,68.127674,-40.976873,8.917170,-5.319995e+06,5.109560e+06,-9.659841e+05
13,4.211934e+02,miss,3.886808,-30.452448,73.875173,-1.147640e+06,1.197828e+06,-7.417879e+06
14,4.221179e+02,miss,-41.723531,-44.176395,-52.034538,5.209063e+06,2.858575e+06,4.753716e+06
15,4.443100e+02,miss,-27.699135,74.977564,-3.335078,3.063613e+06,-7.175903e+06,2.616984e+05
16,4.749369e+02,miss,41.977585,-64.778756,21.014165,-5.249198e+06,5.863910e+06,-1.791503e+06
17,5.281011e+02,miss,33.942484,70.207062,-17.857105,-1.748869e+06,-8.041246e+06,2.172918e+06
18,5.283859e+02,miss,-56.868556,0.543094,-56.264308,6.651280e+06,-1.215550e+06,5.173368e+06
19,5.474968e+02,miss,27.099004,-41.515503,62.786200,-1.366416e+06,5.703699e+06,-6.379895e+06
20,5.756585e+02,miss,-11.866696,76.199052,21.281119,6.220983e+05,-8.652504e+06,-1.926802e+06
21,5.833040e+02,miss,4.257924,67.077869,43.386975,-1.482755e+06,-7.825868e+06,-4.070797e+06
22,5.839981e+02,miss,-31.389612,-68.197737,27.636225,3.936405e+06,7.637369e+06,-2.506927e+06
23,6.030059e+02,miss,6.312052,-9.216022,-79.216305,6.145128e+05,2.756604e+06,8.645244e+06
24,6.392115e+02,miss,-65.819894,42.489585,-16.198048,6.748338e+06,-6.038606e+06,2.382936e+06
25,6.474754e+02,miss,45.576986,-11.368477,64.757209,-6.362605e+06,-3.375540e+05,-6.944070e+06
26,6.594512e+02,miss,-26.974249,-37.748659,-65.172300,8.865067e+05,5.015948e+06,8.032058e+06
27,6.985334e+02,miss,7.041686,23.279307,-76.213441,7.023044e+05,-9.824978e+05,9.714015e+06
28,7.016563e+02,miss,-23.776736,15.023657,-74.892967,4.079850e+06,2.392871e+05,8.918889e+06
29,7.204582e+02,miss,-21.840306,24.666841,72.900946,3.458644e+05,-2.521005e+06,-9.610050e+06
30,7.327403e+02,miss,-16.280917,5.031049,-78.164060,2.516405e+06,1.769388e+06,9.542008e+06
31,7.364210e+02,miss,28.471008,-18.339959,-72.477911,-5.475843e+06,1.987935e+06,8.190305e+06
32,7.581750e+02,miss,32.717810,-72.387345,9.466638,-6.326976e+06,7.892233e+06,-1.297672e+06
33,7.776684e+02,miss,29.125041,-57.430801,-47.470361,-1.447033e+06,7.538171e+06,6.910715e+06
34,7.948152e+02,miss,-19.541982,77.491669,-3.626584,3.704956e+05,-1.041991e+07,5.622819e+05
35,8.033961e+02,miss,42.878001,-42.042551,-52.857364,-6.660987e+06,3.178769e+06,7.465370e+06
36,8.042595e+02,miss,-1.293430,-4.617847,79.856136,-2.365344e+06,1.910052e+05,-1.023192e+07
37,8.074261e+02,miss,73.337347,31.842024,2.778328,-8.968057e+06,-5.498969e+06,-3.052737e+05
38,8.134293e+02,miss,23.461836,-13.552139,-75.272052,-1.381409e+06,3.753401e+06,9.776761e+06
39,8.175744e+02,miss,78.676501,-5.266376,13.500872,-1.048596e+07,3.644673e+05,-1.435917e+06
40,8.254349e+02,miss,-42.425051,16.881947,-65.689534,6.207296e+06,3.334533e+05,8.636349e+06
41,8.267239e+02,miss,42.536214,61.424626,-28.595207,-3.365559e+06,-9.156536e+06,4.270351e+06
42,8.459028e+02,miss,-10.977021,-76.559465,20.448797,4.390545e+05,1.015894e+07,-3.555152e+06
43,8.462847e+02,miss,21.185985,-35.104952,-68.693496,-4.938285e+05,5.891554e+06,9.007441e+06
44,8.868675e+02,miss,-34.142577,-36.162701,62.662138,2.539886e+06,6.613765e+06,-8.453536e+06
45,8.967770e+02,miss,56.655367,-19.379548,53.052828,-7.533687e+06,4.815139e+06,-6.562966e+06
46,9.177877e+02,miss,13.089955,-60.587093,50.575263,9.583495e+05,8.663194e+06,-7.065923e+06
47,9.299165e+02,miss,42.686350,-4.512966,-67.509323,-7.290557e+06,2.042922e+06,8.380611e+06
48,9.365409e+02,miss,16.867994,34.095228,70.377455,-2.723569e+06,-2.163632e+06,-1.078749e+07
49,9.565137e+02,miss,58.566679,43.478734,-32.856412,-6.866905e+06,-8.120484e+06,4.255841e+06
50,9.642698e+02,miss,1.349973,-73.061290,-32.561103,-2.829610e+06,9.851413e+06,5.216869e+06
51,9.707773e+02,miss,-12.082958,26.197890,74.616839,-1.095184e+06,-4.219353e+06,-1.068471e+07
52,9.913593e+02,miss,-54.701635,-33.752785,-47.628569,7.974939e+06,6.204071e+06,5.822250e+06
53,9.919770e+02,miss,50.269159,-60.589827,-14.208609,-6.863162e+06,9.283071e+06,1.671852e+06
54,1.011081e+03,miss,-75.719352,-13.729655,-21.864955,1.036017e+07,3.985303e+06,3.934243e+06
55,1.018685e+03,miss,-54.084270,57.430056,13.292115,7.587063e+06,-8.685331e+06,-2.595890e+06
56,1.026408e+03,miss,50.476481,27.036624,55.867216,-7.571829e+06,-5.725212e+06,-7.119399e+06
57,1.026557e+03,miss,-1.851325,-13.690917,-78.798042,2.972504e+06,9.224395e+05,1.145121e+07
58,1.032323e+03,miss,-67.789688,17.208450,-38.838478,8.680921e+06,-4.926354e+06,6.479242e+06
59,1.035179e+03,miss,41.333722,57.188088,37.696764,-7.781445e+06,-7.643415e+06,-4.798650e+06
60,1.038773e+03,miss,71.746508,6.759560,-34.738264,-9.739686e+06,-2.980157e+06,6.224943e+06
61,1.061136e+03,miss,36.998520,-7.036965,-70.580384,-7.446378e+06,1.658770e+06,9.346670e+06
62,1.075376e+03,miss,63.067289,8.807561,-48.424621,-1.044093e+07,-1.350197e+05,6.203417e+06
63,1.104934e+03,miss,0.702201,-65.349908,-46.139965,-4.126122e+04,8.630432e+06,8.779646e+06
64,1.112274e+03,miss,19.867858,0.531158,77.491845,-5.425355e+05,-1.880557e+06,-1.219608e+07
65,1.122784e+03,miss,-0.033252,-1.593388,79.984123,-2.986596e+06,-1.089496e+05,-1.204513e+07
66,1.138884e+03,miss,-48.273784,-13.703955,62.304441,6.027414e+06,-1.059000e+05,-1.094917e+07
67,1.142814e+03,miss,-15.596212,-59.683194,50.937948,2.410346e+05,1.031581e+07,-7.091574e+06
68,1.150399e+03,miss,-9.459300,23.817569,75.784200,1.805853e+06,-6.194405e+06,-1.077837e+07
69,1.155956e+03,miss,36.295609,13.139088,70.071343,-6.469965e+06,9.208007e+05,-1.076377e+07
70,1.158545e+03,miss,-79.067152,11.098719,-5.020354,1.256742e+07,7.065849e+05,6.949233e+05
71,1.165559e+03,miss,38.959117,-67.138933,-19.353317,-6.190450e+06,1.074786e+07,2.458900e+06
72,1.181977e+03,miss,0.415138,-0.034292,79.998916,2.975307e+06,5.723675e+05,-1.236756e+07
73,1.187271e+03,miss,-58.372717,3.800767,-54.572704,7.349760e+06,-1.572177e+06,1.031368e+07
74,1.210971e+03,miss,32.032550,31.044391,66.409047,-6.553908e+06,-6.147764e+06,-9.239323e+06
75,1.212019e+03,miss,8.093611,8.189046,-79.167121,3.755348e+05,-3.909664e+06,1.228133e+07
76,1.214850e+03,miss,-4.401264,77.625787,18.837889,2.811055e+06,-1.232976e+07,-2.592477e+06
77,1.231226e+03,miss,5.271983,-78.910601,12.055012,-3.093417e+06,1.238782e+07,-2.421772e+06
78,1.236827e+03,miss,19.889645,76.589998,-11.763257,-2.336589e+06,-1.256441e+07,2.517233e+06
79,1.237857e+03,miss,-60.533004,27.603091,-44.427748,9.733939e+06,-6.147291e+06,6.104352e+06
80,1.238199e+03,miss,19.701584,-3.330635,77.464537,-2.775612e+06,-2.655894e+06,-1.245355e+07
81,1.242355e+03,miss,-0.051777,53.071740,-59.861404,-5.841344e+03,-1.009847e+07,8.272833e+06
82,1.255249e+03,miss,-3.796655,-8.292491,79.478425,1.138518e+06,4.340484e+06,-1.233092e+07
83,1.255704e+03,miss,-42.254656,-60.220302,31.433411,6.006750e+06,1.086294e+07,-4.262093e+06
84,1.268685e+03,miss,19.398042,33.240921,70.133851,-4.319756e+06,-7.260749e+06,-1.013172e+07
85,1.272894e+03,miss,70.526653,-23.329140,-29.694148,-1.045090e+07,5.277549e+06,6.126519e+06
86,1.290523e+03,miss,-2.361393,-13.221748,78.864499,-2.855798e+06,1.766014e+06,-1.287446e+07
87,1.294011e+03,miss,5.253927,2.287554,-79.794507,-2.385285e+06,2.467649e+06,1.287345e+07
88,1.294744e+03,miss,-1.733086,-40.984693,68.682249,3.422441e+06,5.658638e+06,-1.157030e+07
89,1.318721e+03,miss,-0.945124,30.332444,74.020603,2.058730e+06,-2.374523e+06,-1.307737e+07
90,1.325169e+03,miss,57.847282,44.978653,32.103158,-1.142180e+07,-4.639640e+06,-5.458468e+06
91,1.329460e+03,miss,-48.798408,-25.553837,-58.014798,7.959148e+06,1.222251e+06,1.084092e+07
92,1.330514e+03,miss,66.679640,-28.734759,33.587784,-1.179236e+07,4.710165e+06,-4.611575e+06
93,1.347066e+03,miss,4.657246,77.444460,19.510655,-2.105237e+06,-1.273004e+07,-4.277435e+06
94,1.369477e+03,miss,16.708559,77.931920,-6.887658,-5.300272e+05,-1.365846e+07,1.011053e+06
95,1.378397e+03,miss,-17.850745,-72.474244,28.789492,-2.517500e+05,1.288737e+07,-4.788793e+06
96,1.386412e+03,miss,0.228118,-0.778743,79.995884,-1.749215e+06,-2.749836e+06,-1.339994e+07
97,1.386587e+03,miss,12.642162,30.158330,73.011306,1.046028e+06,-6.190793e+06,-1.227940e+07
