i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,9.453263e+00,miss,54.146942,58.788740,3.463036,-6.038838e+03,-4.705081e+03,-4.160002e+02
1,1.781333e+01,miss,-31.056724,-64.795126,-35.172027,1.627320e+03,9.056520e+03,5.107919e+03
2,2.243006e+01,miss,78.082196,17.233157,-2.487756,-1.136269e+04,-3.180885e+03,4.864868e+02
3,6.721834e+01,miss,71.654939,31.997596,-15.547463,-1.588844e+04,-1.200898e+04,4.614260e+03
4,8.470865e+01,miss,-77.835454,-13.296772,-12.838923,2.252123e+04,-1.809933e+03,4.027272e+03
5,1.051830e+02,miss,5.450371,-70.974870,36.508373,-3.926455e+03,2.336475e+04,-9.626900e+03
6,1.131039e+02,miss,3.189414,-79.141645,11.244008,5.564601e+03,2.565616e+04,-3.748745e+03
7,1.244281e+02,miss,1.520628,-72.107117,34.615768,5.378648e+03,2.352276e+04,-1.383539e+04
8,1.270166e+02,miss,-73.679198,31.111029,1.865370,2.773629e+04,-4.463554e+03,-7.332331e+02
9,1.298968e+02,miss,36.645106,63.324572,-32.359462,-7.659364e+03,-2.368522e+04,1.371186e+04
10,1.394890e+02,miss,-78.536036,-2.232453,15.070079,2.848583e+04,1.454293e+03,-7.331870e+03
11,1.409017e+02,miss,60.749392,38.946300,34.535447,-2.573318e+04,-8.718051e+03,-1.174294e+04
12,1.427271e+02,miss,68.507369,-41.205249,2.977891,-2.149469e+04,2.058526e+04,-1.293382e+03
13,1.514980e+02,miss,9.359141,-73.327206,30.586393,-7.980992e+03,2.587838e+04,-1.444286e+04
14,1.617403e+02,miss,-53.407562,-56.547312,-18.709189,2.608471e+04,1.657700e+04,7.103401e+03
15,1.636012e+02,miss,-27.720558,75.035553,-1.111979,1.252137e+04,-2.933132e+04,3.564278e+02
16,1.655583e+02,miss,43.334687,-66.873000,7.078615,-2.124284e+04,2.392569e+04,-2.389490e+03
17,1.668773e+02,miss,34.723051,71.821598,-5.997308,-7.009772e+03,-3.131731e+04,2.774384e+03
18,1.694303e+02,miss,-77.307437,0.738285,-20.567330,3.137696e+04,-4.537015e+03,6.955851e+03
19,1.711896e+02,miss,41.764739,-63.983317,23.703202,-1.056975e+04,2.955133e+04,-8.911790e+03
20,1.729824e+02,miss,-12.260696,78.729023,7.170515,2.415825e+03,-3.261973e+04,-2.384425e+03
21,1.772741e+02,miss,4.975755,78.386330,15.192931,-5.634934e+03,-3.230555e+04,-5.181901e+03
22,1.810215e+02,miss,-33.217928,-72.169975,9.384245,1.524346e+04,2.971843e+04,-3.163175e+03
23,1.935200e+02,miss,40.161682,-58.638766,-36.722396,-1.113912e+04,2.947980e+04,1.449581e+04
24,2.000903e+02,miss,-67.056876,43.288111,-5.432755,2.627314e+04,-2.333798e+04,3.029904e+03
25,2.081268e+02,miss,73.816537,-18.412397,24.740704,-3.458679e+04,1.538714e+03,-9.771151e+03
26,2.155345e+02,miss,-44.188607,-61.839002,-24.966074,1.214031e+04,3.222655e+04,1.241815e+04
27,2.165661e+02,miss,21.143435,69.898676,-32.666959,-4.928319e+03,-3.116329e+04,1.873830e+04
28,2.236128e+02,miss,-62.189880,39.295530,-31.436925,3.294548e+04,-1.009260e+04,1.425175e+04
29,2.266999e+02,miss,-49.207889,55.576287,29.830521,1.718596e+04,-2.867082e+04,-1.709384e+04
30,2.369404e+02,miss,-68.756390,21.246763,-34.944726,3.462068e+04,-8.155074e+02,1.655261e+04
31,2.726906e+02,miss,62.509160,-40.266065,-29.516927,-3.534144e+04,1.692967e+04,1.264524e+04
32,2.850759e+02,miss,32.923564,-72.842569,3.162133,-2.625535e+04,3.286323e+04,-1.790769e+03
33,2.990636e+02,miss,35.375465,-69.755827,-16.813715,-1.023350e+04,4.051968e+04,1.062759e+04
34,3.052464e+02,miss,-19.559858,77.562554,-1.209230,1.557734e+03,-4.353067e+04,7.824177e+02
35,3.052592e+02,miss,55.477023,-54.396089,-19.062148,-3.628002e+04,2.116315e+04,1.157233e+04
36,3.175848e+02,miss,-18.898263,-67.471197,38.606906,-5.067431e+02,3.810209e+04,-2.286153e+04
37,3.306377e+02,miss,73.376694,31.859108,0.926275,-3.865311e+04,-2.369770e+04,-4.384524e+02
