i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,2.199566e+01,miss,54.146942,58.788740,3.463036,-1.368198e+06,-1.066013e+06,-9.425167e+04
1,2.201126e+01,miss,-31.056724,-64.795126,-35.172027,2.686833e+05,1.495303e+06,8.433577e+05
2,2.544836e+01,miss,78.082196,17.233157,-2.487756,-1.797686e+06,-5.032464e+05,7.696685e+04
3,5.759259e+01,miss,71.654939,31.997596,-15.547463,-2.184432e+06,-1.651062e+06,6.343944e+05
4,5.990510e+01,miss,-77.835454,-13.296772,-12.838923,2.813054e+06,-2.260729e+05,5.030335e+05
5,6.050763e+01,miss,5.450371,-70.974870,36.508373,-4.423345e+05,2.632154e+06,-1.084518e+06
6,6.283054e+01,miss,3.189414,-79.141645,11.244008,6.160253e+05,2.840247e+06,-4.150022e+05
7,6.297472e+01,miss,1.520628,-72.107117,34.615768,5.683487e+05,2.485593e+06,-1.461952e+06
8,6.774676e+01,miss,-73.679198,31.111029,1.865370,3.008710e+06,-4.841865e+05,-7.953787e+04
9,8.619841e+01,miss,36.645106,63.324572,-32.359462,-9.267468e+05,-2.865800e+06,1.659071e+06
10,8.668626e+01,miss,-78.536036,-2.232453,15.070079,3.335430e+06,1.702844e+05,-8.584951e+05
11,1.121165e+02,miss,60.749392,38.946300,34.535447,-3.409478e+06,-1.155085e+06,-1.555862e+06
12,1.220006e+02,miss,68.507369,-41.205249,2.977891,-2.951731e+06,2.826845e+06,-1.776121e+05
13,1.449723e+02,miss,9.359141,-73.327206,30.586393,-1.159615e+06,3.760054e+06,-2.098505e+06
14,1.515613e+02,miss,-53.407562,-56.547312,-18.709189,3.750498e+06,2.383466e+06,1.021337e+06
15,1.519442e+02,miss,-27.720558,75.035553,-1.111979,1.792332e+06,-4.198540e+06,5.101973e+04
16,1.591906e+02,miss,43.334687,-66.873000,7.078615,-3.093953e+06,3.484702e+06,-3.480217e+05
17,1.629066e+02,miss,34.723051,71.821598,-5.997308,-1.028709e+06,-4.595927e+06,4.071508e+05
18,1.664229e+02,miss,-77.307437,0.738285,-20.567330,4.618913e+06,-6.678810e+05,1.023951e+06
19,1.763801e+02,miss,41.764739,-63.983317,23.703202,-1.593562e+06,4.455342e+06,-1.343597e+06
20,1.920995e+02,miss,-12.260696,78.729023,7.170515,3.781339e+05,-5.105760e+06,-3.732190e+05
21,2.113498e+02,miss,4.975755,78.386330,15.192931,-9.138711e+05,-5.239300e+06,-8.403984e+05
22,2.127930e+02,miss,-33.217928,-72.169975,9.384245,2.454793e+06,4.785831e+06,-5.093951e+05
23,2.206682e+02,miss,40.161682,-58.638766,-36.722396,-1.766753e+06,4.675729e+06,2.299150e+06
24,2.431454e+02,miss,-67.056876,43.288111,-5.432755,4.301796e+06,-3.821212e+06,4.960971e+05
25,2.458149e+02,miss,73.816537,-18.412397,24.740704,-5.583007e+06,2.483796e+05,-1.577261e+06
26,2.468211e+02,miss,-44.188607,-61.839002,-24.966074,1.929659e+06,5.122294e+06,1.973821e+06
27,2.513050e+02,miss,21.143435,69.898676,-32.666959,-7.885369e+05,-4.986163e+06,2.998150e+06
28,2.550892e+02,miss,-62.189880,39.295530,-31.436925,5.226506e+06,-1.601100e+06,2.260912e+06
29,2.587137e+02,miss,-49.207889,55.576287,29.830521,2.726941e+06,-4.549274e+06,-2.712324e+06
30,2.634823e+02,miss,-68.756390,21.246763,-34.944726,5.422627e+06,-1.277327e+05,2.592630e+06
31,2.716436e+02,miss,62.509160,-40.266065,-29.516927,-5.239222e+06,2.509754e+06,1.874604e+06
32,2.744954e+02,miss,32.923564,-72.842569,3.162133,-3.826688e+06,4.789778e+06,-2.610025e+05
33,2.774135e+02,miss,35.375465,-69.755827,-16.813715,-1.463943e+06,5.796501e+06,1.520319e+06
34,2.791230e+02,miss,-19.559858,77.562554,-1.209230,2.212502e+05,-6.182809e+06,1.111294e+05
35,2.869632e+02,miss,55.477023,-54.396089,-19.062148,-5.224734e+06,3.047733e+06,1.666547e+06
36,2.926738e+02,miss,-18.898263,-67.471197,38.606906,-7.225499e+04,5.432864e+06,-3.259757e+06
37,2.930456e+02,miss,73.376694,31.859108,0.926275,-5.404976e+06,-3.313718e+06,-6.131007e+04
38,3.035647e+02,miss,63.575807,-36.722966,-31.773267,-4.127193e+06,4.234461e+06,2.583952e+06
39,3.041374e+02,miss,79.693897,-5.334477,4.519523,-6.448485e+06,2.262537e+05,-2.925844e+05
40,3.151888e+02,miss,-70.531529,28.066190,-25.250591,6.197763e+06,-7.116002e+05,2.077758e+06
41,3.187101e+02,miss,45.207452,65.282040,-9.723246,-2.362495e+06,-6.107942e+06,9.112717e+05
42,3.285235e+02,miss,-11.312090,-78.896412,6.884237,3.136336e+05,6.663091e+06,-7.548191e+05
