i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,4.329892e+01,miss,54.146942,58.788740,3.463036,-2.238524e+04,-1.744116e+04,-1.542062e+03
1,4.696724e+01,miss,-31.056724,-64.795126,-35.172027,4.576763e+03,2.547106e+04,1.436579e+04
2,5.049935e+01,miss,78.082196,17.233157,-2.487756,-2.953041e+04,-8.266780e+03,1.264327e+03
3,5.518609e+01,miss,71.654939,31.997596,-15.547463,-2.493520e+04,-1.884680e+04,7.241585e+03
4,6.034050e+01,miss,-77.835454,-13.296772,-12.838923,3.292254e+04,-2.645841e+03,5.887245e+03
5,7.184482e+01,miss,5.450371,-70.974870,36.508373,-5.620645e+03,3.344620e+04,-1.378072e+04
6,7.453761e+01,miss,3.189414,-79.141645,11.244008,7.824266e+03,3.607457e+04,-5.271030e+03
7,1.119612e+02,miss,1.520628,-72.107117,34.615768,8.837068e+03,3.864767e+04,-2.273142e+04
8,1.149505e+02,miss,-73.679198,31.111029,1.865370,4.570189e+04,-7.354726e+03,-1.208169e+03
9,1.181343e+02,miss,36.645106,63.324572,-32.359462,-1.265151e+04,-3.912253e+04,2.264884e+04
10,1.298474e+02,miss,-78.536036,-2.232453,15.070079,4.760319e+04,2.430296e+03,-1.225242e+04
11,1.406004e+02,miss,60.749392,38.946300,34.535447,-4.452349e+04,-1.508395e+04,-2.031761e+04
12,1.521413e+02,miss,68.507369,-41.205249,2.977891,-3.843811e+04,3.681181e+04,-2.312905e+03
13,1.634467e+02,miss,9.359141,-73.327206,30.586393,-1.435827e+04,4.655672e+04,-2.598354e+04
14,1.686984e+02,miss,-53.407562,-56.547312,-18.709189,4.614163e+04,2.932331e+04,1.256531e+04
15,1.703643e+02,miss,-27.720558,75.035553,-1.111979,2.213138e+04,-5.184278e+04,6.299821e+02
16,1.721085e+02,miss,43.334687,-66.873000,7.078615,-3.751448e+04,4.225234e+04,-4.219796e+03
17,1.890253e+02,miss,34.723051,71.821598,-5.997308,-1.292189e+04,-5.773065e+04,5.114329e+03
18,2.013918e+02,miss,-77.307437,0.738285,-20.567330,5.925116e+04,-8.567541e+03,1.313519e+04
19,2.059447e+02,miss,41.764739,-63.983317,23.703202,-2.007993e+04,5.614025e+04,-1.693020e+04
20,2.062294e+02,miss,-12.260696,78.729023,7.170515,4.568783e+03,-6.169008e+04,-4.509399e+03
21,2.096273e+02,miss,4.975755,78.386330,15.192931,-1.061331e+04,-6.084698e+04,-9.760026e+03
22,2.102762e+02,miss,-33.217928,-72.169975,9.384245,2.845602e+04,5.547745e+04,-5.904918e+03
23,2.134361e+02,miss,40.161682,-58.638766,-36.722396,-2.026201e+04,5.362362e+04,2.636782e+04
24,2.176093e+02,miss,-67.056876,43.288111,-5.432755,4.745678e+04,-4.215505e+04,5.472870e+03
25,2.343143e+02,miss,73.816537,-18.412397,24.740704,-6.356327e+04,2.827834e+03,-1.795733e+04
26,2.398404e+02,miss,-44.188607,-61.839002,-24.966074,2.218163e+04,5.888128e+04,2.268927e+04
27,2.414615e+02,miss,21.143435,69.898676,-32.666959,-9.013388e+03,-5.699445e+04,3.427042e+04
28,2.459825e+02,miss,-62.189880,39.295530,-31.436925,5.984947e+04,-1.833443e+04,2.589002e+04
29,2.565899e+02,miss,-49.207889,55.576287,29.830521,3.166857e+04,-5.283174e+04,-3.149883e+04
30,2.669299e+02,miss,-68.756390,21.246763,-34.944726,6.364662e+04,-1.499228e+03,3.043030e+04
31,2.852433e+02,miss,62.509160,-40.266065,-29.516927,-6.260622e+04,2.999037e+04,2.240063e+04
32,3.011332e+02,miss,32.923564,-72.842569,3.162133,-4.673880e+04,5.850189e+04,-3.187860e+03
33,3.129445e+02,miss,35.375465,-69.755827,-16.813715,-1.813163e+04,7.179241e+04,1.882987e+04
34,3.260411e+02,miss,-19.559858,77.562554,-1.209230,2.788462e+03,-7.792323e+04,1.400587e+03
35,3.265728e+02,miss,55.477023,-54.396089,-19.062148,-6.499558e+04,3.791373e+04,2.073181e+04
36,3.305038e+02,miss,-18.898263,-67.471197,38.606906,-8.953789e+02,6.732368e+04,-4.039469e+04
37,3.483553e+02,miss,73.376694,31.859108,0.926275,-6.871951e+04,-4.213101e+04,-7.795036e+02
38,3.523189e+02,miss,63.575807,-36.722966,-31.773267,-5.184894e+04,5.319652e+04,3.246157e+04
39,3.614071e+02,miss,79.693897,-5.334477,4.519523,-8.197168e+04,2.876086e+03,-3.719267e+03
40,3.983171e+02,miss,-70.531529,28.066190,-25.250591,8.124690e+04,-9.328415e+03,2.723747e+04
41,4.142508e+02,miss,45.207452,65.282040,-9.723246,-3.140851e+04,-8.120287e+04,1.211503e+04
42,4.278947e+02,miss,-11.312090,-78.896412,6.884237,4.173981e+03,8.867550e+04,-1.004548e+04
43,4.334977e+02,miss,38.911161,-64.475380,-26.997166,-2.358999e+04,8.155708e+04,2.963357e+04
44,4.341372e+02,miss,-52.467954,-55.572340,23.639560,4.108385e+04,7.567617e+04,-2.614111e+04
45,4.375253e+02,miss,73.494324,-25.139485,19.146557,-7.659648e+04,4.402733e+04,-1.886522e+04
46,4.493084e+02,miss,16.456647,-76.169887,18.092184,4.009625e+03,8.907122e+04,-2.076914e+04
47,4.544399e+02,miss,75.138886,-7.943974,-26.287660,-8.658547e+04,1.888526e+04,2.496276e+04
48,4.549857e+02,miss,33.220199,67.147892,28.063836,-4.863875e+04,-6.723774e+04,-4.000470e+04
49,4.566383e+02,miss,63.596028,47.212422,-11.248662,-6.024016e+04,-6.893968e+04,1.167427e+04
50,4.603279e+02,miss,1.463525,-79.206799,-11.141860,-2.325978e+04,8.850462e+04,1.458022e+04
51,4.672397e+02,miss,-30.852530,66.893488,31.199080,1.338190e+04,-8.442283e+04,-3.754073e+04
52,4.716893e+02,miss,-66.550080,-41.063682,-16.877821,7.380477e+04,5.559075e+04,1.615920e+04
53,4.728619e+02,miss,50.990831,-61.459664,-4.758653,-5.581684e+04,7.539705e+04,4.498118e+03
54,4.749881e+02,miss,-78.381538,-14.212370,-7.371778,8.754253e+04,3.288873e+04,1.071290e+04
55,4.804976e+02,miss,-54.761744,58.149440,4.449052,6.215717e+04,-7.106643e+04,-6.996308e+03
56,4.826645e+02,miss,68.192378,36.525757,20.387954,-7.578594e+04,-5.346530e+04,-2.003179e+04
57,4.952595e+02,miss,-9.578423,-70.834336,-35.927019,3.463568e+04,7.803175e+04,4.415511e+04
58,4.970264e+02,miss,-76.436329,19.403405,-13.453454,8.372882e+04,-4.377355e+04,1.856284e+04
59,5.000882e+02,miss,46.237112,63.972271,13.026054,-6.724081e+04,-6.805187e+04,-1.326449e+04
60,5.028580e+02,miss,78.756183,7.419973,-11.933466,-9.162853e+04,-2.581998e+04,1.781961e+04
61,5.047392e+02,miss,73.547371,-13.988405,-28.197673,-9.102043e+04,1.910820e+04,2.766309e+04
62,5.205227e+02,miss,77.377774,10.806069,-17.202004,-9.693847e+04,-3.088323e+03,1.740395e+04
63,5.458412e+02,miss,0.841586,-78.321746,-16.278694,-5.935663e+02,9.718893e+04,2.712451e+04
64,5.492096e+02,miss,72.357346,1.934441,34.068644,-8.470217e+04,-2.021833e+04,-5.158849e+04
