i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,2.570111e+01,miss,54.146942,58.788740,3.463036,-4.609301e+03,-3.591276e+03,-3.175230e+02
1,4.411523e+01,miss,-31.056724,-64.795126,-35.172027,1.185472e+03,6.597504e+03,3.721023e+03
2,4.660326e+01,miss,78.082196,17.233157,-2.487756,-7.581771e+03,-2.122451e+03,3.246091e+02
3,7.071025e+01,miss,71.654939,31.997596,-15.547463,-7.543539e+03,-5.701644e+03,2.190766e+03
4,7.195699e+01,miss,-77.835454,-13.296772,-12.838923,9.608628e+03,-7.722036e+02,1.718226e+03
5,7.275811e+01,miss,5.450371,-70.974870,36.508373,-1.511698e+03,8.995508e+03,-3.706389e+03
6,8.312888e+01,miss,3.189414,-79.141645,11.244008,2.208349e+03,1.018182e+04,-1.487715e+03
7,8.669471e+01,miss,1.520628,-72.107117,34.615768,2.078293e+03,9.089121e+03,-5.345952e+03
8,1.046736e+02,miss,-73.679198,31.111029,1.865370,1.165556e+04,-1.875710e+03,-3.081250e+02
9,1.162854e+02,miss,36.645106,63.324572,-32.359462,-3.354693e+03,-1.037379e+04,6.005602e+03
10,1.184726e+02,miss,-78.536036,-2.232453,15.070079,1.215247e+04,6.204225e+02,-3.127882e+03
11,1.346028e+02,miss,60.749392,38.946300,34.535447,-1.164284e+04,-3.944436e+03,-5.313030e+03
12,1.410948e+02,miss,68.507369,-41.205249,2.977891,-9.893046e+03,9.474476e+03,-5.952862e+02
13,1.459700e+02,miss,9.359141,-73.327206,30.586393,-3.626451e+03,1.175878e+04,-6.562632e+03
14,1.497539e+02,miss,-53.407562,-56.547312,-18.709189,1.161883e+04,7.383843e+03,3.164046e+03
15,1.515657e+02,miss,-27.720558,75.035553,-1.111979,5.578992e+03,-1.306879e+04,1.588091e+02
16,1.526975e+02,miss,43.334687,-66.873000,7.078615,-9.443865e+03,1.063657e+04,-1.062288e+03
17,1.563477e+02,miss,34.723051,71.821598,-5.997308,-3.140853e+03,-1.403228e+04,1.243112e+03
18,1.666384e+02,miss,-77.307437,0.738285,-20.567330,1.440454e+04,-2.082854e+03,3.193294e+03
