i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,1.101476e+01,miss,54.146942,58.788740,3.463036,-4.609301e+03,-3.591276e+03,-3.175230e+02
1,1.890653e+01,miss,-31.056724,-64.795126,-35.172027,1.185472e+03,6.597504e+03,3.721023e+03
2,1.997283e+01,miss,78.082196,17.233157,-2.487756,-7.581771e+03,-2.122451e+03,3.246091e+02
3,3.562666e+01,miss,71.654939,31.997596,-15.547463,-8.179183e+03,-6.182083e+03,2.375367e+03
4,4.486011e+01,miss,-77.835454,-13.296772,-12.838923,1.158893e+04,-9.313521e+02,2.072346e+03
5,5.077398e+01,miss,5.450371,-70.974870,36.508373,-1.929005e+03,1.147873e+04,-4.729545e+03
6,6.046920e+01,miss,3.189414,-79.141645,11.244008,2.877050e+03,1.326493e+04,-1.938203e+03
7,6.700615e+01,miss,1.520628,-72.107117,34.615768,2.790976e+03,1.220594e+04,-7.179174e+03
8,7.491478e+01,miss,-73.679198,31.111029,1.865370,1.506215e+04,-2.423925e+03,-3.981810e+02
9,9.277350e+01,miss,36.645106,63.324572,-32.359462,-4.577101e+03,-1.415387e+04,8.193969e+03
10,1.050970e+02,miss,-78.536036,-2.232453,15.070079,1.748392e+04,8.926105e+02,-4.500128e+03
11,1.243201e+02,miss,60.749392,38.946300,34.535447,-1.709193e+04,-5.790513e+03,-7.799636e+03
12,1.266019e+02,miss,68.507369,-41.205249,2.977891,-1.431473e+04,1.370908e+04,-8.613483e+02
13,1.327763e+02,miss,9.359141,-73.327206,30.586393,-5.283220e+03,1.713085e+04,-9.560815e+03
14,1.344367e+02,miss,-53.407562,-56.547312,-18.709189,1.681593e+04,1.068663e+04,4.579320e+03
15,1.428187e+02,miss,-27.720558,75.035553,-1.111979,8.272488e+03,-1.937831e+04,2.354810e+02
16,1.547179e+02,miss,43.334687,-66.873000,7.078615,-1.452086e+04,1.635477e+04,-1.633372e+03
17,1.685008e+02,miss,34.723051,71.821598,-5.997308,-4.980710e+03,-2.225214e+04,1.971306e+03
18,1.694173e+02,miss,-77.307437,0.738285,-20.567330,2.218601e+04,-3.208031e+03,4.918341e+03
19,1.711555e+02,miss,41.764739,-63.983317,23.703202,-7.473201e+03,2.089387e+04,-6.300960e+03
20,1.881146e+02,miss,-12.260696,78.729023,7.170515,1.781397e+03,-2.405335e+04,-1.758243e+03
21,2.103660e+02,miss,4.975755,78.386330,15.192931,-4.340491e+03,-2.488441e+04,-3.991528e+03
22,2.262078e+02,miss,-33.217928,-72.169975,9.384245,1.204917e+04,2.349089e+04,-2.500328e+03
23,2.294642e+02,miss,40.161682,-58.638766,-36.722396,-8.576901e+03,2.269886e+04,1.116149e+04
24,2.298601e+02,miss,-67.056876,43.288111,-5.432755,1.991204e+04,-1.768753e+04,2.296321e+03
25,2.417145e+02,miss,73.816537,-18.412397,24.740704,-2.635618e+04,1.172547e+03,-7.445914e+03
26,2.488563e+02,miss,-44.188607,-61.839002,-24.966074,9.224246e+03,2.448582e+04,9.435349e+03
27,2.540332e+02,miss,21.143435,69.898676,-32.666959,-3.774277e+03,-2.386593e+04,1.435044e+04
28,2.597935e+02,miss,-62.189880,39.295530,-31.436925,2.511000e+04,-7.692255e+03,1.086223e+04
29,2.619618e+02,miss,-49.207889,55.576287,29.830521,1.306327e+04,-2.179307e+04,-1.299325e+04
30,2.712413e+02,miss,-68.756390,21.246763,-34.944726,2.619262e+04,-6.169803e+02,1.252304e+04
31,2.756031e+02,miss,62.509160,-40.266065,-29.516927,-2.512327e+04,1.203485e+04,8.989155e+03
32,2.779929e+02,miss,32.923564,-72.842569,3.162133,-1.833325e+04,2.294731e+04,-1.250435e+03
33,2.789781e+02,miss,35.375465,-69.755827,-16.813715,-6.988960e+03,2.767287e+04,7.258102e+03
34,2.818035e+02,miss,-19.559858,77.562554,-1.209230,1.058342e+03,-2.957524e+04,5.315836e+02
35,2.846606e+02,miss,55.477023,-54.396089,-19.062148,-2.477318e+04,1.445089e+04,7.901968e+03
36,2.854543e+02,miss,-18.898263,-67.471197,38.606906,-3.397123e+02,2.554302e+04,-1.532600e+04
37,2.891462e+02,miss,73.376694,31.859108,0.926275,-2.555948e+04,-1.567017e+04,-2.899279e+02
38,3.029961e+02,miss,63.575807,-36.722966,-31.773267,-1.962975e+04,2.013994e+04,1.228979e+04
39,3.142835e+02,miss,79.693897,-5.334477,4.519523,-3.120690e+04,1.094936e+03,-1.415938e+03
40,3.234807e+02,miss,-70.531529,28.066190,-25.250591,2.989103e+04,-3.431958e+03,1.002076e+04
41,3.265601e+02,miss,45.207452,65.282040,-9.723246,-1.138470e+04,-2.943375e+04,4.391356e+03
42,3.269662e+02,miss,-11.312090,-78.896412,6.884237,1.489559e+03,3.164543e+04,-3.584909e+03
43,3.272024e+02,miss,38.911161,-64.475380,-26.997166,-8.366945e+03,2.892684e+04,1.051049e+04
44,3.311165e+02,miss,-52.467954,-55.572340,23.639560,1.464780e+04,2.698115e+04,-9.320201e+03
45,3.337545e+02,miss,73.494324,-25.139485,19.146557,-2.731147e+04,1.569852e+04,-6.726640e+03
46,3.388606e+02,miss,16.456647,-76.169887,18.092184,1.421564e+03,3.157912e+04,-7.363447e+03
47,3.423792e+02,miss,75.138886,-7.943974,-26.287660,-3.068208e+04,6.692105e+03,8.845703e+03
48,3.459648e+02,miss,33.220199,67.147892,28.063836,-1.731505e+04,-2.393616e+04,-1.424139e+04
49,3.545482e+02,miss,63.596028,47.212422,-11.248662,-2.167015e+04,-2.479962e+04,4.199578e+03
50,3.620430e+02,miss,1.463525,-79.206799,-11.141860,-8.421246e+03,3.204326e+04,5.278796e+03
51,3.804604e+02,miss,-30.852530,66.893488,31.199080,4.929776e+03,-3.110063e+04,-1.382967e+04
52,3.870401e+02,miss,-66.550080,-41.063682,-16.877821,2.729347e+04,2.055781e+04,5.975776e+03
53,3.999193e+02,miss,50.990831,-61.459664,-4.758653,-2.095601e+04,2.830726e+04,1.688784e+03
54,4.001806e+02,miss,-78.381538,-14.212370,-7.371778,3.280425e+04,1.232418e+04,4.014377e+03
55,4.052438e+02,miss,-54.761744,58.149440,4.449052,2.330388e+04,-2.664413e+04,-2.623046e+03
56,4.121289e+02,miss,68.192378,36.525757,20.387954,-2.858952e+04,-2.016927e+04,-7.556800e+03
57,4.128716e+02,miss,-9.578423,-70.834336,-35.927019,1.291039e+04,2.908619e+04,1.645874e+04
58,4.162537e+02,miss,-76.436329,19.403405,-13.453454,3.128158e+04,-1.635405e+04,6.935185e+03
59,4.288701e+02,miss,46.237112,63.972271,13.026054,-2.542125e+04,-2.572788e+04,-5.014813e+03
60,4.310689e+02,miss,78.756183,7.419973,-11.933466,-3.463425e+04,-9.759576e+03,6.735553e+03
61,4.331323e+02,miss,73.547371,-13.988405,-28.197673,-3.442231e+04,7.226383e+03,1.046169e+04
62,4.384426e+02,miss,77.377774,10.806069,-17.202004,-3.632094e+04,-1.157134e+03,6.520918e+03
63,4.447324e+02,miss,0.841586,-78.321746,-16.278694,-2.187308e+02,3.581437e+04,9.995454e+03
64,4.472256e+02,miss,72.357346,1.934441,34.068644,-3.120421e+04,-7.448416e+03,-1.900516e+04
65,4.531554e+02,miss,-1.451012,-69.531004,39.539019,-8.626005e+03,3.148577e+04,-1.852164e+04
66,4.533998e+02,miss,-73.576511,-20.886890,23.457086,3.475298e+04,3.836966e+03,-1.367774e+04
67,4.534556e+02,miss,-19.693149,-75.361250,18.244504,2.383897e+03,3.672023e+04,-7.462435e+03
68,4.565196e+02,miss,-27.023541,68.042568,32.248057,1.159888e+04,-3.364461e+04,-1.236032e+04
69,4.567427e+02,miss,70.512566,25.525700,27.864254,-3.528891e+04,-2.955045e+03,-1.288121e+04
70,4.614214e+02,miss,-79.205946,11.118201,-1.674429,3.780946e+04,2.114436e+03,6.962421e+02
71,4.734144e+02,miss,40.018640,-68.964827,-6.508545,-1.910920e+04,3.317217e+04,2.498313e+03
72,4.738807e+02,miss,69.115952,-5.709235,39.879691,-2.955853e+04,5.604637e+03,-2.383541e+04
73,4.786689e+02,miss,-77.344520,5.036060,-19.810686,3.605909e+04,-5.954103e+03,1.234595e+04
74,4.879358e+02,miss,54.413935,52.735341,25.653605,-2.730183e+04,-2.588361e+04,-1.007921e+04
75,4.986442e+02,miss,49.998512,50.588063,-36.619622,-1.798718e+04,-3.079605e+04,1.668224e+04
76,4.994379e+02,miss,-4.514397,79.621125,6.332192,8.603008e+03,-3.836214e+04,-2.652278e+03
77,5.195996e+02,miss,5.326099,-79.720610,4.031993,-9.631461e+03,3.893969e+04,-2.513133e+03
78,5.261451e+02,miss,20.083888,77.337978,-3.933768,-7.414542e+03,-3.967199e+04,2.624513e+03
79,5.403787e+02,miss,-71.392006,32.554804,-15.600200,3.456232e+04,-2.102087e+04,6.599252e+03
80,5.429077e+02,miss,71.385860,-12.068077,34.035577,-3.665217e+04,-4.137271e+03,-1.809267e+04
81,5.448325e+02,miss,-0.074969,76.844132,-22.248005,-7.900553e+00,-4.011128e+04,9.214786e+03
82,5.453812e+02,miss,-29.454218,-64.332646,37.333091,1.390942e+04,3.541727e+04,-1.573780e+04
83,5.561692e+02,miss,-45.534647,-64.894864,10.735575,2.022616e+04,3.604369e+04,-4.563627e+03
84,5.586728e+02,miss,37.788879,64.755875,27.904789,-2.033272e+04,-3.442969e+04,-1.174869e+04
85,5.595374e+02,miss,75.343158,-24.922367,-10.113561,-3.696311e+04,1.810673e+04,6.739278e+03
86,5.632258e+02,miss,-12.556944,-70.307971,36.043202,-3.954645e+03,3.679558e+04,-1.953090e+04
87,5.660806e+02,miss,64.380339,28.031129,-38.333116,-3.695058e+04,-5.223364e+03,1.916393e+04
88,5.696156e+02,miss,-3.181708,-75.242285,26.990282,1.202053e+04,3.747228e+04,-1.490672e+04
89,5.701519e+02,miss,-2.300692,73.837566,30.703756,8.299315e+03,-3.633097e+04,-1.958889e+04
90,5.794442e+02,miss,62.558113,48.641518,10.976577,-3.860581e+04,-1.662147e+04,-5.894849e+03
91,5.823147e+02,miss,-68.295037,-35.763466,-21.372001,3.898327e+04,1.051684e+04,1.341849e+04
92,5.948992e+02,miss,72.703615,-31.330716,11.513930,-3.964216e+04,1.591595e+04,-4.966021e+03
93,5.958168e+02,miss,4.786068,79.586607,6.562430,-6.827863e+03,-4.224348e+04,-4.604395e+03
94,5.981272e+02,miss,16.763908,78.190080,-2.298416,-1.692518e+03,-4.307580e+04,1.061107e+03
95,5.987530e+02,miss,-18.988707,-77.094382,9.792105,-1.959574e+02,4.284054e+04,-5.109795e+03
96,6.019914e+02,miss,19.514333,-66.617523,39.765517,-1.835848e+04,3.052005e+04,-2.455648e+04
97,6.033506e+02,miss,28.684481,68.427855,29.913695,-5.225487e+03,-3.994013e+04,-1.591334e+04
98,6.104928e+02,miss,-62.102174,-48.800246,12.722264,2.832006e+04,3.198167e+04,-8.550164e+03
99,6.105185e+02,miss,39.793414,-67.929838,14.213421,-3.030664e+04,3.023712e+04,-8.078487e+03
100,6.161592e+02,miss,74.302408,19.786115,-22.083066,-4.153028e+04,-9.794613e+03,9.740440e+03
101,6.351697e+02,miss,13.391917,71.459689,33.379176,-8.481634e+03,-4.093710e+04,-1.506291e+04
102,6.433315e+02,miss,-5.867207,79.134700,10.162438,5.934206e+03,-4.368858e+04,-7.492870e+03
103,6.459044e+02,miss,-68.930186,13.374379,-38.337389,4.093460e+04,-4.212598e+03,1.773870e+04
104,6.594227e+02,miss,78.064029,15.726241,-7.661117,-4.509610e+04,9.391048e+02,3.941539e+03
105,6.612754e+02,miss,-77.505404,-18.107638,8.063854,4.472745e+04,6.440994e+03,-3.715445e+03
106,6.664975e+02,miss,50.237245,-55.200098,28.795284,-3.589750e+04,2.268265e+04,-1.639932e+04
107,6.668885e+02,miss,68.856171,-31.395095,-25.945631,-4.233304e+04,1.100357e+04,1.265392e+04
108,6.717671e+02,miss,70.462611,-25.243007,28.245550,-3.885101e+04,1.995047e+04,-1.345478e+04
109,6.718351e+02,miss,57.678108,40.018362,38.363610,-2.541265e+04,-3.127856e+04,-2.155258e+04
110,6.730541e+02,miss,-35.745825,-69.640242,-16.506745,1.969946e+04,4.058162e+04,7.584061e+03
111,6.737321e+02,miss,-42.157690,61.308122,29.394614,3.055664e+04,-2.783118e+04,-1.965400e+04
112,6.802285e+02,miss,-60.331002,-36.201360,38.074031,3.822098e+04,1.004401e+04,-2.351668e+04
113,6.846908e+02,miss,63.835113,33.708787,-34.478921,-4.090998e+04,-1.260111e+04,1.721096e+04
114,6.884962e+02,miss,38.871105,-69.403236,-8.498708,-3.036227e+04,3.463072e+04,4.394140e+03
115,6.897029e+02,miss,42.133971,67.720005,-6.223299,-3.016495e+04,-3.500066e+04,3.040319e+03
116,6.942925e+02,miss,-39.781457,-69.287660,-4.081149,2.315665e+04,4.015318e+04,3.158284e+03
117,7.018280e+02,miss,-71.907872,-34.714781,4.913438,3.880667e+04,2.573829e+04,-3.673175e+03
118,7.021321e+02,miss,78.401768,15.803383,-1.848220,-4.584276e+04,-8.900905e+03,1.438862e+03
119,7.034754e+02,miss,62.442628,49.820511,-4.339920,-3.637702e+04,-2.931931e+04,2.030172e+03
120,7.057359e+02,miss,11.037232,-79.227108,1.115761,-1.309989e+04,4.496399e+04,-8.316322e+02
121,7.066103e+02,miss,-77.798775,6.442944,-17.488254,4.495615e+04,8.015760e+03,1.055792e+04
122,7.088060e+02,miss,-15.034052,78.533147,-2.553855,1.296873e+04,-4.507282e+04,1.963748e+03
123,7.127332e+02,miss,-59.221568,-41.608403,-34.081472,4.017545e+04,1.395520e+04,2.017420e+04
124,7.139887e+02,miss,9.038920,72.538954,-32.502277,-1.004421e+04,-4.322800e+04,1.581675e+04
125,7.215038e+02,miss,68.472032,-29.153636,-29.353814,-3.772834e+04,1.778272e+04,2.243718e+04
126,7.230903e+02,miss,56.009555,54.584789,-16.835397,-3.156594e+04,-3.284421e+04,1.314767e+04
127,7.246785e+02,miss,63.905158,46.347418,12.963318,-3.235168e+04,-3.408710e+04,-6.662425e+03
128,7.331683e+02,miss,-38.759792,69.714872,-6.124958,3.145653e+04,-3.565394e+04,4.315816e+03
129,7.420351e+02,miss,78.960243,-12.837944,0.683540,-4.786406e+04,-3.966845e+03,-4.531700e+02
130,7.489523e+02,miss,40.173238,62.935001,28.727977,-3.342601e+04,-3.006849e+04,-1.752148e+04
131,7.494385e+02,miss,-70.191464,36.247025,-12.621866,4.548970e+04,-1.479146e+04,6.467250e+03
132,7.524732e+02,miss,58.453833,-43.798336,-32.632118,-2.783225e+04,3.492647e+04,1.857062e+04
133,7.548966e+02,miss,78.426480,15.678786,-1.860882,-4.837364e+04,2.382326e+03,1.100088e+03
134,7.611962e+02,miss,-64.763313,-39.330761,-25.667188,4.365450e+04,1.673491e+04,1.344270e+04
135,7.622054e+02,miss,-64.635118,-35.460777,-31.061791,3.681545e+04,2.761036e+04,1.587160e+04
136,7.688535e+02,miss,-13.996496,-70.758775,34.601933,1.921561e+04,3.842614e+04,-2.333403e+04
137,7.727551e+02,miss,67.329386,42.641404,6.961636,-3.834990e+04,-3.032329e+04,-3.492485e+03
138,7.771464e+02,miss,29.648533,-70.888006,-22.267804,-1.048832e+04,4.490723e+04,1.701184e+04
139,7.790843e+02,miss,-79.055989,6.736554,10.235697,4.598808e+04,-1.624002e+04,-6.591668e+03
140,7.792887e+02,miss,70.840712,37.122573,1.872991,-4.776018e+04,-1.183332e+04,-1.290146e+03
141,7.889865e+02,miss,77.663673,-11.860503,-15.089147,-4.686214e+04,1.399859e+04,7.801032e+03
142,7.989219e+02,miss,19.815487,-69.378716,34.553440,-2.231101e+04,4.011411e+04,-1.941239e+04
143,8.001475e+02,miss,-71.921338,0.154851,-35.032801,4.536494e+04,8.494356e+03,1.890617e+04
144,8.162598e+02,miss,69.702924,38.503375,7.680659,-3.798087e+04,-3.257912e+04,-5.806916e+03
145,8.197709e+02,miss,24.351829,71.980686,25.015381,-2.244064e+04,-4.321439e+04,-1.332353e+04
146,8.342825e+02,miss,-68.032974,-40.624789,11.006406,4.375757e+04,2.434616e+04,-9.286366e+03
147,8.390873e+02,miss,41.262759,55.892805,-39.665843,-3.552276e+04,-2.737238e+04,2.444423e+04
148,8.436026e+02,miss,33.554099,-71.859441,10.504437,-2.966602e+04,4.133443e+04,-5.836447e+03
149,8.451353e+02,miss,-46.081003,-60.573861,-24.644442,1.981661e+04,4.497740e+04,1.455242e+04
150,8.499409e+02,miss,-37.660168,64.317627,29.068102,1.563925e+04,-4.613106e+04,-1.642305e+04
151,8.752080e+02,miss,-31.451701,73.059522,-8.549666,2.651902e+04,-4.467981e+04,4.624492e+03
152,8.797107e+02,miss,-77.153956,-8.042951,19.559601,5.075656e+04,-5.389390e+03,-1.138661e+04
153,8.813229e+02,miss,-52.997103,-59.824423,3.513611,3.363094e+04,4.006878e+04,-1.842088e+03
154,8.855924e+02,miss,-38.395211,-65.838283,-24.313128,1.858940e+04,4.718634e+04,1.345724e+04
155,8.893897e+02,miss,-33.439753,70.360312,-18.199162,2.912870e+04,-4.118448e+04,1.484510e+04
156,8.936787e+02,miss,-50.499836,51.551895,34.527795,2.231774e+04,-4.132463e+04,-2.392795e+04
