i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,1.260435e+01,miss,54.146942,58.788740,3.463036,-6.038838e+03,-4.705081e+03,-4.160002e+02
1,2.375111e+01,miss,-31.056724,-64.795126,-35.172027,1.627320e+03,9.056520e+03,5.107919e+03
2,2.990674e+01,miss,78.082196,17.233157,-2.487756,-1.136269e+04,-3.180885e+03,4.864868e+02
3,4.031280e+01,miss,71.654939,31.997596,-15.547463,-1.065588e+04,-8.054052e+03,3.094641e+03
4,4.994319e+01,miss,-77.835454,-13.296772,-12.838923,1.497604e+04,-1.203559e+03,2.678032e+03
5,8.440128e+01,miss,5.450371,-70.974870,36.508373,-3.046022e+03,1.812565e+04,-7.468250e+03
6,8.851755e+01,miss,3.189414,-79.141645,11.244008,4.263248e+03,1.965614e+04,-2.872053e+03
7,8.962445e+01,miss,1.520628,-72.107117,34.615768,3.953281e+03,1.728912e+04,-1.016895e+04
8,1.123338e+02,miss,-73.679198,31.111029,1.865370,2.258937e+04,-3.635268e+03,-5.971697e+02
9,1.129449e+02,miss,36.645106,63.324572,-32.359462,-6.185253e+03,-1.912679e+04,1.107290e+04
10,1.141037e+02,miss,-78.536036,-2.232453,15.070079,2.231204e+04,1.139101e+03,-5.742820e+03
11,1.402440e+02,miss,60.749392,38.946300,34.535447,-2.223351e+04,-7.532411e+03,-1.014592e+04
12,1.508052e+02,miss,68.507369,-41.205249,2.977891,-1.913448e+04,1.832491e+04,-1.151363e+03
13,1.532401e+02,miss,9.359141,-73.327206,30.586393,-6.951366e+03,2.253982e+04,-1.257959e+04
14,1.611430e+02,miss,-53.407562,-56.547312,-18.709189,2.254827e+04,1.432957e+04,6.140355e+03
15,1.659042e+02,miss,-27.720558,75.035553,-1.111979,1.091988e+04,-2.557983e+04,3.108405e+02
16,1.693555e+02,miss,43.334687,-66.873000,7.078615,-1.860662e+04,2.095653e+04,-2.092955e+03
17,1.731957e+02,miss,34.723051,71.821598,-5.997308,-6.184498e+03,-2.763026e+04,2.447751e+03
18,1.746412e+02,miss,-77.307437,0.738285,-20.567330,2.758794e+04,-3.989134e+03,6.115877e+03
19,1.859854e+02,miss,41.764739,-63.983317,23.703202,-9.541051e+03,2.667525e+04,-8.044448e+03
20,1.878690e+02,miss,-12.260696,78.729023,7.170515,2.180332e+03,-2.943998e+04,-2.151993e+03
21,1.903028e+02,miss,4.975755,78.386330,15.192931,-5.056144e+03,-2.898730e+04,-4.649644e+03
22,2.019974e+02,miss,-33.217928,-72.169975,9.384245,1.394511e+04,2.718719e+04,-2.893755e+03
23,2.156538e+02,miss,40.161682,-58.638766,-36.722396,-1.018350e+04,2.695074e+04,1.325222e+04
24,2.181350e+02,miss,-67.056876,43.288111,-5.432755,2.375703e+04,-2.110297e+04,2.739738e+03
25,2.207443e+02,miss,73.816537,-18.412397,24.740704,-3.084762e+04,1.372364e+03,-8.714794e+03
26,2.225030e+02,miss,-44.188607,-61.839002,-24.966074,1.068243e+04,2.835659e+04,1.092691e+04
27,2.259070e+02,miss,21.143435,69.898676,-32.666959,-4.359122e+03,-2.756408e+04,1.657412e+04
28,2.282528e+02,miss,-62.189880,39.295530,-31.436925,2.882612e+04,-8.830661e+03,1.246977e+04
29,2.306432e+02,miss,-49.207889,55.576287,29.830521,1.501236e+04,-2.504468e+04,-1.493189e+04
30,2.363655e+02,miss,-68.756390,21.246763,-34.944726,2.994600e+04,-7.053929e+02,1.431758e+04
31,2.413620e+02,miss,62.509160,-40.266065,-29.516927,-2.879481e+04,1.379363e+04,1.030284e+04
32,2.580267e+02,miss,32.923564,-72.842569,3.162133,-2.163219e+04,2.707653e+04,-1.475442e+03
33,2.667870e+02,miss,35.375465,-69.755827,-16.813715,-8.370579e+03,3.314341e+04,8.692927e+03
34,2.775025e+02,miss,-19.559858,77.562554,-1.209230,1.286270e+03,-3.594464e+04,6.460668e+02
35,2.873793e+02,miss,55.477023,-54.396089,-19.062148,-3.048537e+04,1.778297e+04,9.723999e+03
36,2.887548e+02,miss,-18.898263,-67.471197,38.606906,-4.184593e+02,3.146402e+04,-1.887864e+04
37,2.964882e+02,miss,73.376694,31.859108,0.926275,-3.169878e+04,-1.943410e+04,-3.595677e+02
38,2.981504e+02,miss,63.575807,-36.722966,-31.773267,-2.384842e+04,2.446825e+04,1.493101e+04
39,3.022665e+02,miss,79.693897,-5.334477,4.519523,-3.748267e+04,1.315130e+03,-1.700686e+03
40,3.043464e+02,miss,-70.531529,28.066190,-25.250591,3.550965e+04,-4.077063e+03,1.190437e+04
41,3.159205e+02,miss,45.207452,65.282040,-9.723246,-1.371433e+04,-3.545672e+04,5.289951e+03
42,3.329586e+02,miss,-11.312090,-78.896412,6.884237,1.840972e+03,3.911113e+04,-4.430651e+03
43,3.632216e+02,miss,38.911161,-64.475380,-26.997166,-1.079668e+04,3.732709e+04,1.356271e+04
44,3.635875e+02,miss,-52.467954,-55.572340,23.639560,1.879888e+04,3.462742e+04,-1.196148e+04
45,3.707795e+02,miss,73.494324,-25.139485,19.146557,-3.525616e+04,2.026509e+04,-8.683365e+03
46,3.724485e+02,miss,16.456647,-76.169887,18.092184,1.825301e+03,4.054789e+04,-9.454736e+03
47,3.730249e+02,miss,75.138886,-7.943974,-26.287660,-3.922345e+04,8.555071e+03,1.130819e+04
48,3.754838e+02,miss,33.220199,67.147892,28.063836,-2.209272e+04,-3.054076e+04,-1.817096e+04
49,3.801012e+02,miss,63.596028,47.212422,-11.248662,-2.748018e+04,-3.144870e+04,5.325535e+03
50,3.882098e+02,miss,1.463525,-79.206799,-11.141860,-1.068010e+04,4.063830e+04,6.694740e+03
51,3.965995e+02,miss,-30.852530,66.893488,31.199080,6.164447e+03,-3.888984e+04,-1.729334e+04
52,3.987515e+02,miss,-66.550080,-41.063682,-16.877821,3.392951e+04,2.555616e+04,7.428705e+03
53,4.069952e+02,miss,50.990831,-61.459664,-4.758653,-2.589183e+04,3.497453e+04,2.086548e+03
54,4.070123e+02,miss,-78.381538,-14.212370,-7.371778,4.051833e+04,1.522227e+04,4.958377e+03
55,4.234464e+02,miss,-54.761744,58.149440,4.449052,2.917527e+04,-3.335709e+04,-3.283920e+03
56,4.396152e+02,miss,68.192378,36.525757,20.387954,-3.616366e+04,-2.551266e+04,-9.558800e+03
57,4.408503e+02,miss,-9.578423,-70.834336,-35.927019,1.633890e+04,3.681040e+04,2.082956e+04
58,4.443317e+02,miss,-76.436329,19.403405,-13.453454,3.958302e+04,-2.069406e+04,8.775630e+03
59,4.478448e+02,miss,46.237112,63.972271,13.026054,-3.181584e+04,-3.219960e+04,-6.276264e+03
60,4.478901e+02,miss,78.756183,7.419973,-11.933466,-4.323782e+04,-1.218397e+04,8.408746e+03
61,4.491547e+02,miss,73.547371,-13.988405,-28.197673,-4.293123e+04,9.012688e+03,1.304774e+04
62,4.534857e+02,miss,77.377774,10.806069,-17.202004,-4.524058e+04,-1.441301e+03,8.122314e+03
63,4.564605e+02,miss,0.841586,-78.321746,-16.278694,-2.713987e+02,4.443807e+04,1.240225e+04
64,4.598019e+02,miss,72.357346,1.934441,34.068644,-3.875082e+04,-9.249784e+03,-2.360147e+04
65,4.678853e+02,miss,-1.451012,-69.531004,39.539019,-1.073499e+04,3.918375e+04,-2.305002e+04
66,4.680881e+02,miss,-73.576511,-20.886890,23.457086,4.324748e+04,4.774817e+03,-1.702093e+04
67,4.704906e+02,miss,-19.693149,-75.361250,18.244504,2.974001e+03,4.580987e+04,-9.309669e+03
68,4.710735e+02,miss,-27.023541,68.042568,32.248057,1.443033e+04,-4.185774e+04,-1.537765e+04
69,4.725373e+02,miss,70.512566,25.525700,27.864254,-4.396086e+04,-3.681222e+03,-1.604665e+04
70,4.751555e+02,miss,-79.205946,11.118201,-1.674429,4.699104e+04,2.627902e+03,8.653163e+02
71,4.759925e+02,miss,40.018640,-68.964827,-6.508545,-2.346753e+04,4.073791e+04,3.068115e+03
72,4.820602e+02,miss,69.115952,-5.709235,39.879691,-3.651275e+04,6.923237e+03,-2.944316e+04
73,4.831190e+02,miss,-77.344520,5.036060,-19.810686,4.436800e+04,-7.326076e+03,1.519076e+04
74,4.887789e+02,miss,54.413935,52.735341,25.653605,-3.346665e+04,-3.172819e+04,-1.235512e+04
75,4.996257e+02,miss,49.998512,50.588063,-36.619622,-2.205138e+04,-3.775441e+04,2.045158e+04
76,5.016488e+02,miss,-4.514397,79.621125,6.332192,1.055979e+04,-4.708771e+04,-3.255545e+03
77,5.151700e+02,miss,5.326099,-79.720610,4.031993,-1.174569e+04,4.748747e+04,-3.064799e+03
78,5.180976e+02,miss,20.083888,77.337978,-3.933768,-9.011208e+03,-4.821505e+04,3.189682e+03
79,5.193895e+02,miss,-71.392006,32.554804,-15.600200,4.149979e+04,-2.524026e+04,7.923879e+03
80,5.259910e+02,miss,71.385860,-12.068077,34.035577,-4.418466e+04,-4.987533e+03,-2.181094e+04
81,5.334317e+02,miss,-0.074969,76.844132,-22.248005,-9.574389e+00,-4.860938e+04,1.116706e+04
82,5.441732e+02,miss,-29.454218,-64.332646,37.333091,1.701662e+04,4.332905e+04,-1.925343e+04
83,5.465140e+02,miss,-45.534647,-64.894864,10.735575,2.455592e+04,4.375947e+04,-5.540551e+03
84,5.561883e+02,miss,37.788879,64.755875,27.904789,-2.484697e+04,-4.207372e+04,-1.435712e+04
85,5.593915e+02,miss,75.343158,-24.922367,-10.113561,-4.526448e+04,2.217323e+04,8.252819e+03
86,5.624017e+02,miss,-12.556944,-70.307971,36.043202,-4.839887e+03,4.503222e+04,-2.390287e+04
87,5.666273e+02,miss,64.380339,28.031129,-38.333116,-4.527688e+04,-6.400377e+03,2.348225e+04
88,5.864738e+02,miss,-3.181708,-75.242285,26.990282,1.493835e+04,4.656816e+04,-1.852513e+04
89,5.929265e+02,miss,-2.300692,73.837566,30.703756,1.036557e+04,-4.537616e+04,-2.446586e+04
90,6.046783e+02,miss,62.558113,48.641518,10.976577,-4.830085e+04,-2.079560e+04,-7.375215e+03
91,6.085651e+02,miss,-68.295037,-35.763466,-21.372001,4.880885e+04,1.316757e+04,1.680057e+04
92,6.193657e+02,miss,72.703615,-31.330716,11.513930,-4.953986e+04,1.988978e+04,-6.205918e+03
93,6.232034e+02,miss,4.786068,79.586607,6.562430,-8.552419e+03,-5.291318e+04,-5.767356e+03
94,6.324367e+02,miss,16.763908,78.190080,-2.298416,-2.131526e+03,-5.424887e+04,1.336338e+03
95,6.336494e+02,miss,-18.988707,-77.094382,9.792105,-2.468925e+02,5.397607e+04,-6.437982e+03
96,6.337887e+02,miss,19.514333,-66.617523,39.765517,-2.307064e+04,3.835376e+04,-3.085950e+04
97,6.338640e+02,miss,28.684481,68.427855,29.913695,-6.559724e+03,-5.013814e+04,-1.997653e+04
98,6.526098e+02,miss,-62.102174,-48.800246,12.722264,3.586132e+04,4.049797e+04,-1.082696e+04
99,6.537869e+02,miss,39.793414,-67.929838,14.213421,-3.841069e+04,3.832258e+04,-1.023869e+04
100,6.548235e+02,miss,74.302408,19.786115,-22.083066,-5.243558e+04,-1.236655e+04,1.229815e+04
101,6.576531e+02,miss,13.391917,71.459689,33.379176,-1.057009e+04,-5.101716e+04,-1.877189e+04
102,6.642653e+02,miss,-5.867207,79.134700,10.162438,7.385189e+03,-5.437096e+04,-9.324965e+03
103,6.648809e+02,miss,-68.930186,13.374379,-38.337389,5.086558e+04,-5.234599e+03,2.204221e+04
104,6.737968e+02,miss,78.064029,15.726241,-7.661117,-5.582994e+04,1.162632e+03,4.879710e+03
105,6.741178e+02,miss,-77.505404,-18.107638,8.063854,5.530909e+04,7.964806e+03,-4.594446e+03
106,6.747935e+02,miss,50.237245,-55.200098,28.795284,-4.423806e+04,2.795282e+04,-2.020959e+04
107,6.748711e+02,miss,68.856171,-31.395095,-25.945631,-5.215655e+04,1.355698e+04,1.559031e+04
108,6.761459e+02,miss,70.462611,-25.243007,28.245550,-4.773740e+04,2.451375e+04,-1.653229e+04
109,6.776438e+02,miss,57.678108,40.018362,38.363610,-3.125827e+04,-3.847351e+04,-2.651028e+04
110,6.799774e+02,miss,-35.745825,-69.640242,-16.506745,2.425058e+04,4.995711e+04,9.336191e+03
111,6.814574e+02,miss,-42.157690,61.308122,29.394614,3.763803e+04,-3.428096e+04,-2.420875e+04
112,6.879082e+02,miss,-60.331002,-36.201360,38.074031,4.707445e+04,1.237060e+04,-2.896406e+04
113,6.884339e+02,miss,63.835113,33.708787,-34.478921,-5.024106e+04,-1.547527e+04,2.113658e+04
114,7.035679e+02,miss,38.871105,-69.403236,-8.498708,-3.759084e+04,4.287552e+04,5.440286e+03
115,7.074536e+02,miss,42.133971,67.720005,-6.223299,-3.741676e+04,-4.341501e+04,3.771228e+03
116,7.106563e+02,miss,-39.781457,-69.287660,-4.081149,2.869326e+04,4.975355e+04,3.913410e+03
117,7.256863e+02,miss,-71.907872,-34.714781,4.913438,4.832937e+04,3.205417e+04,-4.574528e+03
118,7.269624e+02,miss,78.401768,15.803383,-1.848220,-5.712983e+04,-1.109242e+04,1.793129e+03
119,7.309351e+02,miss,62.442628,49.820511,-4.339920,-4.541379e+04,-3.660280e+04,2.534506e+03
120,7.368508e+02,miss,11.037232,-79.227108,1.115761,-1.639389e+04,5.627029e+04,-1.040748e+03
