i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,1.508512e+01,miss,54.146942,58.788740,3.463036,-2.642577e+04,-2.058929e+04,-1.820404e+03
1,5.155736e+01,miss,-31.056724,-64.795126,-35.172027,9.590389e+03,5.337338e+04,3.010284e+04
2,5.857858e+01,miss,78.082196,17.233157,-2.487756,-6.361008e+04,-1.780709e+04,2.723428e+03
3,5.996010e+01,miss,71.654939,31.997596,-15.547463,-5.198274e+04,-3.929019e+04,1.509663e+04
4,1.035627e+02,miss,-77.835454,-13.296772,-12.838923,8.626220e+04,-6.932518e+03,1.542550e+04
5,1.123271e+02,miss,5.450371,-70.974870,36.508373,-1.405597e+04,8.364140e+04,-3.446249e+04
6,1.187470e+02,miss,3.189414,-79.141645,11.244008,1.975137e+04,9.106570e+04,-1.330605e+04
7,1.301307e+02,miss,1.520628,-72.107117,34.615768,1.905436e+04,8.333154e+04,-4.901315e+04
8,1.566912e+02,miss,-73.679198,31.111029,1.865370,1.067164e+05,-1.717368e+04,-2.821141e+03
9,1.743709e+02,miss,36.645106,63.324572,-32.359462,-3.074122e+04,-9.506176e+04,5.503322e+04
10,1.763901e+02,miss,-78.536036,-2.232453,15.070079,1.109651e+05,5.665127e+03,-2.856094e+04
11,1.802000e+02,miss,60.749392,38.946300,34.535447,-1.008099e+05,-3.415304e+04,-4.600305e+04
12,1.938480e+02,miss,68.507369,-41.205249,2.977891,-8.677591e+04,8.310446e+04,-5.221496e+03
13,1.948410e+02,miss,9.359141,-73.327206,30.586393,-3.135336e+04,1.016633e+05,-5.673883e+04
14,1.965982e+02,miss,-53.407562,-56.547312,-18.709189,9.962247e+04,6.331072e+04,2.712924e+04
15,1.976311e+02,miss,-27.720558,75.035553,-1.111979,4.767349e+04,-1.116752e+05,1.357052e+03
16,2.024327e+02,miss,43.334687,-66.873000,7.078615,-8.137072e+04,9.164738e+04,-9.152942e+03
17,2.071876e+02,miss,34.723051,71.821598,-5.997308,-2.705688e+04,-1.208811e+05,1.070879e+04
18,2.093851e+02,miss,-77.307437,0.738285,-20.567330,1.208311e+05,-1.747182e+04,2.678664e+04
19,2.136776e+02,miss,41.764739,-63.983317,23.703202,-4.090688e+04,1.143691e+05,-3.449025e+04
20,2.188142e+02,miss,-12.260696,78.729023,7.170515,9.412239e+03,-1.270889e+05,-9.289901e+03
21,2.193919e+02,miss,4.975755,78.386330,15.192931,-2.171536e+04,-1.244960e+05,-1.996951e+04
22,2.395846e+02,miss,-33.217928,-72.169975,9.384245,6.074890e+04,1.184352e+05,-1.260603e+04
23,2.427074e+02,miss,40.161682,-58.638766,-36.722396,-4.321356e+04,1.143651e+05,5.623565e+04
24,2.468630e+02,miss,-67.056876,43.288111,-5.432755,1.010922e+05,-8.979846e+04,1.165828e+04
25,2.491517e+02,miss,73.816537,-18.412397,24.740704,-1.310898e+05,5.831986e+03,-3.703431e+04
26,2.741979e+02,miss,-44.188607,-61.839002,-24.966074,4.743449e+04,1.259152e+05,4.852006e+04
27,2.785372e+02,miss,21.143435,69.898676,-32.666959,-1.936135e+04,-1.224279e+05,7.361513e+04
28,2.820826e+02,miss,-62.189880,39.295530,-31.436925,1.281818e+05,-3.926751e+04,5.544961e+04
