i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,1.285056e+01,miss,54.146942,58.788740,3.463036,-4.609301e+03,-3.591276e+03,-3.175230e+02
1,2.205761e+01,miss,-31.056724,-64.795126,-35.172027,1.185472e+03,6.597504e+03,3.721023e+03
2,2.330163e+01,miss,78.082196,17.233157,-2.487756,-7.581771e+03,-2.122451e+03,3.246091e+02
3,4.156444e+01,miss,71.654939,31.997596,-15.547463,-8.179183e+03,-6.182083e+03,2.375367e+03
4,4.334736e+01,miss,-77.835454,-13.296772,-12.838923,1.054681e+04,-8.476013e+02,1.885993e+03
5,5.233680e+01,miss,5.450371,-70.974870,36.508373,-1.813189e+03,1.078956e+04,-4.445585e+03
6,5.923631e+01,miss,3.189414,-79.141645,11.244008,2.636337e+03,1.215510e+04,-1.776040e+03
7,7.054740e+01,miss,1.520628,-72.107117,34.615768,2.651343e+03,1.159528e+04,-6.819998e+03
8,7.817384e+01,miss,-73.679198,31.111029,1.865370,1.424493e+04,-2.292413e+03,-3.765773e+02
9,8.740058e+01,miss,36.645106,63.324572,-32.359462,-4.113034e+03,-1.271883e+04,7.363192e+03
10,1.082357e+02,miss,-78.536036,-2.232453,15.070079,1.642691e+04,8.386464e+02,-4.228066e+03
11,1.094423e+02,miss,60.749392,38.946300,34.535447,-1.484703e+04,-5.029972e+03,-6.775212e+03
12,1.226131e+02,miss,68.507369,-41.205249,2.977891,-1.304241e+04,1.249060e+04,-7.847905e+02
13,1.450402e+02,miss,9.359141,-73.327206,30.586393,-5.112215e+03,1.657637e+04,-9.251355e+03
14,1.477022e+02,miss,-53.407562,-56.547312,-18.709189,1.631857e+04,1.037055e+04,4.443880e+03
15,1.486501e+02,miss,-27.720558,75.035553,-1.111979,7.813631e+03,-1.830344e+04,2.224193e+02
16,1.494560e+02,miss,43.334687,-66.873000,7.078615,-1.321312e+04,1.488186e+04,-1.486271e+03
17,1.549057e+02,miss,34.723051,71.821598,-5.997308,-4.421307e+03,-1.975291e+04,1.749900e+03
18,1.568428e+02,miss,-77.307437,0.738285,-20.567330,1.976329e+04,-2.857713e+03,4.381256e+03
19,1.666218e+02,miss,41.764739,-63.983317,23.703202,-6.826589e+03,1.908605e+04,-5.755775e+03
20,1.805042e+02,miss,-12.260696,78.729023,7.170515,1.615548e+03,-2.181397e+04,-1.594549e+03
21,1.965842e+02,miss,4.975755,78.386330,15.192931,-3.884652e+03,-2.227104e+04,-3.572337e+03
22,1.976535e+02,miss,-33.217928,-72.169975,9.384245,1.042755e+04,2.032940e+04,-2.163825e+03
23,1.996814e+02,miss,40.161682,-58.638766,-36.722396,-7.407445e+03,1.960388e+04,9.639623e+03
24,2.194670e+02,miss,-67.056876,43.288111,-5.432755,1.801338e+04,-1.600098e+04,2.077361e+03
25,2.252810e+02,miss,73.816537,-18.412397,24.740704,-2.355701e+04,1.048016e+03,-6.655115e+03
26,2.359911e+02,miss,-44.188607,-61.839002,-24.966074,8.316316e+03,2.207572e+04,8.506640e+03
27,2.454270e+02,miss,21.143435,69.898676,-32.666959,-3.434601e+03,-2.171805e+04,1.305893e+04
28,2.639091e+02,miss,-62.189880,39.295530,-31.436925,2.343076e+04,-7.177832e+03,1.013581e+04
29,2.677082e+02,miss,-49.207889,55.576287,29.830521,1.222617e+04,-2.039656e+04,-1.216064e+04
30,2.681701e+02,miss,-68.756390,21.246763,-34.944726,2.411198e+04,-5.679698e+02,1.152826e+04
31,2.820002e+02,miss,62.509160,-40.266065,-29.516927,-2.352802e+04,1.127067e+04,8.418373e+03
32,2.903323e+02,miss,32.923564,-72.842569,3.162133,-1.734590e+04,2.171147e+04,-1.183092e+03
33,2.963721e+02,miss,35.375465,-69.755827,-16.813715,-6.669185e+03,2.640672e+04,6.926013e+03
34,3.030924e+02,miss,-19.559858,77.562554,-1.209230,1.016172e+03,-2.839679e+04,5.104022e+02
35,3.056220e+02,miss,55.477023,-54.396089,-19.062148,-2.376496e+04,1.386276e+04,7.580372e+03
36,3.129449e+02,miss,-18.898263,-67.471197,38.606906,-3.293090e+02,2.476079e+04,-1.485665e+04
37,3.164482e+02,miss,73.376694,31.859108,0.926275,-2.475547e+04,-1.517725e+04,-2.808078e+02
38,3.215370e+02,miss,63.575807,-36.722966,-31.773267,-1.872140e+04,1.920798e+04,1.172109e+04
39,3.243251e+02,miss,79.693897,-5.334477,4.519523,-2.934991e+04,1.029781e+03,-1.331681e+03
40,3.254744e+02,miss,-70.531529,28.066190,-25.250591,2.775886e+04,-3.187152e+03,9.305970e+03
41,3.287707e+02,miss,45.207452,65.282040,-9.723246,-1.057580e+04,-2.734244e+04,4.079343e+03
42,3.321040e+02,miss,-11.312090,-78.896412,6.884237,1.389857e+03,2.952727e+04,-3.344956e+03
43,3.330300e+02,miss,38.911161,-64.475380,-26.997166,-7.814963e+03,2.701848e+04,9.817099e+03
44,3.373373e+02,miss,-52.467954,-55.572340,23.639560,1.368802e+04,2.521325e+04,-8.709508e+03
45,3.534954e+02,miss,73.494324,-25.139485,19.146557,-2.602256e+04,1.495766e+04,-6.409189e+03
46,3.666641e+02,miss,16.456647,-76.169887,18.092184,1.369041e+03,3.041237e+04,-7.091391e+03
47,3.686440e+02,miss,75.138886,-7.943974,-26.287660,-2.947551e+04,6.428937e+03,8.497846e+03
48,3.691100e+02,miss,33.220199,67.147892,28.063836,-1.655817e+04,-2.288986e+04,-1.361887e+04
49,3.773941e+02,miss,63.596028,47.212422,-11.248662,-2.069896e+04,-2.368817e+04,4.011364e+03
50,3.809868e+02,miss,1.463525,-79.206799,-11.141860,-7.997934e+03,3.043254e+04,5.013447e+03
51,3.814605e+02,miss,-30.852530,66.893488,31.199080,4.570080e+03,-2.883141e+04,-1.282061e+04
52,3.817362e+02,miss,-66.550080,-41.063682,-16.877821,2.509511e+04,1.890197e+04,5.494455e+03
53,3.863026e+02,miss,50.990831,-61.459664,-4.758653,-1.906834e+04,2.575740e+04,1.536662e+03
54,3.893803e+02,miss,-78.381538,-14.212370,-7.371778,2.995820e+04,1.125495e+04,3.666095e+03
55,3.953373e+02,miss,-54.761744,58.149440,4.449052,2.130986e+04,-2.436429e+04,-2.398602e+03
56,3.994424e+02,miss,68.192378,36.525757,20.387954,-2.605818e+04,-1.838347e+04,-6.887714e+03
57,4.024025e+02,miss,-9.578423,-70.834336,-35.927019,1.180018e+04,2.658497e+04,1.504340e+04
58,4.036256e+02,miss,-76.436329,19.403405,-13.453454,2.851843e+04,-1.490948e+04,6.322590e+03
59,4.136396e+02,miss,46.237112,63.972271,13.026054,-2.311382e+04,-2.339262e+04,-4.559629e+03
60,4.223835e+02,miss,78.756183,7.419973,-11.933466,-3.174040e+04,-8.944121e+03,6.172768e+03
61,4.438704e+02,miss,73.547371,-13.988405,-28.197673,-3.226149e+04,6.772756e+03,9.804969e+03
62,4.515467e+02,miss,77.377774,10.806069,-17.202004,-3.412547e+04,-1.087189e+03,6.126752e+03
63,4.665725e+02,miss,0.841586,-78.321746,-16.278694,-2.074181e+02,3.396207e+04,9.478494e+03
64,4.668773e+02,miss,72.357346,1.934441,34.068644,-2.951738e+04,-7.045772e+03,-1.797778e+04
65,4.727844e+02,miss,-1.451012,-69.531004,39.539019,-8.157260e+03,2.977480e+04,-1.751516e+04
66,4.773835e+02,miss,-73.576511,-20.886890,23.457086,3.301503e+04,3.645084e+03,-1.299374e+04
67,4.808170e+02,miss,-19.693149,-75.361250,18.244504,2.272671e+03,3.500697e+04,-7.114259e+03
68,4.816835e+02,miss,-27.023541,68.042568,32.248057,1.103046e+04,-3.199583e+04,-1.175459e+04
69,4.856293e+02,miss,70.512566,25.525700,27.864254,-3.368849e+04,-2.821028e+03,-1.229702e+04
70,4.957778e+02,miss,-79.205946,11.118201,-1.674429,3.628455e+04,2.029158e+03,6.681617e+02
71,5.003485e+02,miss,40.018640,-68.964827,-6.508545,-1.818799e+04,3.157301e+04,2.377875e+03
72,5.029137e+02,miss,69.115952,-5.709235,39.879691,-2.819172e+04,5.345475e+03,-2.273325e+04
73,5.053210e+02,miss,-77.344520,5.036060,-19.810686,3.430105e+04,-5.663814e+03,1.174403e+04
74,5.059808e+02,miss,54.413935,52.735341,25.653605,-2.573973e+04,-2.440265e+04,-9.502520e+03
75,5.115164e+02,miss,49.998512,50.588063,-36.619622,-1.686647e+04,-2.887726e+04,1.564283e+04
76,5.188544e+02,miss,-4.514397,79.621125,6.332192,8.118185e+03,-3.620024e+04,-2.502808e+03
77,5.217633e+02,miss,5.326099,-79.720610,4.031993,-8.935547e+03,3.612613e+04,-2.331548e+03
78,5.275660e+02,miss,20.083888,77.337978,-3.933768,-6.873795e+03,-3.677868e+04,2.433106e+03
79,5.286813e+02,miss,-71.392006,32.554804,-15.600200,3.165026e+04,-1.924976e+04,6.043230e+03
80,5.289664e+02,miss,71.385860,-12.068077,34.035577,-3.349480e+04,-3.780869e+03,-1.653409e+04
81,5.290315e+02,miss,-0.074969,76.844132,-22.248005,-7.207645e+00,-3.659337e+04,8.406615e+03
82,5.326062e+02,miss,-29.454218,-64.332646,37.333091,1.272591e+04,3.240370e+04,-1.439871e+04
83,5.328665e+02,miss,-45.534647,-64.894864,10.735575,1.832929e+04,3.266342e+04,-4.135638e+03
84,5.383249e+02,miss,37.788879,64.755875,27.904789,-1.847846e+04,-3.128983e+04,-1.067726e+04
85,5.389662e+02,miss,75.343158,-24.922367,-10.113561,-3.358624e+04,1.645253e+04,6.123591e+03
86,5.523168e+02,miss,-12.556944,-70.307971,36.043202,-3.625659e+03,3.373457e+04,-1.790613e+04
87,5.528609e+02,miss,64.380339,28.031129,-38.333116,-3.380778e+04,-4.779096e+03,1.753396e+04
88,5.584470e+02,miss,-3.181708,-75.242285,26.990282,1.101921e+04,3.435079e+04,-1.366498e+04
89,5.692584e+02,miss,-2.300692,73.837566,30.703756,7.677650e+03,-3.360958e+04,-1.812157e+04
90,5.817516e+02,miss,62.558113,48.641518,10.976577,-3.581313e+04,-1.541910e+04,-5.468425e+03
91,5.826775e+02,miss,-68.295037,-35.763466,-21.372001,3.610274e+04,9.739736e+03,1.242698e+04
92,5.874815e+02,miss,72.703615,-31.330716,11.513930,-3.647197e+04,1.464315e+04,-4.568888e+03
93,6.049501e+02,miss,4.786068,79.586607,6.562430,-6.369639e+03,-3.940848e+04,-4.295390e+03
94,6.061995e+02,miss,16.763908,78.190080,-2.298416,-1.577506e+03,-4.014865e+04,9.890010e+02
95,6.099702e+02,miss,-18.988707,-77.094382,9.792105,-1.831128e+02,4.003243e+04,-4.774859e+03
96,6.138359e+02,miss,19.514333,-66.617523,39.765517,-1.716305e+04,2.853270e+04,-2.295745e+04
97,6.145631e+02,miss,28.684481,68.427855,29.913695,-4.882607e+03,-3.731938e+04,-1.486915e+04
98,6.213656e+02,miss,-62.102174,-48.800246,12.722264,2.645173e+04,2.987178e+04,-7.986093e+03
99,6.304419e+02,miss,39.793414,-67.929838,14.213421,-2.851265e+04,2.844724e+04,-7.600283e+03
100,6.333923e+02,miss,74.302408,19.786115,-22.083066,-3.898355e+04,-9.193985e+03,9.143134e+03
101,6.356379e+02,miss,13.391917,71.459689,33.379176,-7.855361e+03,-3.791436e+04,-1.395069e+04
102,6.362781e+02,miss,-5.867207,79.134700,10.162438,5.463806e+03,-4.022543e+04,-6.898916e+03
103,6.488641e+02,miss,-68.930186,13.374379,-38.337389,3.798481e+04,-3.909033e+03,1.646043e+04
104,6.512665e+02,miss,78.064029,15.726241,-7.661117,-4.149187e+04,8.640484e+02,3.626518e+03
105,6.517849e+02,miss,-77.505404,-18.107638,8.063854,4.111135e+04,5.920256e+03,-3.415061e+03
106,6.527936e+02,miss,50.237245,-55.200098,28.795284,-3.289119e+04,2.078304e+04,-1.502592e+04
107,6.570967e+02,miss,68.856171,-31.395095,-25.945631,-3.890398e+04,1.011226e+04,1.162893e+04
108,6.579066e+02,miss,70.462611,-25.243007,28.245550,-3.559604e+04,1.827901e+04,-1.232753e+04
109,6.604274e+02,miss,57.678108,40.018362,38.363610,-2.332694e+04,-2.871141e+04,-1.978368e+04
110,6.645515e+02,miss,-35.745825,-69.640242,-16.506745,1.812259e+04,3.733321e+04,6.976985e+03
111,6.651772e+02,miss,-42.157690,61.308122,29.394614,2.810977e+04,-2.560255e+04,-1.808018e+04
112,6.671139e+02,miss,-60.331002,-36.201360,38.074031,3.504297e+04,9.208872e+03,-2.156131e+04
113,6.760182e+02,miss,63.835113,33.708787,-34.478921,-3.763465e+04,-1.159224e+04,1.583302e+04
114,6.793672e+02,miss,38.871105,-69.403236,-8.498708,-2.792301e+04,3.184855e+04,4.041122e+03
115,6.940491e+02,miss,42.133971,67.720005,-6.223299,-2.801517e+04,-3.250626e+04,2.823643e+03
116,6.951196e+02,miss,-39.781457,-69.287660,-4.081149,2.145166e+04,3.719675e+04,2.925744e+03
117,6.972038e+02,miss,-71.907872,-34.714781,4.913438,3.580944e+04,2.375040e+04,-3.389477e+03
118,6.978150e+02,miss,78.401768,15.803383,-1.848220,-4.231147e+04,-8.215264e+03,1.328026e+03
119,6.985451e+02,miss,62.442628,49.820511,-4.339920,-3.356035e+04,-2.704912e+04,1.872976e+03
120,7.023232e+02,miss,11.037232,-79.227108,1.115761,-1.209879e+04,4.152779e+04,-7.680780e+02
121,7.039091e+02,miss,-77.798775,6.442944,-17.488254,4.154168e+04,7.406953e+03,9.756035e+03
122,7.122416e+02,miss,-15.034052,78.533147,-2.553855,1.203577e+04,-4.183034e+04,1.822478e+03
123,7.122716e+02,miss,-59.221568,-41.608403,-34.081472,3.718319e+04,1.291582e+04,1.867163e+04
124,7.188524e+02,miss,9.038920,72.538954,-32.502277,-9.330749e+03,-4.015744e+04,1.469326e+04
125,7.200781e+02,miss,68.472032,-29.153636,-29.353814,-3.489513e+04,1.644732e+04,2.075226e+04
126,7.410313e+02,miss,56.009555,54.584789,-16.835397,-2.958471e+04,-3.078275e+04,1.232246e+04
127,7.484684e+02,miss,63.905158,46.347418,12.963318,-3.043950e+04,-3.207235e+04,-6.268635e+03
128,7.505535e+02,miss,-38.759792,69.714872,-6.124958,2.946636e+04,-3.339821e+04,4.042765e+03
129,7.535552e+02,miss,78.960243,-12.837944,0.683540,-4.465617e+04,-3.700983e+03,-4.227981e+02
130,7.575879e+02,miss,40.173238,62.935001,28.727977,-3.112437e+04,-2.799804e+04,-1.631499e+04
131,7.600746e+02,miss,-70.191464,36.247025,-12.621866,4.241308e+04,-1.379106e+04,6.029847e+03
132,7.693265e+02,miss,58.453833,-43.798336,-32.632118,-2.605462e+04,3.269574e+04,1.738453e+04
133,7.714879e+02,miss,78.426480,15.678786,-1.860882,-4.527476e+04,2.229712e+03,1.029615e+03
134,7.755996e+02,miss,-64.763313,-39.330761,-25.667188,4.079680e+04,1.563942e+04,1.256272e+04
135,7.775805e+02,miss,-64.635118,-35.460777,-31.061791,3.442654e+04,2.581876e+04,1.484171e+04
136,7.780366e+02,miss,-13.996496,-70.758775,34.601933,1.789612e+04,3.578752e+04,-2.173175e+04
137,7.837283e+02,miss,67.329386,42.641404,6.961636,-3.575631e+04,-2.827254e+04,-3.256290e+03
138,7.838076e+02,miss,29.648533,-70.888006,-22.267804,-9.751821e+03,4.175382e+04,1.581726e+04
139,7.852298e+02,miss,-79.055989,6.736554,10.235697,4.274428e+04,-1.509452e+04,-6.126721e+03
140,7.860208e+02,miss,70.840712,37.122573,1.872991,-4.440792e+04,-1.100275e+04,-1.199592e+03
141,7.936000e+02,miss,77.663673,-11.860503,-15.089147,-4.351257e+04,1.299801e+04,7.243437e+03
142,7.988059e+02,miss,19.815487,-69.378716,34.553440,-2.065449e+04,3.713576e+04,-1.797108e+04
143,8.032455e+02,miss,-71.921338,0.154851,-35.032801,4.208100e+04,7.879455e+03,1.753757e+04
144,8.046534e+02,miss,69.702924,38.503375,7.680659,-3.491256e+04,-2.994720e+04,-5.337801e+03
145,8.100079e+02,miss,24.351829,71.980686,25.015381,-2.065191e+04,-3.976979e+04,-1.226152e+04
146,8.187993e+02,miss,-68.032974,-40.624789,11.006406,4.013396e+04,2.233002e+04,-8.517352e+03
147,8.191542e+02,miss,41.262759,55.892805,-39.665843,-3.249471e+04,-2.503908e+04,2.236054e+04
148,8.200263e+02,miss,33.554099,-71.859441,10.504437,-2.707888e+04,3.772972e+04,-5.327459e+03
149,8.207213e+02,miss,-46.081003,-60.573861,-24.644442,1.807968e+04,4.103511e+04,1.327690e+04
150,8.233585e+02,miss,-37.660168,64.317627,29.068102,1.425091e+04,-4.203588e+04,-1.496513e+04
151,8.243787e+02,miss,-31.451701,73.059522,-8.549666,2.382823e+04,-4.014631e+04,4.155262e+03
152,8.269403e+02,miss,-77.153956,-8.042951,19.559601,4.556023e+04,-4.837637e+03,-1.022088e+04
153,8.315220e+02,miss,-52.997103,-59.824423,3.513611,3.024371e+04,3.603313e+04,-1.656557e+03
154,8.329868e+02,miss,-38.395211,-65.838283,-24.313128,1.669145e+04,4.236869e+04,1.208328e+04
155,8.417544e+02,miss,-33.439753,70.360312,-18.199162,2.623580e+04,-3.709427e+04,1.337077e+04
156,8.436053e+02,miss,-50.499836,51.551895,34.527795,2.007501e+04,-3.717188e+04,-2.152341e+04
157,8.454583e+02,miss,-69.059391,36.535914,17.202544,4.280671e+04,-1.584233e+04,-1.302136e+04
158,8.474937e+02,miss,-67.651553,-42.587492,3.094014,4.389152e+04,1.815050e+04,-1.570939e+03
159,8.511276e+02,miss,75.626173,24.825705,-8.022868,-3.990549e+04,-2.548236e+04,5.124290e+03
160,8.531698e+02,miss,59.520785,45.917607,-27.365115,-3.418995e+04,-3.046070e+04,1.329256e+04
161,8.553630e+02,miss,75.409814,9.005112,25.144938,-4.582635e+04,-5.725567e+03,-1.210400e+04
162,8.653758e+02,miss,-14.161312,-73.719573,-27.656496,2.604049e+03,4.311742e+04,2.097932e+04
163,8.657076e+02,miss,-49.779308,-62.557873,-2.921131,2.174150e+04,4.279956e+04,1.553724e+03
164,8.737777e+02,miss,-72.775770,27.567457,18.539759,4.663045e+04,-7.523216e+03,-9.869984e+03
165,8.743450e+02,miss,40.686148,-67.459056,13.925268,-3.292854e+04,3.446124e+04,-7.619717e+03
166,8.778854e+02,miss,69.762365,-32.886536,21.252956,-4.564425e+04,1.136928e+04,-1.125622e+04
167,8.807127e+02,miss,1.444759,75.971230,25.025684,4.424540e+03,-4.658923e+04,-1.252044e+04
168,8.880622e+02,miss,-56.268296,-55.039194,-14.302656,4.145811e+04,2.400218e+04,8.461639e+03
169,8.880956e+02,miss,58.793146,52.232724,-14.666581,-4.122615e+04,-2.463442e+04,7.753564e+03
170,8.892396e+02,miss,73.006032,15.008528,-29.066534,-4.323794e+04,-1.655120e+04,1.503845e+04
171,8.969958e+02,miss,72.415075,28.650004,18.309401,-4.636697e+04,-7.849876e+03,-1.337045e+04
172,9.015476e+02,miss,63.587279,-47.902345,-7.875483,-4.506405e+04,1.861577e+04,5.009842e+03
173,9.066708e+02,miss,-72.356285,-33.682445,5.482779,4.065629e+04,2.747724e+04,-2.852037e+03
174,9.089317e+02,miss,-10.842980,76.383335,21.166388,-5.718489e+03,-4.697229e+04,-1.352752e+04
175,9.091702e+02,miss,74.287164,-18.360812,23.330191,-4.670515e+04,-8.141394e+02,-1.551430e+04
176,9.092040e+02,miss,77.264692,-19.809835,-6.143107,-4.314790e+04,2.331618e+04,4.175107e+03
177,9.204843e+02,miss,-79.993451,-0.931760,-0.423819,4.895754e+04,7.482527e+03,2.190808e+02
178,9.320756e+02,miss,-38.747629,-69.346670,9.468928,3.373463e+04,3.608832e+04,-6.585761e+03
179,9.335055e+02,miss,56.433444,55.340841,-12.355472,-2.617682e+04,-4.183605e+04,7.217617e+03
180,9.523030e+02,miss,62.371768,48.734512,11.606458,-3.479108e+04,-3.591740e+04,-6.098099e+03
181,9.563994e+02,miss,-65.413631,-36.481995,28.109090,3.923698e+04,2.817146e+04,-1.467685e+04
182,9.608193e+02,miss,-34.877750,-64.738579,-31.503315,1.338439e+04,4.551564e+04,1.759388e+04
183,9.733296e+02,miss,-23.739188,-72.501883,-24.081693,1.033016e+04,4.824742e+04,1.261631e+04
184,9.789352e+02,miss,34.769795,63.209271,34.578163,-1.837690e+04,-4.400583e+04,-1.828691e+04
185,9.842030e+02,miss,39.234098,65.961911,-22.576798,-3.479275e+04,-3.501060e+04,1.365264e+04
186,9.859912e+02,miss,70.087486,-33.346371,19.384629,-4.807770e+04,1.043890e+04,-1.438754e+04
187,9.915977e+02,miss,17.842592,77.344369,9.974493,1.035146e+02,-5.106188e+04,-5.920424e+03
188,1.001287e+03,miss,-58.814467,-52.887517,11.990371,3.446970e+04,3.794613e+04,-6.334636e+03
189,1.016934e+03,miss,17.902344,-67.707048,38.668614,-1.660363e+03,4.694208e+04,-2.244048e+04
190,1.021076e+03,miss,-44.779233,-65.561182,9.826071,2.014776e+04,4.778082e+04,-5.656017e+03
191,1.026329e+03,miss,68.269963,-40.741436,8.907723,-4.809849e+04,1.917704e+04,-7.328339e+03
192,1.028210e+03,miss,49.127611,52.058899,-35.726024,-4.026675e+04,-2.374943e+04,2.354769e+04
193,1.033191e+03,miss,-67.351049,-32.676103,-28.215395,4.838659e+04,9.246031e+03,1.806830e+04
194,1.037621e+03,miss,-72.580058,31.205214,12.584507,4.748664e+04,-2.158706e+04,-6.636079e+03
