i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,9.453263e+00,miss,54.185043,58.830107,1.731924,-6.044839e+03,-4.711160e+03,-2.080979e+02
1,1.781333e+01,miss,-33.686044,-70.280803,-18.051569,2.034724e+03,9.978521e+03,2.654917e+03
2,2.243006e+01,miss,78.110531,17.239411,-1.244029,-1.137001e+04,-3.182608e+03,2.433110e+02
3,6.721834e+01,miss,72.698674,32.463677,-7.811053,-1.624954e+04,-1.218580e+04,2.325553e+03
4,8.470865e+01,miss,-78.601651,-13.427663,-6.440365,2.279191e+04,-1.771234e+03,2.022886e+03
5,1.051830e+02,miss,5.954254,-77.536445,18.778884,-4.008318e+03,2.477965e+04,-4.889588e+03
6,1.131039e+02,miss,3.213386,-79.736501,5.636008,5.558171e+03,2.586175e+04,-1.879570e+03
7,1.244281e+02,miss,1.644659,-77.988596,17.750325,5.419126e+03,2.631071e+04,-7.214417e+03
8,1.270166e+02,miss,-73.694226,31.117374,0.932749,2.774313e+04,-4.466198e+03,-3.666538e+02
9,1.298968e+02,miss,39.203979,67.746433,-16.536895,-8.904175e+03,-2.602816e+04,7.135922e+03
10,1.394890e+02,miss,-79.608978,-2.262952,7.568992,2.917891e+04,1.477796e+03,-3.704172e+03
11,1.409017e+02,miss,65.677726,42.105844,17.706898,-2.729556e+04,-9.751871e+03,-5.995895e+03
12,1.427271e+02,miss,68.543002,-41.226681,1.489204,-2.151266e+04,2.059695e+04,-6.468782e+02
13,1.514980e+02,miss,9.934415,-77.834377,15.592215,-8.411731e+03,2.854658e+04,-7.504563e+03
14,1.617403e+02,miss,-54.548694,-57.755529,-9.420130,2.651081e+04,1.703113e+04,3.575617e+03
15,1.636012e+02,miss,-27.722567,75.040990,-0.556003,1.252187e+04,-2.933273e+04,1.782162e+02
16,1.655583e+02,miss,43.462646,-67.070464,3.542783,-2.127827e+04,2.398359e+04,-1.195482e+03
17,1.668773e+02,miss,34.796531,71.973584,-3.000766,-7.046765e+03,-3.140099e+04,1.388760e+03
18,1.694303e+02,miss,-79.321275,0.757517,-10.371186,3.194932e+04,-4.528110e+03,3.495630e+03
19,1.711896e+02,miss,43.234565,-66.235081,11.986924,-1.110344e+04,3.034621e+04,-4.499104e+03
20,1.729824e+02,miss,-12.297851,78.967606,3.588871,2.427074e+03,-3.268417e+04,-1.192870e+03
21,1.772741e+02,miss,5.044876,79.475235,7.631265,-5.647445e+03,-3.261306e+04,-2.597730e+03
22,1.810215e+02,miss,-33.391072,-72.546151,4.700242,1.528933e+04,2.982087e+04,-1.583031e+03
23,1.935200e+02,miss,43.926598,-64.135798,-18.895858,-1.255520e+04,3.147402e+04,7.417555e+03
24,2.000903e+02,miss,-67.173235,43.363225,-2.717946,2.635405e+04,-2.339409e+04,1.516748e+03
25,2.081268e+02,miss,76.664519,-19.122783,12.524802,-3.558796e+04,1.812977e+03,-4.929451e+03
26,2.155345e+02,miss,-45.927124,-64.271940,-12.641878,1.307088e+04,3.360594e+04,6.319912e+03
27,2.165661e+02,miss,22.652096,74.886198,-16.701496,-5.935503e+03,-3.485691e+04,9.814712e+03
28,2.236128e+02,miss,-66.256322,41.864967,-16.044448,3.479484e+04,-1.125933e+04,7.274882e+03
29,2.266999e+02,miss,-52.067687,58.806196,15.191686,1.915259e+04,-3.105327e+04,-8.856942e+03
30,2.369404e+02,miss,-74.489758,23.018460,-17.928369,3.739205e+04,-1.657188e+03,8.504949e+03
31,2.726906e+02,miss,66.057372,-42.551691,-15.025882,-3.658845e+04,1.777618e+04,6.389496e+03
32,2.850759e+02,miss,32.942875,-72.885295,1.581376,-2.626807e+04,3.288965e+04,-8.956199e+02
33,2.990636e+02,miss,35.981032,-70.949925,-8.454197,-1.065841e+04,4.143828e+04,5.364929e+03
34,3.052464e+02,miss,-19.561534,77.569200,-0.604632,1.558852e+03,-4.353591e+04,3.912284e+02
35,3.052592e+02,miss,56.709490,-55.604542,-9.600454,-3.716072e+04,2.197513e+04,5.849141e+03
36,3.175848e+02,miss,-20.896657,-74.605929,19.932012,6.841777e+02,4.279921e+04,-1.193465e+04
37,3.306377e+02,miss,73.380383,31.860710,0.463145,-3.865460e+04,-2.369830e+04,-2.192285e+02
38,3.332488e+02,miss,67.834342,-39.182801,-16.223750,-3.164149e+04,3.136556e+04,9.332148e+03
39,3.358836e+02,miss,79.789501,-5.340877,2.260664,-4.565973e+04,1.603427e+03,-1.035270e+03
40,3.359176e+02,miss,-73.375154,29.197736,-12.789802,4.476219e+04,-5.600431e+03,7.324353e+03
41,3.368660e+02,miss,45.460611,65.647616,-4.870659,-1.653367e+04,-4.255815e+04,3.162881e+03
42,3.401143e+02,miss,-11.343674,-79.116691,3.445315,2.174687e+03,4.586195e+04,-2.590726e+03
43,3.423454e+02,miss,40.725282,-67.481359,-13.701010,-1.312907e+04,4.355095e+04,7.718452e+03
44,3.448514e+02,miss,-54.303871,-57.516883,11.953986,2.219548e+04,4.006574e+04,-6.805235e+03
45,3.509140e+02,miss,75.142190,-25.703155,9.643601,-4.035786e+04,2.300256e+04,-4.902527e+03
