i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,4.329892e+01,miss,54.185043,58.830107,1.731924,-2.240748e+04,-1.746369e+04,-7.713934e+02
1,4.696724e+01,miss,-33.686044,-70.280803,-18.051569,5.722570e+03,2.806414e+04,7.466836e+03
2,5.049935e+01,miss,78.110531,17.239411,-1.244029,-2.954944e+04,-8.271255e+03,6.323391e+02
3,5.518609e+01,miss,72.698674,32.463677,-7.811053,-2.550190e+04,-1.912431e+04,3.649705e+03
4,6.034050e+01,miss,-78.601651,-13.427663,-6.440365,3.331823e+04,-2.589269e+03,2.957145e+03
5,7.184482e+01,miss,5.954254,-77.536445,18.778884,-5.737831e+03,3.547160e+04,-6.999352e+03
6,7.453761e+01,miss,3.213386,-79.736501,5.636008,7.815224e+03,3.636366e+04,-2.642822e+03
7,1.119612e+02,miss,1.644659,-77.988596,17.750325,8.903573e+03,4.322825e+04,-1.185322e+04
8,1.149505e+02,miss,-73.694226,31.117374,0.932749,4.571316e+04,-7.359084e+03,-6.041461e+02
9,1.181343e+02,miss,39.203979,67.746433,-16.536895,-1.470765e+04,-4.299253e+04,1.178690e+04
10,1.298474e+02,miss,-79.608978,-2.262952,7.568992,4.876141e+04,2.469572e+03,-6.190109e+03
11,1.406004e+02,miss,65.677726,42.105844,17.706898,-4.722672e+04,-1.687267e+04,-1.037408e+04
12,1.521413e+02,miss,68.543002,-41.226681,1.489204,-3.847024e+04,3.683273e+04,-1.156787e+03
13,1.634467e+02,miss,9.934415,-77.834377,15.592215,-1.513319e+04,5.135697e+04,-1.350115e+04
14,1.686984e+02,miss,-54.548694,-57.755529,-9.420130,4.689536e+04,3.012662e+04,6.324961e+03
15,1.703643e+02,miss,-27.722567,75.040990,-0.556003,2.213227e+04,-5.184528e+04,3.149951e+02
16,1.721085e+02,miss,43.462646,-67.070464,3.542783,-3.757704e+04,4.235460e+04,-2.111199e+03
17,1.890253e+02,miss,34.796531,71.973584,-3.000766,-1.299008e+04,-5.788492e+04,2.560056e+03
18,2.013918e+02,miss,-79.321275,0.757517,-10.371186,6.033197e+04,-8.550725e+03,6.601025e+03
19,2.059447e+02,miss,43.234565,-66.235081,11.986924,-2.109381e+04,5.765032e+04,-8.547188e+03
20,2.062294e+02,miss,-12.297851,78.967606,3.588871,4.590057e+03,-6.181195e+04,-2.255943e+03
21,2.096273e+02,miss,5.044876,79.475235,7.631265,-1.063687e+04,-6.142616e+04,-4.892783e+03
22,2.102762e+02,miss,-33.391072,-72.546151,4.700242,2.854165e+04,5.566868e+04,-2.955154e+03
23,2.134361e+02,miss,43.926598,-64.135798,-18.895858,-2.283786e+04,5.725109e+04,1.349250e+04
24,2.176093e+02,miss,-67.173235,43.363225,-2.717946,4.760292e+04,-4.225639e+04,2.739680e+03
25,2.343143e+02,miss,76.664519,-19.122783,12.524802,-6.540321e+04,3.331873e+03,-9.059298e+03
26,2.398404e+02,miss,-45.927124,-64.271940,-12.641878,2.388187e+04,6.140156e+04,1.154714e+04
27,2.414615e+02,miss,22.652096,74.886198,-16.701496,-1.085543e+04,-6.374970e+04,1.795010e+04
28,2.459825e+02,miss,-66.256322,41.864967,-16.044448,6.320905e+04,-2.045394e+04,1.321571e+04
29,2.565899e+02,miss,-52.067687,58.806196,15.191686,3.529249e+04,-5.722187e+04,-1.632069e+04
30,2.669299e+02,miss,-74.489758,23.018460,-17.928369,6.874150e+04,-3.046573e+03,1.563549e+04
31,2.852433e+02,miss,66.057372,-42.551691,-15.025882,-6.481526e+04,3.148994e+04,1.131879e+04
32,3.011332e+02,miss,32.942875,-72.885295,1.581376,-4.676143e+04,5.854892e+04,-1.594349e+03
33,3.129445e+02,miss,35.981032,-70.949925,-8.454197,-1.888447e+04,7.341997e+04,9.505533e+03
34,3.260411e+02,miss,-19.561534,77.569200,-0.604632,2.790464e+03,-7.793260e+04,7.003287e+02
35,3.265728e+02,miss,56.709490,-55.604542,-9.600454,-6.657334e+04,3.936839e+04,1.047872e+04
36,3.305038e+02,miss,-20.896657,-74.605929,19.932012,1.208893e+03,7.562314e+04,-2.108767e+04
37,3.483553e+02,miss,73.380383,31.860710,0.463145,-6.872217e+04,-4.213208e+04,-3.897558e+02
38,3.523189e+02,miss,67.834342,-39.182801,-16.223750,-5.635095e+04,5.585954e+04,1.661981e+04
39,3.614071e+02,miss,79.789501,-5.340877,2.260664,-8.203477e+04,2.880805e+03,-1.860023e+03
40,3.983171e+02,miss,-73.375154,29.197736,-12.789802,8.442482e+04,-1.056283e+04,1.381427e+04
41,4.142508e+02,miss,45.460611,65.647616,-4.870659,-3.175652e+04,-8.174223e+04,6.075004e+03
42,4.278947e+02,miss,-11.343674,-79.116691,3.445315,4.224871e+03,8.909824e+04,-5.033129e+03
43,4.334977e+02,miss,40.725282,-67.481359,-13.701010,-2.558914e+04,8.488274e+04,1.504361e+04
44,4.341372e+02,miss,-54.303871,-57.516883,11.953986,4.313429e+04,7.786303e+04,-1.322517e+04
45,4.375253e+02,miss,75.142190,-25.703155,9.643601,-7.805308e+04,4.448751e+04,-9.481606e+03
46,4.493084e+02,miss,16.784565,-77.687661,9.105259,3.635695e+03,9.087625e+04,-1.045971e+04
47,4.544399e+02,miss,78.444406,-8.293447,-13.330187,-8.918336e+04,1.910124e+04,1.258201e+04
48,4.549857e+02,miss,34.906425,70.556256,14.260303,-5.187610e+04,-7.327384e+04,-2.065992e+04
49,4.566383e+02,miss,64.074439,47.567586,-5.638353,-6.070469e+04,-6.927178e+04,5.848605e+03
50,4.603279e+02,miss,1.474323,-79.791222,-5.584553,-2.330455e+04,8.938691e+04,7.317558e+03
51,4.672397e+02,miss,-32.835564,71.193040,15.917816,1.583412e+04,-8.997191e+04,-1.923363e+04
52,4.716893e+02,miss,-67.698300,-41.772173,-8.486801,7.471641e+04,5.612808e+04,8.105093e+03
53,4.728619e+02,miss,51.058663,-61.541423,-2.380380,-5.586940e+04,7.545872e+04,2.249590e+03
54,4.749881e+02,miss,-78.632674,-14.257907,-3.689816,8.799506e+04,3.298773e+04,5.367499e+03
55,4.804976e+02,miss,-54.825401,58.217035,2.225387,6.228900e+04,-7.120900e+04,-3.501292e+03
56,4.826645e+02,miss,69.936366,37.459886,10.279183,-7.723240e+04,-5.419571e+04,-1.006481e+04
57,4.952595e+02,miss,-10.430898,-77.138556,-18.461839,3.586231e+04,8.620987e+04,2.280378e+04
58,4.970264e+02,miss,-77.264068,19.613527,-6.750806,8.505365e+04,-4.415834e+04,9.334697e+03
59,5.000882e+02,miss,46.705890,64.620858,6.534865,-6.763453e+04,-6.862746e+04,-6.646267e+03
60,5.028580e+02,miss,79.424202,7.482910,-5.983493,-9.286917e+04,-2.598198e+04,8.958284e+03
61,5.047392e+02,miss,77.319911,-14.705926,-14.330637,-9.398937e+04,1.965900e+04,1.395029e+04
62,5.205227e+02,miss,78.766410,10.999996,-8.651745,-9.809453e+04,-3.276215e+03,8.731160e+03
63,5.458412e+02,miss,0.855062,-79.575873,-8.182256,-6.202776e+02,9.996468e+04,1.372797e+04
64,5.492096e+02,miss,78.044696,2.086490,17.454857,-9.528949e+04,-2.088142e+04,-2.699052e+04
65,5.557658e+02,miss,-1.613673,-77.325557,20.448821,-2.327016e+04,9.563308e+04,-2.607143e+04
66,5.621943e+02,miss,-76.108752,-21.605742,11.859583,9.992609e+04,1.173899e+04,-1.907331e+04
67,5.655516e+02,miss,-20.092458,-76.889314,9.182950,6.954457e+03,1.019604e+05,-1.025479e+04
68,5.659423e+02,miss,-28.895774,72.756664,16.477318,3.325131e+04,-9.570980e+04,-1.705041e+04
69,5.676938e+02,miss,74.035935,26.801167,14.155487,-1.008755e+05,-9.685618e+03,-1.788072e+04
70,5.747224e+02,miss,-79.218962,11.120029,-0.837260,1.033742e+05,5.778137e+03,9.517074e+02
71,5.772405e+02,miss,40.118452,-69.136835,-3.256973,-5.176936e+04,8.986651e+04,3.380161e+03
72,5.780605e+02,miss,77.029651,-6.362936,20.638456,-9.641347e+04,1.685793e+04,-3.468474e+04
73,5.835906e+02,miss,-79.206907,5.157324,-9.983384,1.016188e+05,-1.646246e+04,1.698649e+04
74,5.890901e+02,miss,56.684179,54.935552,12.999574,-7.539906e+04,-7.153271e+04,-1.365902e+04
75,5.959421e+02,miss,54.654402,55.298853,-18.839670,-5.362280e+04,-8.784707e+04,2.288706e+04
76,5.983392e+02,miss,-4.525052,79.809047,3.168582,2.307095e+04,-1.030346e+05,-3.557295e+03
77,6.052815e+02,miss,5.331182,-79.796690,2.016637,-2.547925e+04,1.031033e+05,-3.324108e+03
78,6.125593e+02,miss,20.102131,77.408225,-1.967479,-1.963638e+04,-1.050174e+05,3.470682e+03
79,6.154074e+02,miss,-72.439181,33.032316,-7.837807,9.131988e+04,-5.536506e+04,8.649494e+03
80,6.236241e+02,miss,76.984237,-13.014506,17.437025,-1.046041e+05,-9.592895e+03,-2.446734e+04
81,6.267648e+02,miss,-0.077275,79.207075,-11.235357,-1.816125e+01,-1.074394e+05,1.216771e+04
82,6.348363e+02,miss,-32.326390,-70.605921,19.230403,3.941066e+04,9.920771e+04,-2.112978e+04
83,6.429215e+02,miss,-45.846244,-65.338946,5.379967,5.356361e+04,9.532779e+04,-6.017084e+03
84,6.469183e+02,miss,39.683160,68.001957,14.176768,-5.527404e+04,-9.363868e+04,-1.561364e+04
85,6.500192e+02,miss,75.800038,-25.073495,-5.066954,-9.861118e+04,4.817745e+04,8.934111e+03
86,6.518256e+02,miss,-13.683066,-76.613273,18.525120,-8.868934e+03,1.066370e+05,-2.662009e+04
87,6.553038e+02,miss,71.071524,30.944464,-19.780765,-1.060093e+05,-1.757320e+04,2.601590e+04
88,6.711257e+02,miss,-3.329963,-78.748285,13.697407,3.230717e+04,1.052006e+05,-2.019483e+04
89,6.719272e+02,miss,-2.443331,78.415344,15.654519,2.270985e+04,-1.062412e+05,-2.703297e+04
90,6.831955e+02,miss,63.005911,48.989700,5.501311,-1.033546e+05,-4.472064e+04,-7.860536e+03
91,6.850977e+02,miss,-70.223937,-36.773557,-10.784440,1.075242e+05,2.983021e+04,1.811329e+04
92,6.924855e+02,miss,73.277041,-31.577827,5.772008,-1.052876e+05,4.229117e+04,-6.570986e+03
93,6.961999e+02,miss,4.798204,79.788425,3.283983,-1.811996e+04,-1.123425e+05,-6.107169e+03
94,6.974834e+02,miss,16.769101,78.214297,-1.149326,-4.483105e+03,-1.139664e+05,1.403476e+03
95,7.055604e+02,miss,-19.096571,-77.532311,4.905282,-3.713800e+02,1.145191e+05,-6.806186e+03
96,7.102983e+02,miss,21.732938,-74.191339,20.574856,-5.368215e+04,9.577277e+04,-3.457253e+04
97,7.146016e+02,miss,30.361927,72.429462,15.235697,-1.632115e+04,-1.122311e+05,-2.162249e+04
98,7.151546e+02,miss,-62.702228,-49.271772,6.381467,7.637852e+04,8.588545e+04,-1.140426e+04
99,7.156566e+02,miss,40.275589,-68.752939,7.135146,-8.117837e+04,8.150821e+04,-1.076533e+04
100,7.196671e+02,miss,76.551425,20.385009,-11.150371,-1.120437e+05,-2.650429e+04,1.295924e+04
101,7.208002e+02,miss,14.395970,76.817347,17.083655,-2.305736e+04,-1.118834e+05,-1.989493e+04
102,7.209835e+02,miss,-5.903134,79.619277,5.091541,1.549704e+04,-1.145136e+05,-9.760034e+03
103,7.227941e+02,miss,-76.096184,14.764783,-19.783124,1.130561e+05,-1.240654e+04,2.338685e+04
104,7.298056e+02,miss,78.334302,15.780689,-3.834967,-1.165418e+05,2.347297e+03,5.083244e+03
105,7.376906e+02,miss,-77.802914,-18.177146,4.037071,1.160050e+05,1.673711e+04,-4.809589e+03
106,7.462646e+02,miss,52.936340,-58.165832,14.645130,-9.719630e+04,6.327921e+04,-2.165575e+04
107,7.535761e+02,miss,71.800334,-32.737491,-13.151755,-1.134349e+05,3.021445e+04,1.662361e+04
108,7.567347e+02,miss,74.090467,-26.542674,14.355805,-1.047950e+05,5.312057e+04,-1.766004e+04
109,7.604881e+02,miss,63.684292,44.185587,19.797598,-7.512928e+04,-8.774210e+04,-2.902729e+04
110,7.739201e+02,miss,-36.334876,-70.787836,-8.298134,5.231886e+04,1.076995e+05,9.988467e+03
111,7.753920e+02,miss,-44.528673,64.756140,14.961271,8.555560e+04,-8.021781e+04,-2.662736e+04
112,7.793639e+02,miss,-66.499179,-39.902548,19.637869,1.115009e+05,3.270970e+04,-3.217749e+04
113,7.797271e+02,miss,68.994068,36.433026,-17.676346,-1.127432e+05,-3.619633e+04,2.287667e+04
114,7.863929e+02,miss,39.036978,-69.699398,-4.255378,-7.968273e+04,9.102960e+04,5.757900e+03
115,7.875654e+02,miss,42.230010,67.874363,-3.114009,-7.905788e+04,-9.178646e+04,3.980944e+03
116,7.905246e+02,miss,-39.820355,-69.355408,-2.041239,6.063038e+04,1.051325e+05,4.130598e+03
117,8.008411e+02,miss,-72.009871,-34.764023,2.457879,1.017937e+05,6.747804e+04,-4.810372e+03
118,8.033899e+02,miss,78.417466,15.806547,-0.924172,-1.201585e+05,-2.333041e+04,1.885325e+03
119,8.075418e+02,miss,62.511688,49.875612,-2.170759,-9.553656e+04,-7.700028e+04,2.664524e+03
120,8.097310e+02,miss,11.038037,-79.232888,0.557894,-3.437352e+04,1.179893e+05,-1.091059e+03
121,8.174867e+02,miss,-79.243528,6.562592,-8.797483,1.208865e+05,2.095352e+04,1.400987e+04
122,8.197014e+02,miss,-15.039801,78.563181,-1.277090,3.417855e+04,-1.188079e+05,2.587137e+03
123,8.287504e+02,miss,-63.880498,-44.881715,-17.461776,1.137387e+05,4.210317e+04,2.738297e+04
124,8.312138e+02,miss,9.676471,77.655416,-16.613314,-2.710499e+04,-1.196761e+05,2.116320e+04
125,8.340631e+02,miss,72.311073,-30.788201,-14.939725,-1.094842e+05,5.124384e+04,3.074685e+04
126,8.375402e+02,miss,56.970898,55.521678,-8.465224,-8.581855e+04,-8.916234e+04,1.755569e+04
127,8.429801e+02,miss,64.546717,46.812711,6.503181,-8.625232e+04,-9.059333e+04,-8.820882e+03
128,8.464635e+02,miss,-38.845357,69.868774,-3.064729,8.299486e+04,-9.417491e+04,5.686703e+03
129,8.535574e+02,miss,78.962405,-12.838296,0.341773,-1.257489e+05,-1.042080e+04,-5.952736e+02
130,8.547104e+02,miss,42.320469,66.298833,14.609674,-9.110412e+04,-8.424421e+04,-2.337056e+04
131,8.564694e+02,miss,-70.858820,36.591649,-6.330787,1.198801e+05,-3.915132e+04,8.484675e+03
132,8.700283e+02,miss,62.614557,-46.915886,-16.682834,-7.937815e+04,9.646428e+04,2.495422e+04
133,8.752569e+02,hit,78.442399,15.681969,-0.930504,-1.276126e+05,6.278535e+03,1.450865e+03
134,8.775677e+02,miss,-67.468451,-40.973591,-13.006649,1.180197e+05,4.607357e+04,1.783728e+04
135,8.837633e+02,miss,-68.748369,-37.717431,-15.844782,1.018383e+05,7.526803e+04,2.118606e+04
136,8.840486e+02,miss,-15.137070,-76.524902,17.742844,5.313142e+04,1.124974e+05,-3.181011e+04
137,8.872155e+02,miss,67.521644,42.763166,3.484124,-1.008663e+05,-7.971523e+04,-4.585723e+03
138,8.875459e+02,miss,30.561942,-73.071917,-11.245561,-2.957617e+04,1.231462e+05,2.271522e+04
139,8.922662e+02,hit,-79.547173,6.778409,5.128397,1.214436e+05,-4.266377e+04,-8.661876e+03
140,8.935471e+02,hit,70.855279,37.130207,0.936559,-1.253018e+05,-3.105272e+04,-1.692150e+03
141,8.964116e+02,miss,78.727456,-12.022960,-7.578657,-1.235705e+05,3.670352e+04,1.021187e+04
142,9.063932e+02,miss,21.424982,-75.013941,17.716624,-6.023814e+04,1.123016e+05,-2.582659e+04
143,9.150040e+02,miss,-77.954038,0.167840,-17.976090,1.262818e+05,2.204410e+04,2.519674e+04
144,9.173599e+02,miss,69.945490,38.637367,3.844772,-9.919512e+04,-8.494174e+04,-7.555290e+03
145,9.193440e+02,miss,25.313990,74.824704,12.667503,-5.925621e+04,-1.154737e+05,-1.741790e+04
146,9.200877e+02,miss,-68.522650,-40.917191,5.516333,1.139794e+05,6.346014e+04,-1.200999e+04
147,9.239926e+02,miss,45.925017,62.208105,-20.519370,-9.863812e+04,-8.031699e+04,3.248506e+04
148,9.468134e+02,miss,33.773807,-72.329968,5.263624,-7.724990e+04,1.078712e+05,-7.584308e+03
149,9.510966e+02,miss,-47.844040,-62.891388,-12.474822,5.409803e+04,1.202062e+05,1.910585e+04
150,9.528468e+02,miss,-39.726281,67.846221,14.788946,4.337659e+04,-1.242064e+05,-2.156505e+04
151,9.545723e+02,miss,-31.587542,73.375067,-4.280967,6.798788e+04,-1.146673e+05,5.920102e+03
152,9.583383e+02,miss,-78.962801,-8.231515,9.854859,1.322134e+05,-1.347311e+04,-1.464031e+04
153,9.708295e+02,miss,-53.035493,-59.867759,1.757229,8.650247e+04,1.030580e+05,-2.368181e+03
154,9.821047e+02,miss,-39.822072,-68.284997,-12.302918,4.976427e+04,1.246487e+05,1.748663e+04
155,9.874519e+02,miss,-34.114295,71.779611,-9.159820,7.709764e+04,-1.099933e+05,1.940938e+04
156,9.876931e+02,miss,-54.594555,55.731919,17.702762,6.524363e+04,-1.146937e+05,-3.181886e+04
157,9.899799e+02,miss,-70.298824,37.191637,8.652020,1.260680e+05,-4.708625e+04,-1.887377e+04
158,9.963174e+02,hit,-67.689541,-42.611406,1.547296,1.259574e+05,5.209924e+04,-2.253528e+03
159,9.966069e+02,miss,75.913504,24.920026,-4.016500,-1.148215e+05,-7.315819e+04,7.347669e+03
160,9.991601e+02,miss,62.379211,48.122754,-13.893690,-1.011552e+05,-8.965014e+04,1.918804e+04
161,1.009405e+03,miss,78.422714,9.364899,12.734855,-1.350490e+05,-1.685020e+04,-1.751124e+04
162,1.013122e+03,miss,-14.857381,-77.343101,-14.046460,9.123800e+03,1.336094e+05,3.103889e+04
163,1.014059e+03,miss,-49.804221,-62.589181,-1.460809,6.229183e+04,1.225985e+05,2.224811e+03
164,1.018688e+03,miss,-74.301540,28.145419,9.333622,1.352869e+05,-2.233049e+04,-1.416931e+04
165,1.026832e+03,miss,41.158903,-68.242901,6.989360,-9.508457e+04,9.996364e+04,-1.095751e+04
166,1.028048e+03,miss,71.709614,-33.804485,10.723246,-1.332939e+05,3.385625e+04,-1.621885e+04
167,1.040627e+03,miss,1.501894,78.975585,12.672858,1.257436e+04,-1.375651e+05,-1.813597e+04
168,1.042960e+03,hit,-56.958890,-55.714702,-7.180308,1.200453e+05,6.996787e+04,1.218028e+04
169,1.054147e+03,miss,59.552856,52.907661,-7.364562,-1.198398e+05,-7.194580e+04,1.120824e+04
170,1.065206e+03,miss,77.010809,15.831828,-14.788119,-1.303784e+05,-4.885140e+04,2.201583e+04
171,1.069651e+03,hit,73.894286,29.235233,9.216059,-1.378132e+05,-2.404175e+04,-1.954778e+04
172,1.071982e+03,miss,63.820013,-48.077671,-3.942532,-1.304724e+05,5.404297e+04,7.237457e+03
173,1.076651e+03,miss,-72.484170,-33.741976,2.743002,1.173837e+05,7.929256e+04,-4.112925e+03
