i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,2.570111e+01,miss,54.185043,58.830107,1.731924,-4.613881e+03,-3.595916e+03,-1.588361e+02
1,4.411523e+01,miss,-33.686044,-70.280803,-18.051569,1.482258e+03,7.269164e+03,1.934057e+03
2,4.660326e+01,miss,78.110531,17.239411,-1.244029,-7.586659e+03,-2.123600e+03,1.623496e+02
3,7.071025e+01,miss,72.698674,32.463677,-7.811053,-7.714983e+03,-5.785596e+03,1.104130e+03
4,7.195699e+01,miss,-78.601651,-13.427663,-6.440365,9.724113e+03,-7.556926e+02,8.630593e+02
5,7.275811e+01,miss,5.954254,-77.536445,18.778884,-1.543216e+03,9.540250e+03,-1.882508e+03
6,8.312888e+01,miss,3.213386,-79.736501,5.636008,2.205798e+03,1.026341e+04,-7.459199e+02
7,8.669471e+01,miss,1.644659,-77.988596,17.750325,2.093933e+03,1.016638e+04,-2.787628e+03
8,1.046736e+02,miss,-73.694226,31.117374,0.932749,1.165844e+04,-1.876821e+03,-1.540782e+02
9,1.162854e+02,miss,39.203979,67.746433,-16.536895,-3.899902e+03,-1.139996e+04,3.125433e+03
10,1.184726e+02,miss,-79.608978,-2.262952,7.568992,1.244815e+04,6.304492e+02,-1.580253e+03
11,1.346028e+02,miss,65.677726,42.105844,17.706898,-1.234973e+04,-4.412183e+03,-2.712811e+03
12,1.410948e+02,miss,68.543002,-41.226681,1.489204,-9.901316e+03,9.479858e+03,-2.977292e+02
13,1.459700e+02,miss,9.934415,-77.834377,15.592215,-3.822173e+03,1.297117e+04,-3.409968e+03
14,1.497539e+02,miss,-54.548694,-57.755529,-9.420130,1.180863e+04,7.586125e+03,1.592676e+03
15,1.515657e+02,miss,-27.722567,75.040990,-0.556003,5.579215e+03,-1.306942e+04,7.940557e+01
16,1.526975e+02,miss,43.462646,-67.070464,3.542783,-9.459615e+03,1.066231e+04,-5.314716e+02
17,1.563477e+02,miss,34.796531,71.973584,-3.000766,-3.157429e+03,-1.406977e+04,6.222589e+02
18,1.666384e+02,miss,-79.321275,0.757517,-10.371186,1.466730e+04,-2.078766e+03,1.604774e+03
19,1.692753e+02,miss,43.234565,-66.235081,11.986924,-5.111078e+03,1.396881e+04,-2.071003e+03
20,1.748012e+02,miss,-12.297851,78.967606,3.588871,1.129408e+03,-1.520916e+04,-5.550869e+02
21,1.819408e+02,miss,5.044876,79.475235,7.631265,-2.648445e+03,-1.529433e+04,-1.218241e+03
22,1.822100e+02,miss,-33.391072,-72.546151,4.700242,7.100781e+03,1.384962e+04,-7.352029e+02
23,1.973882e+02,miss,43.926598,-64.135798,-18.895858,-5.869729e+03,1.471453e+04,3.467808e+03
24,2.031470e+02,miss,-67.173235,43.363225,-2.717946,1.229238e+04,-1.091176e+04,7.074608e+02
25,2.148310e+02,miss,76.664519,-19.122783,12.524802,-1.673725e+04,8.526552e+02,-2.318353e+03
26,2.164715e+02,miss,-45.927124,-64.271940,-12.641878,6.063780e+03,1.559030e+04,2.931903e+03
27,2.188847e+02,miss,22.652096,74.886198,-16.701496,-2.762273e+03,-1.622176e+04,4.567585e+03
28,2.230361e+02,miss,-66.256322,41.864967,-16.044448,1.608610e+04,-5.205333e+03,3.363271e+03
29,2.452262e+02,miss,-52.067687,58.806196,15.191686,9.221082e+03,-1.495071e+04,-4.264207e+03
30,2.891568e+02,miss,-74.489758,23.018460,-17.928369,1.912155e+04,-8.474528e+02,4.349261e+03
31,2.900803e+02,miss,66.057372,-42.551691,-15.025882,-1.746886e+04,8.487097e+03,3.050614e+03
32,2.954045e+02,miss,32.942875,-72.885295,1.581376,-1.237807e+04,1.549830e+04,-4.220351e+02
33,2.973003e+02,miss,35.981032,-70.949925,-8.454197,-4.919317e+03,1.912556e+04,2.476147e+03
34,2.989120e+02,miss,-19.561534,77.569200,-0.604632,7.140815e+02,-1.994300e+04,1.792146e+02
35,3.014971e+02,miss,56.709490,-55.604542,-9.600454,-1.709574e+04,1.010963e+04,2.690889e+03
36,3.063383e+02,miss,-20.896657,-74.605929,19.932012,3.110543e+02,1.945822e+04,-5.425964e+03
37,3.098114e+02,miss,73.380383,31.860710,0.463145,-1.732090e+04,-1.061907e+04,-9.823496e+01
38,3.136856e+02,miss,67.834342,-39.182801,-16.223750,-1.421073e+04,1.408681e+04,4.191228e+03
