i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,1.101476e+01,miss,54.185043,58.830107,1.731924,-4.613881e+03,-3.595916e+03,-1.588361e+02
1,1.890653e+01,miss,-33.686044,-70.280803,-18.051569,1.482258e+03,7.269164e+03,1.934057e+03
2,1.997283e+01,miss,78.110531,17.239411,-1.244029,-7.586659e+03,-2.123600e+03,1.623496e+02
3,3.562666e+01,miss,72.698674,32.463677,-7.811053,-8.365073e+03,-6.273110e+03,1.197168e+03
4,4.486011e+01,miss,-78.601651,-13.427663,-6.440365,1.172822e+04,-9.114383e+02,1.040933e+03
5,5.077398e+01,miss,5.954254,-77.536445,18.778884,-1.969223e+03,1.217385e+04,-2.402177e+03
6,6.046920e+01,miss,3.213386,-79.736501,5.636008,2.873725e+03,1.337123e+04,-9.717885e+02
7,6.700615e+01,miss,1.644659,-77.988596,17.750325,2.811980e+03,1.365261e+04,-3.743555e+03
8,7.491478e+01,miss,-73.694226,31.117374,0.932749,1.506586e+04,-2.425362e+03,-1.991108e+02
9,9.277350e+01,miss,39.203979,67.746433,-16.536895,-5.320979e+03,-1.555397e+04,4.264302e+03
10,1.050970e+02,miss,-79.608978,-2.262952,7.568992,1.790932e+04,9.070360e+02,-2.273532e+03
11,1.243201e+02,miss,65.677726,42.105844,17.706898,-1.812966e+04,-6.477174e+03,-3.982461e+03
12,1.266019e+02,miss,68.543002,-41.226681,1.489204,-1.432669e+04,1.371687e+04,-4.307987e+02
13,1.327763e+02,miss,9.934415,-77.834377,15.592215,-5.568359e+03,1.889713e+04,-4.967835e+03
14,1.344367e+02,miss,-54.548694,-57.755529,-9.420130,1.709062e+04,1.097939e+04,2.305078e+03
15,1.428187e+02,miss,-27.722567,75.040990,-0.556003,8.272820e+03,-1.937924e+04,1.177420e+02
16,1.547179e+02,miss,43.462646,-67.070464,3.542783,-1.454508e+04,1.639435e+04,-8.171896e+02
17,1.685008e+02,miss,34.796531,71.973584,-3.000766,-5.006995e+03,-2.231160e+04,9.867673e+02
18,1.694173e+02,miss,-79.321275,0.757517,-10.371186,2.259071e+04,-3.201735e+03,2.471689e+03
19,1.711555e+02,miss,43.234565,-66.235081,11.986924,-7.850539e+03,2.145588e+04,-3.181030e+03
20,1.881146e+02,miss,-12.297851,78.967606,3.588871,1.789692e+03,-2.410087e+04,-8.796065e+02
21,2.103660e+02,miss,5.044876,79.475235,7.631265,-4.350129e+03,-2.512127e+04,-2.000987e+03
22,2.262078e+02,miss,-33.391072,-72.546151,4.700242,1.208543e+04,2.357187e+04,-1.251305e+03
23,2.294642e+02,miss,43.926598,-64.135798,-18.895858,-9.667258e+03,2.423437e+04,5.711370e+03
24,2.298601e+02,miss,-67.173235,43.363225,-2.717946,1.997336e+04,-1.773005e+04,1.149522e+03
25,2.417145e+02,miss,76.664519,-19.122783,12.524802,-2.711910e+04,1.381544e+03,-3.756391e+03
26,2.488563e+02,miss,-45.927124,-64.271940,-12.641878,9.931293e+03,2.553389e+04,4.801887e+03
27,2.540332e+02,miss,22.652096,74.886198,-16.701496,-4.545614e+03,-2.669463e+04,7.516446e+03
28,2.597935e+02,miss,-66.256322,41.864967,-16.044448,2.651952e+04,-8.581505e+03,5.544684e+03
29,2.619618e+02,miss,-52.067687,58.806196,15.191686,1.455814e+04,-2.360400e+04,-6.732279e+03
30,2.712413e+02,miss,-74.489758,23.018460,-17.928369,2.828933e+04,-1.253762e+03,6.434504e+03
31,2.756031e+02,miss,66.057372,-42.551691,-15.025882,-2.600974e+04,1.263661e+04,4.542119e+03
32,2.779929e+02,miss,32.942875,-72.885295,1.581376,-1.834213e+04,2.296576e+04,-6.253819e+02
33,2.789781e+02,miss,35.981032,-70.949925,-8.454197,-7.279148e+03,2.830023e+04,3.663972e+03
34,2.818035e+02,miss,-19.561534,77.569200,-0.604632,1.059102e+03,-2.957879e+04,2.658051e+02
35,2.846606e+02,miss,56.709490,-55.604542,-9.600454,-2.537455e+04,1.500534e+04,3.993984e+03
36,2.854543e+02,miss,-20.896657,-74.605929,19.932012,4.586615e+02,2.869189e+04,-8.000792e+03
37,2.891462e+02,miss,73.380383,31.860710,0.463145,-2.556047e+04,-1.567057e+04,-1.449655e+02
38,3.029961e+02,miss,67.834342,-39.182801,-16.223750,-2.133419e+04,2.114815e+04,6.292176e+03
39,3.142835e+02,miss,79.789501,-5.340877,2.260664,-3.123092e+04,1.096732e+03,-7.081171e+02
