i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,1.260435e+01,miss,54.185043,58.830107,1.731924,-6.044839e+03,-4.711160e+03,-2.080979e+02
1,2.375111e+01,miss,-33.686044,-70.280803,-18.051569,2.034724e+03,9.978521e+03,2.654917e+03
2,2.990674e+01,miss,78.110531,17.239411,-1.244029,-1.137001e+04,-3.182608e+03,2.433110e+02
3,4.031280e+01,miss,72.698674,32.463677,-7.811053,-1.089806e+04,-8.172641e+03,1.559676e+03
4,4.994319e+01,miss,-78.601651,-13.427663,-6.440365,1.515604e+04,-1.177825e+03,1.345167e+03
5,8.440128e+01,miss,5.954254,-77.536445,18.778884,-3.109528e+03,1.922328e+04,-3.793190e+03
6,8.851755e+01,miss,3.213386,-79.736501,5.636008,4.258321e+03,1.981365e+04,-1.440008e+03
7,8.962445e+01,miss,1.644659,-77.988596,17.750325,3.983032e+03,1.933825e+04,-5.302563e+03
8,1.123338e+02,miss,-73.694226,31.117374,0.932749,2.259494e+04,-3.637422e+03,-2.986152e+02
9,1.129449e+02,miss,39.203979,67.746433,-16.536895,-7.190489e+03,-2.101881e+04,5.762552e+03
10,1.141037e+02,miss,-79.608978,-2.262952,7.568992,2.285491e+04,1.157510e+03,-2.901360e+03
11,1.402440e+02,miss,65.677726,42.105844,17.706898,-2.358341e+04,-8.425634e+03,-5.180463e+03
12,1.508052e+02,miss,68.543002,-41.226681,1.489204,-1.915048e+04,1.833532e+04,-5.758482e+02
13,1.532401e+02,miss,9.934415,-77.834377,15.592215,-7.326536e+03,2.486380e+04,-6.536401e+03
14,1.611430e+02,miss,-54.548694,-57.755529,-9.420130,2.291660e+04,1.472213e+04,3.090851e+03
15,1.659042e+02,miss,-27.722567,75.040990,-0.556003,1.092032e+04,-2.558106e+04,1.554222e+02
16,1.693555e+02,miss,43.462646,-67.070464,3.542783,-1.863765e+04,2.100724e+04,-1.047123e+03
17,1.731957e+02,miss,34.796531,71.973584,-3.000766,-6.217136e+03,-2.770409e+04,1.225259e+03
18,1.746412e+02,miss,-79.321275,0.757517,-10.371186,2.809118e+04,-3.981305e+03,3.073504e+03
19,1.859854e+02,miss,43.234565,-66.235081,11.986924,-1.002280e+04,2.739276e+04,-4.061228e+03
20,1.878690e+02,miss,-12.297851,78.967606,3.588871,2.190485e+03,-2.949814e+04,-1.076590e+03
21,1.903028e+02,miss,5.044876,79.475235,7.631265,-5.067370e+03,-2.926322e+04,-2.330906e+03
22,2.019974e+02,miss,-33.391072,-72.546151,4.700242,1.398707e+04,2.728090e+04,-1.448198e+03
23,2.156538e+02,miss,43.926598,-64.135798,-18.895858,-1.147810e+04,2.877388e+04,6.781207e+03
24,2.181350e+02,miss,-67.173235,43.363225,-2.717946,2.383019e+04,-2.115370e+04,1.371494e+03
25,2.207443e+02,miss,76.664519,-19.122783,12.524802,-3.174055e+04,1.616977e+03,-4.396529e+03
26,2.225030e+02,miss,-45.927124,-64.271940,-12.641878,1.150125e+04,2.957033e+04,5.560979e+03
27,2.259070e+02,miss,22.652096,74.886198,-16.701496,-5.249982e+03,-3.083111e+04,8.681161e+03
28,2.282528e+02,miss,-66.256322,41.864967,-16.044448,3.044425e+04,-9.851514e+03,6.365262e+03
29,2.306432e+02,miss,-52.067687,58.806196,15.191686,1.673026e+04,-2.712580e+04,-7.736760e+03
30,2.363655e+02,miss,-74.489758,23.018460,-17.928369,3.234315e+04,-1.433425e+03,7.356561e+03
31,2.413620e+02,miss,66.057372,-42.551691,-15.025882,-2.981082e+04,1.448333e+04,5.205909e+03
32,2.580267e+02,miss,32.942875,-72.885295,1.581376,-2.164267e+04,2.709829e+04,-7.379151e+02
33,2.667870e+02,miss,35.981032,-70.949925,-8.454197,-8.718134e+03,3.389479e+04,4.388289e+03
34,2.775025e+02,miss,-19.561534,77.569200,-0.604632,1.287193e+03,-3.594896e+04,3.230495e+02
35,2.873793e+02,miss,56.709490,-55.604542,-9.600454,-3.122541e+04,1.846526e+04,4.914915e+03
36,2.887548e+02,miss,-20.896657,-74.605929,19.932012,5.649816e+02,3.534281e+04,-9.855416e+03
37,2.964882e+02,miss,73.380383,31.860710,0.463145,-3.170001e+04,-1.943459e+04,-1.797857e+02
38,2.981504e+02,miss,67.834342,-39.182801,-16.223750,-2.591916e+04,2.569314e+04,7.644440e+03
39,3.022665e+02,miss,79.789501,-5.340877,2.260664,-3.751151e+04,1.317287e+03,-8.505209e+02
40,3.043464e+02,miss,-73.375154,29.197736,-12.789802,3.689859e+04,-4.616575e+03,6.037646e+03
41,3.159205e+02,miss,45.460611,65.647616,-4.870659,-1.386629e+04,-3.569223e+04,2.652612e+03
42,3.329586e+02,miss,-11.343674,-79.116691,3.445315,1.863417e+03,3.929758e+04,-2.219907e+03
43,3.632216e+02,miss,40.725282,-67.481359,-13.701010,-1.171165e+04,3.884918e+04,6.885167e+03
44,3.635875e+02,miss,-54.303871,-57.516883,11.953986,1.973711e+04,3.562807e+04,-6.051488e+03
45,3.707795e+02,miss,75.142190,-25.703155,9.643601,-3.592662e+04,2.047690e+04,-4.364235e+03
46,3.724485e+02,miss,16.784565,-77.687661,9.105259,1.655077e+03,4.136959e+04,-4.761573e+03
47,3.730249e+02,miss,78.444406,-8.293447,-13.330187,-4.040030e+04,8.652910e+03,5.699685e+03
48,3.754838e+02,miss,34.906425,70.556256,14.260303,-2.356319e+04,-3.328248e+04,-9.384159e+03
49,3.801012e+02,miss,64.074439,47.567586,-5.638353,-2.769209e+04,-3.160020e+04,2.668000e+03
50,3.882098e+02,miss,1.474323,-79.791222,-5.584553,-1.070065e+04,4.104342e+04,3.359973e+03
51,3.965995e+02,miss,-32.835564,71.193040,15.917816,7.294072e+03,-4.144605e+04,-8.860074e+03
52,3.987515e+02,miss,-67.698300,-41.772173,-8.486801,3.434861e+04,2.580318e+04,3.726071e+03
53,4.069952e+02,miss,51.058663,-61.541423,-2.380380,-2.591621e+04,3.500313e+04,1.043520e+03
54,4.070123e+02,miss,-78.632674,-14.257907,-3.689816,4.072777e+04,1.526809e+04,2.484302e+03
55,4.234464e+02,miss,-54.825401,58.217035,2.225387,2.923715e+04,-3.342401e+04,-1.643433e+03
56,4.396152e+02,miss,69.936366,37.459886,10.279183,-3.685388e+04,-2.586119e+04,-4.802741e+03
57,4.408503e+02,miss,-10.430898,-77.138556,-18.461839,1.691755e+04,4.066831e+04,1.075737e+04
58,4.443317e+02,miss,-77.264068,19.613527,-6.750806,4.020933e+04,-2.087597e+04,4.413002e+03
59,4.478448e+02,miss,46.705890,64.620858,6.534865,-3.200213e+04,-3.247195e+04,-3.144765e+03
60,4.478901e+02,miss,79.424202,7.482910,-5.983493,-4.382325e+04,-1.226042e+04,4.227249e+03
61,4.491547e+02,miss,77.319911,-14.705926,-14.330637,-4.433158e+04,9.272479e+03,6.579877e+03
62,4.534857e+02,miss,78.766410,10.999996,-8.651745,-4.578010e+04,-1.528989e+03,4.074778e+03
63,4.564605e+02,miss,0.855062,-79.575873,-8.182256,-2.836120e+02,4.570724e+04,6.276893e+03
64,4.598019e+02,miss,78.044696,2.086490,17.454857,-4.359447e+04,-9.553144e+03,-1.234803e+04
65,4.678853e+02,miss,-1.613673,-77.325557,20.448821,-1.067562e+04,4.387347e+04,-1.196075e+04
66,4.680881e+02,miss,-76.108752,-21.605742,11.859583,4.558999e+04,5.355764e+03,-8.701953e+03
67,4.704906e+02,miss,-20.092458,-76.889314,9.182950,3.171557e+03,4.649870e+04,-4.676665e+03
68,4.710735e+02,miss,-28.895774,72.756664,16.477318,1.516831e+04,-4.366009e+04,-7.777914e+03
69,4.725373e+02,miss,74.035935,26.801167,14.155487,-4.601684e+04,-4.418331e+03,-8.156728e+03
70,4.751555e+02,miss,-79.218962,11.120029,-0.837260,4.699707e+04,2.626919e+03,4.326754e+02
71,4.759925e+02,miss,40.118452,-69.136835,-3.256973,-2.350523e+04,4.080276e+04,1.534720e+03
72,4.820602e+02,miss,77.029651,-6.362936,20.638456,-4.402219e+04,7.697298e+03,-1.583698e+04
73,4.831190e+02,miss,-79.206907,5.157324,-9.983384,4.622926e+04,-7.489239e+03,7.727633e+03
74,4.887789e+02,miss,56.684179,54.935552,12.999574,-3.434008e+04,-3.257917e+04,-6.220925e+03
75,4.996257e+02,miss,54.654402,55.298853,-18.839670,-2.454934e+04,-4.021774e+04,1.047805e+04
76,5.016488e+02,miss,-4.525052,79.809047,3.168582,1.056238e+04,-4.717143e+04,-1.628606e+03
77,5.151700e+02,miss,5.331182,-79.796690,2.016637,-1.175312e+04,4.755973e+04,-1.533351e+03
78,5.180976e+02,miss,20.102131,77.408225,-1.967479,-9.029488e+03,-4.829066e+04,1.595940e+03
79,5.193895e+02,miss,-72.439181,33.032316,-7.837807,4.194697e+04,-2.543144e+04,3.973067e+03
80,5.259910e+02,miss,76.984237,-13.014506,17.437025,-4.803374e+04,-4.405015e+03,-1.123529e+04
81,5.334317e+02,miss,-0.077275,79.207075,-11.235357,-8.377278e+00,-4.955879e+04,5.612623e+03
82,5.441732e+02,miss,-32.326390,-70.605921,19.230403,1.824406e+04,4.592542e+04,-9.781435e+03
83,5.465140e+02,miss,-45.846244,-65.338946,5.379967,2.469230e+04,4.394517e+04,-2.773816e+03
84,5.561883e+02,miss,39.683160,68.001957,14.176768,-2.562580e+04,-4.341217e+04,-7.238697e+03
85,5.593915e+02,miss,75.800038,-25.073495,-5.066954,-4.573946e+04,2.234646e+04,4.143966e+03
86,5.624017e+02,miss,-13.683066,-76.613273,18.525120,-4.119069e+03,4.952628e+04,-1.236338e+04
87,5.666273e+02,miss,71.071524,30.944464,-19.780765,-4.928804e+04,-8.170492e+03,1.209584e+04
88,5.864738e+02,miss,-3.329963,-78.748285,13.697407,1.510050e+04,4.917119e+04,-9.439141e+03
89,5.929265e+02,miss,-2.443331,78.415344,15.654519,1.066654e+04,-4.990019e+04,-1.269706e+04
90,6.046783e+02,miss,63.005911,48.989700,5.501311,-4.861716e+04,-2.103622e+04,-3.697531e+03
91,6.085651e+02,miss,-70.223937,-36.773557,-10.784440,5.067029e+04,1.405735e+04,8.535807e+03
92,6.193657e+02,miss,73.277041,-31.577827,5.772008,-4.978692e+04,1.999806e+04,-3.107197e+03
93,6.232034e+02,miss,4.798204,79.788425,3.283983,-8.571863e+03,-5.314497e+04,-2.889069e+03
94,6.324367e+02,miss,16.769101,78.214297,-1.149326,-2.134472e+03,-5.426110e+04,6.682154e+02
95,6.336494e+02,miss,-19.096571,-77.532311,4.905282,-1.759730e+02,5.426318e+04,-3.225011e+03
96,6.337887e+02,miss,21.732938,-74.191339,20.574856,-2.535431e+04,4.523389e+04,-1.632875e+04
97,6.338640e+02,miss,30.361927,72.429462,15.235697,-7.685760e+03,-5.285052e+04,-1.018220e+04
98,6.526098e+02,miss,-62.702228,-49.271772,6.381467,3.648111e+04,4.102196e+04,-5.447080e+03
99,6.537869e+02,miss,40.275589,-68.752939,7.135146,-3.879503e+04,3.895266e+04,-5.144735e+03
100,6.548235e+02,miss,76.551425,20.385009,-11.150371,-5.343845e+04,-1.264103e+04,6.180817e+03
101,6.576531e+02,miss,14.395970,76.817347,17.083655,-1.101211e+04,-5.343512e+04,-9.501744e+03
102,6.642653e+02,miss,-5.903134,79.619277,5.091541,7.437498e+03,-5.495853e+04,-4.684136e+03
103,6.648809e+02,miss,-76.096184,14.764783,-19.783124,5.421614e+04,-5.949566e+03,1.121518e+04
104,6.737968e+02,miss,78.334302,15.780689,-3.834967,-5.599026e+04,1.127714e+03,2.442147e+03
