i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,1.508512e+01,miss,54.185043,58.830107,1.731924,-2.645202e+04,-2.061589e+04,-9.106298e+02
1,5.155736e+01,miss,-33.686044,-70.280803,-18.051569,1.199137e+04,5.880707e+04,1.564640e+04
2,5.857858e+01,miss,78.110531,17.239411,-1.244029,-6.365108e+04,-1.781673e+04,1.362092e+03
3,5.996010e+01,miss,72.698674,32.463677,-7.811053,-5.316416e+04,-3.986870e+04,7.608590e+03
4,1.035627e+02,miss,-78.601651,-13.427663,-6.440365,8.729899e+04,-6.784289e+03,7.748182e+03
5,1.123271e+02,miss,5.954254,-77.536445,18.778884,-1.434902e+04,8.870648e+04,-1.750380e+04
6,1.187470e+02,miss,3.213386,-79.736501,5.636008,1.972855e+04,9.179546e+04,-6.671472e+03
7,1.301307e+02,miss,1.644659,-77.988596,17.750325,1.919775e+04,9.320811e+04,-2.555774e+04
8,1.566912e+02,miss,-73.694226,31.117374,0.932749,1.067427e+05,-1.718386e+04,-1.410714e+03
9,1.743709e+02,miss,39.203979,67.746433,-16.536895,-3.573733e+04,-1.044653e+05,2.864036e+04
10,1.763901e+02,miss,-79.608978,-2.262952,7.568992,1.136650e+05,5.756681e+03,-1.442942e+04
11,1.802000e+02,miss,65.677726,42.105844,17.706898,-1.069306e+05,-3.820304e+04,-2.348897e+04
12,1.938480e+02,miss,68.543002,-41.226681,1.489204,-8.684845e+04,8.315168e+04,-2.611503e+03
13,1.948410e+02,miss,9.934415,-77.834377,15.592215,-3.304552e+04,1.121454e+05,-2.948171e+04
14,1.965982e+02,miss,-54.548694,-57.755529,-9.420130,1.012498e+05,6.504513e+04,1.365596e+04
15,1.976311e+02,miss,-27.722567,75.040990,-0.556003,4.767540e+04,-1.116805e+05,6.785348e+02
16,2.024327e+02,miss,43.462646,-67.070464,3.542783,-8.150643e+04,9.186917e+04,-4.579294e+03
17,2.071876e+02,miss,34.796531,71.973584,-3.000766,-2.719967e+04,-1.212041e+05,5.360450e+03
18,2.093851e+02,miss,-79.321275,0.757517,-10.371186,1.230352e+05,-1.743753e+04,1.346150e+04
19,2.136776e+02,miss,43.234565,-66.235081,11.986924,-4.297235e+04,1.174454e+05,-1.741235e+04
20,2.188142e+02,miss,-12.297851,78.967606,3.588871,9.456066e+03,-1.273400e+05,-4.647513e+03
21,2.193919e+02,miss,5.044876,79.475235,7.631265,-2.176358e+04,-1.256810e+05,-1.001088e+04
22,2.395846e+02,miss,-33.391072,-72.546151,4.700242,6.093171e+04,1.188434e+05,-6.308767e+03
23,2.427074e+02,miss,43.926598,-64.135798,-18.895858,-4.870718e+04,1.221016e+05,2.877597e+04
24,2.468630e+02,miss,-67.173235,43.363225,-2.717946,1.014035e+05,-9.001433e+04,5.836052e+03
25,2.491517e+02,miss,76.664519,-19.122783,12.524802,-1.348844e+05,6.871490e+03,-1.868345e+04
26,2.741979e+02,miss,-45.927124,-64.271940,-12.641878,5.107039e+04,1.313047e+05,2.469308e+04
27,2.785372e+02,miss,22.652096,74.886198,-16.701496,-2.331817e+04,-1.369386e+05,3.855800e+04
28,2.820826e+02,miss,-66.256322,41.864967,-16.044448,1.353771e+05,-4.380696e+04,2.830456e+04
29,2.842681e+02,miss,-52.067687,58.806196,15.191686,7.429447e+04,-1.204582e+05,-3.435681e+04
30,3.029363e+02,miss,-74.489758,23.018460,-17.928369,1.464623e+05,-6.491104e+03,3.331336e+04
31,3.087842e+02,miss,66.057372,-42.551691,-15.025882,-1.348736e+05,6.552719e+04,2.355319e+04
32,3.089660e+02,miss,32.942875,-72.885295,1.581376,-9.473136e+04,1.186110e+05,-3.229902e+03
33,3.112963e+02,miss,35.981032,-70.949925,-8.454197,-3.766935e+04,1.464527e+05,1.896094e+04
34,3.192364e+02,miss,-19.561534,77.569200,-0.604632,5.522381e+03,-1.542301e+05,1.385964e+03
35,3.203805e+02,miss,56.709490,-55.604542,-9.600454,-1.318783e+05,7.798672e+04,2.075780e+04
36,3.221962e+02,miss,-20.896657,-74.605929,19.932012,2.387206e+03,1.493333e+05,-4.164190e+04
37,3.223780e+02,miss,73.380383,31.860710,0.463145,-1.322204e+05,-8.106146e+04,-7.498840e+02
38,3.348057e+02,miss,67.834342,-39.182801,-16.223750,-1.098651e+05,1.089070e+05,3.240294e+04
39,3.634656e+02,miss,79.789501,-5.340877,2.260664,-1.645361e+05,5.777995e+03,-3.730625e+03
40,3.679884e+02,miss,-73.375154,29.197736,-12.789802,1.622941e+05,-2.030546e+04,2.655587e+04
41,3.682236e+02,miss,45.460611,65.647616,-4.870659,-5.988073e+04,-1.541348e+05,1.145515e+04
42,3.732454e+02,miss,-11.343674,-79.116691,3.445315,7.891731e+03,1.664286e+05,-9.401493e+03
43,3.995289e+02,miss,40.725282,-67.481359,-13.701010,-4.913222e+04,1.629784e+05,2.888436e+04
44,3.999724e+02,miss,-54.303871,-57.516883,11.953986,8.280454e+04,1.494730e+05,-2.538825e+04
45,4.046047e+02,miss,75.142190,-25.703155,9.643601,-1.501184e+05,8.556219e+04,-1.823584e+04
46,4.078325e+02,miss,16.784565,-77.687661,9.105259,6.927652e+03,1.731606e+05,-1.993050e+04
47,4.133225e+02,miss,78.444406,-8.293447,-13.330187,-1.701062e+05,3.643324e+04,2.399863e+04
48,4.150107e+02,miss,34.906425,70.556256,14.260303,-9.908960e+04,-1.399619e+05,-3.946294e+04
49,4.237714e+02,miss,64.074439,47.567586,-5.638353,-1.169585e+05,-1.334646e+05,1.126839e+04
50,4.244894e+02,miss,1.474323,-79.791222,-5.584553,-4.475798e+04,1.716737e+05,1.405387e+04
51,4.287135e+02,miss,-32.835564,71.193040,15.917816,3.033455e+04,-1.723656e+05,-3.684723e+04
52,4.401812e+02,miss,-67.698300,-41.772173,-8.486801,1.443556e+05,1.084421e+05,1.565942e+04
53,4.441116e+02,miss,51.058663,-61.541423,-2.380380,-1.082886e+05,1.462576e+05,4.360258e+03
54,4.470669e+02,miss,-78.632674,-14.257907,-3.689816,1.707392e+05,6.400697e+04,1.041470e+04
55,4.581731e+02,miss,-54.825401,58.217035,2.225387,1.216496e+05,-1.390702e+05,-6.837975e+03
56,4.584882e+02,miss,69.936366,37.459886,10.279183,-1.505466e+05,-1.056419e+05,-1.961900e+04
57,4.636993e+02,miss,-10.430898,-77.138556,-18.461839,6.940169e+04,1.668356e+05,4.413048e+04
58,4.638601e+02,miss,-77.264068,19.613527,-6.750806,1.643337e+05,-8.531914e+04,1.803574e+04
59,4.743702e+02,miss,46.705890,64.620858,6.534865,-1.317449e+05,-1.336790e+05,-1.294623e+04
60,4.750625e+02,miss,79.424202,7.482910,-5.983493,-1.805320e+05,-5.050739e+04,1.741436e+04
61,4.771938e+02,miss,77.319911,-14.705926,-14.330637,-1.827774e+05,3.823008e+04,2.712858e+04
62,4.784454e+02,miss,78.766410,10.999996,-8.651745,-1.880923e+05,-6.282012e+03,1.674165e+04
63,4.790706e+02,miss,0.855062,-79.575873,-8.182256,-1.162205e+03,1.873023e+05,2.572189e+04
64,4.972334e+02,miss,78.044696,2.086490,17.454857,-1.813369e+05,-3.973755e+04,-5.136324e+04
65,4.976734e+02,miss,-1.613673,-77.325557,20.448821,-4.404084e+04,1.809941e+05,-4.934249e+04
66,4.993113e+02,miss,-76.108752,-21.605742,11.859583,1.883438e+05,2.212602e+04,-3.594998e+04
67,5.100449e+02,miss,-20.092458,-76.889314,9.182950,1.320874e+04,1.936554e+05,-1.947713e+04
68,5.104784e+02,miss,-28.895774,72.756664,16.477318,6.315989e+04,-1.817980e+05,-3.238676e+04
69,5.254313e+02,miss,74.035935,26.801167,14.155487,-1.940961e+05,-1.863624e+04,-3.440455e+04
70,5.385270e+02,miss,-79.218962,11.120029,-0.837260,2.001321e+05,1.118646e+04,1.842503e+03
71,5.505748e+02,miss,40.118452,-69.136835,-3.256973,-1.011189e+05,1.755325e+05,6.602330e+03
72,5.524729e+02,miss,77.029651,-6.362936,20.638456,-1.885109e+05,3.296121e+04,-6.781679e+04
73,5.712334e+02,miss,-79.206907,5.157324,-9.983384,2.010743e+05,-3.257448e+04,3.361137e+04
74,5.777939e+02,miss,56.684179,54.935552,12.999574,-1.493453e+05,-1.416871e+05,-2.705486e+04
75,5.826508e+02,miss,54.654402,55.298853,-18.839670,-1.060429e+05,-1.737238e+05,4.526079e+04
76,5.888469e+02,miss,-4.525052,79.809047,3.168582,4.577443e+04,-2.044280e+05,-7.057929e+03
77,5.945686e+02,miss,5.331182,-79.796690,2.016637,-5.050553e+04,2.043737e+05,-6.589119e+03
78,5.965723e+02,miss,20.102131,77.408225,-1.967479,-3.875689e+04,-2.072759e+05,6.850186e+03
79,5.971532e+02,miss,-72.439181,33.032316,-7.837807,1.799106e+05,-1.090755e+05,1.704049e+04
80,5.981698e+02,miss,76.984237,-13.014506,17.437025,-2.048941e+05,-1.879016e+04,-4.792559e+04
81,6.027684e+02,miss,-0.077275,79.207075,-11.235357,-3.562040e+01,-2.107252e+05,2.386501e+04
82,6.029281e+02,miss,-32.326390,-70.605921,19.230403,7.681492e+04,1.933647e+05,-4.118383e+04
83,6.077237e+02,miss,-45.846244,-65.338946,5.379967,1.041535e+05,1.853632e+05,-1.170012e+04
84,6.087966e+02,miss,39.683160,68.001957,14.176768,-1.072414e+05,-1.816756e+05,-3.029323e+04
85,6.116070e+02,miss,75.800038,-25.073495,-5.066954,-1.913063e+05,9.346456e+04,1.733223e+04
86,6.205285e+02,miss,-13.683066,-76.613273,18.525120,-1.730679e+04,2.080910e+05,-5.194631e+04
87,6.343877e+02,miss,71.071524,30.944464,-19.780765,-2.086076e+05,-3.458094e+04,5.119468e+04
88,6.357339e+02,miss,-3.329963,-78.748285,13.697407,6.288754e+04,2.047784e+05,-3.931025e+04
89,6.385223e+02,miss,-2.443331,78.415344,15.654519,4.427628e+04,-2.071332e+05,-5.270486e+04
90,6.400725e+02,miss,63.005911,48.989700,5.501311,-2.000792e+05,-8.657252e+04,-1.521683e+04
91,6.440658e+02,miss,-70.223937,-36.773557,-10.784440,2.085091e+05,5.784624e+04,3.512499e+04
92,6.469510e+02,miss,73.277041,-31.577827,5.772008,-2.035342e+05,8.175419e+04,-1.270255e+04
93,6.497692e+02,miss,4.798204,79.788425,3.283983,-3.501062e+04,-2.170635e+05,-1.180001e+04
94,6.521986e+02,miss,16.769101,78.214297,-1.149326,-8.670254e+03,-2.204093e+05,2.714300e+03
95,6.529559e+02,miss,-19.096571,-77.532311,4.905282,-7.145347e+02,2.203346e+05,-1.309509e+04
96,6.546462e+02,miss,21.732938,-74.191339,20.574856,-1.030725e+05,1.838887e+05,-6.638105e+04
97,6.587038e+02,miss,30.361927,72.429462,15.235697,-3.133963e+04,-2.155045e+05,-4.151918e+04
98,6.630760e+02,miss,-62.702228,-49.271772,6.381467,1.470899e+05,1.653984e+05,-2.196234e+04
99,6.638203e+02,miss,40.275589,-68.752939,7.135146,-1.563663e+05,1.570017e+05,-2.073625e+04
100,6.678785e+02,miss,76.551425,20.385009,-11.150371,-2.158741e+05,-5.106567e+04,2.496850e+04
