i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,1.285056e+01,miss,54.185043,58.830107,1.731924,-4.613881e+03,-3.595916e+03,-1.588361e+02
1,2.205761e+01,miss,-33.686044,-70.280803,-18.051569,1.482258e+03,7.269164e+03,1.934057e+03
2,2.330163e+01,miss,78.110531,17.239411,-1.244029,-7.586659e+03,-2.123600e+03,1.623496e+02
3,4.156444e+01,miss,72.698674,32.463677,-7.811053,-8.365073e+03,-6.273110e+03,1.197168e+03
4,4.334736e+01,miss,-78.601651,-13.427663,-6.440365,1.067357e+04,-8.294782e+02,9.473282e+02
5,5.233680e+01,miss,5.954254,-77.536445,18.778884,-1.850992e+03,1.144294e+04,-2.257952e+03
6,5.923631e+01,miss,3.213386,-79.736501,5.636008,2.633290e+03,1.225250e+04,-8.904822e+02
7,7.054740e+01,miss,1.644659,-77.988596,17.750325,2.671296e+03,1.296956e+04,-3.556264e+03
8,7.817384e+01,miss,-73.694226,31.117374,0.932749,1.424845e+04,-2.293771e+03,-1.883078e+02
9,8.740058e+01,miss,39.203979,67.746433,-16.536895,-4.781491e+03,-1.397697e+04,3.831949e+03
10,1.082357e+02,miss,-79.608978,-2.262952,7.568992,1.682659e+04,8.521998e+02,-2.136083e+03
11,1.094423e+02,miss,65.677726,42.105844,17.706898,-1.574846e+04,-5.626445e+03,-3.459395e+03
12,1.226131e+02,miss,68.543002,-41.226681,1.489204,-1.305332e+04,1.249769e+04,-3.925087e+02
13,1.450402e+02,miss,9.934415,-77.834377,15.592215,-5.388125e+03,1.828548e+04,-4.807039e+03
14,1.477022e+02,miss,-54.548694,-57.755529,-9.420130,1.658513e+04,1.065466e+04,2.236902e+03
15,1.486501e+02,miss,-27.722567,75.040990,-0.556003,7.813944e+03,-1.830432e+04,1.112111e+02
16,1.494560e+02,miss,43.462646,-67.070464,3.542783,-1.323516e+04,1.491788e+04,-7.435938e+02
17,1.549057e+02,miss,34.796531,71.973584,-3.000766,-4.444640e+03,-1.980570e+04,8.759395e+02
18,1.568428e+02,miss,-79.321275,0.757517,-10.371186,2.012380e+04,-2.852104e+03,2.201779e+03
19,1.666218e+02,miss,43.234565,-66.235081,11.986924,-7.171279e+03,1.959943e+04,-2.905794e+03
20,1.805042e+02,miss,-12.297851,78.967606,3.588871,1.623071e+03,-2.185706e+04,-7.977146e+02
21,1.965842e+02,miss,5.044876,79.475235,7.631265,-3.893277e+03,-2.248303e+04,-1.790842e+03
22,1.976535e+02,miss,-33.391072,-72.546151,4.700242,1.045893e+04,2.039948e+04,-1.082900e+03
23,1.996814e+02,miss,43.926598,-64.135798,-18.895858,-8.349132e+03,2.093002e+04,4.932627e+03
24,2.194670e+02,miss,-67.173235,43.363225,-2.717946,1.806885e+04,-1.603944e+04,1.039912e+03
25,2.252810e+02,miss,76.664519,-19.122783,12.524802,-2.423890e+04,1.234816e+03,-3.357441e+03
26,2.359911e+02,miss,-45.927124,-64.271940,-12.641878,8.953769e+03,2.302062e+04,4.329244e+03
27,2.454270e+02,miss,22.652096,74.886198,-16.701496,-4.136519e+03,-2.429217e+04,6.839984e+03
28,2.639091e+02,miss,-66.256322,41.864967,-16.044448,2.474602e+04,-8.007613e+03,5.173880e+03
29,2.677082e+02,miss,-52.067687,58.806196,15.191686,1.362524e+04,-2.209144e+04,-6.300872e+03
30,2.681701e+02,miss,-74.489758,23.018460,-17.928369,2.604213e+04,-1.154168e+03,5.923372e+03
31,2.820002e+02,miss,66.057372,-42.551691,-15.025882,-2.435820e+04,1.183422e+04,4.253709e+03
32,2.903323e+02,miss,32.942875,-72.885295,1.581376,-1.735430e+04,2.172893e+04,-5.917016e+02
33,2.963721e+02,miss,35.981032,-70.949925,-8.454197,-6.946096e+03,2.700537e+04,3.496330e+03
34,3.030924e+02,miss,-19.561534,77.569200,-0.604632,1.016901e+03,-2.840020e+04,2.552138e+02
35,3.056220e+02,miss,56.709490,-55.604542,-9.600454,-2.434186e+04,1.439465e+04,3.831436e+03
36,3.129449e+02,miss,-20.896657,-74.605929,19.932012,4.446155e+02,2.781323e+04,-7.755776e+03
37,3.164482e+02,miss,73.380383,31.860710,0.463145,-2.475643e+04,-1.517763e+04,-1.404054e+02
38,3.215370e+02,miss,67.834342,-39.182801,-16.223750,-2.034697e+04,2.016953e+04,6.001011e+03
39,3.243251e+02,miss,79.789501,-5.340877,2.260664,-2.937250e+04,1.031470e+03,-6.659800e+02
40,3.254744e+02,miss,-73.375154,29.197736,-12.789802,2.884463e+04,-3.608903e+03,4.719793e+03
41,3.287707e+02,miss,45.460611,65.647616,-4.870659,-1.069298e+04,-2.752405e+04,2.045561e+03
42,3.321040e+02,miss,-11.343674,-79.116691,3.445315,1.406802e+03,2.966803e+04,-1.675937e+03
43,3.330300e+02,miss,40.725282,-67.481359,-13.701010,-8.477249e+03,2.812021e+04,4.983693e+03
44,3.373373e+02,miss,-54.303871,-57.516883,11.953986,1.437117e+04,2.594185e+04,-4.406267e+03
45,3.534954e+02,miss,75.142190,-25.703155,9.643601,-2.651742e+04,1.511400e+04,-3.221241e+03
46,3.666641e+02,miss,16.784565,-77.687661,9.105259,1.241367e+03,3.102868e+04,-3.571350e+03
47,3.686440e+02,miss,78.444406,-8.293447,-13.330187,-3.035989e+04,6.502462e+03,4.283181e+03
48,3.691100e+02,miss,34.906425,70.556256,14.260303,-1.766027e+04,-2.494474e+04,-7.033291e+03
49,3.773941e+02,miss,64.074439,47.567586,-5.638353,-2.085857e+04,-2.380229e+04,2.009623e+03
50,3.809868e+02,miss,1.474323,-79.791222,-5.584553,-8.013328e+03,3.073592e+04,2.516161e+03
51,3.814605e+02,miss,-32.835564,71.193040,15.917816,5.407540e+03,-3.072648e+04,-6.568513e+03
52,3.817362e+02,miss,-67.698300,-41.772173,-8.486801,2.540508e+04,1.908468e+04,2.755895e+03
53,3.863026e+02,miss,51.058663,-61.541423,-2.380380,-1.908630e+04,2.577847e+04,7.685125e+02
54,3.893803e+02,miss,-78.632674,-14.257907,-3.689816,3.011306e+04,1.128883e+04,1.836828e+03
55,3.953373e+02,miss,-54.825401,58.217035,2.225387,2.135505e+04,-2.441317e+04,-1.200377e+03
56,3.994424e+02,miss,69.936366,37.459886,10.279183,-2.655553e+04,-1.863461e+04,-3.460676e+03
57,4.024025e+02,miss,-10.430898,-77.138556,-18.461839,1.221808e+04,2.937121e+04,7.769118e+03
58,4.036256e+02,miss,-77.264068,19.613527,-6.750806,2.896967e+04,-1.504054e+04,3.179441e+03
59,4.136396e+02,miss,46.705890,64.620858,6.534865,-2.324916e+04,-2.359047e+04,-2.284633e+03
60,4.223835e+02,miss,79.424202,7.482910,-5.983493,-3.217017e+04,-9.000238e+03,3.103177e+03
61,4.438704e+02,miss,77.319911,-14.705926,-14.330637,-3.331381e+04,6.967981e+03,4.944574e+03
62,4.515467e+02,miss,78.766410,10.999996,-8.651745,-3.453244e+04,-1.153334e+03,3.073650e+03
63,4.665725e+02,miss,0.855062,-79.575873,-8.182256,-2.167522e+02,3.493204e+04,4.797154e+03
64,4.668773e+02,miss,78.044696,2.086490,17.454857,-3.320690e+04,-7.276848e+03,-9.405776e+03
65,4.727844e+02,miss,-1.613673,-77.325557,20.448821,-8.112149e+03,3.333840e+04,-9.088692e+03
66,4.773835e+02,miss,-76.108752,-21.605742,11.859583,3.480330e+04,4.088578e+03,-6.643052e+03
67,4.808170e+02,miss,-20.092458,-76.889314,9.182950,2.423639e+03,3.553336e+04,-3.573812e+03
68,4.816835e+02,miss,-28.895774,72.756664,16.477318,1.159457e+04,-3.337353e+04,-5.945394e+03
69,4.856293e+02,miss,74.035935,26.801167,14.155487,-3.526405e+04,-3.385896e+03,-6.250739e+03
70,4.957778e+02,miss,-79.218962,11.120029,-0.837260,3.628921e+04,2.028399e+03,3.340942e+02
71,5.003485e+02,miss,40.118452,-69.136835,-3.256973,-1.821720e+04,3.162327e+04,1.189450e+03
72,5.029137e+02,miss,77.029651,-6.362936,20.638456,-3.398981e+04,5.943132e+03,-1.222783e+04
73,5.053210e+02,miss,-79.206907,5.157324,-9.983384,3.574000e+04,-5.789956e+03,5.974259e+03
74,5.059808e+02,miss,56.684179,54.935552,12.999574,-2.641150e+04,-2.505716e+04,-4.784612e+03
75,5.115164e+02,miss,54.654402,55.298853,-18.839670,-1.877709e+04,-3.076139e+04,8.014358e+03
76,5.188544e+02,miss,-4.525052,79.809047,3.168582,8.120177e+03,-3.626460e+04,-1.252045e+03
77,5.217633e+02,miss,5.331182,-79.796690,2.016637,-8.941197e+03,3.618110e+04,-1.166498e+03
78,5.275660e+02,miss,20.102131,77.408225,-1.967479,-6.887739e+03,-3.683636e+04,1.217391e+03
79,5.286813e+02,miss,-72.439181,33.032316,-7.837807,3.199130e+04,-1.939556e+04,3.030102e+03
80,5.289664e+02,miss,76.984237,-13.014506,17.437025,-3.641265e+04,-3.339283e+03,-8.517071e+03
81,5.290315e+02,miss,-0.077275,79.207075,-11.235357,-6.306455e+00,-3.730809e+04,4.225209e+03
82,5.326062e+02,miss,-32.326390,-70.605921,19.230403,1.364385e+04,3.434540e+04,-7.315063e+03
83,5.328665e+02,miss,-45.846244,-65.338946,5.379967,1.843109e+04,3.280203e+04,-2.070462e+03
84,5.383249e+02,miss,39.683160,68.001957,14.176768,-1.905766e+04,-3.228522e+04,-5.383351e+03
85,5.389662e+02,miss,75.800038,-25.073495,-5.066954,-3.393867e+04,1.658107e+04,3.074822e+03
86,5.523168e+02,miss,-13.683066,-76.613273,18.525120,-3.085680e+03,3.710116e+04,-9.261662e+03
87,5.528609e+02,miss,71.071524,30.944464,-19.780765,-3.680287e+04,-6.100822e+03,9.031842e+03
88,5.584470e+02,miss,-3.329963,-78.748285,13.697407,1.113881e+04,3.627091e+04,-6.962739e+03
89,5.692584e+02,miss,-2.443331,78.415344,15.654519,7.900577e+03,-3.696047e+04,-9.404558e+03
90,5.817516e+02,miss,63.005911,48.989700,5.501311,-3.604766e+04,-1.559751e+04,-2.741571e+03
91,5.826775e+02,miss,-70.223937,-36.773557,-10.784440,3.747961e+04,1.039789e+04,6.313733e+03
92,5.874815e+02,miss,73.277041,-31.577827,5.772008,-3.665386e+04,1.472287e+04,-2.287564e+03
93,6.049501e+02,miss,4.798204,79.788425,3.283983,-6.384120e+03,-3.958111e+04,-2.151710e+03
94,6.061995e+02,miss,16.769101,78.214297,-1.149326,-1.579686e+03,-4.015770e+04,4.945346e+02
95,6.099702e+02,miss,-19.096571,-77.532311,4.905282,-1.305139e+02,4.024538e+04,-2.391894e+03
96,6.138359e+02,miss,21.732938,-74.191339,20.574856,-1.886195e+04,3.365106e+04,-1.214753e+04
97,6.145631e+02,miss,30.361927,72.429462,15.235697,-5.720750e+03,-3.933828e+04,-7.578931e+03
98,6.213656e+02,miss,-62.702228,-49.271772,6.381467,2.690889e+04,3.025828e+04,-4.017830e+03
99,6.304419e+02,miss,40.275589,-68.752939,7.135146,-2.879794e+04,2.891495e+04,-3.818989e+03
100,6.333923e+02,miss,76.551425,20.385009,-11.150371,-3.972914e+04,-9.398049e+03,4.595165e+03
101,6.356379e+02,miss,14.395970,76.817347,17.083655,-8.183858e+03,-3.971131e+04,-7.061399e+03
102,6.362781e+02,miss,-5.903134,79.619277,5.091541,5.502506e+03,-4.066013e+04,-3.465478e+03
103,6.488641e+02,miss,-76.096184,14.764783,-19.783124,4.048690e+04,-4.442948e+03,8.375144e+03
104,6.512665e+02,miss,78.334302,15.780689,-3.834967,-4.161102e+04,8.380978e+02,1.814963e+03
105,6.517849e+02,miss,-77.802914,-18.177146,4.037071,4.121380e+04,5.946294e+03,-1.708732e+03
106,6.527936e+02,miss,52.936340,-58.165832,14.645130,-3.435914e+04,2.236936e+04,-7.655363e+03
107,6.570967e+02,miss,71.800334,-32.737491,-13.151755,-4.003582e+04,1.066392e+04,5.867154e+03
108,6.579066e+02,miss,74.090467,-26.542674,14.355805,-3.693190e+04,1.872078e+04,-6.223760e+03
109,6.604274e+02,miss,63.684292,44.185587,19.797598,-2.646223e+04,-3.090475e+04,-1.022407e+04
110,6.645515e+02,miss,-36.334876,-70.787836,-8.298134,1.832422e+04,3.772081e+04,3.498373e+03
111,6.651772e+02,miss,-44.528673,64.756140,14.961271,2.995073e+04,-2.808212e+04,-9.321527e+03
112,6.671139e+02,miss,-66.499179,-39.902548,19.637869,3.899053e+04,1.143819e+04,-1.125209e+04
113,6.760182e+02,miss,68.994068,36.433026,-17.676346,-3.967794e+04,-1.273865e+04,8.051034e+03
114,6.793672e+02,miss,39.036978,-69.699398,-4.255378,-2.799289e+04,3.197909e+04,2.022775e+03
115,6.940491e+02,miss,42.230010,67.874363,-3.114009,-2.805097e+04,-3.256727e+04,1.412501e+03
116,6.951196e+02,miss,-39.820355,-69.355408,-2.041239,2.148886e+04,3.726148e+04,1.463983e+03
117,6.972038e+02,miss,-72.009871,-34.764023,2.457879,3.589869e+04,2.379689e+04,-1.696432e+03
118,6.978150e+02,miss,78.417466,15.806547,-0.924172,-4.232651e+04,-8.218268e+03,6.641164e+02
119,6.985451e+02,miss,62.511688,49.875612,-2.170759,-3.358422e+04,-2.706812e+04,9.366673e+02
120,7.023232e+02,miss,11.038037,-79.232888,0.557894,-1.209966e+04,4.153286e+04,-3.840585e+02
121,7.039091e+02,miss,-79.243528,6.562592,-8.797483,4.239815e+04,7.348959e+03,4.913635e+03
122,7.122416e+02,miss,-15.039801,78.563181,-1.277090,1.204177e+04,-4.185837e+04,9.114990e+02
123,7.122716e+02,miss,-63.880498,-44.881715,-17.461776,3.985383e+04,1.475288e+04,9.594945e+03
124,7.188524e+02,miss,9.676471,77.655416,-16.613314,-9.527166e+03,-4.206511e+04,7.438680e+03
125,7.200781e+02,miss,72.311073,-30.788201,-14.939725,-3.844968e+04,1.799629e+04,1.079797e+04
126,7.410313e+02,miss,56.970898,55.521678,-8.465224,-3.051038e+04,-3.169917e+04,6.241433e+03
127,7.484684e+02,miss,64.546717,46.812711,6.503181,-3.071849e+04,-3.226452e+04,-3.141529e+03
128,7.505535e+02,miss,-38.845357,69.868774,-3.064729,2.953853e+04,-3.351760e+04,2.023943e+03
129,7.535552e+02,miss,78.962405,-12.838296,0.341773,-4.465768e+04,-3.700781e+03,-2.114019e+02
130,7.575879e+02,miss,42.320469,66.298833,14.609674,-3.241873e+04,-2.997768e+04,-8.316241e+03
131,7.600746e+02,miss,-70.858820,36.591649,-6.330787,4.268449e+04,-1.394022e+04,3.021053e+03
132,7.693265e+02,miss,62.614557,-46.915886,-16.682834,-2.821244e+04,3.428516e+04,8.869183e+03
133,7.714879e+02,miss,78.442399,15.681969,-0.930504,-4.528363e+04,2.227954e+03,5.148429e+02
134,7.755996e+02,miss,-67.468451,-40.973591,-13.006649,4.193571e+04,1.637123e+04,6.338085e+03
135,7.775805e+02,miss,-68.748369,-37.717431,-15.844782,3.610496e+04,2.668494e+04,7.511138e+03
136,7.780366e+02,miss,-15.137070,-76.524902,17.742844,1.883928e+04,3.988919e+04,-1.127919e+04
137,7.837283e+02,miss,67.521644,42.763166,3.484124,-3.583153e+04,-2.831786e+04,-1.629022e+03
138,7.838076e+02,miss,30.561942,-73.071917,-11.245561,-1.050515e+04,4.374027e+04,8.068212e+03
139,7.852298e+02,miss,-79.547173,6.778409,5.128397,4.306027e+04,-1.512730e+04,-3.071242e+03
140,7.860208e+02,miss,70.855279,37.130207,0.936559,-4.441876e+04,-1.100801e+04,-5.998574e+02
141,7.936000e+02,miss,78.727456,-12.022960,-7.578657,-4.394534e+04,1.305286e+04,3.631644e+03
142,7.988059e+02,miss,21.424982,-75.013941,17.716624,-2.137395e+04,3.984732e+04,-9.163900e+03
143,8.032455e+02,miss,-77.954038,0.167840,-17.976090,4.472027e+04,7.806493e+03,8.922941e+03
144,8.046534e+02,miss,69.945490,38.637367,3.844772,-3.511364e+04,-3.006815e+04,-2.674463e+03
145,8.100079e+02,miss,25.313990,74.824704,12.667503,-2.102280e+04,-4.096753e+04,-6.179488e+03
146,8.187993e+02,miss,-68.522650,-40.917191,5.516333,4.063980e+04,2.262696e+04,-4.282208e+03
147,8.191542e+02,miss,45.925017,62.208105,-20.519370,-3.510301e+04,-2.858294e+04,1.156068e+04
148,8.200263e+02,miss,33.773807,-72.329968,5.263624,-2.717256e+04,3.794356e+04,-2.667771e+03
149,8.207213e+02,miss,-47.844040,-62.891388,-12.474822,1.899407e+04,4.220494e+04,6.708150e+03
150,8.233585e+02,miss,-39.726281,67.846221,14.788946,1.524015e+04,-4.363931e+04,-7.576775e+03
151,8.243787e+02,miss,-31.587542,73.375067,-4.280967,2.388039e+04,-4.027630e+04,2.079405e+03
152,8.269403e+02,miss,-78.962801,-8.231515,9.854859,4.641988e+04,-4.730384e+03,-5.140186e+03
153,8.315220e+02,miss,-53.035493,-59.867759,1.757229,3.025832e+04,3.604942e+04,-8.283831e+02
154,8.329868e+02,miss,-39.822072,-68.284997,-12.302918,1.732243e+04,4.338893e+04,6.086915e+03
155,8.417544e+02,miss,-34.114295,71.779611,-9.159820,2.690462e+04,-3.838417e+04,6.773256e+03
156,8.436053e+02,miss,-54.594555,55.731919,17.702762,2.279018e+04,-4.006351e+04,-1.111461e+04
157,8.454583e+02,miss,-70.298824,37.191637,8.652020,4.403405e+04,-1.644667e+04,-6.592384e+03
158,8.474937e+02,miss,-67.689541,-42.611406,1.547296,4.390804e+04,1.816150e+04,-7.855670e+02
159,8.511276e+02,miss,75.913504,24.920026,-4.016500,-4.010601e+04,-2.555344e+04,2.566468e+03
160,8.531698e+02,miss,62.379211,48.122754,-13.893690,-3.532966e+04,-3.131138e+04,6.701649e+03
161,8.553630e+02,miss,78.422714,9.364899,12.734855,-4.698778e+04,-5.862712e+03,-6.092706e+03
162,8.653758e+02,miss,-14.857381,-77.343101,-14.046460,3.187119e+03,4.667235e+04,1.084248e+04
163,8.657076e+02,miss,-49.804221,-62.589181,-1.460809,2.175385e+04,4.281443e+04,7.769592e+02
164,8.737777e+02,miss,-74.301540,28.145419,9.333622,4.735727e+04,-7.816799e+03,-4.959976e+03
165,8.743450e+02,miss,41.158903,-68.242901,6.989360,-3.316292e+04,3.486461e+04,-3.821683e+03
166,8.778854e+02,miss,71.709614,-33.804485,10.723246,-4.655577e+04,1.182502e+04,-5.664781e+03
167,8.807127e+02,miss,1.501894,78.975585,12.672858,4.372266e+03,-4.783316e+04,-6.306107e+03
168,8.880622e+02,miss,-56.958890,-55.714702,-7.180308,4.186815e+04,2.440268e+04,4.248114e+03
169,8.880956e+02,miss,59.552856,52.907661,-7.364562,-4.157490e+04,-2.495949e+04,3.888369e+03
