i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,9.453263e+00,miss,6.492131,7.048675,79.423979,-2.492928e+02,1.198017e+03,-7.568422e+03
1,1.781333e+01,miss,-8.377072,-17.477486,77.616765,-1.511564e+03,1.981768e+03,-1.022484e+04
2,2.243006e+01,miss,10.798614,2.383312,79.232000,1.358681e+03,-2.096655e+02,-1.172925e+04
3,6.721834e+01,miss,13.063085,5.833336,78.710406,1.289685e+03,-3.646922e+03,-2.007452e+04
4,8.470865e+01,miss,-13.434227,-2.294993,78.830543,2.097347e+03,-4.755908e+03,-2.235359e+04
5,1.051830e+02,miss,0.076113,-0.991151,79.993824,-2.943329e+03,5.760092e+03,-2.474195e+04
6,1.131039e+02,miss,0.307642,-7.633778,79.634357,6.315475e+03,1.757084e+03,-2.569599e+04
7,1.244281e+02,miss,0.032095,-1.521899,79.985516,5.056663e+03,-3.969310e+03,-2.706183e+04
8,1.270166e+02,miss,-9.193543,3.881972,79.375116,2.103663e+03,5.495467e+03,-2.747976e+04
9,1.298968e+02,miss,9.330107,16.122890,77.801038,3.330944e+03,-3.134571e+03,-2.804907e+04
10,1.394890e+02,miss,-6.671349,-0.189639,79.721121,-4.850989e+03,3.448038e+02,-2.904587e+04
11,1.409017e+02,miss,1.300241,0.833581,79.985089,-5.818821e+03,4.471706e+03,-2.867477e+04
12,1.427271e+02,miss,8.315175,-5.001343,79.409347,3.940833e+03,4.120898e+03,-2.923928e+04
13,1.514980e+02,miss,0.332369,-2.604050,79.956916,-2.950921e+03,-5.965231e+03,-2.996150e+04
14,1.617403e+02,miss,-10.369454,-10.979058,78.561662,9.845063e+03,-7.315891e+02,-3.013647e+04
15,1.636012e+02,miss,-3.714102,10.053538,79.278823,5.653718e+03,-9.959621e+03,-2.976709e+04
16,1.655583e+02,miss,4.721887,-7.286697,79.527403,-9.296307e+03,4.316554e+03,-3.040317e+04
17,1.668773e+02,miss,5.191845,10.738879,79.105760,5.741106e+03,-2.641293e+03,-3.158593e+04
18,1.694303e+02,miss,-15.571443,0.148707,78.469791,1.180357e+04,-4.877107e+03,-2.983909e+04
19,1.711896e+02,miss,2.434325,-3.729370,79.875940,4.424264e+03,7.235623e+03,-3.150385e+04
20,1.729824e+02,miss,-1.332574,8.556794,79.529903,-1.423950e+03,-1.085415e+04,-3.091485e+04
21,1.772741e+02,miss,0.420825,6.629532,79.723724,-4.739551e+03,-9.094140e+03,-3.157668e+04
22,1.810215e+02,miss,-3.389440,-7.363970,79.588213,6.122120e+03,9.289903e+03,-3.165077e+04
23,1.935200e+02,miss,11.189563,-16.337517,77.510510,3.110432e+02,1.337067e+04,-3.200618e+04
24,2.000903e+02,miss,-9.903802,6.393332,79.126734,-4.433171e+03,-2.185341e+03,-3.492407e+04
25,2.081268e+02,miss,4.057479,-1.012076,79.890629,-7.725167e+03,-5.855821e+03,-3.464275e+04
26,2.155345e+02,miss,-9.706888,-13.584141,78.238401,-4.575729e+03,7.510220e+03,-3.553600e+04
27,2.165661e+02,miss,5.417041,17.908346,77.781404,3.350435e+03,-1.097651e+03,-3.652578e+04
28,2.236128e+02,miss,-15.540813,9.819676,77.859213,1.177467e+04,3.263807e+03,-3.522900e+04
29,2.266999e+02,miss,-1.875456,2.118174,79.949959,-7.951343e+03,1.570243e+03,-3.665901e+04
30,2.369404e+02,miss,-18.458809,5.704051,77.632056,1.065774e+04,6.463081e+03,-3.630271e+04
31,2.726906e+02,miss,15.029290,-9.681307,77.976873,-1.677639e+04,4.279965e+03,-3.735998e+04
32,2.850759e+02,miss,3.977651,-8.800454,79.414925,-8.994003e+03,-3.104957e+03,-4.101231e+04
33,2.990636e+02,miss,6.614497,-13.042931,78.651957,6.776588e+03,3.985145e+03,-4.239942e+04
34,3.052464e+02,miss,-2.626640,10.415662,79.275562,-7.851829e+03,-7.023900e+01,-4.285210e+04
35,3.052592e+02,miss,10.846807,-10.635464,78.544469,-8.190606e+03,-4.817902e+03,-4.251752e+04
36,3.175848e+02,miss,-0.107850,-0.385050,79.999001,-1.059215e+04,-1.478380e+03,-4.313116e+04
37,3.306377e+02,miss,9.367584,4.067271,79.345483,-9.495056e+03,-1.198185e+04,-4.268624e+04
38,3.332488e+02,miss,15.995573,-9.239440,77.838129,-1.766033e+03,1.369949e+04,-4.337368e+04
39,3.358836e+02,miss,9.299469,-0.622479,79.455223,-1.576926e+04,-6.569445e+02,-4.288767e+04
40,3.359176e+02,miss,-15.580886,6.200009,78.222732,1.136595e+04,7.375600e+03,-4.364723e+04
41,3.368660e+02,miss,7.317314,10.566603,78.960774,7.196553e+03,-5.933287e+03,-4.480589e+04
42,3.401143e+02,miss,-1.239221,-8.642970,79.522094,-4.124797e+03,-5.423654e+03,-4.547889e+04
43,3.423454e+02,miss,8.897874,-14.743683,78.124591,4.775145e+03,1.376704e+04,-4.377555e+04
44,3.448514e+02,miss,-3.068807,-3.250380,79.875011,-6.882297e+03,9.054682e+03,-4.488720e+04
45,3.509140e+02,miss,5.330528,-1.823362,79.801384,-5.377891e+03,1.200146e+04,-4.482134e+04
46,3.510661e+02,miss,1.246821,-5.770933,79.781839,1.062254e+04,4.084713e+03,-4.531371e+04
47,3.533051e+02,miss,16.942402,-1.791216,78.164868,-1.798820e+04,7.490330e+03,-4.262742e+04
48,3.544030e+02,miss,1.464468,2.960125,79.931802,-1.357903e+03,9.772061e+03,-4.589408e+04
49,3.563666e+02,miss,10.624653,7.887530,78.898058,-2.857007e+03,-1.526413e+04,-4.443711e+04
50,3.569943e+02,miss,0.243965,-13.203550,78.902514,-9.672609e+03,9.522929e+02,-4.610043e+04
51,3.623393e+02,miss,-1.029962,2.233131,79.962193,-1.078512e+04,-3.172553e+03,-4.611470e+04
52,3.863775e+02,miss,-12.459435,-7.687898,78.648959,1.317072e+04,1.413912e+04,-4.504478e+04
53,3.885732e+02,miss,7.420244,-8.943681,79.151441,-8.937659e+03,1.573300e+04,-4.570183e+04
54,3.895422e+02,miss,-12.072080,-2.188945,79.053611,-3.734239e+03,6.526474e+03,-4.863694e+04
55,4.000738e+02,miss,-6.401838,6.797871,79.453165,-5.494727e+03,3.831452e+03,-4.942371e+04
56,4.081299e+02,miss,4.684546,2.509175,79.823299,-8.219504e+03,-1.230570e+04,-4.815263e+04
57,4.171412e+02,miss,-2.624552,-19.409084,77.565451,1.329459e+04,7.556570e+03,-4.857828e+04
58,4.195436e+02,miss,-13.358598,3.391088,78.803860,-1.521686e+03,-9.982744e+03,-5.006659e+04
59,4.218013e+02,miss,4.212457,5.828229,79.676138,-1.469491e+04,-5.315784e+03,-4.876960e+04
60,4.249705e+02,miss,13.343920,1.257190,78.869254,2.610582e+03,-7.172661e+03,-5.083419e+04
61,4.398554e+02,miss,17.223939,-3.275922,78.055136,-2.201685e+04,5.293439e+03,-4.713986e+04
62,4.446949e+02,miss,14.580445,2.036209,78.633736,-2.031127e+04,3.517262e+03,-4.837458e+04
63,4.564238e+02,miss,0.155688,-14.489016,78.676834,2.226754e+02,-3.718397e+03,-5.314199e+04
64,4.645242e+02,miss,1.673055,0.044728,79.982491,9.649807e+03,-7.500134e+03,-5.233492e+04
65,4.674026e+02,miss,-0.002771,-0.132791,79.999890,-1.298578e+04,-1.427899e+03,-5.230241e+04
66,4.752371e+02,miss,-4.346113,-1.233774,79.872330,-6.422365e+03,-8.718709e+03,-5.326971e+04
67,4.753415e+02,miss,-1.482853,-5.674543,79.784715,-8.090634e+03,1.312623e+04,-5.213269e+04
68,4.753980e+02,miss,-0.802322,2.020165,79.970465,2.647295e+03,-1.425549e+04,-5.239941e+04
69,4.894573e+02,miss,3.155397,1.142260,79.929586,-6.009809e+03,1.204212e+04,-5.349965e+04
70,4.903402e+02,miss,-10.751599,1.509210,79.259860,1.482962e+04,9.695315e+03,-5.229642e+04
71,4.911176e+02,miss,6.050275,-10.426546,79.086543,-1.024085e+04,1.805473e+04,-5.121346e+04
72,4.986607e+02,miss,0.034595,-0.002858,79.999992,1.325392e+04,2.479025e+03,-5.402551e+04
73,5.053476e+02,miss,-15.347857,0.999330,78.507609,-2.941187e+03,-3.924353e+03,-5.583990e+04
74,5.055883e+02,miss,2.830478,2.743162,79.902838,-1.203565e+04,-1.067892e+04,-5.370983e+04
75,5.060951e+02,miss,13.900159,14.064061,77.517661,-2.272340e+03,-2.085713e+04,-5.202509e+04
76,5.061534e+02,miss,-0.502053,8.854780,79.506860,1.105950e+04,-1.393333e+04,-5.320437e+04
77,5.071094e+02,miss,0.629379,-9.420493,79.440910,-7.498234e+03,-5.456146e+03,-5.538147e+04
78,5.099831e+02,miss,2.869619,11.050176,79.181178,4.310098e+03,4.821766e+03,-5.593873e+04
79,5.110930e+02,miss,-13.028920,5.941196,78.708001,1.542879e+04,-1.525586e+04,-5.202961e+04
80,5.159311e+02,miss,1.659244,-0.280502,79.982299,5.346154e+02,-1.346098e+04,-5.501334e+04
81,5.163254e+02,miss,-0.015609,15.999653,78.383741,-5.152337e+01,-2.364774e+04,-5.148966e+04
82,5.276759e+02,miss,-0.317072,-0.692536,79.996374,2.674524e+03,1.412328e+04,-5.544689e+04
83,5.305902e+02,miss,-4.461600,-6.358564,79.621999,4.444847e+03,1.793242e+04,-5.438539e+04
