i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,2.199566e+01,miss,6.492131,7.048675,79.423979,-5.648136e+04,2.714304e+05,-1.714750e+06
1,2.201126e+01,miss,-8.377072,-17.477486,77.616765,-2.495711e+05,3.272055e+05,-1.688202e+06
2,2.544836e+01,miss,10.798614,2.383312,79.232000,2.149563e+05,-3.317108e+04,-1.855680e+06
3,5.759259e+01,miss,13.063085,5.833336,78.710406,1.773132e+05,-5.013993e+05,-2.759958e+06
4,5.990510e+01,miss,-13.434227,-2.294993,78.830543,2.619728e+05,-5.940451e+05,-2.792115e+06
5,6.050763e+01,miss,0.076113,-0.991151,79.993824,-3.315805e+05,6.489028e+05,-2.787302e+06
6,6.283054e+01,miss,0.307642,-7.633778,79.634357,6.991503e+05,1.945167e+05,-2.844656e+06
7,6.297472e+01,miss,0.032095,-1.521899,79.985516,5.343252e+05,-4.194273e+05,-2.859558e+06
8,6.774676e+01,miss,-9.193543,3.881972,79.375116,2.281960e+05,5.961239e+05,-2.980882e+06
9,8.619841e+01,miss,9.330107,16.122890,77.801038,4.030285e+05,-3.792683e+05,-3.393804e+06
10,8.668626e+01,miss,-6.671349,-0.189639,79.721121,-5.680065e+05,4.037337e+04,-3.401006e+06
11,1.121165e+02,miss,1.300241,0.833581,79.985089,-7.709557e+05,5.924718e+05,-3.799220e+06
12,1.220006e+02,miss,8.315175,-5.001343,79.409347,5.411699e+05,5.658971e+05,-4.015247e+06
13,1.449723e+02,miss,0.332369,-2.604050,79.956916,-4.287602e+05,-8.667307e+05,-4.353318e+06
14,1.515613e+02,miss,-10.369454,-10.979058,78.561662,1.415538e+06,-1.051889e+05,-4.333066e+06
15,1.519442e+02,miss,-3.714102,10.053538,79.278823,8.092837e+05,-1.425639e+06,-4.260916e+06
16,1.591906e+02,miss,4.721887,-7.286697,79.527403,-1.353978e+06,6.286926e+05,-4.428126e+06
17,1.629066e+02,miss,5.191845,10.738879,79.105760,8.425279e+05,-3.876192e+05,-4.635349e+06
18,1.664229e+02,miss,-15.571443,0.148707,78.469791,1.737570e+06,-7.179450e+05,-4.392528e+06
19,1.763801e+02,miss,2.434325,-3.729370,79.875940,6.670294e+05,1.090887e+06,-4.749716e+06
20,1.920995e+02,miss,-1.332574,8.556794,79.529903,-2.228820e+05,-1.698931e+06,-4.838907e+06
21,2.113498e+02,miss,0.420825,6.629532,79.723724,-7.686583e+05,-1.474884e+06,-5.121092e+06
22,2.127930e+02,miss,-3.389440,-7.363970,79.588213,9.859011e+05,1.496038e+06,-5.097013e+06
23,2.206682e+02,miss,11.189563,-16.337517,77.510510,4.933392e+04,2.120694e+06,-5.076433e+06
24,2.431454e+02,miss,-9.903802,6.393332,79.126734,-7.258592e+05,-3.578138e+05,-5.718245e+06
25,2.458149e+02,miss,4.057479,-1.012076,79.890629,-1.246998e+06,-9.452479e+05,-5.592041e+06
26,2.468211e+02,miss,-9.706888,-13.584141,78.238401,-7.272957e+05,1.193723e+06,-5.648320e+06
27,2.513050e+02,miss,5.417041,17.908346,77.781404,5.360736e+05,-1.756255e+05,-5.844168e+06
28,2.550892e+02,miss,-15.540813,9.819676,77.859213,1.867946e+06,5.177738e+05,-5.588765e+06
29,2.587137e+02,miss,-1.875456,2.118174,79.949959,-1.261660e+06,2.491545e+05,-5.816781e+06
30,2.634823e+02,miss,-18.458809,5.704051,77.632056,1.669319e+06,1.012310e+06,-5.686082e+06
31,2.716436e+02,miss,15.029290,-9.681307,77.976873,-2.487030e+06,6.344871e+05,-5.538462e+06
32,2.744954e+02,miss,3.977651,-8.800454,79.414925,-1.310866e+06,-4.525439e+05,-5.977498e+06
33,2.774135e+02,miss,6.614497,-13.042931,78.651957,9.694178e+05,5.700908e+05,-6.065406e+06
34,2.791230e+02,miss,-2.626640,10.415662,79.275562,-1.115222e+06,-9.976283e+03,-6.086428e+06
35,2.869632e+02,miss,10.846807,-10.635464,78.544469,-1.179540e+06,-6.938324e+05,-6.123004e+06
36,2.926738e+02,miss,-0.107850,-0.385050,79.999001,-1.510304e+06,-2.107978e+05,-6.149943e+06
37,2.930456e+02,miss,9.367584,4.067271,79.345483,-1.327721e+06,-1.675457e+06,-5.968940e+06
38,3.035647e+02,miss,15.995573,-9.239440,77.838129,-2.503561e+05,1.942065e+06,-6.148731e+06
39,3.041374e+02,miss,9.299469,-0.622479,79.455223,-2.228793e+06,-9.285112e+04,-6.061651e+06
40,3.151888e+02,miss,-15.580886,6.200009,78.222732,1.635282e+06,1.061168e+06,-6.279769e+06
41,3.187101e+02,miss,7.317314,10.566603,78.960774,1.039709e+06,-8.572008e+05,-6.473250e+06
42,3.285235e+02,miss,-1.239221,-8.642970,79.522094,-6.021314e+05,-7.917365e+05,-6.638937e+06
43,3.298669e+02,miss,8.897874,-14.743683,78.124591,6.962121e+05,2.007223e+06,-6.382438e+06
44,3.399729e+02,miss,-3.068807,-3.250380,79.875011,-1.014980e+06,1.335356e+06,-6.619825e+06
45,3.435540e+02,miss,5.330528,-1.823362,79.801384,-7.903639e+05,1.763799e+06,-6.587186e+06
46,3.462180e+02,miss,1.246821,-5.770933,79.781839,1.566848e+06,6.025039e+05,-6.683868e+06
47,3.491008e+02,miss,16.942402,-1.791216,78.164868,-2.655866e+06,1.105909e+06,-6.293719e+06
48,3.501978e+02,miss,1.464468,2.960125,79.931802,-2.004909e+05,1.442820e+06,-6.776143e+06
49,3.588690e+02,miss,10.624653,7.887530,78.898058,-4.258421e+05,-2.275147e+06,-6.623433e+06
50,3.620896e+02,miss,0.243965,-13.203550,78.902514,-1.446901e+06,1.424511e+05,-6.896047e+06
51,3.633034e+02,miss,-1.029962,2.233131,79.962193,-1.604057e+06,-4.718498e+05,-6.858582e+06
52,3.641988e+02,miss,-12.459435,-7.687898,78.648959,1.899288e+06,2.038936e+06,-6.495696e+06
53,3.715986e+02,miss,7.420244,-8.943681,79.151441,-1.298202e+06,2.285231e+06,-6.638228e+06
54,3.730838e+02,miss,-12.072080,-2.188945,79.053611,-5.428077e+05,9.486860e+05,-7.069849e+06
55,3.790817e+02,miss,-6.401838,6.797871,79.453165,-7.944386e+05,5.539590e+05,-7.145779e+06
56,3.840480e+02,miss,4.684546,2.509175,79.823299,-1.184287e+06,-1.773037e+06,-6.937954e+06
57,3.848845e+02,miss,-2.624552,-19.409084,77.565451,1.896778e+06,1.078118e+06,-6.930804e+06
58,3.856051e+02,miss,-13.358598,3.391088,78.803860,-2.166834e+05,-1.421512e+06,-7.129330e+06
59,3.894898e+02,miss,4.212457,5.828229,79.676138,-2.097388e+06,-7.587160e+05,-6.960833e+06
60,3.944257e+02,miss,13.343920,1.257190,78.869254,3.735584e+05,-1.026364e+06,-7.274063e+06
61,3.946284e+02,miss,17.223939,-3.275922,78.055136,-3.097507e+06,7.447234e+05,-6.632014e+06
62,3.970965e+02,miss,14.580445,2.036209,78.633736,-2.850835e+06,4.936733e+05,-6.789724e+06
63,4.109948e+02,miss,0.155688,-14.489016,78.676834,3.138514e+04,-5.240921e+05,-7.490137e+06
64,4.133133e+02,miss,1.673055,0.044728,79.982491,1.351986e+06,-1.050806e+06,-7.332380e+06
65,4.185964e+02,miss,-0.002771,-0.132791,79.999890,-1.825316e+06,-2.007093e+05,-7.351768e+06
66,4.191915e+02,miss,-4.346113,-1.233774,79.872330,-8.959092e+05,-1.216245e+06,-7.431034e+06
67,4.211934e+02,miss,-1.482853,-5.674543,79.784715,-1.131197e+06,1.835252e+06,-7.288967e+06
68,4.231330e+02,miss,-0.802322,2.020165,79.970465,3.709626e+05,-1.997607e+06,-7.342671e+06
69,4.472165e+02,miss,3.155397,1.142260,79.929586,-8.532573e+05,1.709709e+06,-7.595744e+06
70,4.479732e+02,miss,-10.751599,1.509210,79.259860,2.105355e+06,1.376439e+06,-7.424499e+06
71,4.494820e+02,miss,6.050275,-10.426546,79.086543,-1.455183e+06,2.565502e+06,-7.277218e+06
72,4.614671e+02,miss,0.034595,-0.002858,79.999992,1.893782e+06,3.542147e+05,-7.719418e+06
73,4.638269e+02,miss,-15.347857,0.999330,78.507609,-4.185269e+05,-5.584300e+05,-7.945942e+06
74,4.673759e+02,miss,2.830478,2.743162,79.902838,-1.718787e+06,-1.525035e+06,-7.670194e+06
75,4.808057e+02,miss,13.900159,14.064061,77.517661,-3.289728e+05,-3.019543e+06,-7.531812e+06
76,4.860236e+02,miss,-0.502053,8.854780,79.506860,1.609685e+06,-2.027966e+06,-7.743777e+06
77,5.040890e+02,miss,0.629379,-9.420493,79.440910,-1.110400e+06,-8.079912e+05,-8.201346e+06
78,5.104823e+02,miss,2.869619,11.050176,79.181178,6.404977e+05,7.165335e+05,-8.312717e+06
79,5.193826e+02,miss,-13.028920,5.941196,78.708001,2.310167e+06,-2.284275e+06,-7.790444e+06
80,5.260630e+02,miss,1.659244,-0.280502,79.982299,8.018301e+04,-2.018913e+06,-8.251045e+06
81,5.302480e+02,miss,-0.015609,15.999653,78.383741,-7.755324e+03,-3.559470e+06,-7.750249e+06
82,5.425912e+02,miss,-0.317072,-0.692536,79.996374,4.028256e+05,2.127190e+06,-8.351180e+06
83,5.450324e+02,miss,-4.461600,-6.358564,79.621999,6.691235e+05,2.699531e+06,-8.187129e+06
84,5.474968e+02,miss,1.685926,2.889041,79.930039,-1.268674e+06,-2.071958e+06,-8.318641e+06
85,5.533649e+02,miss,12.294738,-4.066912,78.944915,8.298941e+05,6.917847e+05,-8.645230e+06
86,5.587230e+02,miss,-0.197713,-1.107019,79.992096,-2.088935e+06,-1.378015e+05,-8.500567e+06
87,5.625997e+02,miss,18.560528,8.081233,77.396385,-2.977448e+06,1.007099e+06,-8.203329e+06
88,5.661725e+02,miss,-0.151594,-3.584953,79.919492,2.009157e+06,-4.085592e+05,-8.570912e+06
89,5.668820e+02,miss,-0.080769,2.592170,79.957952,1.161039e+06,1.538942e+06,-8.604948e+06
90,5.765015e+02,miss,6.084373,4.730851,79.627881,-1.668736e+06,1.403231e+06,-8.621328e+06
91,5.772947e+02,miss,-13.976235,-7.318813,78.428948,8.679231e+05,-1.306105e+06,-8.759603e+06
92,5.801467e+02,miss,6.953896,-2.996695,79.640838,-2.769716e+06,9.070424e+05,-8.431311e+06
93,5.868305e+02,miss,0.528945,8.795718,79.513241,-6.108859e+05,1.180996e+06,-8.872991e+06
94,5.913725e+02,miss,2.308418,10.766906,79.238532,1.156133e+06,-2.773305e+06,-8.490764e+06
