i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,4.329892e+01,miss,6.492131,7.048675,79.423979,-9.240979e+02,4.440903e+03,-2.805522e+04
1,4.696724e+01,miss,-8.377072,-17.477486,77.616765,-4.251204e+03,5.573632e+03,-2.875690e+04
2,5.049935e+01,miss,10.798614,2.383312,79.232000,3.531067e+03,-5.448981e+02,-3.048307e+04
3,5.518609e+01,miss,13.063085,5.833336,78.710406,2.024022e+03,-5.723451e+03,-3.150479e+04
4,6.034050e+01,miss,-13.434227,-2.294993,78.830543,3.065995e+03,-6.952398e+03,-3.267748e+04
5,7.184482e+01,miss,0.076113,-0.991151,79.993824,-4.213319e+03,8.245463e+03,-3.541763e+04
6,7.453761e+01,miss,0.307642,-7.633778,79.634357,8.880054e+03,2.470598e+03,-3.613058e+04
7,1.119612e+02,miss,0.032095,-1.521899,79.985516,8.308049e+03,-6.521539e+03,-4.446234e+04
8,1.149505e+02,miss,-9.193543,3.881972,79.375116,3.466266e+03,9.055040e+03,-4.527919e+04
9,1.181343e+02,miss,9.330107,16.122890,77.801038,5.501954e+03,-5.177590e+03,-4.633060e+04
10,1.298474e+02,miss,-6.671349,-0.189639,79.721121,-8.106577e+03,5.762079e+02,-4.853909e+04
11,1.406004e+02,miss,1.300241,0.833581,79.985089,-1.006771e+04,7.736936e+03,-4.961303e+04
12,1.521413e+02,miss,8.315175,-5.001343,79.409347,7.047238e+03,7.369240e+03,-5.228746e+04
13,1.634467e+02,miss,0.332369,-2.604050,79.956916,-5.308878e+03,-1.073180e+04,-5.390248e+04
14,1.686984e+02,miss,-10.369454,-10.979058,78.561662,1.741508e+04,-1.294119e+03,-5.330885e+04
15,1.703643e+02,miss,-3.714102,10.053538,79.278823,9.992884e+03,-1.760352e+04,-5.261300e+04
16,1.721085e+02,miss,4.721887,-7.286697,79.527403,-1.641711e+04,7.622957e+03,-5.369145e+04
17,1.890253e+02,miss,5.191845,10.738879,79.105760,1.058322e+04,-4.868987e+03,-5.822584e+04
18,2.013918e+02,miss,-15.571443,0.148707,78.469791,2.228945e+04,-9.209759e+03,-5.634710e+04
19,2.059447e+02,miss,2.434325,-3.729370,79.875940,8.405010e+03,1.374590e+04,-5.984955e+04
20,2.062294e+02,miss,-1.332574,8.556794,79.529903,-2.692960e+03,-2.052725e+04,-5.846584e+04
21,2.096273e+02,miss,0.420825,6.629532,79.723724,-8.926868e+03,-1.712866e+04,-5.947416e+04
22,2.102762e+02,miss,-3.389440,-7.363970,79.588213,1.142859e+04,1.734210e+04,-5.908468e+04
23,2.134361e+02,miss,11.189563,-16.337517,77.510510,5.657862e+02,2.432119e+04,-5.821909e+04
24,2.176093e+02,miss,-9.903802,6.393332,79.126734,-8.007571e+03,-3.947349e+03,-6.308283e+04
25,2.343143e+02,miss,4.057479,-1.012076,79.890629,-1.419724e+04,-1.076177e+04,-6.366612e+04
26,2.398404e+02,miss,-9.706888,-13.584141,78.238401,-8.360336e+03,1.372196e+04,-6.492800e+04
27,2.414615e+02,miss,5.417041,17.908346,77.781404,6.127601e+03,-2.007492e+03,-6.680190e+04
28,2.459825e+02,miss,-15.540813,9.819676,77.859213,2.139012e+04,5.929102e+03,-6.399775e+04
29,2.565899e+02,miss,-1.875456,2.118174,79.949959,-1.465194e+04,2.893487e+03,-6.755158e+04
30,2.669299e+02,miss,-18.458809,5.704051,77.632056,1.959318e+04,1.188172e+04,-6.673886e+04
31,2.852433e+02,miss,15.029290,-9.681307,77.976873,-2.971883e+04,7.581821e+03,-6.618200e+04
32,3.011332e+02,miss,3.977651,-8.800454,79.414925,-1.601079e+04,-5.527328e+03,-7.300858e+04
33,3.129445e+02,miss,6.614497,-13.042931,78.651957,1.200670e+04,7.060845e+03,-7.512293e+04
34,3.260411e+02,miss,-2.626640,10.415662,79.275562,-1.405537e+04,-1.257332e+02,-7.670852e+04
35,3.265728e+02,miss,10.846807,-10.635464,78.544469,-1.467345e+04,-8.631260e+03,-7.617004e+04
36,3.305038e+02,miss,-0.107850,-0.385050,79.999001,-1.871558e+04,-2.612192e+03,-7.620967e+04
37,3.483553e+02,miss,9.367584,4.067271,79.345483,-1.688081e+04,-2.130196e+04,-7.588982e+04
38,3.523189e+02,miss,15.995573,-9.239440,77.838129,-3.145163e+03,2.439770e+04,-7.724504e+04
39,3.614071e+02,miss,9.299469,-0.622479,79.455223,-2.833191e+04,-1.180302e+03,-7.705434e+04
40,3.983171e+02,miss,-15.580886,6.200009,78.222732,2.143703e+04,1.391093e+04,-8.232191e+04
41,4.142508e+02,miss,7.317314,10.566603,78.960774,1.382255e+04,-1.139617e+04,-8.605950e+04
42,4.278947e+02,miss,-1.239221,-8.642970,79.522094,-8.013445e+03,-1.053680e+04,-8.835406e+04
43,4.334977e+02,miss,8.897874,-14.743683,78.124591,9.306971e+03,2.683257e+04,-8.532049e+04
44,4.341372e+02,miss,-3.068807,-3.250380,79.875011,-1.337493e+04,1.759670e+04,-8.723296e+04
45,4.375253e+02,miss,5.330528,-1.823362,79.801384,-1.040097e+04,2.321111e+04,-8.668556e+04
46,4.493084e+02,miss,1.246821,-5.770933,79.781839,2.081455e+04,8.003871e+03,-8.879082e+04
47,4.544399e+02,miss,16.942402,-1.791216,78.164868,-3.533553e+04,1.471380e+04,-8.373614e+04
48,4.549857e+02,miss,1.464468,2.960125,79.931802,-2.664892e+03,1.917772e+04,-9.006736e+04
49,4.566383e+02,miss,10.624653,7.887530,78.898058,-5.601568e+03,-2.992750e+04,-8.712527e+04
50,4.603279e+02,miss,0.243965,-13.203550,78.902514,-1.902424e+04,1.872984e+03,-9.067104e+04
51,4.672397e+02,miss,-1.029962,2.233131,79.962193,-2.121279e+04,-6.239958e+03,-9.070103e+04
52,4.716893e+02,miss,-12.459435,-7.687898,78.648959,2.520532e+04,2.705858e+04,-8.620395e+04
53,4.728619e+02,miss,7.420244,-8.943681,79.151441,-1.707714e+04,3.006096e+04,-8.732226e+04
54,4.749881e+02,miss,-12.072080,-2.188945,79.053611,-7.142116e+03,1.248255e+04,-9.302315e+04
55,4.804976e+02,miss,-6.401838,6.797871,79.453165,-1.042995e+04,7.272765e+03,-9.381483e+04
56,4.826645e+02,miss,4.684546,2.509175,79.823299,-1.548209e+04,-2.317877e+04,-9.069933e+04
57,4.952595e+02,miss,-2.624552,-19.409084,77.565451,2.509057e+04,1.426133e+04,-9.168062e+04
58,4.970264e+02,miss,-13.358598,3.391088,78.803860,-2.868711e+03,-1.881966e+04,-9.438649e+04
59,5.000882e+02,miss,4.212457,5.828229,79.676138,-2.771385e+04,-1.002530e+04,-9.197699e+04
60,5.028580e+02,miss,13.343920,1.257190,78.869254,4.918598e+03,-1.351401e+04,-9.577670e+04
61,5.047392e+02,miss,17.223939,-3.275922,78.055136,-4.085022e+04,9.821484e+03,-8.746363e+04
62,5.205227e+02,miss,14.580445,2.036209,78.633736,-3.806156e+04,6.591044e+03,-9.064976e+04
63,5.458412e+02,miss,0.155688,-14.489016,78.676834,4.217759e+02,-7.043124e+03,-1.006578e+05
64,5.492096e+02,miss,1.673055,0.044728,79.982491,1.817373e+04,-1.412520e+04,-9.856371e+04
65,5.557658e+02,miss,-0.002771,-0.132791,79.999890,-2.452613e+04,-2.696860e+03,-9.878311e+04
66,5.621943e+02,miss,-4.346113,-1.233774,79.872330,-1.209884e+04,-1.642483e+04,-1.003527e+05
67,5.655516e+02,miss,-1.482853,-5.674543,79.784715,-1.528539e+04,2.479898e+04,-9.849270e+04
68,5.659423e+02,miss,-0.802322,2.020165,79.970465,5.002884e+03,-2.694017e+04,-9.902490e+04
69,5.676938e+02,miss,3.155397,1.142260,79.929586,-1.121040e+04,2.246276e+04,-9.979557e+04
70,5.747224e+02,miss,-10.751599,1.509210,79.259860,2.780809e+04,1.818038e+04,-9.806475e+04
71,5.772405e+02,miss,6.050275,-10.426546,79.086543,-1.923014e+04,3.390293e+04,-9.616795e+04
72,5.780605e+02,miss,0.034595,-0.002858,79.999992,2.471662e+04,4.623019e+03,-1.007497e+05
73,5.835906e+02,miss,-15.347857,0.999330,78.507609,-5.474472e+03,-7.304453e+03,-1.039356e+05
74,5.890901e+02,miss,2.830478,2.743162,79.902838,-2.250207e+04,-1.996550e+04,-1.004169e+05
75,5.959421e+02,miss,13.900159,14.064061,77.517661,-4.270906e+03,-3.920137e+04,-9.778212e+04
76,5.983392e+02,miss,-0.502053,8.854780,79.506860,2.082709e+04,-2.623907e+04,-1.001937e+05
77,6.052815e+02,miss,0.629379,-9.420493,79.440910,-1.418886e+04,-1.032463e+04,-1.047980e+05
78,6.125593e+02,miss,2.869619,11.050176,79.181178,8.181708e+03,9.152989e+03,-1.061865e+05
79,6.154074e+02,miss,-13.028920,5.941196,78.708001,2.932404e+04,-2.899537e+04,-9.888777e+04
80,6.236241e+02,miss,1.659244,-0.280502,79.982299,1.018047e+03,-2.563321e+04,-1.047597e+05
81,6.267648e+02,miss,-0.015609,15.999653,78.383741,-9.832308e+01,-4.512745e+04,-9.825874e+04
82,6.348363e+02,miss,-0.317072,-0.692536,79.996374,5.081060e+03,2.683142e+04,-1.053380e+05
83,6.429215e+02,miss,-4.461600,-6.358564,79.621999,8.474553e+03,3.418999e+04,-1.036913e+05
84,6.469183e+02,miss,1.685926,2.889041,79.930039,-1.608151e+04,-2.626380e+04,-1.054457e+05
85,6.500192e+02,miss,12.294738,-4.066912,78.944915,1.048872e+04,8.743211e+03,-1.092639e+05
86,6.518256e+02,miss,-0.197713,-1.107019,79.992096,-2.631086e+04,-1.735658e+03,-1.070676e+05
87,6.553038e+02,miss,18.560528,8.081233,77.396385,-3.747215e+04,1.267467e+04,-1.032415e+05
88,6.711257e+02,miss,-0.151594,-3.584953,79.919492,2.550846e+04,-5.187107e+03,-1.088171e+05
89,6.719272e+02,miss,-0.080769,2.592170,79.957952,1.474023e+04,1.953798e+04,-1.092461e+05
90,6.831955e+02,miss,6.084373,4.730851,79.627881,-2.118374e+04,1.781330e+04,-1.094433e+05
91,6.850977e+02,miss,-13.976235,-7.318813,78.428948,1.102558e+04,-1.659198e+04,-1.112768e+05
92,6.924855e+02,miss,6.953896,-2.996695,79.640838,-3.528698e+04,1.155598e+04,-1.074173e+05
93,6.961999e+02,miss,0.528945,8.795718,79.513241,-7.759138e+03,1.500037e+04,-1.126999e+05
94,6.974834e+02,miss,2.308418,10.766906,79.238532,1.464154e+04,-3.512180e+04,-1.075291e+05
95,7.055604e+02,miss,-1.914304,-7.772099,79.598555,-2.426996e+04,1.776759e+04,-1.107085e+05
96,7.102983e+02,miss,0.019010,-0.064896,79.999971,-1.428653e+04,-2.391448e+04,-1.116846e+05
97,7.146016e+02,miss,1.085082,2.588503,79.950749,2.490075e+04,-1.294248e+04,-1.119918e+05
98,7.151546e+02,miss,-5.714561,-4.490535,79.669184,-2.031741e+04,4.673586e+03,-1.136020e+05
99,7.156566e+02,miss,3.483173,-5.945993,79.702652,-2.397869e+04,-1.238160e+04,-1.123438e+05
100,7.196671e+02,miss,15.420239,4.106282,78.392313,-4.740603e+04,-8.770772e+03,-1.053564e+05
101,7.208002e+02,miss,0.343289,1.831800,79.978289,-8.036736e+03,-2.949243e+04,-1.118524e+05
102,7.209835e+02,miss,-0.584971,7.889874,79.607837,3.982391e+03,1.726263e+04,-1.146077e+05
103,7.227941e+02,miss,-19.874042,3.856119,77.396077,5.269048e+04,5.533002e+02,-1.034696e+05
104,7.298056e+02,miss,12.097679,2.437115,79.042436,-3.035898e+04,2.115890e+04,-1.106525e+05
105,7.376906e+02,miss,-8.215626,-1.919422,79.553877,3.866529e+04,-3.073946e+03,-1.107067e+05
106,7.462646e+02,miss,2.091322,-2.297921,79.939639,-2.132522e+04,-1.872966e+04,-1.145198e+05
107,7.535761e+02,miss,15.421099,-7.031278,78.184083,-4.652474e+04,-2.512877e+03,-1.090223e+05
108,7.567347e+02,miss,3.063433,-1.097465,79.933791,-2.024717e+04,2.536000e+04,-1.142916e+05
109,7.604881e+02,miss,0.385538,0.267495,79.998624,1.741750e+04,-2.300323e+04,-1.155558e+05
110,7.739201e+02,miss,-6.642937,-12.941812,78.666263,1.926536e+04,4.423979e+04,-1.100359e+05
111,7.753920e+02,miss,-1.669427,2.427775,79.945725,7.649132e+03,2.532291e+04,-1.173197e+05
112,7.793639e+02,miss,-0.473029,-0.283839,79.998098,2.959583e+03,-2.876108e+04,-1.170547e+05
113,7.797271e+02,miss,16.973419,8.962988,77.663169,-4.966040e+04,-7.049183e+02,-1.098994e+05
114,7.863929e+02,miss,6.131940,-10.948401,79.009694,-3.764109e+04,1.234851e+04,-1.144532e+05
115,7.875654e+02,miss,6.330903,10.175371,79.097291,-3.724267e+04,-2.024055e+04,-1.135520e+05
116,7.905246e+02,miss,-5.702746,-9.932515,79.175904,-6.336640e+03,-1.138914e+04,-1.207314e+05
117,8.008411e+02,miss,-8.305122,-4.009443,79.466655,-1.777335e+04,5.659952e+03,-1.207910e+05
118,8.033899e+02,miss,10.685153,2.153798,79.253950,1.355222e+04,3.401063e+03,-1.216170e+05
119,8.075418e+02,miss,9.002910,7.183067,79.166604,-3.503552e+04,-2.886339e+04,-1.140298e+05
120,8.097310e+02,miss,1.402619,-10.068239,79.351517,-1.216329e+04,-1.352954e+04,-1.215451e+05
121,8.174867e+02,miss,-14.743516,1.220992,78.620213,1.727427e+04,2.800581e+04,-1.190217e+05
122,8.197014e+02,miss,-2.082312,10.877344,79.229713,6.062042e+03,1.399874e+04,-1.227089e+05
123,8.287504e+02,miss,-15.618325,-10.973258,77.689481,3.693260e+04,-1.074425e+04,-1.182351e+05
124,8.312138e+02,miss,2.308064,18.522629,77.791934,-2.005649e+04,-5.020027e+04,-1.121722e+05
125,8.340631e+02,miss,16.409353,-6.986682,77.986662,4.321685e+03,1.754247e+03,-1.246448e+05
126,8.375402e+02,miss,10.477184,10.210666,78.650944,8.104380e+03,3.673766e+03,-1.246747e+05
127,8.429801e+02,miss,5.834168,4.231249,79.674708,-7.331394e+03,-3.639263e+04,-1.197758e+05
128,8.464635e+02,miss,-5.811507,10.452804,79.100982,1.827061e+04,1.353349e+04,-1.235817e+05
129,8.535574e+02,miss,10.139504,-1.648556,79.337713,-5.241859e+03,-2.667095e+04,-1.232189e+05
130,8.547104e+02,miss,1.681483,2.634195,79.938937,-2.502035e+04,1.687278e+04,-1.226072e+05
131,8.564694e+02,miss,-12.061400,6.228533,78.839888,4.579516e+04,1.719131e+03,-1.177960e+05
132,8.700283e+02,miss,14.965510,-11.213370,77.783635,-8.304543e+03,4.412262e+04,-1.192191e+05
133,8.752569e+02,miss,10.691636,2.137440,79.253519,-2.185541e+04,2.724975e+04,-1.229076e+05
134,8.775677e+02,miss,-14.424855,-8.760215,78.199630,4.975585e+04,2.083875e+03,-1.178542e+05
135,8.837633e+02,miss,-16.030045,-8.794567,77.882561,3.507774e+04,4.094849e+04,-1.165244e+05
136,8.840486e+02,miss,-0.296128,-1.497066,79.985443,2.309428e+04,-1.916892e+04,-1.248587e+05
137,8.872155e+02,miss,7.360133,4.661358,79.524211,-2.515171e+04,-3.429619e+04,-1.214114e+05
138,8.875459e+02,miss,6.175505,-14.765292,78.382710,1.586448e+04,4.329136e+03,-1.276139e+05
139,8.922662e+02,miss,-7.864653,0.670166,79.609661,3.466752e+02,-3.017482e+04,-1.254318e+05
140,8.935471e+02,miss,8.837707,4.631213,79.375354,-1.166419e+04,2.435420e+04,-1.262477e+05
141,8.964116e+02,miss,14.028841,-2.142432,78.731198,-4.107510e+04,2.639972e+04,-1.197372e+05
