i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,2.570111e+01,miss,6.492131,7.048675,79.423979,-1.902792e+02,9.144178e+02,-5.776796e+03
1,4.411523e+01,miss,-8.377072,-17.477486,77.616765,-1.101145e+03,1.443680e+03,-7.448602e+03
2,4.660326e+01,miss,10.798614,2.383312,79.232000,9.065822e+02,-1.398996e+02,-7.826363e+03
3,7.071025e+01,miss,13.063085,5.833336,78.710406,6.123189e+02,-1.731492e+03,-9.531012e+03
4,7.195699e+01,miss,-13.434227,-2.294993,78.830543,8.948279e+02,-2.029096e+03,-9.537105e+03
5,7.275811e+01,miss,0.076113,-0.991151,79.993824,-1.133191e+03,2.217655e+03,-9.525734e+03
6,8.312888e+01,miss,0.307642,-7.633778,79.634357,2.506339e+03,6.973105e+02,-1.019763e+04
7,8.669471e+01,miss,0.032095,-1.521899,79.985516,1.953879e+03,-1.533729e+03,-1.045661e+04
8,1.046736e+02,miss,-9.193543,3.881972,79.375116,8.840178e+02,2.309349e+03,-1.154776e+04
9,1.162854e+02,miss,9.330107,16.122890,77.801038,1.458906e+03,-1.372898e+03,-1.228509e+04
10,1.184726e+02,miss,-6.671349,-0.189639,79.721121,-2.069502e+03,1.470983e+02,-1.239139e+04
11,1.346028e+02,miss,1.300241,0.833581,79.985089,-2.632695e+03,2.023200e+03,-1.297375e+04
12,1.410948e+02,miss,8.315175,-5.001343,79.409347,1.813789e+03,1.896665e+03,-1.345753e+04
13,1.459700e+02,miss,0.332369,-2.604050,79.956916,-1.340857e+03,-2.710518e+03,-1.361408e+04
14,1.497539e+02,miss,-10.369454,-10.979058,78.561662,4.385256e+03,-3.258695e+02,-1.342360e+04
15,1.515657e+02,miss,-3.714102,10.053538,79.278823,2.519057e+03,-4.437585e+03,-1.326295e+04
16,1.526975e+02,miss,4.721887,-7.286697,79.527403,-4.132831e+03,1.918997e+03,-1.351624e+04
17,1.563477e+02,miss,5.191845,10.738879,79.105760,2.572405e+03,-1.183478e+03,-1.415264e+04
18,1.666384e+02,miss,-15.571443,0.148707,78.469791,5.418787e+03,-2.238983e+03,-1.369854e+04
19,1.692753e+02,miss,2.434325,-3.729370,79.875940,2.036553e+03,3.330663e+03,-1.450168e+04
20,1.748012e+02,miss,-1.332574,8.556794,79.529903,-6.626171e+02,-5.050840e+03,-1.438583e+04
21,1.819408e+02,miss,0.420825,6.629532,79.723724,-2.222676e+03,-4.264819e+03,-1.480831e+04
22,1.822100e+02,miss,-3.389440,-7.363970,79.588213,2.843279e+03,4.314484e+03,-1.469948e+04
23,1.973882e+02,miss,11.189563,-16.337517,77.510510,1.454169e+02,6.250971e+03,-1.496332e+04
