i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,1.101476e+01,miss,6.492131,7.048675,79.423979,-1.902792e+02,9.144178e+02,-5.776796e+03
1,1.890653e+01,miss,-8.377072,-17.477486,77.616765,-1.101145e+03,1.443680e+03,-7.448602e+03
2,1.997283e+01,miss,10.798614,2.383312,79.232000,9.065822e+02,-1.398996e+02,-7.826363e+03
3,3.562666e+01,miss,13.063085,5.833336,78.710406,6.639149e+02,-1.877393e+03,-1.033413e+04
4,4.486011e+01,miss,-13.434227,-2.294993,78.830543,1.079249e+03,-2.447286e+03,-1.150267e+04
5,5.077398e+01,miss,0.076113,-0.991151,79.993824,-1.446011e+03,2.829843e+03,-1.215533e+04
6,6.046920e+01,miss,0.307642,-7.633778,79.634357,3.265272e+03,9.084599e+02,-1.328552e+04
7,6.700615e+01,miss,0.032095,-1.521899,79.985516,2.623898e+03,-2.059672e+03,-1.404236e+04
8,7.491478e+01,miss,-9.193543,3.881972,79.375116,1.142390e+03,2.984304e+03,-1.492284e+04
9,9.277350e+01,miss,9.330107,16.122890,77.801038,1.990514e+03,-1.873165e+03,-1.676163e+04
10,1.050970e+02,miss,-6.671349,-0.189639,79.721121,-2.977422e+03,2.116323e+02,-1.782766e+04
11,1.243201e+02,miss,1.300241,0.833581,79.985089,-3.864850e+03,2.970098e+03,-1.904573e+04
12,1.266019e+02,miss,8.315175,-5.001343,79.409347,2.624460e+03,2.744377e+03,-1.947236e+04
13,1.327763e+02,miss,0.332369,-2.604050,79.956916,-1.953437e+03,-3.948836e+03,-1.983377e+04
14,1.344367e+02,miss,-10.369454,-10.979058,78.561662,6.346777e+03,-4.716306e+02,-1.942796e+04
15,1.428187e+02,miss,-3.714102,10.053538,79.278823,3.735239e+03,-6.580018e+03,-1.966621e+04
16,1.547179e+02,miss,4.721887,-7.286697,79.527403,-6.354631e+03,2.950646e+03,-2.078254e+04
17,1.685008e+02,miss,5.191845,10.738879,79.105760,4.079275e+03,-1.876739e+03,-2.244301e+04
18,1.694173e+02,miss,-15.571443,0.148707,78.469791,8.346066e+03,-3.448503e+03,-2.109862e+04
19,1.711555e+02,miss,2.434325,-3.729370,79.875940,3.128115e+03,5.115849e+03,-2.227437e+04
20,1.881146e+02,miss,-1.332574,8.556794,79.529903,-1.050002e+03,-8.003704e+03,-2.279620e+04
21,2.103660e+02,miss,0.420825,6.629532,79.723724,-3.650794e+03,-7.005058e+03,-2.432297e+04
22,2.262078e+02,miss,-3.389440,-7.363970,79.588213,4.839222e+03,7.343192e+03,-2.501831e+04
23,2.294642e+02,miss,11.189563,-16.337517,77.510510,2.394971e+02,1.029515e+04,-2.464412e+04
24,2.298601e+02,miss,-9.903802,6.393332,79.126734,-3.359838e+03,-1.656239e+03,-2.646846e+04
25,2.417145e+02,miss,4.057479,-1.012076,79.890629,-5.886812e+03,-4.462313e+03,-2.639883e+04
26,2.488563e+02,miss,-9.706888,-13.584141,78.238401,-3.476652e+03,5.706287e+03,-2.700036e+04
27,2.540332e+02,miss,5.417041,17.908346,77.781404,2.565879e+03,-8.406194e+02,-2.797271e+04
28,2.597935e+02,miss,-15.540813,9.819676,77.859213,8.974278e+03,2.487570e+03,-2.685042e+04
29,2.619618e+02,miss,-1.875456,2.118174,79.949959,-6.043921e+03,1.193562e+03,-2.786500e+04
30,2.712413e+02,miss,-18.458809,5.704051,77.632056,8.063223e+03,4.889709e+03,-2.746518e+04
31,2.756031e+02,miss,15.029290,-9.681307,77.976873,-1.192588e+04,3.042511e+03,-2.655819e+04
32,2.779929e+02,miss,3.977651,-8.800454,79.414925,-6.280217e+03,-2.168089e+03,-2.863755e+04
33,2.789781e+02,miss,6.614497,-13.042931,78.651957,4.628063e+03,2.721651e+03,-2.895664e+04
34,2.818035e+02,miss,-2.626640,10.415662,79.275562,-5.334623e+03,-4.772118e+01,-2.911421e+04
35,2.846606e+02,miss,10.846807,-10.635464,78.544469,-5.592813e+03,-3.289821e+03,-2.903235e+04
36,2.854543e+02,miss,-0.107850,-0.385050,79.999001,-7.100807e+03,-9.910817e+02,-2.891442e+04
37,2.891462e+02,miss,9.367584,4.067271,79.345483,-6.278633e+03,-7.923033e+03,-2.822640e+04
38,3.029961e+02,miss,15.995573,-9.239440,77.838129,-1.190743e+03,9.236848e+03,-2.924459e+04
39,3.142835e+02,miss,9.299469,-0.622479,79.455223,-1.078606e+04,-4.493452e+02,-2.933485e+04
40,3.234807e+02,miss,-15.580886,6.200009,78.222732,7.886759e+03,5.117881e+03,-3.028653e+04
41,3.265601e+02,miss,7.317314,10.566603,78.960774,5.010286e+03,-4.130792e+03,-3.119415e+04
42,3.269662e+02,miss,-1.239221,-8.642970,79.522094,-2.859740e+03,-3.760243e+03,-3.153072e+04
43,3.272024e+02,miss,8.897874,-14.743683,78.124591,3.301016e+03,9.517033e+03,-3.026165e+04
44,3.311165e+02,miss,-3.068807,-3.250380,79.875011,-4.768621e+03,6.273828e+03,-3.110154e+04
45,3.337545e+02,miss,5.330528,-1.823362,79.801384,-3.708602e+03,8.276225e+03,-3.090887e+04
46,3.388606e+02,miss,1.246821,-5.770933,79.781839,7.379546e+03,2.837675e+03,-3.147971e+04
47,3.423792e+02,miss,16.942402,-1.791216,78.164868,-1.252136e+04,5.213924e+03,-2.967241e+04
48,3.459648e+02,miss,1.464468,2.960125,79.931802,-9.486828e+02,6.827134e+03,-3.206335e+04
49,3.545482e+02,miss,10.624653,7.887530,78.898058,-2.015048e+03,-1.076580e+04,-3.134151e+04
50,3.620430e+02,miss,0.243965,-13.203550,78.902514,-6.887761e+03,6.781175e+02,-3.282762e+04
51,3.804604e+02,miss,-1.029962,2.233131,79.962193,-7.814603e+03,-2.298745e+03,-3.341346e+04
52,3.870401e+02,miss,-12.459435,-7.687898,78.648959,9.321086e+03,1.000644e+04,-3.187876e+04
53,3.999193e+02,miss,7.420244,-8.943681,79.151441,-6.411484e+03,1.128616e+04,-3.278449e+04
54,4.001806e+02,miss,-12.072080,-2.188945,79.053611,-2.676319e+03,4.677506e+03,-3.485797e+04
55,4.052438e+02,miss,-6.401838,6.797871,79.453165,-3.910382e+03,2.726694e+03,-3.517292e+04
56,4.121289e+02,miss,4.684546,2.509175,79.823299,-5.840472e+03,-8.743969e+03,-3.421546e+04
57,4.128716e+02,miss,-2.624552,-19.409084,77.565451,9.352462e+03,5.315885e+03,-3.417378e+04
58,4.162537e+02,miss,-13.358598,3.391088,78.803860,-1.071767e+03,-7.031134e+03,-3.526335e+04
59,4.288701e+02,miss,4.212457,5.828229,79.676138,-1.047758e+04,-3.790192e+03,-3.477308e+04
60,4.310689e+02,miss,13.343920,1.257190,78.869254,1.859158e+03,-5.108099e+03,-3.620220e+04
61,4.331323e+02,miss,17.223939,-3.275922,78.055136,-1.544883e+04,3.714311e+03,-3.307719e+04
62,4.384426e+02,miss,14.580445,2.036209,78.633736,-1.426092e+04,2.469535e+03,-3.396468e+04
63,4.447324e+02,miss,0.155688,-14.489016,78.676834,1.554255e+02,-2.595410e+03,-3.709267e+04
64,4.472256e+02,miss,1.673055,0.044728,79.982491,6.695188e+03,-5.203711e+03,-3.631079e+04
65,4.531554e+02,miss,-0.002771,-0.132791,79.999890,-9.041302e+03,-9.941694e+02,-3.641537e+04
66,4.533998e+02,miss,-4.346113,-1.233774,79.872330,-4.435734e+03,-6.021749e+03,-3.679178e+04
67,4.534556e+02,miss,-1.482853,-5.674543,79.784715,-5.587687e+03,9.065453e+03,-3.600474e+04
68,4.565196e+02,miss,-0.802322,2.020165,79.970465,1.834376e+03,-9.877984e+03,-3.630884e+04
69,4.567427e+02,miss,3.155397,1.142260,79.929586,-4.105103e+03,8.225574e+03,-3.654385e+04
70,4.614214e+02,miss,-10.751599,1.509210,79.259860,1.017221e+04,6.650389e+03,-3.587212e+04
71,4.734144e+02,miss,6.050275,-10.426546,79.086543,-7.109665e+03,1.253441e+04,-3.555471e+04
72,4.738807e+02,miss,0.034595,-0.002858,79.999992,9.136111e+03,1.708826e+03,-3.724053e+04
73,4.786689e+02,miss,-15.347857,0.999330,78.507609,-2.024091e+03,-2.700695e+03,-3.842838e+04
74,4.879358e+02,miss,2.830478,2.743162,79.902838,-8.360597e+03,-7.418140e+03,-3.730969e+04
75,4.986442e+02,miss,13.900159,14.064061,77.517661,-1.594916e+03,-1.463925e+04,-3.651549e+04
76,4.994379e+02,miss,-0.502053,8.854780,79.506860,7.768193e+03,-9.786779e+03,-3.737077e+04
77,5.195996e+02,miss,0.629379,-9.420493,79.440910,-5.366950e+03,-3.905301e+03,-3.963994e+04
78,5.261451e+02,miss,2.869619,11.050176,79.181178,3.095616e+03,3.463108e+03,-4.017653e+04
79,5.403787e+02,miss,-13.028920,5.941196,78.708001,1.121801e+04,-1.109228e+04,-3.782986e+04
80,5.429077e+02,miss,1.659244,-0.280502,79.982299,3.877873e+02,-9.764024e+03,-3.990434e+04
81,5.448325e+02,miss,-0.015609,15.999653,78.383741,-3.742476e+01,-1.717689e+04,-3.740027e+04
82,5.453812e+02,miss,-0.317072,-0.692536,79.996374,1.922640e+03,1.015283e+04,-3.985921e+04
83,5.561692e+02,miss,-4.461600,-6.358564,79.621999,3.217849e+03,1.298219e+04,-3.937233e+04
84,5.586728e+02,miss,1.685926,2.889041,79.930039,-6.101058e+03,-9.964053e+03,-4.000437e+04
85,5.595374e+02,miss,12.294738,-4.066912,78.944915,3.972817e+03,3.311668e+03,-4.138590e+04
86,5.632258e+02,miss,-0.197713,-1.107019,79.992096,-9.984700e+03,-6.586643e+02,-4.063104e+04
87,5.660806e+02,miss,18.560528,8.081233,77.396385,-1.421840e+04,4.809266e+03,-3.917389e+04
88,5.696156e+02,miss,-0.151594,-3.584953,79.919492,9.593953e+03,-1.950916e+03,-4.092707e+04
89,5.701519e+02,miss,-0.080769,2.592170,79.957952,5.543230e+03,7.347477e+03,-4.108320e+04
90,5.794442e+02,miss,6.084373,4.730851,79.627881,-7.964534e+03,6.697334e+03,-4.114782e+04
91,5.823147e+02,miss,-13.976235,-7.318813,78.428948,4.149812e+03,-6.244898e+03,-4.188240e+04
92,5.948992e+02,miss,6.953896,-2.996695,79.640838,-1.335227e+04,4.372678e+03,-4.064574e+04
93,5.958168e+02,miss,0.528945,8.795718,79.513241,-2.930402e+03,5.665205e+03,-4.256348e+04
94,5.981272e+02,miss,2.308418,10.766906,79.238532,5.535299e+03,-1.327795e+04,-4.065183e+04
95,5.987530e+02,miss,-1.914304,-7.772099,79.598555,-9.127466e+03,6.682049e+03,-4.163532e+04
96,6.019914e+02,miss,0.019010,-0.064896,79.999971,-5.369400e+03,-8.987939e+03,-4.197517e+04
97,6.033506e+02,miss,1.085082,2.588503,79.950749,9.340920e+03,-4.855063e+03,-4.201106e+04
98,6.104928e+02,miss,-5.714561,-4.490535,79.669184,-7.663604e+03,1.762848e+03,-4.284997e+04
99,6.105185e+02,miss,3.483173,-5.945993,79.702652,-9.041632e+03,-4.668723e+03,-4.236142e+04
100,6.161592e+02,miss,15.420239,4.106282,78.392313,-1.790765e+04,-3.313163e+03,-3.979841e+04
101,6.351697e+02,miss,0.343289,1.831800,79.978289,-3.079935e+03,-1.130244e+04,-4.286543e+04
102,6.433315e+02,miss,-0.584971,7.889874,79.607837,1.535759e+03,6.657114e+03,-4.419700e+04
103,6.459044e+02,miss,-19.874042,3.856119,77.396077,2.033449e+04,2.135315e+02,-3.993134e+04
104,6.594227e+02,miss,12.097679,2.437115,79.042436,-1.178121e+04,8.210998e+03,-4.294018e+04
105,6.612754e+02,miss,-8.215626,-1.919422,79.553877,1.494513e+04,-1.188159e+03,-4.279097e+04
106,6.664975e+02,miss,2.091322,-2.297921,79.939639,-8.227555e+03,-7.226153e+03,-4.418327e+04
107,6.668885e+02,miss,15.421099,-7.031278,78.184083,-1.786781e+04,-9.650697e+02,-4.186999e+04
108,6.717671e+02,miss,3.063433,-1.097465,79.933791,-7.788007e+03,9.754638e+03,-4.396189e+04
109,6.718351e+02,miss,0.385538,0.267495,79.998624,6.683368e+03,-8.826699e+03,-4.434058e+04
110,6.730541e+02,miss,-6.642937,-12.941812,78.666263,7.334633e+03,1.684280e+04,-4.189245e+04
111,6.737321e+02,miss,-1.669427,2.427775,79.945725,2.910848e+03,9.636536e+03,-4.464557e+04
112,6.802285e+02,miss,-0.473029,-0.283839,79.998098,1.128787e+03,-1.096950e+04,-4.464477e+04
