i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,1.260435e+01,miss,6.492131,7.048675,79.423979,-2.492928e+02,1.198017e+03,-7.568422e+03
1,2.375111e+01,miss,-8.377072,-17.477486,77.616765,-1.511564e+03,1.981768e+03,-1.022484e+04
2,2.990674e+01,miss,10.798614,2.383312,79.232000,1.358681e+03,-2.096655e+02,-1.172925e+04
3,4.031280e+01,miss,13.063085,5.833336,78.710406,8.649520e+02,-2.445877e+03,-1.346336e+04
4,4.994319e+01,miss,-13.434227,-2.294993,78.830543,1.394682e+03,-3.162557e+03,-1.486457e+04
5,8.440128e+01,miss,0.076113,-0.991151,79.993824,-2.283343e+03,4.468501e+03,-1.919403e+04
6,8.851755e+01,miss,0.307642,-7.633778,79.634357,4.838520e+03,1.346167e+03,-1.968665e+04
7,8.962445e+01,miss,0.032095,-1.521899,79.985516,3.716623e+03,-2.917425e+03,-1.989032e+04
8,1.123338e+02,miss,-9.193543,3.881972,79.375116,1.713294e+03,4.475693e+03,-2.238044e+04
9,1.129449e+02,miss,9.330107,16.122890,77.801038,2.689875e+03,-2.531295e+03,-2.265078e+04
10,1.141037e+02,miss,-6.671349,-0.189639,79.721121,-3.799625e+03,2.700738e+02,-2.275070e+04
11,1.402440e+02,miss,1.300241,0.833581,79.985089,-5.027471e+03,3.863561e+03,-2.477505e+04
12,1.508052e+02,miss,8.315175,-5.001343,79.409347,3.508113e+03,3.668406e+03,-2.602868e+04
13,1.532401e+02,miss,0.332369,-2.604050,79.956916,-2.570223e+03,-5.195658e+03,-2.609617e+04
14,1.611430e+02,miss,-10.369454,-10.979058,78.561662,8.510316e+03,-6.324036e+02,-2.605071e+04
15,1.659042e+02,miss,-3.714102,10.053538,79.278823,4.930604e+03,-8.685780e+03,-2.595986e+04
16,1.693555e+02,miss,4.721887,-7.286697,79.527403,-8.142641e+03,3.780872e+03,-2.663015e+04
17,1.731957e+02,miss,5.191845,10.738879,79.105760,5.065195e+03,-2.330328e+03,-2.786726e+04
18,1.746412e+02,miss,-15.571443,0.148707,78.469791,1.037820e+04,-4.288157e+03,-2.623578e+04
19,1.859854e+02,miss,2.434325,-3.729370,79.875940,3.993671e+03,6.531415e+03,-2.843773e+04
20,1.878690e+02,miss,-1.332574,8.556794,79.529903,-1.285145e+03,-9.796095e+03,-2.790130e+04
21,1.903028e+02,miss,0.420825,6.629532,79.723724,-4.252730e+03,-8.160039e+03,-2.833329e+04
22,2.019974e+02,miss,-3.389440,-7.363970,79.588213,5.600674e+03,8.498643e+03,-2.895494e+04
23,2.156538e+02,miss,11.189563,-16.337517,77.510510,2.843590e+02,1.222361e+04,-2.926038e+04
24,2.181350e+02,miss,-9.903802,6.393332,79.126734,-4.008619e+03,-1.976057e+03,-3.157949e+04
25,2.207443e+02,miss,4.057479,-1.012076,79.890629,-6.890001e+03,-5.222749e+03,-3.089753e+04
26,2.225030e+02,miss,-9.706888,-13.584141,78.238401,-4.026248e+03,6.608348e+03,-3.126862e+04
27,2.259070e+02,miss,5.417041,17.908346,77.781404,2.963476e+03,-9.708781e+02,-3.230723e+04
28,2.282528e+02,miss,-15.540813,9.819676,77.859213,1.030242e+04,2.855715e+03,-3.082412e+04
29,2.306432e+02,miss,-1.875456,2.118174,79.949959,-6.945696e+03,1.371646e+03,-3.202256e+04
30,2.363655e+02,miss,-18.458809,5.704051,77.632056,9.218673e+03,5.590398e+03,-3.140091e+04
31,2.413620e+02,miss,15.029290,-9.681307,77.976873,-1.366874e+04,3.487147e+03,-3.043943e+04
32,2.580267e+02,miss,3.977651,-8.800454,79.414925,-7.410299e+03,-2.558222e+03,-3.379068e+04
33,2.667870e+02,miss,6.614497,-13.042931,78.651957,5.542967e+03,3.259683e+03,-3.468097e+04
34,2.775025e+02,miss,-2.626640,10.415662,79.275562,-6.483501e+03,-5.799854e+01,-3.538432e+04
35,2.873793e+02,miss,10.846807,-10.635464,78.544469,-6.882401e+03,-4.048386e+03,-3.572662e+04
36,2.887548e+02,miss,-0.107850,-0.385050,79.999001,-8.746810e+03,-1.220820e+03,-3.561693e+04
37,2.964882e+02,miss,9.367584,4.067271,79.345483,-7.786741e+03,-9.826120e+03,-3.500629e+04
38,2.981504e+02,miss,15.995573,-9.239440,77.838129,-1.446648e+03,1.122196e+04,-3.552960e+04
39,3.022665e+02,miss,9.299469,-0.622479,79.455223,-1.295515e+04,-5.397094e+02,-3.523415e+04
40,3.043464e+02,miss,-15.580886,6.200009,78.222732,9.369235e+03,6.079890e+03,-3.597949e+04
41,3.159205e+02,miss,7.317314,10.566603,78.960774,6.035531e+03,-4.976068e+03,-3.757734e+04
42,3.329586e+02,miss,-1.239221,-8.642970,79.522094,-3.534402e+03,-4.647349e+03,-3.896935e+04
43,3.632216e+02,miss,8.897874,-14.743683,78.124591,4.259620e+03,1.228075e+04,-3.904953e+04
44,3.635875e+02,miss,-3.068807,-3.250380,79.875011,-6.120015e+03,8.051787e+03,-3.991550e+04
45,3.707795e+02,miss,5.330528,-1.823362,79.801384,-4.787405e+03,1.068371e+04,-3.990001e+04
46,3.724485e+02,miss,1.246821,-5.770933,79.781839,9.475408e+03,3.643602e+03,-4.042024e+04
47,3.730249e+02,miss,16.942402,-1.791216,78.164868,-1.600709e+04,6.665390e+03,-3.793269e+04
48,3.754838e+02,miss,1.464468,2.960125,79.931802,-1.210449e+03,8.710914e+03,-4.091045e+04
49,3.801012e+02,miss,10.624653,7.887530,78.898058,-2.555307e+03,-1.365224e+04,-3.974455e+04
50,3.882098e+02,miss,0.243965,-13.203550,78.902514,-8.735281e+03,8.600105e+02,-4.163305e+04
51,3.965995e+02,miss,-1.029962,2.233131,79.962193,-9.771786e+03,-2.874470e+03,-4.178192e+04
52,3.987515e+02,miss,-12.459435,-7.687898,78.648959,1.158738e+04,1.243936e+04,-3.962965e+04
53,4.069952e+02,miss,7.420244,-8.943681,79.151441,-7.921595e+03,1.394442e+04,-4.050629e+04
54,4.070123e+02,miss,-12.072080,-2.188945,79.053611,-3.305669e+03,5.777444e+03,-4.305498e+04
55,4.234464e+02,miss,-6.401838,6.797871,79.453165,-4.895600e+03,3.413683e+03,-4.403471e+04
