i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,1.508512e+01,miss,6.492131,7.048675,79.423979,-1.090897e+03,5.242485e+03,-3.311918e+04
1,5.155736e+01,miss,-8.377072,-17.477486,77.616765,-8.908197e+03,1.167928e+04,-6.025872e+04
2,5.857858e+01,miss,10.798614,2.383312,79.232000,7.606108e+03,-1.173740e+03,-6.566217e+04
3,5.996010e+01,miss,13.063085,5.833336,78.710406,4.219507e+03,-1.193176e+04,-6.567847e+04
4,1.035627e+02,miss,-13.434227,-2.294993,78.830543,8.033387e+03,-1.821637e+04,-8.562010e+04
5,1.123271e+02,miss,0.076113,-0.991151,79.993824,-1.053656e+04,2.062004e+04,-8.857151e+04
6,1.187470e+02,miss,0.307642,-7.633778,79.634357,2.241657e+04,6.236712e+03,-9.120708e+04
7,1.301307e+02,miss,0.032095,-1.521899,79.985516,1.791369e+04,-1.406165e+04,-9.586904e+04
8,1.566912e+02,miss,-9.193543,3.881972,79.375116,8.093917e+03,2.114401e+04,-1.057294e+05
9,1.743709e+02,miss,9.330107,16.122890,77.801038,1.336890e+04,-1.258075e+04,-1.125763e+05
10,1.763901e+02,miss,-6.671349,-0.189639,79.721121,-1.889679e+04,1.343166e+03,-1.131468e+05
11,1.802000e+02,miss,1.300241,0.833581,79.985089,-2.279528e+04,1.751794e+04,-1.123337e+05
12,1.938480e+02,miss,8.315175,-5.001343,79.409347,1.590948e+04,1.663642e+04,-1.180415e+05
13,1.948410e+02,miss,0.332369,-2.604050,79.956916,-1.159270e+04,-2.343444e+04,-1.177039e+05
14,1.965982e+02,miss,-10.369454,-10.979058,78.561662,3.760017e+04,-2.794078e+03,-1.150969e+05
15,1.976311e+02,miss,-3.714102,10.053538,79.278823,2.152579e+04,-3.791996e+04,-1.133343e+05
16,2.024327e+02,miss,4.721887,-7.286697,79.527403,-3.560951e+04,1.653456e+04,-1.164594e+05
17,2.071876e+02,miss,5.191845,10.738879,79.105760,2.215999e+04,-1.019508e+04,-1.219179e+05
18,2.093851e+02,miss,-15.571443,0.148707,78.469791,4.545497e+04,-1.878150e+04,-1.149089e+05
19,2.136776e+02,miss,2.434325,-3.729370,79.875940,1.712271e+04,2.800318e+04,-1.219257e+05
20,2.188142e+02,miss,-1.332574,8.556794,79.529903,-5.547819e+03,-4.228859e+04,-1.204466e+05
21,2.193919e+02,miss,0.420825,6.629532,79.723724,-1.826482e+04,-3.504612e+04,-1.216872e+05
22,2.395846e+02,miss,-3.389440,-7.363970,79.588213,2.439815e+04,3.702253e+04,-1.261360e+05
23,2.427074e+02,miss,11.189563,-16.337517,77.510510,1.206674e+03,5.187073e+04,-1.241661e+05
24,2.468630e+02,miss,-9.903802,6.393332,79.126734,-1.705768e+04,-8.408621e+03,-1.343787e+05
25,2.491517e+02,miss,4.057479,-1.012076,79.890629,-2.927969e+04,-2.219455e+04,-1.313019e+05
26,2.741979e+02,miss,-9.706888,-13.584141,78.238401,-1.787823e+04,2.934384e+04,-1.388458e+05
27,2.785372e+02,miss,5.417041,17.908346,77.781404,1.316249e+04,-4.312225e+03,-1.434949e+05
28,2.820826e+02,miss,-15.540813,9.819676,77.859213,4.581199e+04,1.269857e+04,-1.370663e+05
29,2.842681e+02,miss,-1.875456,2.118174,79.949959,-3.084391e+04,6.091100e+03,-1.422033e+05
30,3.029363e+02,miss,-18.458809,5.704051,77.632056,4.174573e+04,2.531549e+04,-1.421955e+05
31,3.087842e+02,miss,15.029290,-9.681307,77.976873,-6.184171e+04,1.577696e+04,-1.377177e+05
32,3.089660e+02,miss,3.977651,-8.800454,79.414925,-3.243536e+04,-1.119750e+04,-1.479040e+05
33,3.112963e+02,miss,6.614497,-13.042931,78.651957,2.395007e+04,1.408445e+04,-1.498497e+05
34,3.192364e+02,miss,-2.626640,10.415662,79.275562,-2.781585e+04,-2.488283e+02,-1.518076e+05
35,3.203805e+02,miss,10.846807,-10.635464,78.544469,-2.906734e+04,-1.709807e+04,-1.508889e+05
36,3.221962e+02,miss,-0.107850,-0.385050,79.999001,-3.695773e+04,-5.158305e+03,-1.504915e+05
37,3.223780e+02,miss,9.367584,4.067271,79.345483,-3.247841e+04,-4.098463e+04,-1.460108e+05
38,3.348057e+02,miss,15.995573,-9.239440,77.838129,-6.131992e+03,4.756717e+04,-1.506014e+05
39,3.634656e+02,miss,9.299469,-0.622479,79.455223,-5.682497e+04,-2.367318e+03,-1.545469e+05
40,3.679884e+02,miss,-15.580886,6.200009,78.222732,4.120948e+04,2.674168e+04,-1.582516e+05
41,3.682236e+02,miss,7.317314,10.566603,78.960774,2.606408e+04,-2.148885e+04,-1.622755e+05
