i,eV,hit_status,x_0,y_0,z_0,v_x,v_y,v_z
0,1.285056e+01,miss,6.492131,7.048675,79.423979,-1.902792e+02,9.144178e+02,-5.776796e+03
1,2.205761e+01,miss,-8.377072,-17.477486,77.616765,-1.101145e+03,1.443680e+03,-7.448602e+03
2,2.330163e+01,miss,10.798614,2.383312,79.232000,9.065822e+02,-1.398996e+02,-7.826363e+03
3,4.156444e+01,miss,13.063085,5.833336,78.710406,6.639149e+02,-1.877393e+03,-1.033413e+04
4,4.334736e+01,miss,-13.434227,-2.294993,78.830543,9.821987e+02,-2.227217e+03,-1.046831e+04
5,5.233680e+01,miss,0.076113,-0.991151,79.993824,-1.359193e+03,2.659940e+03,-1.142553e+04
6,5.923631e+01,miss,0.307642,-7.633778,79.634357,2.992078e+03,8.324521e+02,-1.217397e+04
7,7.054740e+01,miss,0.032095,-1.521899,79.985516,2.492624e+03,-1.956626e+03,-1.333982e+04
8,7.817384e+01,miss,-9.193543,3.881972,79.375116,1.080409e+03,2.822388e+03,-1.411318e+04
9,8.740058e+01,miss,9.330107,16.122890,77.801038,1.788698e+03,-1.683247e+03,-1.506219e+04
10,1.082357e+02,miss,-6.671349,-0.189639,79.721121,-2.797417e+03,1.988378e+02,-1.674987e+04
11,1.094423e+02,miss,1.300241,0.833581,79.985089,-3.357230e+03,2.579998e+03,-1.654421e+04
12,1.226131e+02,miss,8.315175,-5.001343,79.409347,2.391194e+03,2.500453e+03,-1.774163e+04
13,1.450402e+02,miss,0.332369,-2.604050,79.956916,-1.890209e+03,-3.821022e+03,-1.919180e+04
14,1.477022e+02,miss,-10.369454,-10.979058,78.561662,6.159061e+03,-4.576813e+02,-1.885334e+04
15,1.486501e+02,miss,-3.714102,10.053538,79.278823,3.528053e+03,-6.215038e+03,-1.857537e+04
16,1.494560e+02,miss,4.721887,-7.286697,79.527403,-5.782336e+03,2.684912e+03,-1.891088e+04
17,1.549057e+02,miss,5.191845,10.738879,79.105760,3.621115e+03,-1.665955e+03,-1.992234e+04
18,1.568428e+02,miss,-15.571443,0.148707,78.469791,7.434672e+03,-3.071925e+03,-1.879464e+04
19,1.666218e+02,miss,2.434325,-3.729370,79.875940,2.857458e+03,4.673205e+03,-2.034710e+04
20,1.805042e+02,miss,-1.332574,8.556794,79.529903,-9.522461e+02,-7.258555e+03,-2.067386e+04
21,1.965842e+02,miss,0.420825,6.629532,79.723724,-3.267386e+03,-6.269385e+03,-2.176856e+04
22,1.976535e+02,miss,-3.389440,-7.363970,79.588213,4.187942e+03,6.354918e+03,-2.165125e+04
23,1.996814e+02,miss,11.189563,-16.337517,77.510510,2.068418e+02,8.891412e+03,-2.128390e+04
24,2.194670e+02,miss,-9.903802,6.393332,79.126734,-3.039469e+03,-1.498312e+03,-2.394463e+04
25,2.252810e+02,miss,4.057479,-1.012076,79.890629,-5.261599e+03,-3.988390e+03,-2.359512e+04
26,2.359911e+02,miss,-9.706888,-13.584141,78.238401,-3.134450e+03,5.144625e+03,-2.434275e+04
27,2.454270e+02,miss,5.417041,17.908346,77.781404,2.334956e+03,-7.649657e+02,-2.545523e+04
28,2.639091e+02,miss,-15.540813,9.819676,77.859213,8.374119e+03,2.321213e+03,-2.505479e+04
29,2.677082e+02,miss,-1.875456,2.118174,79.949959,-5.656624e+03,1.117078e+03,-2.607939e+04
30,2.681701e+02,miss,-18.458809,5.704051,77.632056,7.422711e+03,4.501289e+03,-2.528345e+04
31,2.820002e+02,miss,15.029290,-9.681307,77.976873,-1.116862e+04,2.849322e+03,-2.487183e+04
32,2.903323e+02,miss,3.977651,-8.800454,79.414925,-5.941992e+03,-2.051326e+03,-2.709526e+04
33,2.963721e+02,miss,6.614497,-13.042931,78.651957,4.416310e+03,2.597124e+03,-2.763175e+04
34,3.030924e+02,miss,-2.626640,10.415662,79.275562,-5.122060e+03,-4.581969e+01,-2.795413e+04
35,3.056220e+02,miss,10.846807,-10.635464,78.544469,-5.365196e+03,-3.155931e+03,-2.785079e+04
36,3.129449e+02,miss,-0.107850,-0.385050,79.999001,-6.883352e+03,-9.607309e+02,-2.802895e+04
37,3.164482e+02,miss,9.367584,4.067271,79.345483,-6.081130e+03,-7.673802e+03,-2.733850e+04
